2#tos#t3#t3026064/\"  -0.755 1.199  -0.755 1.041  -0.793 0.889  -0.843 0.738  -0.893 0.588  -0.943 0.438  -0.950 0.281  -0.950 0.122  -0.950 -0.036  -0.950 -0.194  -0.950 -0.353  -0.950 -0.511  -0.950 -0.669  -0.919 -0.820  -0.853 -0.963  -0.781 -1.049  -0.674 -0.945  -0.577 -0.819  -0.480 -0.694  -0.384 -0.569  -0.287 -0.443  -0.190 -0.318  -0.093 -0.193  0.004 -0.068  0.100 0.058  0.197 0.183  0.294 0.308  0.391 0.434  0.488 0.559  0.584 0.684  0.681 0.809  0.778 0.935  0.875 1.060  0.809 1.093  0.809 0.935  0.809 0.776  0.809 0.618  0.711 0.557  0.711 0.399  0.711 0.241  0.711 0.082  0.711 -0.076  0.711 -0.234  0.711 -0.393  0.711 -0.551  0.711 -0.709  0.711 -0.868  0.711 -1.026  0.711 -1.184  0.711 -1.343
2#tos#t3#t3026064/#  -1.162 0.127  -1.153 -0.020  -0.812 0.127  -0.444 0.215  -0.128 0.423  0.207 0.564  0.575 0.593  0.710 0.939  0.784 0.862  0.490 0.617  0.196 0.372  -0.098 0.127  -0.393 -0.118  -0.687 -0.363  -0.922 -0.646  -1.021 -0.816  -0.888 -0.562  -0.512 -0.533  -0.154 -0.464  0.098 -0.220  0.405 -0.040  0.675 0.171  0.758 0.386  0.432 0.588  0.106 0.790  -0.227 0.965  -0.491 0.817  -0.521 0.464  -0.423 0.108  -0.423 -0.275  -0.423 -0.658  -0.367 -0.983  -0.260 -0.615  -0.153 -0.247  -0.045 0.120  0.062 0.488  0.169 0.856  0.276 1.223  0.316 1.601  0.409 1.265  0.414 0.884  0.414 0.501  0.414 0.118  0.414 -0.265  0.519 -0.631  0.562 -1.007  0.562 -1.390  0.562 -1.773  0.562 -2.156  0.611 -2.532
2#tos#t3#t3026064/$  0.450 0.400  0.609 0.516  0.597 0.789  0.436 0.957  0.160 0.957  -0.035 0.878  -0.269 0.835  -0.386 0.623  -0.386 0.348  -0.276 0.122  -0.017 0.082  0.254 0.055  0.410 -0.075  0.643 -0.117  0.728 -0.307  0.768 -0.542  0.768 -0.817  0.648 -0.996  0.494 -1.152  0.228 -1.191  -0.047 -1.191  -0.278 -1.110  -0.505 -1.027  -0.624 -0.853  -0.857 -0.793  -0.811 -0.773  -0.715 -0.515  -0.619 -0.257  -0.523 0.000  -0.426 0.258  -0.330 0.516  -0.234 0.774  -0.138 1.032  -0.042 1.289  0.055 1.547  0.076 1.753  -0.055 1.623  -0.028 1.352  -0.028 1.077  -0.028 0.801  -0.028 0.526  -0.028 0.251  -0.028 -0.024  -0.028 -0.299  -0.028 -0.574  -0.028 -0.850  -0.018 -1.121  0.171 -1.317  0.171 -1.593  0.171 -1.868
2#tos#t3#t3026064/%  -0.346 1.086  -0.487 1.000  -0.571 0.834  -0.572 0.633  -0.520 0.462  -0.321 0.439  -0.127 0.467  -0.037 0.618  -0.037 0.819  -0.121 0.935  -0.274 0.992  -0.441 1.058  -0.391 1.081  -0.193 1.118  0.005 1.155  0.203 1.191  0.400 1.228  0.598 1.265  0.639 1.215  0.594 1.058  0.456 0.931  0.361 0.758  0.245 0.608  0.180 0.418  0.132 0.226  0.043 0.052  -0.073 -0.107  -0.093 -0.306  -0.194 -0.470  -0.234 -0.657  -0.266 -0.852  -0.290 -1.049  -0.368 -1.199  -0.487 -1.321  -0.487 -1.523  -0.468 -1.481  -0.328 -1.337  -0.188 -1.192  -0.048 -1.048  0.092 -0.903  0.232 -0.759  0.273 -0.664  0.273 -0.865  0.258 -1.029  0.399 -1.109  0.546 -1.040  0.610 -0.851  0.610 -0.650  0.485 -0.574  0.329 -0.659
2#tos#t3#t3026064/(  0.432 1.476  0.353 1.476  0.282 1.441  0.223 1.389  0.158 1.354  0.099 1.305  0.032 1.273  -0.026 1.221  -0.055 1.154  -0.055 1.075  -0.084 1.010  -0.150 0.966  -0.198 0.906  -0.218 0.832  -0.218 0.752  -0.218 0.673  -0.268 0.614  -0.299 0.547  -0.299 0.468  -0.316 0.390  -0.336 0.313  -0.339 0.234  -0.339 0.155  -0.339 0.075  -0.339 -0.004  -0.339 -0.083  -0.339 -0.163  -0.334 -0.241  -0.299 -0.312  -0.299 -0.392  -0.263 -0.463  -0.228 -0.534  -0.192 -0.605  -0.145 -0.668  -0.089 -0.724  -0.027 -0.772  0.026 -0.819  0.039 -0.893  0.095 -0.949  0.153 -1.001  0.225 -1.026  0.291 -1.070  0.322 -1.135  0.378 -1.191  0.434 -1.247  0.500 -1.291  0.569 -1.326  0.641 -1.338  0.678 -1.408  0.717 -1.448
2#tos#t3#t3026064/)  -0.438 1.514  -0.438 1.429  -0.394 1.370  -0.314 1.350  -0.237 1.312  -0.235 1.229  -0.189 1.189  -0.109 1.181  -0.069 1.108  0.016 1.108  0.066 1.058  0.094 0.978  0.132 0.901  0.159 0.821  0.217 0.783  0.280 0.742  0.327 0.671  0.367 0.595  0.375 0.512  0.375 0.427  0.375 0.341  0.375 0.256  0.375 0.171  0.375 0.086  0.375 0.000  0.375 -0.085  0.375 -0.170  0.375 -0.255  0.327 -0.321  0.267 -0.381  0.253 -0.461  0.186 -0.494  0.103 -0.514  0.090 -0.590  0.090 -0.675  0.062 -0.749  0.009 -0.812  -0.001 -0.893  -0.061 -0.953  -0.113 -1.017  -0.128 -1.091  -0.209 -1.118  -0.287 -1.153  -0.339 -1.214  -0.400 -1.254  -0.439 -1.330  -0.483 -1.370  -0.554 -1.405  -0.637 -1.411  -0.722 -1.411
2#tos#t3#t3026064/*  -0.824 0.735  -1.021 0.846  -0.758 0.760  -0.518 0.590  -0.288 0.395  -0.060 0.194  0.142 -0.023  0.310 -0.229  0.567 -0.397  0.745 -0.636  0.944 -0.778  0.949 -0.470  0.955 -0.162  0.961 0.146  0.967 0.454  0.973 0.762  0.978 1.069  0.929 1.324  0.747 1.254  0.586 1.041  0.489 0.760  0.301 0.524  0.116 0.299  -0.082 0.065  -0.324 -0.117  -0.448 -0.399  -0.617 -0.641  -0.773 -0.894  -0.903 -1.144  -1.034 -1.387  -1.078 -1.573  -0.953 -1.292  -0.828 -1.010  -0.704 -0.729  -0.579 -0.447  -0.454 -0.166  -0.330 0.116  -0.205 0.397  -0.080 0.679  0.044 0.961  0.032 1.167  0.001 0.970  0.001 0.662  0.079 0.377  0.079 0.069  0.140 -0.220  0.197 -0.518  0.197 -0.826  0.197 -1.134  0.236 -1.425
2#tos#t3#t3026064/+  -1.017 0.060  -1.160 -0.028  -1.316 -0.083  -1.400 -0.188  -1.256 -0.214  -1.087 -0.214  -0.917 -0.214  -0.748 -0.214  -0.583 -0.174  -0.446 -0.110  -0.314 -0.050  -0.144 -0.050  0.019 -0.014  0.180 0.040  0.346 0.060  0.484 0.110  0.618 0.169  0.787 0.169  0.895 0.251  1.006 0.331  0.895 0.459  0.783 0.586  0.671 0.713  0.559 0.840  0.446 0.967  0.334 1.094  0.222 1.221  0.071 1.262  -0.098 1.262  -0.181 1.208  -0.127 1.083  -0.033 0.953  -0.026 0.784  0.002 0.617  0.022 0.449  0.022 0.280  0.062 0.115  0.103 -0.049  0.131 -0.215  0.133 -0.384  0.174 -0.549  0.186 -0.717  0.186 -0.886  0.186 -1.056  0.186 -1.225  0.186 -1.395  0.186 -1.564  0.240 -1.679  0.240 -1.848  0.295 -1.963
2#tos#t3#t3026064/  -1.374 -0.119  -1.408 -0.186  -1.448 -0.243  -1.498 -0.268  -1.459 -0.305  -1.384 -0.305  -1.309 -0.305  -1.233 -0.305  -1.158 -0.305  -1.083 -0.305  -1.008 -0.305  -0.933 -0.305  -0.857 -0.305  -0.782 -0.305  -0.707 -0.305  -0.632 -0.305  -0.557 -0.305  -0.481 -0.305  -0.409 -0.290  -0.339 -0.262  -0.269 -0.234  -0.200 -0.206  -0.131 -0.176  -0.078 -0.122  -0.025 -0.069  0.044 -0.046  0.118 -0.031  0.191 -0.016  0.265 -0.002  0.327 0.035  0.380 0.089  0.433 0.142  0.489 0.190  0.564 0.190  0.639 0.190  0.712 0.205  0.783 0.229  0.854 0.253  0.896 0.316  0.937 0.378  0.981 0.438  1.056 0.438  1.131 0.438  1.206 0.438  1.282 0.438  1.357 0.438  1.432 0.438  1.507 0.438  1.582 0.438  1.596 0.376
2#tos#t3#t3026064/  0.812 1.323  0.782 1.371  0.737 1.318  0.716 1.246  0.716 1.168  0.716 1.090  0.648 1.065  0.573 1.046  0.523 1.008  0.523 0.930  0.523 0.852  0.523 0.775  0.475 0.745  0.398 0.745  0.329 0.735  0.316 0.658  0.303 0.581  0.291 0.505  0.259 0.441  0.194 0.398  0.135 0.351  0.110 0.277  0.084 0.204  0.049 0.135  0.015 0.065  -0.025 -0.001  -0.071 -0.063  -0.118 -0.125  -0.150 -0.192  -0.150 -0.270  -0.150 -0.347  -0.201 -0.400  -0.264 -0.446  -0.326 -0.493  -0.343 -0.562  -0.343 -0.639  -0.373 -0.710  -0.407 -0.779  -0.445 -0.846  -0.515 -0.880  -0.574 -0.929  -0.629 -0.984  -0.680 -1.041  -0.680 -1.118  -0.680 -1.196  -0.680 -1.274  -0.699 -1.343  -0.728 -1.409  -0.746 -1.468  -0.776 -1.516
2#tos#t3#t3026064/:  -0.175 1.433  -0.208 1.367  -0.241 1.302  -0.287 1.257  -0.360 1.257  -0.434 1.257  -0.369 1.257  -0.296 1.257  -0.263 1.217  -0.263 1.144  -0.260 1.071  -0.241 1.000  -0.223 0.929  -0.204 0.858  -0.186 0.786  -0.167 0.715  -0.149 0.644  -0.130 0.573  -0.111 0.502  -0.093 0.431  -0.074 0.360  -0.056 0.289  -0.037 0.218  -0.019 0.147  -0.000 0.076  0.018 0.005  0.037 -0.066  0.055 -0.137  0.074 -0.208  0.092 -0.279  0.111 -0.351  0.130 -0.422  0.148 -0.493  0.167 -0.564  0.185 -0.635  0.204 -0.706  0.222 -0.777  0.241 -0.848  0.259 -0.919  0.264 -0.992  0.264 -1.065  0.264 -1.139  0.264 -1.212  0.264 -1.286  0.264 -1.359  0.264 -1.433  0.264 -1.506  0.264 -1.579  0.264 -1.653  0.264 -1.726
