1c#app#app06#app0684/j  0.448 0.708  0.448 0.729  0.448 0.601  0.448 0.473  0.448 0.345  0.448 0.217  0.448 0.090  0.448 -0.038  0.448 -0.166  0.448 -0.294  0.448 -0.422  0.448 -0.550  0.418 -0.665  0.374 -0.774  0.374 -0.902  0.374 -1.030  0.320 -1.136  0.225 -1.180  0.147 -1.231  0.019 -1.231  -0.108 -1.231  -0.232 -1.221  -0.333 -1.156  -0.447 -1.142  -0.514 -1.082  -0.554 -0.974  -0.596 -0.864  -0.583 -0.738  -0.549 -0.614  -0.514 -0.491  -0.480 -0.368  -0.446 -0.245  -0.412 -0.122  -0.378 0.001  -0.343 0.125  -0.309 0.248  -0.275 0.371  -0.241 0.494  -0.206 0.617  -0.172 0.741  -0.138 0.864  -0.104 0.987  -0.070 1.110  -0.035 1.233  -0.001 1.356  0.033 1.480  0.067 1.603  0.101 1.726  0.136 1.849  0.075 1.901
1c#app#app06#app0684/o  0.299 1.391  0.148 1.383  0.038 1.274  0.012 1.131  -0.078 1.014  -0.167 0.890  -0.236 0.752  -0.343 0.675  -0.417 0.596  -0.417 0.441  -0.489 0.317  -0.561 0.192  -0.561 0.038  -0.614 -0.094  -0.704 -0.211  -0.704 -0.366  -0.704 -0.520  -0.704 -0.674  -0.704 -0.829  -0.704 -0.983  -0.704 -1.137  -0.599 -1.187  -0.561 -1.303  -0.434 -1.330  -0.279 -1.330  -0.125 -1.330  0.024 -1.318  0.133 -1.209  0.242 -1.099  0.352 -0.990  0.461 -0.881  0.570 -0.772  0.585 -0.624  0.585 -0.470  0.695 -0.361  0.728 -0.221  0.728 -0.066  0.728 0.088  0.728 0.242  0.621 0.352  0.585 0.491  0.585 0.646  0.460 0.675  0.442 0.811  0.299 0.822  0.284 0.961  0.155 0.987  0.118 1.105  0.046 1.070  0.155 0.961
1c#app#app06#app0684/u  -0.134 1.447  -0.271 1.430  -0.271 1.276  -0.307 1.136  -0.413 1.025  -0.483 0.887  -0.547 0.747  -0.559 0.596  -0.628 0.457  -0.697 0.319  -0.766 0.181  -0.843 0.048  -0.952 -0.061  -0.961 -0.212  -0.961 -0.366  -0.961 -0.521  -0.961 -0.675  -0.961 -0.830  -0.899 -0.959  -0.789 -1.068  -0.678 -1.172  -0.524 -1.172  -0.369 -1.172  -0.271 -1.116  -0.198 -1.035  -0.070 -0.971  0.026 -0.852  0.096 -0.714  0.178 -0.586  0.280 -0.473  0.299 -0.327  0.408 -0.217  0.418 -0.067  0.432 0.082  0.541 0.191  0.556 0.339  0.662 0.450  0.694 0.591  0.694 0.746  0.593 0.657  0.556 0.517  0.640 0.398  0.694 0.265  0.789 0.206  0.831 0.094  0.960 0.068  1.114 0.068  1.262 0.085  1.371 0.194  1.383 0.068
1c#app#app06#app0684/r  -0.245 -1.077  -0.176 -1.147  -0.106 -1.216  -0.071 -1.299  -0.071 -1.397  -0.142 -1.425  -0.240 -1.425  -0.245 -1.332  -0.245 -1.234  -0.245 -1.136  -0.245 -1.038  -0.245 -0.940  -0.307 -0.904  -0.405 -0.904  -0.419 -0.819  -0.419 -0.721  -0.419 -0.623  -0.419 -0.525  -0.419 -0.427  -0.419 -0.329  -0.419 -0.231  -0.419 -0.133  -0.419 -0.035  -0.375 0.052  -0.331 0.140  -0.287 0.228  -0.245 0.316  -0.245 0.414  -0.245 0.512  -0.245 0.610  -0.197 0.659  -0.099 0.659  -0.071 0.730  -0.071 0.828  0.022 0.833  0.102 0.850  0.102 0.948  0.142 1.007  0.240 1.007  0.338 1.007  0.436 1.007  0.534 1.007  0.632 1.007  0.730 1.007  0.828 1.007  0.926 1.007  0.971 0.953  0.971 0.855  1.046 0.833  1.144 0.833
1c#app#app06#app0684/n  -0.572 -0.699  -0.572 -0.834  -0.572 -0.969  -0.572 -1.104  -0.602 -1.209  -0.737 -1.209  -0.742 -1.339  -0.742 -1.284  -0.742 -1.149  -0.742 -1.015  -0.742 -0.880  -0.654 -0.781  -0.572 -0.680  -0.572 -0.546  -0.572 -0.411  -0.572 -0.276  -0.538 -0.155  -0.442 -0.060  -0.402 0.058  -0.402 0.193  -0.396 0.326  -0.301 0.421  -0.232 0.527  -0.232 0.662  -0.232 0.797  -0.160 0.902  -0.065 0.997  0.031 1.093  0.126 1.188  0.222 1.283  0.333 1.339  0.447 1.318  0.447 1.183  0.533 1.083  0.617 0.984  0.617 0.849  0.617 0.714  0.617 0.579  0.617 0.444  0.617 0.309  0.617 0.174  0.617 0.040  0.692 -0.020  0.787 -0.060  0.787 -0.195  0.787 -0.330  0.787 -0.465  0.857 -0.530  0.957 -0.565  0.957 -0.699
1c#app#app06#app0684/e  -0.406 -0.581  -0.298 -0.473  -0.175 -0.400  -0.044 -0.378  -0.044 -0.225  0.060 -0.115  0.168 -0.006  0.277 0.102  0.319 0.238  0.384 0.326  0.501 0.362  0.507 0.513  0.615 0.622  0.682 0.747  0.682 0.900  0.682 1.053  0.682 1.206  0.555 1.233  0.431 1.303  0.323 1.411  0.171 1.414  0.053 1.329  -0.056 1.221  -0.164 1.113  -0.272 1.004  -0.381 0.896  -0.406 0.754  -0.446 0.610  -0.514 0.473  -0.583 0.336  -0.588 0.184  -0.588 0.030  -0.588 -0.123  -0.588 -0.276  -0.588 -0.429  -0.588 -0.582  -0.588 -0.735  -0.588 -0.889  -0.490 -0.944  -0.406 -1.014  -0.377 -1.155  -0.269 -1.263  -0.134 -1.307  0.019 -1.307  0.173 -1.307  0.324 -1.302  0.432 -1.194  0.557 -1.125  0.710 -1.125  0.863 -1.125
1c#app#app06#app0684/y  -0.227 1.663  -0.227 1.548  -0.227 1.432  -0.227 1.317  -0.277 1.213  -0.314 1.106  -0.314 0.991  -0.312 0.876  -0.230 0.794  -0.210 0.687  -0.124 0.616  -0.009 0.616  0.107 0.616  0.219 0.625  0.300 0.707  0.382 0.789  0.402 0.896  0.471 0.948  0.471 0.832  0.471 0.717  0.471 0.601  0.471 0.486  0.471 0.370  0.471 0.254  0.471 0.139  0.471 0.023  0.471 -0.092  0.444 -0.196  0.384 -0.287  0.384 -0.403  0.345 -0.509  0.297 -0.613  0.272 -0.718  0.194 -0.803  0.130 -0.900  0.066 -0.996  0.035 -1.102  -0.027 -1.192  -0.109 -1.273  -0.212 -1.304  -0.298 -1.375  -0.405 -1.387  -0.487 -1.305  -0.569 -1.224  -0.650 -1.142  -0.663 -1.032  -0.663 -0.916  -0.663 -0.801  -0.657 -0.687  -0.576 -0.606
1c#app#app06#app0684/s  1.012 1.382  1.012 1.265  0.932 1.227  0.815 1.227  0.700 1.224  0.617 1.141  0.529 1.073  0.412 1.073  0.324 1.002  0.242 0.920  0.125 0.919  0.031 0.864  -0.051 0.781  -0.162 0.765  -0.262 0.725  -0.345 0.642  -0.448 0.611  -0.505 0.586  -0.422 0.503  -0.340 0.421  -0.257 0.338  -0.155 0.302  -0.067 0.273  -0.067 0.156  0.042 0.148  0.087 0.077  0.087 -0.040  0.087 -0.157  0.201 -0.160  0.241 -0.237  0.269 -0.342  0.351 -0.425  0.395 -0.523  0.383 -0.635  0.300 -0.718  0.208 -0.777  0.091 -0.777  0.007 -0.857  -0.076 -0.939  -0.158 -1.022  -0.249 -1.085  -0.366 -1.085  -0.376 -1.192  -0.445 -1.239  -0.562 -1.239  -0.679 -1.239  -0.796 -1.239  -0.913 -1.239  -0.955 -1.239  -0.838 -1.239
1c#app#app06#app0684/h  0.045 1.195  0.045 1.344  0.045 1.492  0.045 1.641  0.105 1.765  0.058 1.807  0.045 1.671  0.045 1.523  0.045 1.374  0.013 1.233  -0.053 1.100  -0.057 0.952  -0.084 0.808  -0.131 0.667  -0.159 0.523  -0.159 0.374  -0.182 0.231  -0.248 0.098  -0.285 -0.045  -0.314 -0.191  -0.343 -0.337  -0.384 -0.479  -0.450 -0.612  -0.465 -0.757  -0.465 -0.905  -0.513 -1.043  -0.567 -1.179  -0.567 -1.327  -0.482 -1.270  -0.377 -1.165  -0.305 -1.035  -0.226 -0.912  -0.120 -0.807  -0.057 -0.684  -0.010 -0.547  0.063 -0.419  0.147 -0.305  0.202 -0.179  0.307 -0.074  0.437 -0.029  0.453 0.042  0.453 -0.106  0.453 -0.255  0.453 -0.404  0.453 -0.552  0.513 -0.641  0.555 -0.748  0.606 -0.845  0.657 -0.943  0.759 -1.049
1c#app#app06#app0684/i  -0.290 0.380  -0.294 0.259  -0.411 0.252  -0.411 0.128  -0.421 0.008  -0.508 -0.079  -0.532 -0.194  -0.532 -0.318  -0.601 -0.413  -0.652 -0.516  -0.652 -0.640  -0.594 -0.706  -0.532 -0.767  -0.474 -0.855  -0.363 -0.911  -0.248 -0.947  -0.137 -0.980  -0.049 -1.068  0.074 -1.068  0.198 -1.068  0.320 -1.075  0.407 -1.162  0.520 -1.188  0.537 -1.100  0.513 -0.978  0.490 -0.856  0.467 -0.734  0.443 -0.613  0.420 -0.491  0.396 -0.369  0.373 -0.247  0.350 -0.126  0.326 -0.004  0.303 0.118  0.279 0.240  0.256 0.361  0.233 0.483  0.209 0.605  0.186 0.727  0.162 0.848  0.139 0.970  0.115 1.092  0.092 1.214  0.069 1.336  0.045 1.457  0.022 1.579  -0.002 1.701  -0.025 1.823  -0.048 1.944  -0.170 1.948
1c#app#app06#app0684/d  -0.025 -0.143  -0.207 -0.143  -0.341 -0.261  -0.489 -0.341  -0.627 -0.448  -0.756 -0.577  -0.860 -0.723  -0.956 -0.876  -1.016 -1.033  -1.016 -1.215  -0.851 -1.233  -0.711 -1.130  -0.548 -1.048  -0.414 -0.928  -0.299 -0.789  -0.214 -0.629  -0.085 -0.500  0.044 -0.371  0.136 -0.216  0.218 -0.054  0.299 0.109  0.371 0.274  0.375 0.455  0.470 0.597  0.492 0.770  0.569 0.920  0.569 1.103  0.569 1.285  0.625 1.454  0.668 1.625  0.599 1.739  0.532 1.602  0.428 1.456  0.346 1.293  0.267 1.129  0.209 0.957  0.143 0.788  0.074 0.622  0.072 0.440  0.036 0.261  0.000 0.083  -0.025 -0.097  -0.025 -0.279  -0.025 -0.461  0.021 -0.632  0.074 -0.801  0.173 -0.884  0.272 -0.967  0.371 -1.050  0.470 -1.134
1c#app#app06#app0684/d  0.115 0.045  -0.048 -0.018  -0.210 -0.080  -0.288 -0.236  -0.435 -0.304  -0.568 -0.438  -0.702 -0.571  -0.835 -0.704  -0.968 -0.837  -1.094 -0.974  -1.094 -1.162  -1.008 -1.265  -0.892 -1.193  -0.749 -1.093  -0.603 -0.976  -0.470 -0.843  -0.356 -0.696  -0.262 -0.534  -0.142 -0.391  -0.037 -0.234  0.082 -0.089  0.179 0.070  0.290 0.219  0.384 0.381  0.468 0.549  0.518 0.726  0.563 0.896  0.619 1.061  0.662 1.239  0.720 1.414  0.720 1.603  0.720 1.723  0.705 1.541  0.572 1.407  0.518 1.241  0.473 1.063  0.389 0.895  0.305 0.726  0.221 0.558  0.136 0.389  0.115 0.206  0.058 0.031  0.014 -0.148  0.014 -0.336  0.014 -0.524  0.067 -0.661  0.154 -0.761  0.216 -0.888  0.330 -0.963  0.417 -1.064
