1c#tos#f1#f1051061/a  0.147 0.550  0.191 0.676  0.114 0.770  -0.005 0.833  -0.077 0.947  -0.241 0.990  -0.411 0.990  -0.582 0.990  -0.725 0.938  -0.840 0.817  -0.911 0.684  -0.999 0.550  -0.999 0.379  -1.043 0.216  -1.043 0.045  -1.043 -0.126  -1.043 -0.296  -1.043 -0.467  -1.043 -0.638  -1.027 -0.804  -0.890 -0.860  -0.720 -0.860  -0.549 -0.860  -0.378 -0.860  -0.217 -0.822  -0.118 -0.694  -0.053 -0.564  0.064 -0.470  0.199 -0.387  0.242 -0.222  0.279 -0.057  0.279 0.114  0.279 0.284  0.279 0.455  0.245 0.618  0.235 0.666  0.259 0.501  0.349 0.356  0.401 0.195  0.525 0.096  0.619 -0.031  0.711 -0.173  0.844 -0.263  0.977 -0.349  1.064 -0.495  1.220 -0.557  1.381 -0.615  1.537 -0.682  1.698 -0.739  1.865 -0.772
1c#tos#f1#f1051061/b  -0.176 1.275  -0.270 1.422  -0.421 1.512  -0.428 1.716  -0.428 1.635  -0.428 1.429  -0.428 1.224  -0.428 1.018  -0.428 0.813  -0.428 0.607  -0.428 0.402  -0.428 0.196  -0.393 -0.006  -0.338 -0.203  -0.327 -0.407  -0.320 -0.611  -0.277 -0.810  -0.277 -1.015  -0.227 -1.213  -0.202 -1.394  -0.227 -1.466  -0.227 -1.261  -0.227 -1.055  -0.227 -0.850  -0.227 -0.644  -0.227 -0.439  -0.214 -0.235  -0.164 -0.035  -0.126 0.165  -0.126 0.371  -0.075 0.545  0.045 0.691  0.238 0.721  0.444 0.721  0.649 0.721  0.831 0.659  0.928 0.505  1.032 0.340  1.032 0.135  1.032 -0.071  0.931 -0.234  0.929 -0.438  0.729 -0.488  0.539 -0.564  0.434 -0.721  0.261 -0.823  0.068 -0.893  -0.124 -0.965  -0.323 -0.991  -0.529 -0.991
1c#tos#f1#f1051061/d  0.125 0.220  0.125 0.274  0.125 0.486  -0.037 0.537  -0.249 0.537  -0.413 0.456  -0.536 0.325  -0.680 0.176  -0.706 -0.027  -0.728 -0.226  -0.786 -0.402  -0.786 -0.615  -0.786 -0.827  -0.746 -1.029  -0.706 -1.232  -0.546 -1.284  -0.373 -1.244  -0.232 -1.144  -0.144 -0.982  -0.077 -0.781  0.001 -0.590  0.084 -0.395  0.157 -0.196  0.164 0.015  0.197 0.224  0.204 0.435  0.204 0.647  0.204 0.859  0.204 1.071  0.204 1.283  0.204 1.495  0.204 1.707  0.164 1.782  0.164 1.570  0.204 1.363  0.204 1.151  0.204 0.939  0.204 0.727  0.204 0.515  0.229 0.305  0.283 0.100  0.323 -0.105  0.323 -0.317  0.336 -0.527  0.402 -0.726  0.442 -0.929  0.520 -1.123  0.562 -1.328  0.600 -1.531  0.758 -1.640
1c#tos#f1#f1051061/e  0.182 1.007  -0.008 1.007  -0.191 0.959  -0.312 0.846  -0.442 0.776  -0.567 0.710  -0.567 0.519  -0.567 0.329  -0.509 0.196  -0.427 0.033  -0.314 -0.121  -0.198 -0.261  -0.020 -0.290  0.159 -0.319  0.350 -0.319  0.533 -0.287  0.684 -0.199  0.759 -0.031  0.759 0.160  0.759 0.350  0.759 0.541  0.644 0.661  0.590 0.829  0.470 0.970  0.361 1.116  0.193 1.203  0.010 1.237  -0.118 1.167  -0.253 1.032  -0.327 0.860  -0.388 0.680  -0.448 0.499  -0.551 0.339  -0.618 0.161  -0.624 -0.028  -0.624 -0.219  -0.624 -0.410  -0.624 -0.600  -0.624 -0.791  -0.576 -0.967  -0.443 -1.090  -0.281 -1.181  -0.115 -1.241  0.039 -1.349  0.209 -1.413  0.399 -1.413  0.590 -1.413  0.781 -1.413  0.971 -1.413  1.162 -1.413
1c#tos#f1#f1051061/g  0.289 0.494  0.130 0.526  0.097 0.712  0.049 0.896  0.010 1.081  -0.077 1.241  -0.228 1.337  -0.387 1.369  -0.579 1.369  -0.728 1.267  -0.820 1.101  -0.904 0.944  -0.944 0.769  -0.878 0.613  -0.696 0.574  -0.505 0.574  -0.313 0.574  -0.125 0.586  0.051 0.653  0.130 0.541  0.209 0.399  0.215 0.210  0.284 0.037  0.329 -0.147  0.329 -0.339  0.329 -0.530  0.329 -0.721  0.329 -0.913  0.329 -1.104  0.329 -1.295  0.249 -1.454  0.218 -1.614  0.027 -1.614  -0.148 -1.575  -0.213 -1.423  -0.318 -1.306  -0.348 -1.136  -0.348 -0.945  -0.275 -0.770  -0.228 -0.592  -0.169 -0.460  -0.004 -0.396  0.148 -0.301  0.274 -0.215  0.326 -0.031  0.492 0.059  0.664 0.145  0.843 0.209  1.026 0.264  1.204 0.335
1c#tos#f1#f1051061/i  -0.125 0.318  -0.149 0.199  -0.232 0.102  -0.267 -0.018  -0.267 -0.147  -0.267 -0.276  -0.267 -0.405  -0.267 -0.534  -0.267 -0.663  -0.267 -0.792  -0.266 -0.921  -0.241 -1.048  -0.209 -1.171  -0.137 -1.278  -0.077 -1.384  0.008 -1.477  0.100 -1.569  0.159 -1.519  0.157 -1.390  0.156 -1.261  0.154 -1.133  0.152 -1.004  0.150 -0.875  0.148 -0.746  0.146 -0.617  0.144 -0.488  0.142 -0.359  0.140 -0.230  0.138 -0.101  0.136 0.028  0.134 0.157  0.132 0.286  0.131 0.415  0.129 0.544  0.127 0.673  0.125 0.802  0.123 0.931  0.121 1.060  0.119 1.189  0.117 1.318  0.115 1.447  0.113 1.576  0.009 1.600  -0.086 1.531  -0.134 1.411  -0.161 1.293  -0.124 1.173  0.005 1.173  0.120 1.153  0.160 1.030
1c#tos#f1#f1051061/k  -0.407 1.787  -0.542 1.864  -0.561 1.826  -0.561 1.614  -0.561 1.402  -0.477 1.219  -0.407 1.032  -0.407 0.819  -0.407 0.607  -0.407 0.395  -0.407 0.183  -0.407 -0.029  -0.407 -0.241  -0.407 -0.454  -0.407 -0.666  -0.407 -0.878  -0.407 -1.090  -0.407 -1.302  -0.445 -1.244  -0.474 -1.155  -0.522 -0.963  -0.522 -0.751  -0.517 -0.539  -0.453 -0.343  -0.346 -0.169  -0.251 0.018  -0.199 0.220  -0.053 0.373  0.092 0.490  0.226 0.634  0.420 0.668  0.536 0.528  0.674 0.376  0.674 0.164  0.603 -0.019  0.442 -0.142  0.239 -0.181  0.027 -0.181  -0.185 -0.181  -0.146 -0.065  0.045 -0.105  0.201 -0.219  0.375 -0.309  0.507 -0.474  0.701 -0.554  0.903 -0.605  1.076 -0.699  1.267 -0.788  1.457 -0.881  1.638 -0.991
1c#tos#f1#f1051061/n  -0.460 1.146  -0.518 1.146  -0.543 0.980  -0.600 0.819  -0.633 0.651  -0.633 0.479  -0.633 0.307  -0.633 0.135  -0.633 -0.037  -0.633 -0.209  -0.633 -0.381  -0.633 -0.553  -0.633 -0.725  -0.633 -0.897  -0.633 -1.069  -0.633 -1.241  -0.633 -1.228  -0.633 -1.056  -0.633 -0.884  -0.567 -0.739  -0.518 -0.588  -0.518 -0.415  -0.518 -0.243  -0.518 -0.071  -0.447 0.084  -0.403 0.245  -0.391 0.412  -0.312 0.560  -0.219 0.699  -0.174 0.853  -0.059 0.910  0.049 0.974  0.206 0.938  0.328 0.816  0.400 0.708  0.544 0.639  0.572 0.488  0.631 0.340  0.687 0.181  0.687 0.009  0.744 -0.106  0.786 -0.252  0.888 -0.374  0.997 -0.460  1.055 -0.575  1.227 -0.575  1.399 -0.575  1.547 -0.518  1.671 -0.400  1.834 -0.345
1c#tos#f1#f1051061/t  -1.131 0.419  -1.239 0.354  -1.395 0.328  -1.378 0.324  -1.221 0.324  -1.063 0.324  -0.905 0.324  -0.748 0.324  -0.590 0.324  -0.433 0.324  -0.275 0.324  -0.117 0.324  0.040 0.324  0.198 0.324  0.355 0.324  0.513 0.324  0.671 0.324  0.823 0.346  0.970 0.376  0.905 0.476  0.764 0.546  0.611 0.563  0.493 0.658  0.359 0.725  0.270 0.833  0.206 0.965  0.172 1.088  0.063 1.039  0.056 0.883  0.015 0.735  0.015 0.578  -0.051 0.470  -0.080 0.315  -0.080 0.157  -0.080 -0.000  -0.080 -0.158  -0.080 -0.316  -0.080 -0.473  -0.080 -0.631  -0.080 -0.788  -0.068 -0.943  0.003 -1.084  0.076 -1.223  0.165 -1.353  0.237 -1.489  0.340 -1.586  0.497 -1.586  0.655 -1.586  0.812 -1.586  0.970 -1.586
1c#tos#f1#f1051061/u  -0.643 1.248  -0.685 1.155  -0.787 1.123  -0.889 1.044  -0.952 0.931  -0.977 0.800  -0.985 0.667  -1.011 0.535  -1.019 0.401  -1.019 0.267  -1.019 0.133  -1.019 -0.002  -1.019 -0.136  -1.000 -0.267  -0.958 -0.395  -0.915 -0.522  -0.864 -0.646  -0.770 -0.738  -0.653 -0.795  -0.519 -0.795  -0.384 -0.795  -0.253 -0.776  -0.123 -0.753  -0.021 -0.673  0.054 -0.562  0.160 -0.482  0.236 -0.376  0.347 -0.301  0.357 -0.172  0.432 -0.078  0.482 0.029  0.482 0.164  0.518 0.283  0.566 0.398  0.566 0.532  0.566 0.666  0.607 0.621  0.624 0.489  0.674 0.365  0.700 0.238  0.774 0.135  0.801 0.012  0.843 -0.113  0.921 -0.212  1.036 -0.280  1.137 -0.366  1.215 -0.462  1.349 -0.462  1.471 -0.492  1.566 -0.587
1c#tos#f1#f1051061/x  -0.461 0.828  -0.687 0.828  -0.891 0.828  -0.665 0.828  -0.438 0.828  -0.212 0.828  -0.051 0.750  0.091 0.582  0.091 0.355  0.091 0.129  0.043 -0.090  -0.027 -0.305  -0.092 -0.520  -0.228 -0.701  -0.361 -0.877  -0.528 -1.024  -0.612 -1.234  -0.686 -1.444  -0.850 -1.545  -0.908 -1.518  -0.791 -1.325  -0.674 -1.131  -0.557 -0.937  -0.440 -0.743  -0.323 -0.549  -0.206 -0.356  -0.089 -0.162  0.028 0.032  0.145 0.226  0.262 0.420  0.379 0.614  0.496 0.807  0.613 1.001  0.730 1.195  0.809 1.399  0.643 1.411  0.506 1.312  0.380 1.144  0.367 0.919  0.271 0.733  0.202 0.535  0.202 0.309  0.249 0.088  0.276 -0.129  0.367 -0.318  0.478 -0.476  0.511 -0.684  0.691 -0.820  0.830 -0.998  1.029 -1.048
