1c#apb#apb31#app3181/h  0.373 2.154  0.364 2.024  0.335 1.898  0.305 1.771  0.286 1.643  0.268 1.514  0.253 1.385  0.239 1.255  0.224 1.126  0.201 0.998  0.177 0.870  0.153 0.742  0.127 0.615  0.099 0.488  0.071 0.361  0.042 0.234  0.009 0.108  -0.028 -0.016  -0.066 -0.141  -0.104 -0.265  -0.147 -0.388  -0.194 -0.509  -0.240 -0.631  -0.287 -0.752  -0.348 -0.866  -0.419 -0.976  -0.489 -1.085  -0.567 -1.189  -0.657 -1.279  -0.671 -1.189  -0.619 -1.070  -0.554 -0.958  -0.489 -0.845  -0.423 -0.732  -0.358 -0.620  -0.292 -0.508  -0.212 -0.406  -0.126 -0.308  -0.040 -0.210  0.049 -0.115  0.146 -0.031  0.255 0.019  0.341 -0.077  0.399 -0.194  0.434 -0.317  0.446 -0.446  0.449 -0.576  0.447 -0.706  0.435 -0.836  0.406 -0.962
1c#apb#apb31#app3181/o  -0.267 0.732  -0.342 0.615  -0.418 0.498  -0.491 0.380  -0.561 0.260  -0.630 0.140  -0.700 0.020  -0.770 -0.101  -0.839 -0.221  -0.873 -0.354  -0.893 -0.491  -0.908 -0.629  -0.887 -0.766  -0.865 -0.903  -0.824 -1.035  -0.772 -1.164  -0.677 -1.252  -0.551 -1.308  -0.415 -1.277  -0.288 -1.229  -0.179 -1.142  -0.071 -1.055  0.038 -0.968  0.120 -0.857  0.203 -0.745  0.285 -0.633  0.363 -0.518  0.430 -0.396  0.497 -0.275  0.564 -0.153  0.630 -0.031  0.674 0.101  0.718 0.233  0.762 0.365  0.806 0.497  0.828 0.634  0.849 0.771  0.870 0.909  0.854 1.043  0.813 1.176  0.741 1.287  0.617 1.261  0.489 1.207  0.398 1.105  0.315 0.994  0.231 0.883  0.150 0.770  0.071 0.656  -0.009 0.542  -0.088 0.428
1c#apb#apb31#app3181/r  0.231 0.885  0.139 0.823  0.082 0.705  0.032 0.584  -0.018 0.463  -0.065 0.341  -0.109 0.218  -0.153 0.094  -0.203 -0.026  -0.260 -0.144  -0.316 -0.262  -0.373 -0.380  -0.427 -0.499  -0.474 -0.622  -0.520 -0.744  -0.566 -0.866  -0.613 -0.989  -0.664 -1.109  -0.723 -1.226  -0.782 -1.343  -0.795 -1.415  -0.753 -1.293  -0.688 -1.179  -0.623 -1.066  -0.558 -0.952  -0.495 -0.838  -0.432 -0.723  -0.369 -0.608  -0.306 -0.493  -0.243 -0.379  -0.179 -0.264  -0.111 -0.153  -0.043 -0.041  0.024 0.071  0.092 0.183  0.160 0.295  0.230 0.406  0.304 0.514  0.379 0.621  0.453 0.729  0.528 0.836  0.611 0.936  0.710 1.022  0.809 1.108  0.914 1.182  1.037 1.226  1.159 1.224  1.278 1.171  1.323 1.050  1.365 0.926
1c#apb#apb31#app3181/t  0.483 1.096  0.653 1.175  0.705 1.006  0.620 0.829  0.521 0.658  0.413 0.493  0.306 0.327  0.204 0.158  0.103 -0.012  0.002 -0.181  -0.092 -0.355  -0.186 -0.529  -0.278 -0.703  -0.367 -0.880  -0.455 -1.057  -0.513 -1.245  -0.552 -1.438  -0.534 -1.607  -0.349 -1.568  -0.187 -1.455  -0.023 -1.345  0.138 -1.231  0.291 -1.106  0.442 -0.979  0.587 -0.845  0.723 -0.703  0.844 -0.546  0.764 -0.417  0.605 -0.300  0.446 -0.182  0.288 -0.064  0.129 0.053  -0.029 0.171  -0.188 0.289  -0.346 0.406  -0.505 0.524  -0.663 0.642  -0.822 0.760  -0.981 0.877  -1.148 0.910  -0.986 0.812  -0.795 0.785  -0.597 0.794  -0.400 0.804  -0.203 0.817  -0.006 0.830  0.191 0.847  0.387 0.871  0.583 0.894  0.779 0.918
1c#apb#apb31#app3181/o  -0.463 0.744  -0.505 0.635  -0.547 0.526  -0.589 0.418  -0.608 0.303  -0.625 0.188  -0.642 0.072  -0.660 -0.043  -0.672 -0.159  -0.678 -0.275  -0.684 -0.392  -0.689 -0.508  -0.695 -0.624  -0.688 -0.741  -0.681 -0.857  -0.674 -0.974  -0.656 -1.087  -0.604 -1.191  -0.535 -1.256  -0.423 -1.223  -0.311 -1.189  -0.224 -1.112  -0.138 -1.034  -0.052 -0.955  0.014 -0.861  0.072 -0.759  0.129 -0.658  0.186 -0.557  0.244 -0.455  0.301 -0.354  0.359 -0.253  0.418 -0.152  0.476 -0.051  0.535 0.050  0.593 0.151  0.627 0.263  0.660 0.374  0.694 0.486  0.727 0.598  0.753 0.711  0.767 0.826  0.780 0.942  0.794 1.058  0.784 1.173  0.759 1.286  0.688 1.363  0.582 1.410  0.475 1.423  0.367 1.380  0.258 1.337
1c#apb#apb31#app3181/n  -0.474 1.350  -0.418 1.231  -0.422 1.082  -0.431 0.933  -0.446 0.786  -0.472 0.639  -0.499 0.493  -0.529 0.347  -0.561 0.202  -0.593 0.057  -0.628 -0.088  -0.682 -0.227  -0.735 -0.365  -0.789 -0.504  -0.833 -0.646  -0.874 -0.789  -0.915 -0.932  -0.945 -1.078  -0.944 -1.133  -0.891 -0.994  -0.825 -0.862  -0.744 -0.737  -0.663 -0.612  -0.574 -0.493  -0.478 -0.380  -0.382 -0.266  -0.284 -0.154  -0.183 -0.044  -0.082 0.065  0.019 0.174  0.119 0.284  0.228 0.385  0.338 0.485  0.448 0.585  0.563 0.678  0.701 0.733  0.841 0.779  0.986 0.772  1.067 0.647  1.147 0.521  1.148 0.373  1.148 0.224  1.140 0.076  1.122 -0.072  1.103 -0.220  1.084 -0.367  1.062 -0.514  1.039 -0.661  1.011 -0.807  0.982 -0.953
1c#apb#apb31#app3181/i  0.800 1.867  0.753 1.772  0.706 1.678  0.659 1.584  0.612 1.490  0.565 1.396  0.518 1.301  0.471 1.207  0.423 1.113  0.381 1.017  0.356 0.915  0.332 0.812  0.307 0.710  0.283 0.607  0.259 0.505  0.234 0.402  0.210 0.300  0.185 0.197  0.161 0.095  0.137 -0.008  0.105 -0.108  0.067 -0.206  0.029 -0.304  -0.009 -0.403  -0.047 -0.501  -0.084 -0.599  -0.122 -0.698  -0.142 -0.800  -0.153 -0.905  -0.165 -1.010  -0.177 -1.115  -0.186 -1.219  -0.186 -1.325  -0.249 -1.303  -0.334 -1.239  -0.405 -1.166  -0.447 -1.070  -0.488 -0.973  -0.530 -0.876  -0.549 -0.774  -0.549 -0.669  -0.549 -0.564  -0.549 -0.458  -0.549 -0.353  -0.509 -0.261  -0.444 -0.178  -0.380 -0.095  -0.315 -0.012  -0.250 0.071  -0.186 0.154
1c#apb#apb31#app3181/l  0.549 1.514  0.531 1.545  0.508 1.480  0.477 1.418  0.445 1.356  0.417 1.292  0.394 1.227  0.370 1.161  0.346 1.096  0.323 1.030  0.303 0.964  0.283 0.897  0.263 0.831  0.243 0.764  0.223 0.698  0.202 0.631  0.181 0.565  0.160 0.498  0.139 0.432  0.118 0.366  0.097 0.300  0.076 0.233  0.054 0.167  0.033 0.101  0.011 0.035  -0.011 -0.031  -0.033 -0.097  -0.055 -0.163  -0.077 -0.229  -0.099 -0.295  -0.121 -0.361  -0.143 -0.427  -0.165 -0.493  -0.186 -0.559  -0.208 -0.625  -0.229 -0.691  -0.251 -0.758  -0.273 -0.824  -0.294 -0.890  -0.316 -0.956  -0.337 -1.022  -0.359 -1.088  -0.381 -1.154  -0.403 -1.220  -0.425 -1.286  -0.447 -1.352  -0.469 -1.418  -0.489 -1.484  -0.489 -1.554  -0.489 -1.624
1c#apb#apb31#app3181/k  0.594 2.048  0.467 1.883  0.370 1.696  0.282 1.504  0.200 1.310  0.122 1.114  0.048 0.916  -0.019 0.716  -0.086 0.516  -0.154 0.317  -0.223 0.118  -0.293 -0.081  -0.361 -0.281  -0.427 -0.481  -0.494 -0.681  -0.570 -0.878  -0.647 -1.074  -0.743 -1.261  -0.857 -1.438  -0.857 -1.421  -0.758 -1.234  -0.660 -1.048  -0.561 -0.861  -0.462 -0.675  -0.364 -0.488  -0.265 -0.302  -0.167 -0.116  -0.036 0.048  0.110 0.200  0.264 0.344  0.432 0.471  0.600 0.599  0.760 0.736  0.931 0.856  0.894 0.841  0.729 0.710  0.567 0.576  0.399 0.448  0.240 0.310  0.100 0.153  -0.026 -0.015  -0.136 -0.195  -0.241 -0.378  -0.307 -0.575  -0.246 -0.758  -0.049 -0.823  0.160 -0.846  0.371 -0.834  0.581 -0.840  0.790 -0.846
1c#apb#apb31#app3181/i  0.382 0.636  0.437 0.614  0.453 0.491  0.420 0.371  0.387 0.250  0.340 0.135  0.290 0.020  0.243 -0.095  0.201 -0.212  0.159 -0.330  0.117 -0.447  0.066 -0.561  0.014 -0.674  -0.039 -0.787  -0.092 -0.900  -0.140 -1.015  -0.189 -1.130  -0.238 -1.245  -0.281 -1.362  -0.317 -1.479  -0.238 -1.516  -0.174 -1.422  -0.166 -1.298  -0.159 -1.173  -0.151 -1.049  -0.143 -0.924  -0.135 -0.800  -0.128 -0.675  -0.120 -0.551  -0.112 -0.426  -0.105 -0.302  -0.097 -0.177  -0.089 -0.053  -0.081 0.072  -0.074 0.196  -0.066 0.321  -0.058 0.445  -0.051 0.570  -0.043 0.694  -0.035 0.819  -0.027 0.943  -0.020 1.068  -0.012 1.192  -0.004 1.317  0.003 1.441  0.011 1.566  0.019 1.690  0.027 1.815  0.034 1.939  -0.019 1.998
1c#apb#apb31#app3181/n  -0.480 0.664  -0.523 0.476  -0.564 0.288  -0.604 0.099  -0.654 -0.086  -0.710 -0.271  -0.761 -0.456  -0.810 -0.642  -0.885 -0.819  -0.975 -0.989  -1.029 -1.172  -0.994 -1.121  -0.921 -0.943  -0.835 -0.770  -0.746 -0.599  -0.657 -0.429  -0.584 -0.251  -0.512 -0.072  -0.438 0.106  -0.347 0.275  -0.256 0.445  -0.164 0.614  -0.063 0.778  0.041 0.940  0.121 0.846  0.121 0.653  0.098 0.463  0.061 0.274  0.025 0.085  -0.004 -0.106  -0.034 -0.296  -0.063 -0.486  -0.093 -0.676  -0.067 -0.853  0.088 -0.927  0.234 -0.807  0.358 -0.662  0.457 -0.497  0.556 -0.332  0.655 -0.167  0.754 -0.001  0.853 0.164  0.946 0.332  1.040 0.501  1.133 0.669  1.231 0.835  1.329 1.001  1.434 1.162  1.545 1.319  1.692 1.439
