2#app#app18#app1838/F  -0.374 0.566  -0.514 0.465  -0.374 0.281  -0.374 0.041  -0.374 -0.200  -0.374 -0.441  -0.374 -0.682  -0.374 -0.923  -0.374 -1.164  -0.374 -1.405  -0.292 -1.612  -0.256 -1.808  -0.374 -1.686  -0.374 -1.445  -0.374 -1.204  -0.374 -0.963  -0.451 -0.754  -0.514 -0.539  -0.514 -0.298  -0.514 -0.057  -0.514 0.184  -0.514 0.425  -0.514 0.666  -0.453 0.845  -0.212 0.845  -0.007 0.933  0.204 1.005  0.396 1.124  0.586 1.247  0.797 1.318  1.003 1.404  1.022 1.461  0.995 1.229  0.848 1.038  0.702 0.848  0.555 0.657  0.408 0.466  0.261 0.275  0.114 0.084  -0.033 -0.107  -0.180 -0.298  -0.327 -0.489  -0.235 -0.528  -0.110 -0.412  0.073 -0.272  0.184 -0.143  0.415 -0.132  0.599 0.004  0.839 0.007  1.022 0.147
2#app#app18#app1838/I  -0.527 0.928  -0.328 1.015  -0.328 0.952  -0.328 0.666  -0.223 0.424  -0.130 0.177  -0.130 -0.109  -0.130 -0.395  -0.130 -0.681  -0.055 -0.937  0.069 -1.171  -0.004 -1.078  -0.110 -0.812  -0.216 -0.546  -0.322 -0.281  -0.429 -0.015  -0.535 0.250  -0.641 0.516  -0.783 0.729  -0.925 0.873  -0.694 0.928  -0.408 0.928  -0.122 0.928  0.136 0.995  0.368 1.127  0.654 1.127  0.865 1.201  1.027 1.326  1.032 1.088  0.849 0.869  0.666 0.649  0.483 0.429  0.299 0.209  0.116 -0.010  -0.067 -0.230  -0.250 -0.450  -0.433 -0.670  -0.616 -0.889  -0.799 -1.109  -0.836 -1.260  -0.726 -1.084  -0.463 -1.061  -0.221 -0.954  0.027 -0.862  0.300 -0.831  0.517 -0.664  0.803 -0.664  1.064 -0.639  1.176 -0.465  1.462 -0.465
2#app#app18#app1838/R  -0.454 0.782  -0.541 0.948  -0.620 0.774  -0.552 0.549  -0.454 0.337  -0.454 0.084  -0.454 -0.169  -0.306 -0.360  -0.289 -0.605  -0.289 -0.858  -0.289 -1.111  -0.289 -1.363  -0.289 -1.616  -0.123 -1.699  -0.141 -1.448  -0.190 -1.201  -0.240 -0.953  -0.289 -0.705  -0.339 -0.457  -0.388 -0.209  -0.438 0.038  -0.487 0.286  -0.537 0.534  -0.587 0.782  -0.703 0.948  -0.781 1.113  -0.528 1.113  -0.289 1.127  -0.188 1.279  0.065 1.279  0.317 1.279  0.570 1.279  0.705 1.161  0.705 0.908  0.705 0.656  0.671 0.417  0.539 0.219  0.539 -0.034  0.464 -0.211  0.374 -0.374  0.124 -0.377  -0.123 -0.371  -0.030 -0.211  0.222 -0.211  0.445 -0.283  0.659 -0.377  0.851 -0.523  1.078 -0.585  1.280 -0.708  1.367 -0.873
2#app#app18#app1838/S  0.158 1.251  0.022 1.251  -0.114 1.251  -0.235 1.213  -0.331 1.117  -0.449 1.072  -0.554 1.041  -0.554 0.905  -0.680 0.894  -0.732 0.810  -0.762 0.687  -0.858 0.590  -0.955 0.494  -1.051 0.397  -1.088 0.277  -1.047 0.182  -0.911 0.182  -0.814 0.086  -0.712 0.004  -0.576 0.004  -0.473 0.085  -0.377 0.181  -0.241 0.182  -0.104 0.182  0.032 0.182  0.168 0.182  0.304 0.182  0.441 0.182  0.577 0.182  0.713 0.182  0.849 0.182  0.871 0.067  0.871 -0.069  0.871 -0.205  0.871 -0.342  0.871 -0.478  0.871 -0.614  0.871 -0.750  0.871 -0.887  0.775 -0.983  0.672 -1.065  0.536 -1.065  0.515 -1.180  0.442 -1.243  0.305 -1.243  0.169 -1.243  0.158 -1.117  0.075 -1.065  -0.062 -1.065  -0.198 -1.065
2#app#app18#app1838/T  0.280 0.662  0.280 0.824  0.280 0.657  0.280 0.489  0.280 0.321  0.280 0.154  0.280 -0.014  0.280 -0.181  0.280 -0.349  0.297 -0.509  0.416 -0.628  0.444 -0.783  0.444 -0.951  0.444 -1.118  0.444 -1.286  0.444 -1.453  0.304 -1.481  0.423 -1.481  0.355 -1.365  0.253 -1.232  0.151 -1.099  0.049 -0.966  -0.053 -0.834  -0.155 -0.701  -0.257 -0.568  -0.360 -0.435  -0.462 -0.302  -0.564 -0.170  -0.666 -0.037  -0.768 0.096  -0.870 0.229  -0.973 0.362  -1.075 0.494  -1.177 0.627  -1.080 0.662  -1.039 0.788  -0.910 0.827  -0.742 0.827  -0.575 0.827  -0.407 0.827  -0.239 0.827  -0.072 0.827  0.096 0.827  0.263 0.827  0.431 0.827  0.598 0.827  0.766 0.827  0.933 0.827  1.101 0.827  1.269 0.827
2#app#app18#app1838/M  -0.660 0.083  -0.660 0.324  -0.807 0.334  -0.807 0.093  -0.807 -0.148  -0.807 -0.389  -0.807 -0.630  -0.660 -0.810  -0.660 -1.051  -0.716 -1.236  -0.807 -1.378  -0.807 -1.138  -0.807 -0.897  -0.807 -0.656  -0.807 -0.415  -0.807 -0.174  -0.807 0.066  -0.807 0.307  -0.807 0.548  -0.687 0.669  -0.514 0.601  -0.367 0.507  -0.290 0.298  -0.221 0.086  -0.053 -0.085  0.072 -0.275  0.219 -0.369  0.219 -0.610  0.361 -0.792  0.365 -0.562  0.365 -0.321  0.365 -0.080  0.365 0.161  0.365 0.402  0.365 0.642  0.365 0.883  0.512 0.978  0.512 1.218  0.658 1.313  0.658 1.249  0.658 1.008  0.796 0.824  0.862 0.611  0.951 0.407  1.045 0.188  1.184 -0.004  1.244 -0.220  1.348 -0.357  1.391 -0.555  1.537 -0.650
2#app#app18#app1838/A  -0.654 -1.022  -0.479 -1.022  -0.654 -0.971  -0.731 -0.821  -0.855 -0.718  -0.726 -0.620  -0.654 -0.465  -0.654 -0.238  -0.654 -0.011  -0.654 0.216  -0.614 0.426  -0.453 0.587  -0.453 0.813  -0.453 1.040  -0.376 1.191  -0.252 1.293  -0.123 1.392  -0.050 1.546  0.130 1.593  0.156 1.392  0.352 1.361  0.352 1.134  0.352 0.907  0.352 0.680  0.447 0.492  0.553 0.310  0.553 0.083  0.553 -0.144  0.662 -0.326  0.754 -0.515  0.754 -0.742  0.859 -0.926  0.955 -1.113  0.955 -1.340  0.849 -1.331  0.678 -1.182  0.507 -1.032  0.336 -0.883  0.165 -0.733  -0.005 -0.584  -0.176 -0.434  -0.347 -0.285  -0.518 -0.135  -0.654 0.030  -0.582 0.185  -0.355 0.185  -0.128 0.185  0.099 0.185  0.326 0.185  0.553 0.185
2#app#app18#app1838/T  0.341 0.461  0.341 0.637  0.175 0.647  0.154 0.491  0.154 0.315  0.290 0.274  0.341 0.149  0.341 -0.028  0.341 -0.204  0.341 -0.381  0.341 -0.557  0.341 -0.734  0.341 -0.910  0.288 -1.034  0.154 -1.077  0.154 -1.253  0.154 -1.430  0.167 -1.594  0.340 -1.592  0.251 -1.440  0.162 -1.287  0.073 -1.135  -0.016 -0.982  -0.105 -0.830  -0.193 -0.677  -0.282 -0.525  -0.371 -0.372  -0.460 -0.220  -0.549 -0.068  -0.638 0.085  -0.727 0.237  -0.816 0.390  -0.905 0.542  -1.021 0.647  -1.153 0.692  -1.119 0.834  -0.942 0.834  -0.766 0.834  -0.589 0.834  -0.413 0.834  -0.236 0.834  -0.060 0.834  0.117 0.834  0.293 0.834  0.470 0.834  0.646 0.834  0.823 0.834  0.999 0.834  1.150 0.896  1.275 1.021
2#app#app18#app1838/E  -0.396 0.799  -0.396 0.530  -0.396 0.260  -0.396 -0.009  -0.396 -0.279  -0.396 -0.549  -0.396 -0.818  -0.396 -1.088  -0.350 -1.311  -0.224 -1.189  -0.269 -0.923  -0.313 -0.658  -0.357 -0.392  -0.402 -0.126  -0.446 0.140  -0.490 0.406  -0.535 0.672  -0.579 0.938  -0.564 1.183  -0.324 1.255  -0.104 1.375  0.165 1.375  0.435 1.375  0.704 1.375  0.974 1.375  1.060 1.306  0.858 1.129  0.655 0.951  0.452 0.774  0.249 0.596  0.046 0.418  -0.157 0.241  -0.360 0.063  -0.174 0.032  0.095 0.032  0.365 0.032  0.634 0.032  0.643 -0.065  0.438 -0.240  0.233 -0.416  0.029 -0.591  -0.176 -0.767  -0.381 -0.942  -0.586 -1.118  -0.321 -1.119  -0.052 -1.119  0.218 -1.119  0.454 -1.201  0.678 -1.311  0.947 -1.311
2#app#app18#app1838/E  -0.563 0.769  -0.495 0.769  -0.379 0.721  -0.379 0.421  -0.379 0.121  -0.379 -0.179  -0.379 -0.479  -0.379 -0.779  -0.370 -1.069  -0.229 -0.948  -0.307 -0.658  -0.386 -0.369  -0.465 -0.080  -0.544 0.210  -0.623 0.499  -0.702 0.788  -0.876 0.953  -0.869 1.137  -0.569 1.137  -0.269 1.137  0.018 1.167  0.254 1.321  0.554 1.321  0.854 1.321  0.733 1.146  0.521 0.934  0.309 0.722  0.097 0.510  -0.115 0.298  -0.327 0.086  -0.219 -0.126  -0.113 0.034  0.187 0.034  0.487 0.034  0.787 0.034  1.087 0.034  0.846 -0.130  0.596 -0.296  0.347 -0.463  0.097 -0.629  -0.153 -0.795  -0.402 -0.962  -0.563 -1.175  -0.341 -1.253  -0.041 -1.253  0.259 -1.253  0.559 -1.253  0.859 -1.253  1.091 -1.185  1.275 -1.069
2#app#app18#app1838/X  -0.595 0.721  -0.614 0.902  -0.776 0.863  -0.735 0.680  -0.595 0.538  -0.580 0.343  -0.438 0.202  -0.413 0.011  -0.283 -0.135  -0.174 -0.301  -0.085 -0.480  0.037 -0.636  0.179 -0.778  0.321 -0.919  0.462 -1.061  0.650 -1.091  0.674 -0.914  0.674 -0.714  0.674 -0.513  0.674 -0.313  0.674 -0.113  0.674 0.088  0.674 0.288  0.674 0.489  0.674 0.689  0.674 0.889  0.674 1.090  0.674 1.290  0.628 1.445  0.493 1.381  0.409 1.264  0.311 1.161  0.225 0.997  0.130 0.835  0.045 0.721  -0.051 0.616  -0.051 0.415  -0.152 0.257  -0.232 0.090  -0.308 -0.080  -0.413 -0.236  -0.413 -0.437  -0.453 -0.628  -0.543 -0.807  -0.595 -0.995  -0.595 -1.195  -0.595 -1.396  -0.737 -1.454  -0.776 -1.615  -0.776 -1.454
