1d#tos#t1#t1007061/$  0.978 0.873  0.753 0.924  0.476 0.924  0.214 0.886  -0.057 0.873  -0.316 0.796  -0.534 0.714  -0.774 0.586  -1.016 0.458  -1.095 0.260  -0.933 0.141  -0.680 0.090  -0.462 -0.008  -0.216 -0.112  0.055 -0.150  0.329 -0.172  0.599 -0.216  0.870 -0.239  1.082 -0.326  0.965 -0.527  0.772 -0.682  0.515 -0.785  0.268 -0.889  0.012 -0.941  -0.265 -0.941  -0.472 -0.812  -0.596 -0.676  -0.516 -0.410  -0.437 -0.145  -0.358 0.121  -0.279 0.386  -0.200 0.652  -0.121 0.918  -0.042 1.183  0.037 1.449  0.082 1.598  0.045 1.357  0.045 1.080  0.097 0.812  0.097 0.534  0.097 0.257  0.097 -0.020  0.097 -0.297  0.097 -0.574  0.097 -0.851  0.097 -1.128  0.097 -1.405  0.149 -1.630  0.149 -1.908  0.097 -2.029
1d#tos#t1#t1007061/'  -0.417 1.439  -0.476 1.380  -0.536 1.321  -0.583 1.256  -0.583 1.172  -0.583 1.088  -0.583 1.004  -0.561 0.942  -0.477 0.942  -0.417 0.918  -0.417 0.834  -0.391 0.776  -0.307 0.776  -0.223 0.776  -0.139 0.776  -0.055 0.776  0.029 0.776  0.080 0.743  0.080 0.659  0.105 0.586  0.164 0.526  0.224 0.467  0.246 0.392  0.246 0.308  0.246 0.224  0.246 0.140  0.246 0.056  0.246 -0.028  0.246 -0.112  0.246 -0.196  0.246 -0.280  0.246 -0.364  0.246 -0.448  0.246 -0.531  0.246 -0.615  0.246 -0.699  0.246 -0.783  0.246 -0.867  0.246 -0.951  0.246 -1.035  0.246 -1.119  0.246 -1.203  0.246 -1.287  0.246 -1.371  0.246 -1.455  0.246 -1.539  0.166 -1.544  0.082 -1.544  -0.002 -1.544  -0.086 -1.544
1d#tos#t1#t1007061/(  0.336 1.532  0.276 1.472  0.216 1.412  0.132 1.412  0.095 1.363  0.026 1.343  -0.025 1.279  -0.058 1.215  -0.134 1.177  -0.145 1.099  -0.145 1.015  -0.146 0.931  -0.205 0.905  -0.205 0.821  -0.266 0.796  -0.266 0.711  -0.268 0.628  -0.326 0.567  -0.326 0.482  -0.326 0.398  -0.326 0.313  -0.326 0.228  -0.326 0.143  -0.326 0.059  -0.326 -0.026  -0.326 -0.111  -0.326 -0.195  -0.304 -0.277  -0.277 -0.357  -0.232 -0.426  -0.172 -0.486  -0.112 -0.546  -0.064 -0.614  -0.027 -0.690  0.056 -0.693  0.095 -0.739  0.095 -0.823  0.095 -0.908  0.154 -0.934  0.216 -0.957  0.216 -1.042  0.281 -1.065  0.319 -1.141  0.378 -1.195  0.454 -1.233  0.478 -1.295  0.563 -1.295  0.577 -1.366  0.612 -1.415  0.637 -1.475
1d#tos#t1#t1007061/,  -0.242 1.359  -0.162 1.359  -0.082 1.359  -0.002 1.359  0.079 1.359  0.091 1.292  0.091 1.212  0.091 1.132  0.091 1.051  0.146 1.026  0.226 1.026  0.280 0.983  0.316 0.911  0.352 0.839  0.387 0.767  0.423 0.696  0.425 0.616  0.425 0.536  0.425 0.455  0.425 0.375  0.425 0.295  0.425 0.215  0.425 0.135  0.425 0.054  0.397 -0.017  0.353 -0.084  0.308 -0.151  0.264 -0.218  0.219 -0.284  0.175 -0.351  0.130 -0.418  0.087 -0.485  0.051 -0.557  0.015 -0.629  -0.021 -0.700  -0.057 -0.772  -0.110 -0.827  -0.181 -0.863  -0.253 -0.899  -0.325 -0.934  -0.397 -0.970  -0.456 -1.023  -0.513 -1.080  -0.569 -1.137  -0.626 -1.194  -0.683 -1.250  -0.739 -1.307  -0.796 -1.364  -0.853 -1.420  -0.910 -1.477
1d#tos#t1#t1007061/  -1.193 0.104  -1.247 0.050  -1.301 -0.003  -1.354 -0.057  -1.408 -0.111  -1.414 -0.185  -1.345 -0.191  -1.268 -0.191  -1.266 -0.117  -1.190 -0.117  -1.114 -0.117  -1.038 -0.117  -0.962 -0.117  -0.886 -0.117  -0.810 -0.117  -0.734 -0.117  -0.658 -0.117  -0.584 -0.107  -0.516 -0.073  -0.447 -0.043  -0.371 -0.043  -0.295 -0.043  -0.219 -0.043  -0.143 -0.043  -0.067 -0.043  0.009 -0.043  0.086 -0.043  0.162 -0.043  0.238 -0.043  0.304 -0.021  0.359 0.030  0.435 0.033  0.503 0.067  0.571 0.101  0.646 0.104  0.722 0.104  0.798 0.104  0.874 0.104  0.950 0.104  1.026 0.104  1.102 0.104  1.179 0.104  1.255 0.104  1.331 0.104  1.401 0.117  1.455 0.171  1.528 0.178  1.604 0.178  1.680 0.178  1.609 0.178
1d#tos#t1#t1007061/  0.782 1.541  0.727 1.486  0.672 1.431  0.617 1.376  0.596 1.307  0.595 1.230  0.540 1.175  0.485 1.120  0.471 1.047  0.466 0.971  0.431 0.901  0.409 0.829  0.409 0.751  0.409 0.673  0.397 0.603  0.327 0.568  0.263 0.526  0.208 0.471  0.161 0.412  0.161 0.335  0.161 0.257  0.113 0.205  0.048 0.162  -0.016 0.119  -0.025 0.045  -0.032 -0.031  -0.056 -0.105  -0.081 -0.179  -0.128 -0.239  -0.183 -0.294  -0.245 -0.339  -0.315 -0.374  -0.336 -0.438  -0.336 -0.516  -0.336 -0.594  -0.375 -0.633  -0.398 -0.687  -0.398 -0.765  -0.398 -0.843  -0.411 -0.919  -0.435 -0.993  -0.460 -1.066  -0.475 -1.130  -0.522 -1.160  -0.522 -1.237  -0.522 -1.315  -0.537 -1.378  -0.615 -1.378  -0.646 -1.424  -0.646 -1.502
1d#tos#t1#t1007061/:  -0.167 1.585  -0.220 1.533  -0.254 1.472  -0.254 1.398  -0.252 1.326  -0.178 1.326  -0.167 1.261  -0.131 1.202  -0.077 1.152  -0.003 1.152  0.009 1.086  0.012 1.012  0.015 0.938  0.018 0.863  0.021 0.789  0.024 0.715  0.027 0.640  0.030 0.566  0.033 0.492  0.036 0.417  0.040 0.343  0.043 0.269  0.046 0.194  0.049 0.120  0.052 0.046  0.055 -0.029  0.058 -0.103  0.061 -0.177  0.064 -0.252  0.067 -0.326  0.071 -0.400  0.074 -0.475  0.077 -0.549  0.080 -0.623  0.083 -0.698  0.086 -0.772  0.089 -0.846  0.092 -0.921  0.092 -0.995  0.092 -1.070  0.061 -1.131  0.009 -1.184  -0.044 -1.236  -0.081 -1.295  -0.081 -1.370  -0.081 -1.444  -0.008 -1.446  0.048 -1.489  0.105 -1.533  0.179 -1.533
1d#tos#t1#t1007061/;  -0.531 1.319  -0.477 1.373  -0.407 1.389  -0.348 1.348  -0.283 1.319  -0.206 1.319  -0.130 1.319  -0.053 1.319  -0.037 1.259  -0.031 1.183  -0.024 1.107  -0.018 1.030  -0.011 0.954  -0.004 0.878  0.002 0.802  0.009 0.725  0.016 0.649  0.022 0.573  0.029 0.497  0.035 0.420  0.042 0.344  0.049 0.268  0.055 0.192  0.062 0.115  0.069 0.039  0.075 -0.037  0.082 -0.113  0.089 -0.190  0.095 -0.266  0.102 -0.342  0.105 -0.419  0.105 -0.495  0.160 -0.517  0.175 -0.578  0.175 -0.654  0.175 -0.731  0.175 -0.807  0.175 -0.884  0.175 -0.960  0.175 -1.037  0.175 -1.113  0.175 -1.190  0.131 -1.222  0.077 -1.264  0.035 -1.328  -0.008 -1.391  -0.050 -1.455  -0.093 -1.519  -0.135 -1.582  -0.178 -1.646
1d#tos#t1#t1007061/<  0.246 1.314  0.246 1.417  0.235 1.379  0.181 1.330  0.165 1.234  0.093 1.161  0.020 1.089  -0.052 1.016  -0.138 0.961  -0.225 0.909  -0.304 0.846  -0.396 0.800  -0.432 0.722  -0.529 0.690  -0.594 0.635  -0.662 0.597  -0.708 0.506  -0.788 0.471  -0.747 0.410  -0.644 0.410  -0.594 0.357  -0.569 0.280  -0.530 0.217  -0.465 0.141  -0.465 0.038  -0.445 -0.050  -0.347 -0.082  -0.249 -0.107  -0.164 -0.150  -0.142 -0.244  -0.099 -0.315  -0.002 -0.348  0.052 -0.412  0.052 -0.514  0.106 -0.578  0.204 -0.610  0.246 -0.682  0.246 -0.785  0.308 -0.849  0.394 -0.902  0.467 -0.975  0.549 -1.034  0.634 -1.085  0.679 -1.141  0.763 -1.161  0.763 -1.263  0.841 -1.298  0.887 -1.390  0.957 -1.426  0.957 -1.529
1d#tos#t1#t1007061/[  0.468 1.369  0.401 1.316  0.311 1.316  0.222 1.316  0.133 1.316  0.043 1.316  -0.005 1.275  -0.083 1.264  -0.172 1.264  -0.262 1.264  -0.268 1.181  -0.268 1.091  -0.268 1.002  -0.268 0.913  -0.268 0.823  -0.268 0.734  -0.240 0.656  -0.216 0.577  -0.216 0.488  -0.216 0.398  -0.216 0.309  -0.216 0.220  -0.216 0.130  -0.216 0.041  -0.216 -0.048  -0.216 -0.138  -0.216 -0.227  -0.216 -0.317  -0.216 -0.406  -0.216 -0.495  -0.163 -0.532  -0.163 -0.621  -0.163 -0.711  -0.163 -0.800  -0.163 -0.889  -0.163 -0.979  -0.110 -1.016  -0.110 -1.105  -0.072 -1.156  -0.005 -1.103  0.085 -1.103  0.174 -1.103  0.264 -1.103  0.353 -1.103  0.442 -1.103  0.532 -1.103  0.621 -1.103  0.710 -1.103  0.800 -1.103  0.889 -1.103
1d#tos#t1#t1007061/]  -0.981 1.132  -0.893 1.132  -0.804 1.132  -0.717 1.123  -0.638 1.084  -0.550 1.082  -0.461 1.082  -0.373 1.082  -0.284 1.082  -0.196 1.082  -0.107 1.082  -0.018 1.082  0.070 1.082  0.154 1.078  0.154 0.989  0.154 0.900  0.154 0.812  0.154 0.723  0.154 0.635  0.154 0.546  0.154 0.458  0.154 0.369  0.154 0.280  0.154 0.192  0.154 0.103  0.154 0.015  0.164 -0.072  0.203 -0.151  0.204 -0.239  0.204 -0.328  0.212 -0.415  0.251 -0.494  0.253 -0.582  0.277 -0.667  0.302 -0.751  0.302 -0.840  0.302 -0.929  0.302 -1.017  0.318 -1.090  0.352 -1.145  0.383 -1.220  0.337 -1.238  0.249 -1.238  0.160 -1.238  0.071 -1.238  -0.010 -1.270  -0.094 -1.287  -0.183 -1.287  -0.271 -1.287  -0.339 -1.337
1d#tos#t1#t1007061/^  -1.435 -0.442  -1.535 -0.442  -1.556 -0.442  -1.457 -0.442  -1.380 -0.387  -1.290 -0.362  -1.195 -0.358  -1.171 -0.282  -1.071 -0.282  -0.990 -0.237  -0.905 -0.202  -0.825 -0.153  -0.795 -0.066  -0.721 -0.023  -0.624 0.001  -0.528 0.025  -0.474 0.083  -0.445 0.176  -0.401 0.265  -0.318 0.316  -0.234 0.364  -0.209 0.439  -0.154 0.483  -0.090 0.519  0.006 0.523  0.006 0.622  0.037 0.649  0.116 0.599  0.201 0.564  0.272 0.494  0.327 0.417  0.369 0.359  0.468 0.359  0.568 0.358  0.638 0.288  0.709 0.217  0.760 0.133  0.805 0.043  0.894 0.026  0.938 -0.063  0.968 -0.156  1.019 -0.219  1.113 -0.251  1.208 -0.282  1.253 -0.371  1.306 -0.451  1.396 -0.496  1.448 -0.563  1.448 -0.663  1.528 -0.683
