1b#lou#lou0#jl_vo_c/M  -1.023 -1.681  -1.023 -1.532  -0.943 -1.416  -0.871 -1.286  -0.805 -1.152  -0.741 -1.018  -0.712 -0.871  -0.683 -0.725  -0.654 -0.579  -0.618 -0.434  -0.582 -0.289  -0.558 -0.143  -0.555 0.006  -0.518 0.151  -0.482 0.295  -0.429 0.434  -0.373 0.570  -0.373 0.719  -0.373 0.868  -0.373 1.018  -0.373 1.042  -0.344 0.896  -0.308 0.751  -0.269 0.607  -0.222 0.466  -0.148 0.361  0.001 0.361  0.151 0.361  0.266 0.443  0.351 0.565  0.434 0.689  0.494 0.825  0.541 0.967  0.556 1.095  0.556 0.946  0.556 0.797  0.556 0.648  0.601 0.506  0.648 0.364  0.669 0.216  0.690 0.069  0.712 -0.079  0.733 -0.227  0.741 -0.375  0.757 -0.522  0.805 -0.663  0.834 -0.808  0.847 -0.952  0.927 -1.068  0.927 -1.217
1b#lou#lou0#jl_vo_c/V  -0.710 1.553  -0.710 1.426  -0.682 1.305  -0.637 1.186  -0.593 1.068  -0.549 0.949  -0.504 0.831  -0.460 0.712  -0.450 0.587  -0.450 0.461  -0.450 0.334  -0.441 0.208  -0.416 0.084  -0.391 -0.040  -0.367 -0.164  -0.337 -0.287  -0.306 -0.410  -0.277 -0.533  -0.277 -0.660  -0.277 -0.786  -0.277 -0.913  -0.277 -1.039  -0.277 -1.166  -0.224 -1.271  -0.191 -1.383  -0.168 -1.454  -0.078 -1.365  0.001 -1.268  0.058 -1.154  0.114 -1.041  0.162 -0.925  0.187 -0.801  0.212 -0.677  0.237 -0.553  0.277 -0.433  0.321 -0.314  0.366 -0.196  0.410 -0.077  0.455 0.041  0.499 0.160  0.535 0.281  0.569 0.403  0.604 0.525  0.639 0.646  0.674 0.768  0.761 0.859  0.826 0.968  0.891 1.076  0.956 1.185  1.022 1.293
1b#lou#lou0#jl_vo_c/Y  -0.670 1.203  -0.670 1.202  -0.670 1.054  -0.651 0.909  -0.615 0.766  -0.585 0.622  -0.561 0.476  -0.536 0.331  -0.493 0.192  -0.431 0.058  -0.376 -0.079  -0.321 -0.216  -0.232 -0.330  -0.120 -0.267  -0.045 -0.140  0.031 -0.014  0.089 0.121  0.139 0.259  0.235 0.370  0.317 0.492  0.399 0.615  0.480 0.738  0.562 0.861  0.644 0.983  0.710 1.115  0.848 1.130  0.778 1.031  0.712 0.900  0.646 0.768  0.610 0.625  0.574 0.482  0.512 0.348  0.449 0.215  0.385 0.082  0.322 -0.051  0.259 -0.184  0.195 -0.318  0.132 -0.451  0.068 -0.584  0.005 -0.717  -0.058 -0.850  -0.122 -0.983  -0.186 -1.116  -0.252 -1.248  -0.313 -1.382  -0.353 -1.523  -0.394 -1.665  -0.434 -1.807  -0.490 -1.943  -0.524 -2.082
1b#lou#lou0#jl_vo_c/D  -0.231 1.685  -0.231 1.477  -0.231 1.268  -0.231 1.060  -0.239 0.851  -0.255 0.643  -0.271 0.435  -0.287 0.227  -0.303 0.019  -0.319 -0.189  -0.372 -0.389  -0.415 -0.591  -0.415 -0.800  -0.415 -1.008  -0.451 -1.213  -0.501 -1.415  -0.486 -1.252  -0.462 -1.045  -0.438 -0.837  -0.414 -0.630  -0.390 -0.423  -0.366 -0.216  -0.342 -0.008  -0.318 0.199  -0.294 0.406  -0.270 0.613  -0.246 0.821  -0.197 1.020  -0.082 1.192  0.074 1.318  0.275 1.272  0.452 1.176  0.582 1.013  0.713 0.850  0.811 0.670  0.876 0.471  0.926 0.269  0.957 0.065  0.936 -0.143  0.915 -0.350  0.894 -0.558  0.873 -0.765  0.734 -0.908  0.542 -0.972  0.334 -0.952  0.127 -0.931  -0.081 -0.910  -0.288 -0.889  -0.488 -0.831  -0.691 -0.794
1b#lou#lou0#jl_vo_c/H  -0.239 1.561  -0.239 1.367  -0.239 1.173  -0.255 0.982  -0.302 0.794  -0.349 0.606  -0.396 0.417  -0.411 0.226  -0.411 0.032  -0.459 -0.155  -0.512 -0.342  -0.565 -0.528  -0.614 -0.716  -0.661 -0.904  -0.708 -1.092  -0.755 -1.280  -0.817 -1.099  -0.842 -0.910  -0.842 -0.716  -0.842 -0.522  -0.786 -0.337  -0.696 -0.168  -0.580 -0.013  -0.458 0.137  -0.296 0.240  -0.109 0.269  0.084 0.269  0.278 0.269  0.439 0.377  0.571 0.511  0.622 0.692  0.622 0.886  0.622 1.080  0.663 1.257  0.708 1.173  0.708 0.980  0.701 0.786  0.683 0.593  0.666 0.400  0.648 0.207  0.630 0.014  0.613 -0.179  0.595 -0.372  0.578 -0.565  0.560 -0.758  0.543 -0.951  0.498 -1.138  0.450 -1.324  0.450 -1.518  0.450 -1.712
1b#lou#lou0#jl_vo_c/A  -1.010 -1.272  -0.918 -1.087  -0.843 -0.912  -0.776 -0.721  -0.726 -0.521  -0.676 -0.321  -0.627 -0.121  -0.550 0.070  -0.474 0.262  -0.410 0.457  -0.360 0.657  -0.302 0.854  -0.234 1.049  -0.142 1.233  -0.050 1.418  -0.036 1.610  0.059 1.682  0.151 1.498  0.243 1.314  0.335 1.129  0.427 0.945  0.470 0.744  0.510 0.542  0.544 0.338  0.573 0.134  0.602 -0.070  0.637 -0.272  0.687 -0.472  0.737 -0.672  0.787 -0.872  0.856 -1.065  0.911 -1.258  0.833 -1.311  0.666 -1.191  0.499 -1.070  0.332 -0.949  0.165 -0.829  -0.002 -0.708  -0.169 -0.587  -0.336 -0.467  -0.503 -0.346  -0.671 -0.225  -0.801 -0.102  -0.635 0.014  -0.446 0.096  -0.256 0.177  -0.067 0.258  0.137 0.265  0.332 0.312  0.527 0.362
1b#lou#lou0#jl_vo_c/G  0.723 0.941  0.780 1.071  0.848 1.179  0.716 1.231  0.563 1.231  0.413 1.220  0.276 1.151  0.139 1.083  0.002 1.015  -0.135 0.946  -0.272 0.878  -0.409 0.809  -0.545 0.741  -0.660 0.642  -0.769 0.534  -0.877 0.426  -0.969 0.306  -1.012 0.163  -1.012 0.010  -1.002 -0.142  -0.981 -0.294  -0.959 -0.445  -0.930 -0.594  -0.852 -0.725  -0.773 -0.856  -0.673 -0.964  -0.531 -1.015  -0.379 -1.028  -0.226 -1.041  -0.074 -1.054  0.079 -1.066  0.231 -1.079  0.374 -1.042  0.506 -0.964  0.633 -0.879  0.710 -0.750  0.744 -0.601  0.769 -0.451  0.794 -0.300  0.868 -0.177  0.902 -0.038  0.915 0.073  0.762 0.073  0.610 0.062  0.463 0.020  0.316 -0.022  0.169 -0.064  0.017 -0.071  -0.136 -0.071  -0.144 -0.071
1b#lou#lou0#jl_vo_c/B  -0.445 1.210  -0.445 0.988  -0.445 0.766  -0.445 0.544  -0.445 0.321  -0.445 0.099  -0.445 -0.123  -0.445 -0.345  -0.445 -0.568  -0.466 -0.787  -0.520 -1.003  -0.532 -1.223  -0.523 -1.004  -0.514 -0.782  -0.505 -0.560  -0.495 -0.338  -0.486 -0.116  -0.477 0.106  -0.468 0.328  -0.458 0.550  -0.449 0.772  -0.532 0.958  -0.404 1.101  -0.205 1.200  -0.006 1.297  0.216 1.297  0.305 1.201  0.207 1.015  0.013 0.907  -0.172 0.784  0.016 0.737  0.222 0.655  0.415 0.545  0.608 0.434  0.788 0.312  0.899 0.119  1.009 -0.074  1.119 -0.267  1.190 -0.478  1.207 -0.697  1.139 -0.908  1.046 -1.070  0.830 -1.123  0.610 -1.138  0.388 -1.138  0.168 -1.117  -0.047 -1.064  -0.218 -0.930  -0.375 -0.773  -0.532 -0.616
1b#lou#lou0#jl_vo_c/X  1.110 1.449  0.994 1.317  0.915 1.159  0.836 1.001  0.757 0.843  0.664 0.695  0.551 0.559  0.438 0.423  0.325 0.287  0.212 0.151  0.114 0.004  0.016 -0.142  -0.099 -0.277  -0.214 -0.411  -0.329 -0.545  -0.444 -0.679  -0.559 -0.813  -0.682 -0.940  -0.807 -1.065  -0.931 -1.190  -0.980 -1.134  -0.946 -0.961  -0.911 -0.788  -0.876 -0.614  -0.842 -0.441  -0.807 -0.268  -0.772 -0.095  -0.738 0.078  -0.703 0.252  -0.668 0.425  -0.634 0.598  -0.599 0.771  -0.516 0.919  -0.391 1.044  -0.254 0.990  -0.170 0.836  -0.045 0.711  0.080 0.586  0.205 0.462  0.287 0.306  0.366 0.148  0.445 -0.010  0.524 -0.168  0.603 -0.326  0.682 -0.484  0.773 -0.635  0.871 -0.782  0.969 -0.929  1.067 -1.076  1.110 -1.240
1b#lou#lou0#jl_vo_c/O  -0.021 0.771  -0.021 0.908  -0.151 0.915  -0.263 0.842  -0.373 0.760  -0.476 0.672  -0.564 0.566  -0.652 0.461  -0.739 0.356  -0.823 0.248  -0.885 0.126  -0.946 0.003  -0.959 -0.131  -0.959 -0.268  -0.959 -0.404  -0.942 -0.540  -0.915 -0.674  -0.888 -0.808  -0.784 -0.894  -0.674 -0.976  -0.558 -1.046  -0.428 -1.089  -0.296 -1.088  -0.161 -1.061  -0.027 -1.034  0.107 -1.007  0.241 -0.980  0.370 -0.940  0.484 -0.864  0.586 -0.775  0.665 -0.664  0.745 -0.552  0.824 -0.441  0.904 -0.329  0.917 -0.197  0.917 -0.060  0.917 0.077  0.917 0.214  0.917 0.351  0.914 0.487  0.846 0.606  0.778 0.725  0.710 0.844  0.642 0.963  0.519 0.987  0.382 0.987  0.246 0.987  0.109 0.987  -0.028 0.987  -0.165 0.987
1b#lou#lou0#jl_vo_c/K  -0.357 1.441  -0.374 1.248  -0.409 1.055  -0.444 0.863  -0.479 0.671  -0.514 0.479  -0.549 0.287  -0.586 0.095  -0.624 -0.097  -0.663 -0.288  -0.701 -0.480  -0.739 -0.671  -0.756 -0.865  -0.756 -1.060  -0.756 -1.256  -0.688 -1.423  -0.642 -1.307  -0.587 -1.119  -0.532 -0.932  -0.477 -0.744  -0.422 -0.557  -0.366 -0.370  -0.311 -0.182  -0.256 0.005  -0.201 0.193  -0.129 0.370  0.009 0.508  0.165 0.624  0.328 0.732  0.490 0.841  0.651 0.951  0.742 1.109  0.805 1.242  0.743 1.118  0.621 0.965  0.499 0.813  0.377 0.660  0.255 0.508  0.133 0.355  0.089 0.220  0.255 0.124  0.364 -0.039  0.470 -0.203  0.571 -0.370  0.671 -0.538  0.778 -0.701  0.900 -0.854  1.022 -1.006  1.141 -1.160  1.241 -1.255
