2#app#app13#app1316/o  0.025 0.838  -0.117 0.838  -0.258 0.838  -0.304 0.742  -0.377 0.673  -0.504 0.638  -0.604 0.538  -0.633 0.408  -0.633 0.266  -0.672 0.141  -0.772 0.041  -0.797 -0.091  -0.797 -0.232  -0.840 -0.356  -0.940 -0.456  -0.962 -0.589  -0.962 -0.731  -0.896 -0.807  -0.797 -0.850  -0.783 -0.985  -0.683 -1.085  -0.562 -1.135  -0.420 -1.135  -0.281 -1.124  -0.154 -1.061  -0.028 -0.997  0.083 -0.913  0.184 -0.812  0.284 -0.712  0.384 -0.612  0.484 -0.512  0.611 -0.478  0.683 -0.407  0.716 -0.280  0.817 -0.179  0.847 -0.050  0.901 0.069  1.001 0.169  1.012 0.306  1.012 0.448  1.012 0.590  0.971 0.714  0.871 0.815  0.770 0.915  0.665 1.002  0.523 1.002  0.422 1.099  0.308 1.167  0.167 1.167  0.025 1.167
2#app#app13#app1316/r  -0.536 -0.180  -0.536 -0.286  -0.536 -0.393  -0.536 -0.499  -0.536 -0.606  -0.536 -0.713  -0.536 -0.819  -0.536 -0.926  -0.536 -1.032  -0.536 -1.139  -0.536 -1.246  -0.536 -1.343  -0.536 -1.236  -0.485 -1.181  -0.378 -1.181  -0.369 -1.083  -0.369 -0.977  -0.369 -0.870  -0.310 -0.788  -0.235 -0.713  -0.202 -0.619  -0.202 -0.513  -0.127 -0.438  -0.051 -0.362  -0.035 -0.262  -0.035 -0.156  -0.035 -0.049  -0.035 0.058  -0.031 0.163  0.017 0.259  0.064 0.354  0.112 0.449  0.131 0.551  0.134 0.657  0.209 0.732  0.284 0.808  0.298 0.908  0.317 1.007  0.393 1.083  0.465 1.159  0.465 1.266  0.516 1.322  0.622 1.322  0.700 1.253  0.776 1.178  0.873 1.155  0.965 1.141  0.965 1.035  0.965 0.928  0.965 0.821
2#app#app13#app1316/*  -0.889 0.975  -0.829 0.718  -0.632 0.598  -0.632 0.280  -0.462 0.032  -0.374 -0.249  -0.120 -0.313  0.106 -0.535  0.148 -0.835  0.373 -1.060  0.422 -1.344  0.740 -1.344  0.915 -1.202  0.890 -0.885  0.850 -0.570  0.811 -0.255  0.772 0.061  0.732 0.376  0.693 0.691  0.657 0.944  0.592 0.653  0.399 0.415  0.325 0.128  0.101 -0.097  -0.124 -0.321  -0.349 -0.546  -0.574 -0.771  -0.632 -1.065  -0.371 -1.048  -0.344 -0.732  -0.318 -0.415  -0.291 -0.098  -0.265 0.218  -0.239 0.535  -0.212 0.852  -0.186 1.169  -0.159 1.485  -0.133 1.802  -0.116 1.894  -0.116 1.576  -0.116 1.258  -0.116 0.940  -0.116 0.623  -0.116 0.305  -0.116 -0.013  -0.116 -0.331  -0.116 -0.649  -0.116 -0.966  -0.116 -1.284  -0.116 -1.602
2#app#app13#app1316/Z  -0.810 1.252  -0.964 1.252  -1.006 1.139  -0.934 1.056  -0.780 1.056  -0.626 1.056  -0.471 1.056  -0.317 1.056  -0.163 1.056  -0.009 1.056  0.145 1.056  0.260 0.963  0.373 0.861  0.527 0.861  0.681 0.861  0.753 0.779  0.753 0.625  0.753 0.471  0.753 0.317  0.641 0.275  0.558 0.204  0.528 0.079  0.374 0.079  0.362 -0.063  0.261 -0.116  0.106 -0.116  -0.029 -0.135  -0.029 -0.289  -0.161 -0.311  -0.288 -0.376  -0.397 -0.485  -0.542 -0.507  -0.672 -0.564  -0.781 -0.673  -0.810 -0.816  -0.738 -0.898  -0.584 -0.898  -0.430 -0.898  -0.419 -1.041  -0.317 -1.093  -0.163 -1.093  -0.014 -1.079  0.095 -0.970  0.219 -0.898  0.373 -0.898  0.527 -0.898  0.681 -0.898  0.835 -0.898  0.948 -0.856  0.948 -0.702
2#app#app13#app1316/A  -0.750 0.891  -0.750 0.622  -0.750 0.353  -0.810 0.098  -0.930 -0.142  -0.974 -0.400  -0.974 -0.669  -0.974 -0.938  -0.974 -1.207  -0.974 -1.226  -0.855 -1.007  -0.750 -0.782  -0.633 -0.561  -0.526 -0.337  -0.475 -0.077  -0.390 0.178  -0.305 0.433  -0.078 0.478  -0.021 0.723  0.146 0.922  0.200 1.169  0.371 1.367  0.443 1.563  0.595 1.446  0.709 1.224  0.819 1.001  0.819 0.732  0.819 0.464  0.819 0.195  0.788 -0.067  0.668 -0.307  0.595 -0.559  0.595 -0.827  0.595 -1.096  0.609 -1.351  0.819 -1.292  0.752 -1.048  0.577 -0.844  0.402 -0.640  0.227 -0.436  0.052 -0.232  -0.123 -0.028  -0.298 0.176  -0.473 0.380  -0.394 0.310  -0.163 0.218  0.105 0.218  0.374 0.218  0.629 0.252  0.819 0.442
2#app#app13#app1316/P  -0.829 0.602  -0.706 0.479  -0.601 0.348  -0.601 0.174  -0.601 -0.000  -0.601 -0.174  -0.601 -0.348  -0.601 -0.523  -0.601 -0.697  -0.601 -0.871  -0.601 -1.045  -0.601 -1.219  -0.601 -1.393  -0.601 -1.567  -0.582 -1.617  -0.531 -1.450  -0.480 -1.284  -0.428 -1.117  -0.377 -0.951  -0.326 -0.784  -0.275 -0.618  -0.224 -0.452  -0.172 -0.285  -0.121 -0.119  -0.070 0.048  -0.019 0.214  0.032 0.381  0.084 0.547  0.135 0.713  0.186 0.880  0.237 1.046  0.288 1.213  0.409 1.286  0.583 1.286  0.757 1.286  0.767 1.122  0.877 1.058  0.995 1.001  0.995 0.827  0.995 0.653  0.995 0.479  0.926 0.374  0.767 0.359  0.767 0.185  0.631 0.146  0.481 0.088  0.358 -0.035  0.203 -0.082  0.029 -0.082  -0.145 -0.082
2#app#app13#app1316/*  -1.063 1.134  -1.008 0.821  -0.770 0.583  -0.527 0.359  -0.288 0.263  -0.114 0.100  -0.029 -0.151  0.229 -0.228  0.377 -0.416  0.487 -0.642  0.746 -0.719  0.868 -0.933  0.982 -0.734  0.945 -0.400  0.908 -0.066  0.871 0.267  0.833 0.601  0.796 0.935  0.759 1.269  0.596 1.242  0.487 0.951  0.486 0.616  0.249 0.378  0.194 0.065  -0.029 -0.178  -0.099 -0.485  -0.336 -0.723  -0.546 -0.972  -0.628 -1.274  -0.804 -1.537  -0.767 -1.547  -0.692 -1.220  -0.616 -0.893  -0.541 -0.565  -0.465 -0.238  -0.390 0.089  -0.314 0.416  -0.239 0.744  -0.163 1.071  -0.088 1.398  -0.029 1.573  -0.029 1.238  -0.029 0.902  -0.029 0.566  -0.029 0.230  -0.029 -0.106  -0.029 -0.442  -0.029 -0.778  -0.029 -1.114  -0.029 -1.449
2#app#app13#app1316/,  -0.135 1.626  -0.083 1.574  -0.031 1.523  0.021 1.471  0.072 1.419  0.124 1.367  0.173 1.314  0.173 1.241  0.173 1.168  0.173 1.095  0.173 1.022  0.173 0.949  0.173 0.875  0.173 0.802  0.173 0.729  0.173 0.656  0.173 0.583  0.173 0.510  0.173 0.436  0.173 0.363  0.173 0.290  0.173 0.217  0.173 0.144  0.166 0.072  0.133 0.007  0.100 -0.059  0.067 -0.124  0.035 -0.190  0.002 -0.255  -0.031 -0.320  -0.063 -0.386  -0.096 -0.451  -0.129 -0.517  -0.135 -0.589  -0.135 -0.662  -0.135 -0.735  -0.135 -0.808  -0.135 -0.881  -0.135 -0.954  -0.135 -1.028  -0.135 -1.101  -0.135 -1.174  -0.135 -1.247  -0.135 -1.320  -0.135 -1.394  -0.150 -1.452  -0.223 -1.452  -0.296 -1.452  -0.369 -1.452  -0.442 -1.452
2#app#app13#app1316/*  -0.813 0.792  -0.751 0.503  -0.528 0.281  -0.360 0.035  -0.243 -0.231  0.026 -0.342  0.108 -0.583  0.321 -0.810  0.321 -1.125  0.511 -1.249  0.548 -1.528  0.548 -1.563  0.548 -1.248  0.548 -0.933  0.548 -0.618  0.548 -0.303  0.548 0.012  0.548 0.326  0.548 0.641  0.548 0.628  0.522 0.339  0.321 0.225  0.321 -0.090  0.116 -0.320  -0.107 -0.542  -0.360 -0.620  -0.499 -0.796  -0.587 -1.023  -0.575 -1.161  -0.533 -0.849  -0.492 -0.537  -0.450 -0.225  -0.408 0.087  -0.367 0.399  -0.325 0.712  -0.283 1.024  -0.242 1.336  -0.200 1.648  -0.159 1.960  -0.133 2.033  -0.133 1.718  -0.133 1.403  -0.021 1.135  0.094 0.867  0.094 0.552  0.094 0.237  0.094 -0.078  0.094 -0.392  0.094 -0.707  0.094 -1.022
2#app#app13#app1316/K  -0.379 1.550  -0.404 1.350  -0.580 1.300  -0.580 1.075  -0.580 0.849  -0.580 0.624  -0.580 0.399  -0.580 0.173  -0.580 -0.052  -0.737 -0.212  -0.780 -0.420  -0.780 -0.645  -0.780 -0.871  -0.819 -1.058  -0.981 -0.995  -0.893 -0.857  -0.710 -0.769  -0.569 -0.593  -0.429 -0.417  -0.288 -0.241  -0.147 -0.065  -0.006 0.111  0.135 0.287  0.275 0.463  0.416 0.639  0.557 0.815  0.698 0.991  0.825 1.126  0.777 0.948  0.624 0.876  0.527 0.748  0.302 0.748  0.223 0.601  0.051 0.547  0.022 0.351  0.002 0.146  -0.179 0.101  -0.179 -0.124  -0.179 -0.350  -0.059 -0.456  0.022 -0.600  0.191 -0.657  0.416 -0.657  0.441 -0.857  0.654 -0.887  0.813 -1.046  1.034 -1.058  1.259 -1.058  1.468 -1.016  1.627 -0.857
2#app#app13#app1316/A  -0.600 0.316  -0.600 0.058  -0.600 -0.201  -0.600 -0.459  -0.600 -0.718  -0.600 -0.976  -0.731 -1.104  -0.803 -1.290  -0.764 -1.104  -0.600 -1.009  -0.600 -0.750  -0.455 -0.552  -0.397 -0.317  -0.293 -0.084  -0.195 0.151  -0.195 0.410  -0.089 0.625  0.062 0.830  0.178 1.061  0.211 1.312  0.381 1.500  0.420 1.742  0.603 1.925  0.617 1.700  0.617 1.442  0.617 1.183  0.473 0.984  0.414 0.750  0.414 0.492  0.414 0.234  0.414 -0.025  0.414 -0.283  0.381 -0.528  0.211 -0.716  0.211 -0.975  0.211 -1.233  0.211 -1.491  0.249 -1.306  0.414 -1.213  0.414 -0.955  0.312 -0.723  0.184 -0.499  0.056 -0.274  -0.072 -0.050  -0.201 0.174  -0.329 0.399  -0.277 0.519  -0.070 0.395  0.155 0.316  0.414 0.316
