1b#tos#t1#t1053065/A  -1.337 -1.146  -1.392 -1.311  -1.260 -1.179  -1.109 -1.021  -1.010 -0.824  -0.878 -0.650  -0.742 -0.507  -0.643 -0.310  -0.498 -0.166  -0.438 0.045  -0.398 0.256  -0.244 0.393  -0.178 0.598  -0.067 0.772  0.073 0.884  0.187 1.029  0.269 1.230  0.476 1.283  0.628 1.371  0.761 1.284  0.816 1.120  0.868 0.908  0.871 0.689  0.871 0.469  0.871 0.249  0.871 0.029  0.871 -0.191  0.871 -0.411  0.871 -0.631  0.927 -0.828  0.916 -1.029  0.732 -0.908  0.548 -0.787  0.364 -0.667  0.181 -0.546  -0.003 -0.425  -0.187 -0.305  -0.371 -0.184  -0.555 -0.063  -0.739 0.057  -0.939 0.124  -0.931 0.014  -0.711 0.014  -0.537 0.124  -0.317 0.124  -0.104 0.167  0.114 0.179  0.327 0.210  0.541 0.234  0.761 0.234
1b#tos#t1#t1053065/B  0.170 1.368  0.107 1.144  0.043 0.882  -0.111 0.651  -0.202 0.378  -0.403 0.194  -0.430 -0.087  -0.612 -0.306  -0.672 -0.572  -0.820 -0.818  -0.849 -1.098  -0.903 -1.219  -0.797 -0.952  -0.692 -0.684  -0.586 -0.416  -0.480 -0.148  -0.374 0.120  -0.269 0.387  -0.163 0.655  -0.057 0.923  0.028 1.177  0.091 1.177  0.379 1.177  0.667 1.177  0.935 1.157  1.145 1.030  1.253 0.825  1.119 0.591  0.918 0.423  0.683 0.265  0.481 0.094  0.193 0.094  -0.095 0.094  -0.383 0.094  -0.143 0.129  0.138 0.158  0.426 0.158  0.680 0.124  0.743 -0.138  0.807 -0.399  0.741 -0.670  0.616 -0.833  0.451 -1.007  0.192 -1.095  -0.073 -1.180  -0.360 -1.180  -0.648 -1.180  -0.866 -1.099  -0.912 -0.831  -1.103 -0.734
1b#tos#t1#t1053065/E  -0.756 1.081  -0.833 0.863  -0.769 0.822  -0.527 0.822  -0.298 0.874  -0.056 0.874  0.123 1.028  0.355 1.089  0.574 1.169  0.579 1.172  0.342 1.122  0.105 1.073  -0.132 1.024  -0.369 0.974  -0.606 0.926  -0.612 0.771  -0.601 0.540  -0.552 0.310  -0.549 0.069  -0.549 -0.173  -0.549 -0.415  -0.601 -0.636  -0.601 -0.878  -0.652 -1.099  -0.652 -1.341  -0.474 -1.404  -0.232 -1.404  -0.032 -1.301  0.195 -1.253  0.402 -1.144  0.610 -1.037  0.846 -0.990  1.024 -0.886  1.197 -0.764  1.114 -0.654  0.899 -0.543  0.684 -0.432  0.468 -0.321  0.253 -0.210  0.038 -0.099  -0.177 0.012  -0.398 0.098  -0.497 -0.045  -0.319 -0.110  -0.077 -0.110  0.101 -0.006  0.324 0.039  0.520 0.149  0.762 0.149  0.953 0.201
1b#tos#t1#t1053065/F  -0.869 0.660  -1.010 0.561  -0.894 0.503  -0.694 0.503  -0.512 0.548  -0.357 0.660  -0.157 0.660  -0.057 0.824  0.115 0.869  0.274 0.969  0.465 1.025  0.609 1.130  0.773 1.220  0.734 1.338  0.690 1.179  0.502 1.109  0.314 1.039  0.127 0.968  -0.061 0.898  -0.222 0.786  -0.243 0.594  -0.243 0.393  -0.243 0.193  -0.243 -0.008  -0.243 -0.208  -0.243 -0.409  -0.249 -0.609  -0.296 -0.802  -0.296 -1.002  -0.348 -1.194  -0.348 -1.395  -0.400 -1.543  -0.400 -1.632  -0.400 -1.431  -0.355 -1.236  -0.309 -1.040  -0.263 -0.845  -0.217 -0.650  -0.279 -0.540  -0.373 -0.592  -0.172 -0.592  0.029 -0.592  0.229 -0.592  0.417 -0.540  0.560 -0.431  0.693 -0.282  0.888 -0.261  1.059 -0.176  1.198 -0.058  1.322 0.034
1b#tos#t1#t1053065/G  0.084 0.980  0.084 1.010  -0.026 1.143  -0.246 1.191  -0.486 1.191  -0.668 1.099  -0.800 0.980  -0.919 0.818  -0.919 0.578  -1.025 0.381  -1.025 0.141  -1.077 -0.087  -1.077 -0.327  -1.077 -0.568  -1.077 -0.808  -1.023 -1.025  -0.783 -1.025  -0.543 -1.025  -0.313 -0.999  -0.124 -0.858  0.008 -0.708  0.150 -0.529  0.242 -0.317  0.138 -0.181  -0.022 -0.002  -0.182 0.178  -0.345 0.235  -0.396 0.083  -0.156 0.083  0.085 0.083  0.315 0.149  0.527 0.241  0.733 0.355  0.953 0.425  1.160 0.505  1.347 0.558  1.347 0.598  1.113 0.543  0.879 0.488  0.645 0.433  0.475 0.316  0.400 0.212  0.453 0.024  0.453 -0.216  0.453 -0.457  0.453 -0.697  0.453 -0.937  0.453 -1.178  0.453 -1.418  0.453 -1.658
1b#tos#t1#t1053065/I  0.141 1.329  0.079 1.125  0.134 0.908  0.141 0.680  0.141 0.451  0.141 0.221  0.141 -0.008  0.141 -0.238  0.141 -0.468  0.141 -0.697  0.141 -0.927  0.141 -1.156  0.141 -1.386  0.104 -1.294  0.051 -1.070  -0.001 -0.847  -0.053 -0.623  -0.106 -0.400  -0.158 -0.176  -0.210 0.047  -0.263 0.270  -0.315 0.494  -0.367 0.717  -0.420 0.941  -0.472 1.164  -0.524 1.388  -0.449 1.362  -0.233 1.329  -0.004 1.329  0.226 1.329  0.455 1.329  0.556 1.344  0.477 1.128  0.398 0.913  0.320 0.697  0.241 0.482  0.162 0.266  0.083 0.050  0.004 -0.165  -0.075 -0.381  -0.154 -0.596  -0.232 -0.812  -0.311 -1.027  -0.460 -1.143  -0.539 -1.294  -0.345 -1.329  -0.115 -1.329  0.114 -1.329  0.344 -1.329  0.511 -1.267
1b#tos#t1#t1053065/J  -0.928 0.665  -0.871 0.584  -0.733 0.584  -0.598 0.606  -0.463 0.624  -0.344 0.673  -0.214 0.705  -0.101 0.764  0.024 0.807  0.159 0.827  0.296 0.827  0.426 0.846  0.523 0.943  0.642 0.988  0.777 0.995  0.844 1.066  0.715 1.018  0.586 0.970  0.457 0.921  0.329 0.873  0.210 0.827  0.286 0.764  0.286 0.627  0.367 0.570  0.367 0.432  0.367 0.295  0.367 0.157  0.367 0.019  0.367 -0.118  0.367 -0.256  0.367 -0.393  0.293 -0.501  0.286 -0.635  0.286 -0.773  0.245 -0.870  0.207 -0.992  0.124 -1.071  0.074 -1.165  0.030 -1.277  -0.091 -1.317  -0.228 -1.317  -0.325 -1.277  -0.422 -1.231  -0.556 -1.198  -0.611 -1.111  -0.734 -1.050  -0.863 -1.002  -0.909 -0.891  -0.957 -0.782  -1.090 -0.751
1b#tos#t1#t1053065/L  -0.652 1.545  -0.603 1.499  -0.584 1.409  -0.554 1.322  -0.554 1.227  -0.554 1.133  -0.554 1.038  -0.554 0.944  -0.554 0.849  -0.554 0.754  -0.554 0.660  -0.554 0.565  -0.554 0.471  -0.554 0.376  -0.554 0.281  -0.554 0.187  -0.554 0.092  -0.554 -0.002  -0.589 -0.089  -0.631 -0.173  -0.652 -0.263  -0.652 -0.357  -0.694 -0.410  -0.661 -0.458  -0.567 -0.458  -0.472 -0.458  -0.378 -0.458  -0.325 -0.526  -0.249 -0.556  -0.154 -0.556  -0.060 -0.556  0.035 -0.556  0.129 -0.556  0.224 -0.556  0.318 -0.556  0.413 -0.556  0.508 -0.556  0.594 -0.520  0.685 -0.507  0.773 -0.479  0.863 -0.458  0.957 -0.458  1.052 -0.458  1.147 -0.458  1.205 -0.422  1.287 -0.410  1.381 -0.410  1.468 -0.391  1.550 -0.361  1.645 -0.361
1b#tos#t1#t1053065/O  -0.232 0.657  -0.232 0.809  -0.354 0.838  -0.505 0.837  -0.586 0.711  -0.731 0.698  -0.731 0.547  -0.821 0.451  -0.821 0.300  -0.867 0.167  -0.867 0.015  -0.867 -0.137  -0.867 -0.288  -0.867 -0.440  -0.821 -0.573  -0.772 -0.702  -0.731 -0.812  -0.659 -0.919  -0.595 -1.014  -0.465 -1.075  -0.324 -1.110  -0.173 -1.110  -0.021 -1.110  0.131 -1.110  0.266 -1.093  0.370 -1.019  0.480 -0.953  0.538 -0.849  0.656 -0.765  0.736 -0.657  0.810 -0.579  0.868 -0.449  0.900 -0.305  0.900 -0.153  0.945 -0.020  0.945 0.131  0.945 0.283  0.904 0.413  0.810 0.514  0.756 0.612  0.669 0.702  0.583 0.768  0.501 0.838  0.440 0.929  0.311 0.951  0.186 0.991  0.041 1.019  -0.110 1.019  -0.262 1.019  -0.414 1.019
1b#tos#t1#t1053065/Q  0.371 -0.485  0.371 -0.710  0.297 -0.892  0.072 -0.892  -0.153 -0.892  -0.378 -0.892  -0.603 -0.892  -0.828 -0.892  -0.969 -0.739  -1.066 -0.574  -1.155 -0.373  -1.155 -0.147  -1.155 0.078  -1.155 0.303  -1.089 0.512  -0.950 0.686  -0.808 0.837  -0.736 0.990  -0.530 1.020  -0.391 1.194  -0.187 1.245  0.027 1.295  0.252 1.295  0.477 1.295  0.651 1.244  0.828 1.166  0.879 0.962  0.879 0.737  0.879 0.512  0.770 0.321  0.657 0.139  0.538 -0.049  0.449 -0.246  0.301 -0.383  0.178 -0.485  0.002 -0.618  -0.119 -0.614  -0.208 -0.408  -0.138 -0.291  -0.160 -0.068  -0.210 0.074  -0.041 -0.009  0.117 -0.130  0.305 -0.249  0.444 -0.378  0.581 -0.492  0.766 -0.587  0.879 -0.738  1.031 -0.841  1.184 -0.943
1b#tos#t1#t1053065/R  -0.533 1.192  -0.573 1.108  -0.533 0.866  -0.533 0.614  -0.504 0.369  -0.478 0.123  -0.478 -0.128  -0.478 -0.380  -0.478 -0.632  -0.478 -0.883  -0.478 -1.135  -0.541 -1.323  -0.593 -1.118  -0.600 -0.866  -0.606 -0.615  -0.613 -0.363  -0.619 -0.111  -0.626 0.140  -0.633 0.392  -0.639 0.643  -0.783 0.755  -0.723 0.812  -0.512 0.885  -0.297 0.973  -0.045 0.973  0.206 0.973  0.455 0.954  0.692 0.897  0.930 0.864  0.924 0.645  0.806 0.453  0.666 0.262  0.441 0.197  0.275 0.044  0.036 -0.027  -0.183 -0.120  -0.358 -0.230  -0.603 -0.214  -0.446 -0.175  -0.194 -0.175  0.003 -0.263  0.241 -0.288  0.467 -0.399  0.700 -0.491  0.931 -0.546  1.095 -0.700  1.324 -0.803  1.502 -0.941  1.644 -1.050  1.818 -1.159
