3#apb#apb09#app0905/C  0.592 0.569  0.636 0.670  0.705 0.750  0.674 0.851  0.592 0.923  0.496 0.973  0.394 1.011  0.290 1.044  0.183 1.068  0.076 1.091  -0.031 1.071  -0.137 1.047  -0.238 1.008  -0.332 0.953  -0.427 0.897  -0.502 0.819  -0.574 0.737  -0.645 0.654  -0.691 0.555  -0.736 0.455  -0.782 0.356  -0.811 0.252  -0.825 0.143  -0.838 0.035  -0.837 -0.072  -0.801 -0.176  -0.766 -0.279  -0.730 -0.382  -0.679 -0.478  -0.619 -0.570  -0.560 -0.662  -0.485 -0.738  -0.393 -0.797  -0.300 -0.856  -0.208 -0.914  -0.101 -0.936  0.006 -0.957  0.113 -0.979  0.220 -0.973  0.327 -0.949  0.434 -0.926  0.541 -0.902  0.641 -0.860  0.742 -0.816  0.842 -0.773  0.937 -0.720  1.029 -0.661  1.118 -0.597  1.200 -0.525  1.262 -0.435
3#apb#apb09#app0905/o  0.171 0.686  0.079 0.787  -0.049 0.834  -0.186 0.817  -0.322 0.800  -0.441 0.732  -0.558 0.659  -0.675 0.585  -0.764 0.481  -0.847 0.371  -0.931 0.262  -1.004 0.147  -1.044 0.014  -1.084 -0.118  -1.124 -0.250  -1.081 -0.380  -1.036 -0.510  -0.984 -0.636  -0.871 -0.714  -0.757 -0.792  -0.643 -0.870  -0.511 -0.910  -0.379 -0.949  -0.246 -0.987  -0.112 -0.994  0.025 -0.974  0.161 -0.953  0.298 -0.933  0.422 -0.875  0.543 -0.809  0.664 -0.743  0.769 -0.658  0.853 -0.549  0.937 -0.439  1.006 -0.321  1.062 -0.195  1.106 -0.067  1.079 0.068  1.052 0.204  1.007 0.331  0.929 0.445  0.851 0.559  0.764 0.663  0.645 0.732  0.526 0.802  0.404 0.865  0.274 0.911  0.143 0.957  0.008 0.959  -0.130 0.949
3#apb#apb09#app0905/n  -0.815 0.378  -0.875 0.273  -0.868 0.154  -0.851 0.034  -0.863 -0.087  -0.879 -0.208  -0.900 -0.327  -0.923 -0.447  -0.943 -0.567  -0.960 -0.688  -0.969 -0.809  -0.952 -0.915  -0.928 -0.795  -0.887 -0.682  -0.837 -0.571  -0.787 -0.460  -0.739 -0.348  -0.692 -0.235  -0.645 -0.123  -0.599 -0.010  -0.549 0.100  -0.480 0.200  -0.410 0.300  -0.341 0.400  -0.267 0.496  -0.172 0.572  -0.077 0.648  0.019 0.724  0.124 0.781  0.238 0.825  0.351 0.869  0.472 0.867  0.593 0.858  0.695 0.794  0.795 0.725  0.870 0.632  0.934 0.529  0.983 0.418  1.020 0.302  1.057 0.186  1.075 0.066  1.086 -0.055  1.098 -0.176  1.106 -0.297  1.112 -0.419  1.116 -0.540  1.109 -0.662  1.102 -0.783  1.115 -0.904  1.135 -1.024
3#apb#apb09#app0905/t  -0.275 1.747  -0.241 1.585  -0.191 1.428  -0.124 1.277  -0.067 1.123  -0.029 0.962  0.008 0.801  0.047 0.640  0.090 0.480  0.133 0.321  0.173 0.160  0.211 -0.001  0.248 -0.162  0.262 -0.326  0.262 -0.491  0.262 -0.657  0.262 -0.822  0.262 -0.988  0.262 -1.153  0.244 -1.317  0.214 -1.478  0.134 -1.623  0.089 -1.668  0.039 -1.511  -0.031 -1.361  -0.101 -1.211  -0.171 -1.061  -0.242 -0.912  -0.312 -0.762  -0.382 -0.612  -0.452 -0.462  -0.522 -0.312  -0.592 -0.163  -0.662 -0.013  -0.732 0.137  -0.802 0.287  -0.851 0.423  -0.708 0.507  -0.550 0.537  -0.385 0.547  -0.220 0.559  -0.055 0.572  0.110 0.584  0.275 0.591  0.441 0.597  0.606 0.607  0.769 0.631  0.933 0.654  1.098 0.655  1.264 0.655
3#apb#apb09#app0905/r  -1.111 0.333  -1.089 0.258  -1.089 0.161  -1.057 0.071  -1.011 -0.015  -0.965 -0.100  -0.922 -0.188  -0.887 -0.279  -0.853 -0.370  -0.819 -0.461  -0.780 -0.550  -0.729 -0.633  -0.678 -0.716  -0.627 -0.799  -0.556 -0.864  -0.489 -0.934  -0.438 -0.963  -0.469 -0.871  -0.499 -0.778  -0.474 -0.684  -0.447 -0.591  -0.420 -0.497  -0.393 -0.403  -0.367 -0.309  -0.314 -0.228  -0.259 -0.147  -0.204 -0.067  -0.149 0.014  -0.094 0.094  -0.024 0.159  0.058 0.211  0.141 0.263  0.223 0.316  0.305 0.368  0.387 0.420  0.476 0.459  0.569 0.486  0.663 0.512  0.757 0.538  0.851 0.563  0.947 0.584  1.042 0.605  1.137 0.626  1.232 0.648  1.329 0.650  1.427 0.650  1.524 0.648  1.619 0.626  1.714 0.604  1.809 0.582
3#apb#apb09#app0905/a  0.621 0.316  0.577 0.461  0.533 0.606  0.488 0.752  0.366 0.834  0.230 0.899  0.083 0.938  -0.065 0.965  -0.215 0.946  -0.365 0.922  -0.504 0.861  -0.642 0.799  -0.766 0.714  -0.876 0.610  -0.987 0.506  -1.075 0.385  -1.140 0.248  -1.206 0.111  -1.244 -0.033  -1.253 -0.185  -1.250 -0.333  -1.168 -0.461  -1.086 -0.589  -0.958 -0.670  -0.827 -0.748  -0.684 -0.788  -0.534 -0.811  -0.384 -0.831  -0.241 -0.777  -0.099 -0.724  0.024 -0.637  0.143 -0.542  0.255 -0.441  0.354 -0.325  0.453 -0.210  0.496 -0.066  0.532 0.082  0.576 0.227  0.644 0.362  0.700 0.375  0.753 0.232  0.807 0.090  0.859 -0.052  0.912 -0.195  0.968 -0.336  1.046 -0.466  1.124 -0.596  1.230 -0.704  1.341 -0.808  1.452 -0.912
3#apb#apb09#app0905/c  0.446 0.999  0.358 1.039  0.270 1.079  0.175 1.088  0.079 1.088  -0.016 1.080  -0.106 1.044  -0.196 1.008  -0.286 0.972  -0.373 0.932  -0.455 0.880  -0.536 0.827  -0.617 0.775  -0.685 0.709  -0.741 0.630  -0.796 0.551  -0.852 0.472  -0.877 0.381  -0.888 0.285  -0.900 0.189  -0.881 0.098  -0.838 0.011  -0.794 -0.075  -0.751 -0.162  -0.683 -0.229  -0.610 -0.292  -0.537 -0.356  -0.464 -0.420  -0.383 -0.471  -0.301 -0.522  -0.218 -0.573  -0.136 -0.624  -0.049 -0.663  0.045 -0.685  0.139 -0.707  0.234 -0.728  0.328 -0.750  0.423 -0.761  0.520 -0.761  0.617 -0.761  0.713 -0.761  0.810 -0.759  0.903 -0.732  0.996 -0.706  1.089 -0.679  1.182 -0.652  1.273 -0.622  1.365 -0.591  1.457 -0.561  1.548 -0.530
3#apb#apb09#app0905/t  -0.190 1.457  -0.133 1.286  -0.102 1.108  -0.069 0.930  -0.031 0.754  0.008 0.577  0.044 0.400  0.080 0.223  0.115 0.046  0.152 -0.131  0.189 -0.308  0.229 -0.484  0.278 -0.658  0.324 -0.833  0.365 -1.009  0.393 -1.187  0.405 -1.367  0.394 -1.547  0.337 -1.508  0.228 -1.364  0.118 -1.221  0.009 -1.077  -0.101 -0.933  -0.211 -0.790  -0.320 -0.646  -0.430 -0.502  -0.539 -0.359  -0.649 -0.215  -0.759 -0.071  -0.868 0.072  -0.978 0.216  -1.088 0.359  -1.197 0.503  -1.198 0.593  -1.017 0.593  -0.837 0.587  -0.661 0.548  -0.484 0.509  -0.307 0.474  -0.127 0.457  0.052 0.441  0.232 0.424  0.413 0.420  0.594 0.420  0.774 0.420  0.954 0.439  1.133 0.460  1.313 0.480  1.493 0.498  1.672 0.516
3#apb#apb09#app0905/A  -1.079 -1.340  -1.174 -1.195  -1.190 -0.998  -1.174 -0.797  -1.134 -0.600  -1.087 -0.403  -1.021 -0.213  -0.940 -0.028  -0.858 0.157  -0.767 0.337  -0.672 0.515  -0.577 0.693  -0.461 0.859  -0.336 1.016  -0.174 1.137  -0.008 1.252  0.179 1.317  0.361 1.250  0.485 1.094  0.587 0.921  0.667 0.736  0.737 0.546  0.796 0.353  0.855 0.160  0.914 -0.034  0.997 -0.217  1.066 -0.406  1.114 -0.602  1.148 -0.801  1.039 -0.825  0.850 -0.755  0.661 -0.684  0.472 -0.613  0.282 -0.543  0.093 -0.472  -0.096 -0.401  -0.286 -0.331  -0.475 -0.260  -0.664 -0.190  -0.853 -0.119  -0.730 -0.043  -0.530 -0.012  -0.329 -0.002  -0.127 0.004  0.075 0.018  0.276 0.037  0.476 0.063  0.671 0.114  0.869 0.148  1.071 0.159
3#apb#apb09#app0905/d  -0.077 1.843  0.003 1.697  0.083 1.551  0.170 1.408  0.257 1.265  0.345 1.123  0.391 0.963  0.436 0.802  0.480 0.641  0.522 0.479  0.564 0.318  0.593 0.154  0.607 -0.012  0.632 -0.177  0.682 -0.336  0.716 -0.498  0.725 -0.665  0.749 -0.830  0.760 -0.996  0.737 -0.838  0.705 -0.674  0.668 -0.512  0.601 -0.359  0.535 -0.206  0.436 -0.072  0.330 0.057  0.222 0.184  0.094 0.292  -0.033 0.400  -0.180 0.474  -0.338 0.529  -0.499 0.527  -0.663 0.494  -0.803 0.410  -0.933 0.306  -1.028 0.169  -1.119 0.029  -1.151 -0.135  -1.182 -0.299  -1.111 -0.449  -1.033 -0.596  -0.912 -0.711  -0.791 -0.825  -0.648 -0.909  -0.497 -0.981  -0.338 -1.023  -0.172 -1.038  -0.007 -1.030  0.155 -0.991  0.317 -0.952
3#apb#apb09#app0905/m  -1.229 0.224  -1.229 0.081  -1.222 -0.061  -1.205 -0.202  -1.169 -0.339  -1.141 -0.479  -1.106 -0.616  -1.109 -0.556  -1.128 -0.415  -1.133 -0.274  -1.111 -0.133  -1.089 0.008  -1.025 0.135  -0.962 0.263  -0.860 0.359  -0.746 0.442  -0.606 0.469  -0.467 0.455  -0.341 0.400  -0.249 0.292  -0.172 0.173  -0.099 0.050  -0.062 -0.087  -0.029 -0.226  -0.012 -0.367  -0.008 -0.509  -0.008 -0.652  0.044 -0.581  0.091 -0.446  0.158 -0.321  0.226 -0.196  0.288 -0.067  0.346 0.063  0.404 0.193  0.483 0.311  0.565 0.427  0.655 0.536  0.771 0.618  0.902 0.670  1.039 0.654  1.143 0.563  1.232 0.453  1.283 0.320  1.327 0.185  1.356 0.046  1.390 -0.093  1.423 -0.231  1.443 -0.372  1.464 -0.513  1.481 -0.654
