1d#apb#apb36#app3603/.  -1.522 0.832  -1.460 0.790  -1.398 0.749  -1.336 0.708  -1.274 0.667  -1.213 0.626  -1.151 0.584  -1.089 0.543  -1.027 0.502  -0.965 0.461  -0.904 0.420  -0.842 0.378  -0.780 0.337  -0.711 0.313  -0.638 0.299  -0.565 0.284  -0.492 0.270  -0.420 0.255  -0.347 0.241  -0.274 0.226  -0.201 0.211  -0.128 0.197  -0.055 0.182  0.017 0.168  0.090 0.153  0.163 0.139  0.236 0.124  0.309 0.110  0.382 0.095  0.454 0.080  0.521 0.057  0.562 -0.005  0.604 -0.067  0.645 -0.129  0.686 -0.191  0.727 -0.252  0.768 -0.314  0.810 -0.376  0.851 -0.438  0.892 -0.500  0.933 -0.561  0.974 -0.623  1.016 -0.685  1.022 -0.757  1.022 -0.832  1.022 -0.906  1.022 -0.980  1.022 -1.054  1.022 -1.129  1.022 -1.203
1d#apb#apb36#app3603/,  -1.058 1.252  -0.986 1.243  -0.913 1.234  -0.841 1.225  -0.768 1.216  -0.713 1.174  -0.663 1.120  -0.614 1.067  -0.564 1.013  -0.515 0.959  -0.465 0.905  -0.416 0.852  -0.366 0.798  -0.316 0.744  -0.269 0.689  -0.223 0.632  -0.178 0.574  -0.133 0.517  -0.088 0.460  -0.043 0.402  0.002 0.345  0.047 0.287  0.093 0.230  0.138 0.172  0.171 0.107  0.203 0.042  0.236 -0.024  0.269 -0.089  0.301 -0.154  0.334 -0.220  0.367 -0.285  0.399 -0.350  0.432 -0.416  0.453 -0.485  0.462 -0.557  0.472 -0.630  0.482 -0.702  0.491 -0.774  0.501 -0.847  0.511 -0.919  0.520 -0.992  0.506 -1.059  0.470 -1.123  0.433 -1.186  0.397 -1.250  0.361 -1.313  0.325 -1.376  0.288 -1.440  0.252 -1.503  0.216 -1.567
1d#apb#apb36#app3603/;  -0.391 0.968  -0.372 1.046  -0.365 1.125  -0.365 1.205  -0.347 1.282  -0.339 1.360  -0.342 1.424  -0.372 1.350  -0.383 1.275  -0.362 1.198  -0.341 1.121  -0.320 1.044  -0.299 0.967  -0.278 0.890  -0.257 0.813  -0.236 0.736  -0.214 0.659  -0.193 0.582  -0.172 0.505  -0.151 0.428  -0.130 0.351  -0.109 0.274  -0.088 0.197  -0.067 0.120  -0.045 0.043  -0.024 -0.034  -0.003 -0.111  0.018 -0.188  0.039 -0.265  0.097 -0.294  0.158 -0.345  0.218 -0.397  0.279 -0.449  0.312 -0.521  0.346 -0.594  0.379 -0.666  0.413 -0.739  0.433 -0.814  0.433 -0.894  0.433 -0.974  0.433 -1.054  0.433 -1.134  0.433 -1.213  0.389 -1.278  0.341 -1.342  0.292 -1.405  0.244 -1.469  0.195 -1.532  0.147 -1.596  0.098 -1.659
1d#apb#apb36#app3603/:  0.025 1.601  0.030 1.601  0.060 1.533  0.096 1.460  0.126 1.385  0.152 1.307  0.176 1.235  0.234 1.178  0.240 1.099  0.240 1.018  0.185 0.971  0.111 0.937  0.036 0.905  -0.039 0.873  -0.114 0.841  -0.143 0.782  -0.135 0.701  -0.128 0.620  -0.120 0.539  -0.112 0.458  -0.105 0.377  -0.097 0.296  -0.090 0.215  -0.082 0.134  -0.075 0.053  -0.067 -0.028  -0.060 -0.109  -0.052 -0.190  -0.045 -0.271  -0.037 -0.352  -0.030 -0.433  -0.022 -0.514  -0.015 -0.595  -0.007 -0.676  0.000 -0.757  0.008 -0.838  0.015 -0.919  0.023 -1.000  0.030 -1.081  0.038 -1.162  0.045 -1.243  0.053 -1.324  0.060 -1.405  0.068 -1.486  0.004 -1.464  -0.043 -1.402  -0.079 -1.329  -0.104 -1.254  -0.104 -1.172  -0.147 -1.109
1d#apb#apb36#app3603/$  0.951 0.314  0.896 0.554  0.644 0.601  0.387 0.620  0.131 0.650  -0.122 0.619  -0.370 0.554  -0.610 0.463  -0.745 0.280  -0.601 0.079  -0.373 -0.042  -0.135 -0.136  0.107 -0.225  0.345 -0.323  0.582 -0.424  0.804 -0.550  0.971 -0.740  0.961 -0.985  0.747 -1.109  0.491 -1.132  0.235 -1.166  -0.017 -1.117  -0.261 -1.038  -0.498 -0.937  -0.681 -0.793  -0.640 -0.539  -0.594 -0.286  -0.547 -0.033  -0.500 0.220  -0.453 0.474  -0.407 0.727  -0.360 0.980  -0.313 1.233  -0.284 1.485  -0.303 1.735  -0.107 1.728  0.031 1.512  0.128 1.278  0.171 1.024  0.197 0.768  0.188 0.511  0.179 0.254  0.138 -0.000  0.093 -0.254  0.048 -0.507  0.001 -0.760  -0.047 -1.014  -0.097 -1.266  -0.153 -1.518  -0.208 -1.769
1d#apb#apb36#app3603/&  0.371 -0.734  0.336 -0.615  0.142 -0.540  -0.056 -0.480  -0.230 -0.367  -0.384 -0.233  -0.533 -0.093  -0.664 0.068  -0.764 0.249  -0.836 0.445  -0.870 0.651  -0.828 0.853  -0.739 1.039  -0.633 1.219  -0.491 1.365  -0.331 1.484  -0.135 1.430  0.053 1.341  0.204 1.202  0.265 1.006  0.247 0.800  0.153 0.614  0.058 0.433  -0.104 0.303  -0.277 0.190  -0.459 0.089  -0.620 -0.042  -0.759 -0.198  -0.863 -0.378  -0.864 -0.584  -0.787 -0.772  -0.635 -0.914  -0.470 -1.042  -0.286 -1.133  -0.081 -1.167  0.128 -1.173  0.334 -1.143  0.526 -1.066  0.705 -0.960  0.859 -0.825  0.968 -0.647  1.061 -0.460  1.149 -0.271  1.186 -0.066  1.206 0.141  1.138 0.328  0.937 0.291  0.745 0.214  0.558 0.121  0.371 0.027
1d#apb#apb36#app3603/!  0.126 1.269  0.126 1.354  0.126 1.438  0.126 1.523  0.126 1.608  0.126 1.540  0.126 1.455  0.126 1.371  0.126 1.286  0.126 1.201  0.124 1.117  0.115 1.032  0.106 0.948  0.097 0.864  0.088 0.780  0.080 0.695  0.068 0.612  0.043 0.531  0.019 0.449  -0.005 0.368  -0.030 0.287  -0.054 0.206  -0.078 0.125  -0.105 0.045  -0.134 -0.035  -0.162 -0.115  -0.191 -0.195  -0.219 -0.274  -0.237 -0.357  -0.253 -0.440  -0.270 -0.523  -0.253 -0.603  -0.222 -0.682  -0.191 -0.761  -0.160 -0.840  -0.129 -0.919  -0.098 -0.998  -0.067 -1.076  -0.036 -1.155  -0.005 -1.234  0.026 -1.313  0.057 -1.392  0.097 -1.393  0.126 -1.317  0.126 -1.232  0.126 -1.147  0.126 -1.063  0.072 -1.011  0.072 -1.024  0.072 -1.002
1d#apb#apb36#app3603/?  -0.794 0.591  -0.816 0.722  -0.899 0.829  -1.019 0.879  -0.922 0.879  -0.786 0.879  -0.650 0.879  -0.514 0.879  -0.378 0.879  -0.241 0.879  -0.105 0.879  0.031 0.879  0.167 0.879  0.303 0.874  0.438 0.860  0.574 0.847  0.708 0.829  0.835 0.780  0.962 0.731  1.041 0.624  0.988 0.505  0.910 0.397  0.793 0.328  0.675 0.259  0.558 0.190  0.438 0.127  0.317 0.064  0.197 0.000  0.076 -0.063  -0.044 -0.127  -0.165 -0.191  -0.284 -0.256  -0.401 -0.325  -0.517 -0.397  -0.613 -0.493  -0.639 -0.604  -0.529 -0.682  -0.401 -0.729  -0.271 -0.770  -0.138 -0.797  -0.008 -0.836  0.118 -0.887  0.134 -1.011  0.131 -1.147  0.127 -1.283  0.123 -1.419  0.119 -1.555  0.116 -1.692  0.115 -1.607  0.138 -1.473
1d#apb#apb36#app3603/  0.324 1.185  0.315 1.257  0.306 1.330  0.297 1.403  0.264 1.463  0.276 1.396  0.290 1.324  0.293 1.251  0.293 1.178  0.293 1.105  0.293 1.032  0.293 0.959  0.293 0.886  0.293 0.812  0.286 0.740  0.273 0.668  0.259 0.596  0.246 0.524  0.233 0.452  0.219 0.380  0.206 0.308  0.193 0.236  0.179 0.165  0.166 0.093  0.153 0.021  0.139 -0.051  0.110 -0.118  0.079 -0.184  0.047 -0.250  0.016 -0.316  -0.016 -0.382  -0.047 -0.448  -0.079 -0.514  -0.111 -0.580  -0.142 -0.646  -0.174 -0.712  -0.205 -0.778  -0.244 -0.840  -0.282 -0.903  -0.320 -0.965  -0.359 -1.027  -0.397 -1.090  -0.435 -1.152  -0.474 -1.214  -0.512 -1.277  -0.550 -1.339  -0.589 -1.401  -0.627 -1.463  -0.665 -1.526  -0.704 -1.588
1d#apb#apb36#app3603/'  -0.331 1.561  -0.261 1.561  -0.195 1.557  -0.195 1.487  -0.194 1.417  -0.178 1.349  -0.163 1.280  -0.148 1.212  -0.133 1.144  -0.118 1.076  -0.103 1.007  -0.087 0.939  -0.072 0.871  -0.057 0.802  -0.042 0.734  -0.027 0.666  -0.011 0.597  0.004 0.529  0.019 0.461  0.034 0.392  0.049 0.324  0.064 0.256  0.077 0.187  0.077 0.117  0.077 0.047  0.077 -0.023  0.077 -0.093  0.077 -0.163  0.077 -0.233  0.077 -0.303  0.077 -0.373  0.077 -0.443  0.077 -0.513  0.077 -0.583  0.077 -0.653  0.077 -0.723  0.077 -0.793  0.077 -0.863  0.077 -0.933  0.077 -1.003  0.077 -1.073  0.077 -1.143  0.077 -1.213  0.077 -1.283  0.077 -1.353  0.077 -1.423  0.077 -1.493  0.077 -1.563  0.077 -1.633  0.077 -1.703
1d#apb#apb36#app3603/\"  -0.727 0.415  -0.676 0.510  -0.676 0.392  -0.676 0.274  -0.690 0.156  -0.705 0.039  -0.719 -0.078  -0.739 -0.195  -0.765 -0.310  -0.790 -0.426  -0.816 -0.541  -0.852 -0.654  -0.895 -0.764  -0.939 -0.874  -0.983 -0.983  -1.027 -1.093  -0.948 -1.025  -0.860 -0.945  -0.773 -0.865  -0.686 -0.786  -0.598 -0.706  -0.511 -0.626  -0.424 -0.546  -0.336 -0.466  -0.249 -0.387  -0.161 -0.307  -0.074 -0.227  0.013 -0.147  0.101 -0.068  0.188 0.012  0.275 0.092  0.363 0.172  0.450 0.251  0.537 0.331  0.625 0.411  0.712 0.491  0.800 0.571  0.887 0.650  0.974 0.730  1.062 0.810  1.149 0.890  1.236 0.969  1.263 0.991  1.209 0.887  1.165 0.778  1.126 0.666  1.092 0.553  1.058 0.440  1.024 0.326  0.990 0.213
