3#apa#apa04#app0456/i  0.004 0.250  -0.103 0.286  -0.174 0.357  -0.285 0.281  -0.316 0.152  -0.423 0.116  -0.423 -0.026  -0.492 -0.139  -0.529 -0.266  -0.529 -0.409  -0.529 -0.551  -0.529 -0.693  -0.509 -0.816  -0.423 -0.871  -0.332 -0.922  -0.227 -1.012  -0.095 -1.037  0.007 -1.135  0.149 -1.135  0.291 -1.135  0.432 -1.138  0.533 -1.238  0.674 -1.242  0.723 -1.181  0.667 -1.051  0.610 -0.920  0.553 -0.790  0.496 -0.659  0.440 -0.529  0.383 -0.399  0.326 -0.268  0.270 -0.138  0.213 -0.007  0.156 0.123  0.100 0.253  0.043 0.384  -0.014 0.514  -0.071 0.645  -0.127 0.775  -0.184 0.905  -0.241 1.036  -0.297 1.166  -0.221 1.209  -0.209 1.340  -0.209 1.482  -0.124 1.572  0.003 1.635  0.039 1.742  0.181 1.742  0.323 1.742
3#apa#apa04#app0456/n  -0.644 0.550  -0.644 0.398  -0.644 0.246  -0.644 0.093  -0.732 0.029  -0.817 -0.037  -0.817 -0.189  -0.817 -0.341  -0.817 -0.493  -0.817 -0.645  -0.817 -0.797  -0.817 -0.949  -0.908 -1.011  -0.990 -1.080  -0.957 -1.150  -0.849 -1.043  -0.742 -0.935  -0.644 -0.824  -0.644 -0.672  -0.542 -0.562  -0.434 -0.455  -0.327 -0.347  -0.297 -0.208  -0.234 -0.081  -0.127 0.026  -0.058 0.161  0.010 0.297  0.095 0.421  0.202 0.529  0.223 0.672  0.295 0.794  0.402 0.902  0.510 1.009  0.617 1.117  0.725 1.224  0.869 1.243  0.917 1.139  0.917 0.987  0.917 0.835  0.917 0.683  0.917 0.531  0.917 0.379  0.917 0.227  0.917 0.075  0.917 -0.077  0.917 -0.229  0.917 -0.381  0.917 -0.533  0.917 -0.685  0.917 -0.837
3#apa#apa04#app0456/o  0.429 1.106  0.275 1.106  0.120 1.106  -0.034 1.106  -0.120 1.037  -0.160 0.923  -0.311 0.914  -0.421 0.805  -0.530 0.696  -0.639 0.587  -0.748 0.477  -0.852 0.366  -0.852 0.211  -0.852 0.057  -0.852 -0.098  -0.852 -0.252  -0.852 -0.407  -0.852 -0.561  -0.852 -0.716  -0.852 -0.870  -0.734 -0.907  -0.606 -0.970  -0.496 -1.080  -0.346 -1.090  -0.192 -1.090  -0.037 -1.090  0.117 -1.090  0.269 -1.079  0.407 -1.010  0.546 -0.941  0.692 -0.907  0.832 -0.871  0.941 -0.762  0.978 -0.623  0.978 -0.468  0.978 -0.314  0.978 -0.159  0.978 -0.005  0.878 0.108  0.795 0.229  0.789 0.380  0.679 0.490  0.559 0.584  0.421 0.653  0.283 0.722  0.132 0.740  -0.022 0.740  -0.177 0.740  -0.331 0.740  -0.486 0.740
3#apa#apa04#app0456/n  -0.378 0.923  -0.378 0.738  -0.481 0.655  -0.646 0.635  -0.646 0.450  -0.646 0.264  -0.675 0.091  -0.806 -0.040  -0.914 -0.180  -0.914 -0.366  -0.914 -0.551  -0.914 -0.736  -0.914 -0.921  -0.914 -1.107  -0.841 -1.219  -0.656 -1.219  -0.646 -1.044  -0.580 -0.886  -0.449 -0.755  -0.378 -0.599  -0.377 -0.414  -0.246 -0.283  -0.115 -0.152  -0.111 0.031  -0.042 0.188  0.089 0.319  0.157 0.476  0.157 0.661  0.157 0.846  0.234 1.000  0.365 1.131  0.425 1.291  0.425 1.440  0.425 1.255  0.425 1.070  0.425 0.885  0.425 0.699  0.425 0.514  0.466 0.346  0.597 0.215  0.693 0.069  0.693 -0.116  0.693 -0.301  0.763 -0.416  0.948 -0.416  0.960 -0.589  1.025 -0.748  1.156 -0.879  1.228 -1.034  1.228 -1.219
3#apa#apa04#app0456/e  -0.301 0.409  -0.165 0.409  -0.028 0.409  0.108 0.409  0.244 0.409  0.380 0.409  0.493 0.467  0.592 0.556  0.728 0.556  0.729 0.691  0.729 0.827  0.729 0.964  0.626 0.997  0.582 1.089  0.501 1.144  0.365 1.144  0.246 1.102  0.149 1.006  0.030 0.942  -0.092 0.881  -0.201 0.802  -0.297 0.706  -0.394 0.610  -0.490 0.513  -0.586 0.417  -0.595 0.284  -0.675 0.181  -0.771 0.085  -0.868 -0.011  -0.889 -0.139  -0.889 -0.275  -0.889 -0.411  -0.889 -0.547  -0.845 -0.665  -0.748 -0.761  -0.652 -0.858  -0.556 -0.954  -0.460 -1.050  -0.328 -1.062  -0.192 -1.062  -0.056 -1.062  0.080 -1.062  0.217 -1.062  0.353 -1.062  0.489 -1.062  0.625 -1.062  0.761 -1.062  0.898 -1.062  1.034 -1.062  1.170 -1.062
3#apa#apa04#app0456/c  0.910 0.830  0.910 0.931  0.855 0.976  0.764 0.986  0.764 1.087  0.699 1.122  0.598 1.122  0.498 1.122  0.397 1.122  0.305 1.101  0.234 1.030  0.159 0.965  0.069 0.920  -0.021 0.875  -0.111 0.830  -0.111 0.730  -0.160 0.660  -0.250 0.615  -0.340 0.570  -0.402 0.508  -0.402 0.407  -0.463 0.332  -0.534 0.261  -0.605 0.190  -0.677 0.119  -0.694 0.026  -0.694 -0.075  -0.694 -0.175  -0.694 -0.276  -0.694 -0.376  -0.694 -0.477  -0.626 -0.549  -0.555 -0.621  -0.548 -0.718  -0.508 -0.794  -0.418 -0.839  -0.328 -0.884  -0.242 -0.934  -0.171 -1.005  -0.095 -1.065  0.005 -1.065  0.106 -1.065  0.206 -1.065  0.307 -1.065  0.407 -1.065  0.508 -1.065  0.608 -1.065  0.709 -1.065  0.809 -1.065  0.910 -1.065
3#apa#apa04#app0456/l  0.354 1.635  0.354 1.564  0.341 1.499  0.291 1.449  0.241 1.399  0.230 1.333  0.229 1.262  0.197 1.199  0.166 1.136  0.134 1.072  0.107 1.008  0.107 0.938  0.098 0.868  0.076 0.801  0.053 0.734  0.031 0.667  0.009 0.600  -0.014 0.533  -0.017 0.463  -0.017 0.392  -0.017 0.321  -0.017 0.250  -0.017 0.180  -0.017 0.109  -0.017 0.038  -0.017 -0.033  -0.017 -0.103  -0.017 -0.174  -0.029 -0.242  -0.060 -0.305  -0.092 -0.368  -0.124 -0.432  -0.140 -0.498  -0.140 -0.569  -0.140 -0.640  -0.140 -0.711  -0.140 -0.781  -0.140 -0.852  -0.140 -0.923  -0.140 -0.994  -0.140 -1.064  -0.140 -1.135  -0.140 -1.206  -0.140 -1.276  -0.140 -1.347  -0.140 -1.418  -0.140 -1.489  -0.140 -1.559  -0.140 -1.630  -0.140 -1.701
3#apa#apa04#app0456/a  0.481 -0.168  0.481 0.019  0.481 0.207  0.481 0.394  0.481 0.582  0.481 0.769  0.481 0.957  0.481 1.144  0.433 1.283  0.245 1.283  0.066 1.274  0.066 1.087  -0.110 1.076  -0.252 0.965  -0.384 0.832  -0.517 0.700  -0.649 0.567  -0.782 0.435  -0.914 0.302  -1.019 0.149  -1.103 -0.018  -1.178 -0.188  -1.178 -0.376  -1.178 -0.563  -1.178 -0.751  -1.178 -0.938  -1.050 -0.998  -0.862 -0.998  -0.675 -0.998  -0.487 -0.998  -0.348 -0.949  -0.320 -0.790  -0.141 -0.782  -0.141 -0.594  0.036 -0.583  0.223 -0.583  0.274 -0.446  0.356 -0.293  0.481 -0.157  0.481 0.030  0.660 0.039  0.689 0.198  0.828 0.246  0.896 0.127  0.896 -0.060  0.896 -0.248  0.955 -0.376  1.103 -0.415  1.103 -0.603  1.103 -0.790
3#apa#apa04#app0456/w  -0.933 1.040  -0.933 0.882  -0.933 0.724  -0.946 0.571  -1.057 0.460  -1.169 0.348  -1.237 0.218  -1.237 0.061  -1.237 -0.097  -1.237 -0.255  -1.237 -0.413  -1.146 -0.480  -0.988 -0.480  -0.830 -0.480  -0.673 -0.480  -0.548 -0.399  -0.420 -0.328  -0.325 -0.265  -0.276 -0.127  -0.173 -0.012  -0.173 0.146  -0.173 0.304  -0.144 0.432  -0.021 0.396  -0.021 0.238  -0.021 0.081  -0.021 -0.077  -0.021 -0.235  0.044 -0.328  0.130 -0.399  0.130 -0.557  0.213 -0.632  0.345 -0.694  0.466 -0.784  0.613 -0.757  0.724 -0.646  0.877 -0.632  0.890 -0.488  1.040 -0.480  1.042 -0.324  1.042 -0.166  1.053 -0.013  1.165 0.099  1.194 0.245  1.194 0.402  1.194 0.560  1.194 0.718  1.194 0.876  1.194 1.034  1.194 1.192
3#apa#apa04#app0456/e  -0.926 0.258  -0.819 0.151  -0.712 0.044  -0.561 0.041  -0.410 0.041  -0.258 0.041  -0.107 0.041  0.045 0.041  0.197 0.041  0.348 0.041  0.380 0.161  0.434 0.258  0.585 0.258  0.737 0.258  0.889 0.258  1.032 0.266  1.032 0.417  1.126 0.476  1.250 0.503  1.250 0.655  1.137 0.693  1.032 0.740  1.032 0.892  0.900 0.911  0.748 0.911  0.597 0.911  0.490 0.803  0.383 0.696  0.248 0.627  0.112 0.560  -0.023 0.492  -0.137 0.394  -0.244 0.287  -0.352 0.180  -0.459 0.072  -0.566 -0.035  -0.673 -0.142  -0.708 -0.279  -0.734 -0.420  -0.841 -0.527  -0.926 -0.644  -0.926 -0.795  -0.926 -0.947  -0.926 -1.098  -0.926 -1.250  -0.829 -1.362  -0.722 -1.469  -0.576 -1.483  -0.425 -1.483  -0.273 -1.483
3#apa#apa04#app0456/d  0.142 -0.458  0.142 -0.263  0.107 -0.101  -0.089 -0.101  -0.284 -0.101  -0.361 -0.220  -0.526 -0.293  -0.665 -0.432  -0.803 -0.570  -0.893 -0.743  -0.929 -0.931  -0.929 -1.126  -0.899 -1.291  -0.703 -1.291  -0.507 -1.291  -0.326 -1.228  -0.165 -1.122  -0.096 -0.954  0.079 -0.934  0.152 -0.805  0.261 -0.654  0.261 -0.459  0.315 -0.285  0.380 -0.117  0.380 0.079  0.380 0.275  0.380 0.470  0.380 0.666  0.380 0.862  0.380 1.058  0.380 1.253  0.380 1.449  0.380 1.645  0.380 1.840  0.380 1.807  0.380 1.611  0.313 1.431  0.261 1.248  0.261 1.052  0.261 0.856  0.201 0.670  0.142 0.484  0.142 0.289  0.069 0.110  0.023 -0.075  0.023 -0.270  0.023 -0.466  0.023 -0.662  0.023 -0.858  0.023 -1.053
