1c#app#app25#app2587/r  1.028 1.380  0.861 1.380  0.775 1.299  0.775 1.132  0.775 0.965  0.700 0.873  0.533 0.873  0.411 0.763  0.293 0.645  0.268 0.488  0.236 0.334  0.118 0.216  0.015 0.092  0.015 -0.075  -0.087 -0.140  -0.238 -0.156  -0.238 -0.323  -0.307 -0.462  -0.425 -0.580  -0.491 -0.719  -0.491 -0.886  -0.600 -1.008  -0.718 -1.126  -0.836 -1.244  -0.954 -1.362  -0.998 -1.301  -0.998 -1.134  -0.998 -0.967  -0.998 -0.800  -0.988 -0.637  -0.870 -0.519  -0.752 -0.401  -0.745 -0.237  -0.695 -0.090  -0.577 0.028  -0.445 0.114  -0.278 0.114  -0.238 0.240  -0.198 0.367  -0.031 0.367  0.136 0.367  0.303 0.367  0.470 0.367  0.637 0.367  0.796 0.346  0.914 0.228  1.034 0.114  1.201 0.114  1.368 0.114  1.535 0.114
1c#app#app25#app2587/e  0.037 -0.262  0.186 -0.262  0.215 -0.143  0.305 -0.085  0.453 -0.085  0.593 -0.062  0.698 0.042  0.802 0.147  0.907 0.252  1.048 0.271  1.104 0.364  1.167 0.448  1.281 0.483  1.277 0.630  1.172 0.735  1.053 0.804  0.904 0.804  0.756 0.804  0.607 0.804  0.459 0.804  0.311 0.804  0.162 0.804  0.015 0.795  -0.122 0.740  -0.260 0.685  -0.398 0.630  -0.536 0.575  -0.674 0.519  -0.811 0.464  -0.898 0.354  -0.965 0.221  -1.031 0.088  -1.098 -0.044  -1.164 -0.177  -1.206 -0.316  -1.183 -0.440  -1.034 -0.440  -1.029 -0.583  -0.915 -0.618  -0.791 -0.677  -0.686 -0.782  -0.543 -0.795  -0.424 -0.867  -0.319 -0.972  -0.172 -0.973  -0.023 -0.973  0.037 -1.061  0.096 -1.151  0.244 -1.151  0.393 -1.151
1c#app#app25#app2587/p  -0.365 -0.438  -0.365 -0.568  -0.365 -0.698  -0.443 -0.795  -0.504 -0.900  -0.529 -1.019  -0.620 -1.111  -0.643 -1.231  -0.643 -1.361  -0.722 -1.411  -0.782 -1.341  -0.782 -1.212  -0.782 -1.082  -0.752 -0.965  -0.660 -0.873  -0.643 -0.750  -0.575 -0.649  -0.504 -0.548  -0.490 -0.424  -0.398 -0.333  -0.306 -0.241  -0.226 -0.145  -0.226 -0.015  -0.226 0.115  -0.099 0.118  -0.004 0.201  0.052 0.308  0.082 0.425  0.173 0.517  0.191 0.639  0.191 0.769  0.191 0.899  0.191 1.028  0.258 1.091  0.330 1.149  0.379 1.230  0.497 1.202  0.589 1.111  0.711 1.091  0.840 1.091  0.886 1.007  0.886 0.878  0.886 0.748  0.886 0.618  0.886 0.489  0.886 0.359  0.859 0.257  0.729 0.257  0.599 0.257  0.469 0.257
1c#app#app25#app2587/l  1.081 1.470  1.006 1.395  0.931 1.320  0.856 1.245  0.841 1.145  0.841 1.039  0.784 0.989  0.678 0.989  0.571 0.989  0.465 0.989  0.360 0.988  0.360 0.882  0.360 0.776  0.281 0.749  0.175 0.749  0.120 0.698  0.120 0.591  0.103 0.492  0.028 0.417  -0.047 0.342  -0.122 0.267  -0.197 0.192  -0.272 0.117  -0.347 0.042  -0.422 -0.033  -0.497 -0.108  -0.572 -0.184  -0.600 -0.278  -0.600 -0.384  -0.600 -0.490  -0.600 -0.597  -0.611 -0.692  -0.717 -0.692  -0.823 -0.692  -0.841 -0.781  -0.841 -0.887  -0.780 -0.932  -0.673 -0.932  -0.567 -0.932  -0.461 -0.932  -0.355 -0.932  -0.249 -0.932  -0.143 -0.932  -0.036 -0.932  0.070 -0.932  0.176 -0.932  0.282 -0.932  0.388 -0.932  0.495 -0.932  0.601 -0.932
1c#app#app25#app2587/i  0.472 0.226  0.375 0.129  0.278 0.032  0.145 0.021  0.062 -0.033  0.062 -0.171  -0.061 -0.184  -0.143 -0.240  -0.143 -0.377  -0.268 -0.389  -0.347 -0.447  -0.347 -0.584  -0.475 -0.594  -0.552 -0.653  -0.552 -0.790  -0.552 -0.928  -0.614 -1.003  -0.751 -1.003  -0.757 -1.134  -0.820 -1.208  -0.958 -1.208  -0.881 -1.102  -0.797 -0.994  -0.713 -0.885  -0.630 -0.776  -0.546 -0.668  -0.462 -0.559  -0.379 -0.450  -0.295 -0.342  -0.212 -0.233  -0.128 -0.124  -0.044 -0.015  0.039 0.093  0.123 0.202  0.206 0.311  0.290 0.419  0.374 0.528  0.457 0.637  0.541 0.745  0.624 0.854  0.708 0.963  0.792 1.071  0.875 1.180  0.959 1.289  1.043 1.398  1.020 1.454  0.883 1.454  0.746 1.454  0.676 1.386  0.676 1.249
1c#app#app25#app2587/e  -0.098 0.020  0.060 0.020  0.217 0.020  0.375 0.020  0.533 0.020  0.691 0.020  0.849 0.020  0.989 0.063  1.101 0.175  1.154 0.311  1.154 0.469  1.154 0.627  1.056 0.744  0.944 0.855  0.786 0.855  0.628 0.855  0.470 0.855  0.312 0.855  0.154 0.855  -0.004 0.855  -0.162 0.855  -0.316 0.846  -0.428 0.734  -0.549 0.646  -0.707 0.646  -0.824 0.547  -0.934 0.434  -0.934 0.276  -1.043 0.228  -1.142 0.169  -1.142 0.011  -1.142 -0.147  -1.142 -0.304  -1.142 -0.462  -1.129 -0.607  -0.971 -0.607  -0.813 -0.607  -0.675 -0.656  -0.564 -0.768  -0.425 -0.815  -0.267 -0.815  -0.109 -0.815  0.049 -0.815  0.207 -0.815  0.364 -0.815  0.522 -0.815  0.528 -0.968  0.630 -1.024  0.787 -1.024  0.945 -1.024
1c#app#app25#app2587/d  -0.134 -0.620  -0.134 -0.442  -0.266 -0.396  -0.419 -0.335  -0.577 -0.284  -0.755 -0.284  -0.933 -0.284  -1.088 -0.340  -1.244 -0.396  -1.368 -0.515  -1.368 -0.694  -1.256 -0.760  -1.163 -0.845  -0.984 -0.845  -0.806 -0.845  -0.628 -0.845  -0.562 -0.733  -0.409 -0.671  -0.283 -0.545  -0.157 -0.419  -0.030 -0.292  0.096 -0.166  0.215 -0.035  0.295 0.124  0.409 0.259  0.564 0.346  0.708 0.446  0.834 0.572  0.929 0.721  1.021 0.871  1.147 0.998  1.213 1.149  1.213 1.327  1.213 1.293  1.058 1.245  0.932 1.119  0.806 0.993  0.710 0.844  0.619 0.693  0.492 0.567  0.366 0.441  0.240 0.315  0.114 0.189  -0.012 0.063  -0.059 -0.096  -0.134 -0.244  -0.134 -0.422  -0.134 -0.600  -0.134 -0.779  -0.022 -0.845
1c#app#app25#app2587/o  0.647 0.685  0.493 0.762  0.338 0.839  0.184 0.916  0.148 0.802  0.093 0.685  -0.079 0.685  -0.252 0.685  -0.424 0.685  -0.597 0.685  -0.769 0.685  -0.848 0.592  -0.864 0.436  -1.037 0.436  -1.098 0.324  -1.132 0.186  -1.305 0.186  -1.347 0.056  -1.347 -0.116  -1.347 -0.289  -1.347 -0.461  -1.275 -0.561  -1.102 -0.561  -0.930 -0.561  -0.758 -0.561  -0.585 -0.561  -0.413 -0.561  -0.240 -0.561  -0.068 -0.561  0.104 -0.561  0.277 -0.561  0.449 -0.561  0.621 -0.561  0.751 -0.457  0.872 -0.335  0.994 -0.213  1.116 -0.092  1.145 0.069  1.145 0.241  1.145 0.414  1.039 0.329  0.917 0.207  0.896 0.044  0.849 -0.109  0.727 -0.231  0.647 -0.370  0.647 -0.542  0.800 -0.561  0.973 -0.561  1.145 -0.561
1c#app#app25#app2587/b  1.035 2.120  0.948 1.947  0.862 1.774  0.775 1.602  0.689 1.429  0.577 1.274  0.452 1.132  0.436 0.955  0.258 0.940  0.248 0.751  0.111 0.614  -0.063 0.567  -0.130 0.441  -0.130 0.248  -0.218 0.091  -0.354 -0.046  -0.491 -0.182  -0.518 -0.364  -0.627 -0.512  -0.785 -0.598  -0.907 -0.670  -0.907 -0.863  -0.907 -0.916  -0.838 -0.792  -0.713 -0.724  -0.665 -0.550  -0.528 -0.413  -0.339 -0.404  -0.324 -0.225  -0.147 -0.210  -0.130 -0.033  0.046 -0.015  0.064 0.160  0.064 0.353  0.238 0.373  0.258 0.200  0.258 0.007  0.429 -0.015  0.452 -0.186  0.572 -0.329  0.646 -0.492  0.646 -0.685  0.585 -0.853  0.447 -0.986  0.254 -0.986  0.061 -0.986  -0.133 -0.986  -0.326 -0.986  -0.519 -0.986  -0.713 -0.986
1c#app#app25#app2587/b  1.075 2.010  0.989 1.881  0.903 1.752  0.817 1.623  0.731 1.494  0.638 1.370  0.529 1.260  0.464 1.132  0.453 0.981  0.343 0.871  0.260 0.750  0.260 0.595  0.116 0.584  -0.011 0.516  -0.121 0.407  -0.147 0.262  -0.197 0.127  -0.306 0.018  -0.416 -0.092  -0.526 -0.202  -0.555 -0.345  -0.555 -0.500  -0.555 -0.656  -0.555 -0.811  -0.643 -0.930  -0.752 -1.040  -0.759 -0.899  -0.689 -0.773  -0.580 -0.663  -0.555 -0.518  -0.483 -0.435  -0.351 -0.411  -0.351 -0.256  -0.259 -0.139  -0.149 -0.029  0.005 -0.027  0.056 0.077  0.056 0.121  0.056 -0.034  0.056 -0.189  0.137 -0.311  0.246 -0.421  0.260 -0.570  0.260 -0.726  0.260 -0.881  0.260 -1.036  0.260 -1.191  0.163 -1.250  0.008 -1.250  -0.147 -1.250
1c#app#app25#app2587/e  -0.621 0.088  -0.458 0.088  -0.294 0.088  -0.131 0.088  0.032 0.088  0.195 0.088  0.359 0.088  0.522 0.088  0.685 0.088  0.849 0.088  0.973 0.181  1.067 0.306  1.073 0.463  1.236 0.463  1.255 0.608  1.255 0.771  1.158 0.838  0.995 0.838  0.832 0.838  0.668 0.838  0.505 0.838  0.342 0.838  0.178 0.838  0.015 0.838  -0.122 0.774  -0.237 0.659  -0.397 0.650  -0.523 0.561  -0.638 0.445  -0.754 0.330  -0.895 0.275  -0.996 0.213  -0.996 0.050  -0.996 -0.113  -0.996 -0.276  -0.996 -0.440  -0.996 -0.603  -0.996 -0.766  -0.916 -0.850  -0.808 -0.905  -0.777 -1.038  -0.614 -1.038  -0.451 -1.038  -0.288 -1.038  -0.124 -1.038  0.039 -1.038  0.202 -1.038  0.365 -1.038  0.529 -1.038  0.692 -1.038
