1c#tos#t2#t2049062/d  0.119 0.383  -0.086 0.383  -0.292 0.383  -0.456 0.284  -0.622 0.169  -0.714 -0.014  -0.892 -0.099  -0.972 -0.282  -1.043 -0.472  -1.043 -0.677  -0.937 -0.777  -0.803 -0.899  -0.628 -0.990  -0.423 -0.990  -0.218 -0.990  -0.013 -0.990  0.192 -0.990  0.378 -0.942  0.517 -0.856  0.514 -0.663  0.482 -0.461  0.450 -0.258  0.417 -0.055  0.385 0.147  0.352 0.350  0.320 0.552  0.288 0.755  0.255 0.958  0.223 1.160  0.190 1.363  0.158 1.566  0.125 1.768  0.013 1.751  0.013 1.546  0.066 1.363  0.066 1.158  0.066 0.952  0.068 0.748  0.119 0.551  0.119 0.345  0.139 0.143  0.172 -0.058  0.256 -0.229  0.277 -0.425  0.329 -0.618  0.330 -0.823  0.384 -1.018  0.436 -1.213  0.436 -1.418  0.489 -1.571
1c#tos#t2#t2049062/e  -0.620 0.444  -0.620 0.275  -0.620 0.106  -0.620 -0.062  -0.522 -0.132  -0.353 -0.132  -0.185 -0.132  -0.032 -0.081  0.111 0.009  0.251 0.099  0.406 0.129  0.490 0.274  0.564 0.412  0.660 0.541  0.724 0.645  0.724 0.814  0.697 0.956  0.548 1.003  0.401 1.084  0.232 1.084  0.064 1.084  -0.105 1.084  -0.273 1.084  -0.427 1.020  -0.532 0.956  -0.621 0.827  -0.740 0.708  -0.812 0.569  -0.812 0.401  -0.812 0.232  -0.876 0.127  -0.876 -0.041  -0.832 -0.203  -0.764 -0.357  -0.653 -0.450  -0.589 -0.580  -0.461 -0.676  -0.318 -0.763  -0.184 -0.862  -0.049 -0.959  0.109 -1.015  0.262 -1.085  0.429 -1.092  0.598 -1.092  0.766 -1.092  0.935 -1.092  1.103 -1.092  1.268 -1.076  1.415 -0.994  1.555 -0.900
1c#tos#t2#t2049062/j  -0.176 1.310  -0.270 1.310  -0.350 1.295  -0.350 1.200  -0.321 1.135  -0.228 1.124  -0.138 1.094  -0.044 1.092  0.051 1.092  0.146 1.092  0.241 1.092  0.335 1.092  0.430 1.092  0.418 1.004  0.399 0.911  0.381 0.818  0.362 0.726  0.348 0.632  0.348 0.538  0.317 0.460  0.238 0.407  0.217 0.324  0.217 0.229  0.217 0.134  0.219 0.040  0.261 -0.045  0.261 -0.140  0.261 -0.234  0.291 -0.322  0.304 -0.414  0.304 -0.508  0.304 -0.603  0.291 -0.695  0.261 -0.785  0.208 -0.864  0.159 -0.945  0.100 -1.003  0.026 -1.036  -0.035 -1.090  -0.125 -1.109  -0.214 -1.134  -0.307 -1.136  -0.360 -1.178  -0.455 -1.178  -0.549 -1.178  -0.644 -1.178  -0.739 -1.178  -0.820 -1.145  -0.874 -1.098  -0.918 -1.047
1c#tos#t2#t2049062/n  -0.489 1.419  -0.489 1.256  -0.636 1.240  -0.668 1.108  -0.668 0.945  -0.658 0.783  -0.619 0.625  -0.608 0.463  -0.608 0.299  -0.608 0.136  -0.608 -0.027  -0.593 -0.188  -0.548 -0.345  -0.503 -0.502  -0.489 -0.663  -0.489 -0.826  -0.489 -0.990  -0.489 -1.145  -0.489 -0.982  -0.489 -0.819  -0.489 -0.656  -0.489 -0.493  -0.489 -0.329  -0.489 -0.166  -0.620 -0.134  -0.668 -0.019  -0.598 0.115  -0.470 0.217  -0.369 0.326  -0.323 0.481  -0.215 0.583  -0.075 0.638  0.087 0.642  0.250 0.642  0.412 0.638  0.492 0.523  0.635 0.474  0.725 0.364  0.825 0.251  0.869 0.095  0.885 -0.066  0.934 -0.221  0.945 -0.383  0.995 -0.534  1.124 -0.621  1.204 -0.751  1.291 -0.851  1.454 -0.851  1.618 -0.851  1.781 -0.851
1c#tos#t2#t2049062/o  -0.481 1.130  -0.571 1.050  -0.601 0.897  -0.629 0.744  -0.702 0.663  -0.702 0.507  -0.702 0.352  -0.723 0.201  -0.776 0.058  -0.776 -0.098  -0.776 -0.253  -0.750 -0.402  -0.680 -0.541  -0.611 -0.680  -0.555 -0.823  -0.555 -0.978  -0.466 -1.088  -0.310 -1.088  -0.185 -1.162  -0.030 -1.162  0.126 -1.162  0.281 -1.162  0.406 -1.088  0.553 -1.052  0.700 -1.014  0.771 -0.877  0.825 -0.743  0.924 -0.629  0.941 -0.480  0.998 -0.348  0.998 -0.193  0.998 -0.037  0.998 0.118  0.976 0.265  0.916 0.390  0.776 0.406  0.765 0.559  0.688 0.686  0.539 0.701  0.408 0.760  0.253 0.763  0.124 0.850  -0.014 0.908  -0.170 0.908  -0.325 0.908  -0.407 0.791  -0.458 0.686  -0.613 0.686  -0.695 0.612  -0.702 0.464
1c#tos#t2#t2049062/p  -0.650 1.204  -0.712 1.055  -0.597 0.962  -0.434 0.958  -0.270 0.958  -0.106 0.958  0.054 0.945  0.205 0.883  0.364 0.843  0.525 0.830  0.641 0.714  0.778 0.650  0.879 0.548  0.890 0.387  0.890 0.223  0.763 0.125  0.705 -0.003  0.570 -0.039  0.453 -0.152  0.298 -0.204  0.135 -0.212  -0.029 -0.212  -0.101 -0.116  -0.110 0.048  -0.119 0.211  -0.128 0.375  -0.137 0.539  -0.146 0.702  -0.156 0.866  -0.280 0.886  -0.342 0.784  -0.342 0.620  -0.339 0.457  -0.287 0.302  -0.280 0.139  -0.280 -0.025  -0.280 -0.189  -0.276 -0.352  -0.237 -0.511  -0.219 -0.673  -0.219 -0.837  -0.219 -1.000  -0.219 -1.164  -0.219 -1.328  -0.192 -1.484  -0.101 -1.620  -0.096 -1.782  -0.064 -1.939  0.009 -2.085  0.028 -2.245
1c#tos#t2#t2049062/s  0.799 0.820  0.668 0.826  0.567 0.912  0.455 0.986  0.328 1.009  0.221 1.071  0.087 1.071  -0.047 1.071  -0.178 1.060  -0.305 1.017  -0.432 0.975  -0.520 0.905  -0.628 0.856  -0.758 0.823  -0.835 0.726  -0.835 0.593  -0.944 0.569  -0.906 0.506  -0.772 0.506  -0.677 0.443  -0.601 0.335  -0.475 0.317  -0.341 0.317  -0.220 0.262  -0.101 0.202  0.025 0.170  0.147 0.116  0.274 0.074  0.369 -0.016  0.436 -0.122  0.558 -0.143  0.622 -0.259  0.673 -0.371  0.732 -0.491  0.799 -0.598  0.799 -0.732  0.799 -0.865  0.739 -0.939  0.644 -1.031  0.549 -1.126  0.417 -1.130  0.297 -1.190  0.164 -1.191  0.030 -1.191  -0.103 -1.191  -0.237 -1.191  -0.371 -1.191  -0.504 -1.191  -0.638 -1.191  -0.772 -1.191
1c#tos#t2#t2049062/u  -1.069 1.280  -1.136 1.193  -1.136 1.040  -1.136 0.886  -1.136 0.733  -1.136 0.579  -1.136 0.425  -1.136 0.272  -1.130 0.119  -1.081 -0.026  -1.069 -0.178  -1.069 -0.332  -0.933 -0.401  -0.805 -0.463  -0.732 -0.586  -0.610 -0.664  -0.479 -0.722  -0.360 -0.805  -0.206 -0.805  -0.053 -0.805  0.098 -0.793  0.230 -0.716  0.339 -0.608  0.409 -0.471  0.517 -0.362  0.612 -0.248  0.612 -0.095  0.678 0.031  0.668 0.184  0.659 0.338  0.649 0.491  0.639 0.644  0.630 0.798  0.620 0.951  0.604 1.053  0.555 0.908  0.545 0.756  0.545 0.602  0.545 0.448  0.545 0.295  0.545 0.141  0.545 -0.012  0.545 -0.166  0.574 -0.311  0.660 -0.438  0.680 -0.586  0.682 -0.738  0.814 -0.810  0.855 -0.954  0.948 -1.074
1c#tos#t2#t2049062/v  -0.873 1.291  -0.933 1.238  -0.978 1.171  -0.992 1.074  -0.992 0.962  -0.992 0.850  -0.939 0.760  -0.860 0.681  -0.813 0.588  -0.813 0.476  -0.773 0.374  -0.705 0.287  -0.694 0.179  -0.694 0.067  -0.621 0.000  -0.574 -0.083  -0.524 -0.183  -0.474 -0.283  -0.455 -0.391  -0.453 -0.502  -0.353 -0.552  -0.336 -0.653  -0.275 -0.740  -0.196 -0.819  -0.101 -0.859  -0.048 -0.918  0.022 -0.960  0.082 -1.012  0.168 -1.038  0.237 -0.968  0.287 -0.867  0.346 -0.774  0.381 -0.676  0.420 -0.581  0.499 -0.501  0.550 -0.401  0.584 -0.305  0.678 -0.243  0.756 -0.168  0.808 -0.069  0.870 0.025  0.918 0.122  0.928 0.231  0.990 0.324  1.056 0.414  1.136 0.493  1.157 0.596  1.157 0.708  1.217 0.761  1.217 0.873
1c#tos#t2#t2049062/y  -0.460 1.293  -0.481 1.186  -0.535 1.090  -0.535 0.977  -0.485 0.879  -0.414 0.791  -0.351 0.697  -0.272 0.616  -0.215 0.530  -0.112 0.493  -0.026 0.427  0.087 0.427  0.200 0.427  0.307 0.441  0.387 0.521  0.414 0.623  0.498 0.699  0.557 0.775  0.557 0.888  0.557 1.002  0.519 0.954  0.482 0.849  0.444 0.774  0.414 0.691  0.393 0.588  0.331 0.518  0.315 0.412  0.243 0.326  0.204 0.221  0.180 0.110  0.172 -0.000  0.109 -0.094  0.079 -0.203  0.039 -0.308  -0.011 -0.410  -0.053 -0.515  -0.090 -0.622  -0.112 -0.733  -0.146 -0.840  -0.188 -0.945  -0.214 -1.055  -0.236 -1.166  -0.259 -1.277  -0.279 -1.388  -0.298 -1.500  -0.323 -1.610  -0.347 -1.719  -0.347 -1.833  -0.347 -1.946  -0.347 -2.059
1c#tos#t2#t2049062/z  -0.708 1.084  -0.778 1.007  -0.834 0.977  -0.706 0.977  -0.578 0.977  -0.450 0.977  -0.321 0.977  -0.215 1.031  -0.087 1.031  0.041 1.031  0.169 1.031  0.298 1.031  0.426 1.031  0.554 1.031  0.629 0.977  0.576 0.904  0.547 0.788  0.457 0.697  0.366 0.606  0.323 0.486  0.235 0.405  0.161 0.307  0.078 0.211  -0.013 0.121  -0.119 0.050  -0.201 -0.043  -0.259 -0.158  -0.337 -0.257  -0.419 -0.355  -0.490 -0.462  -0.542 -0.569  -0.633 -0.660  -0.654 -0.779  -0.708 -0.854  -0.684 -0.972  -0.568 -1.002  -0.440 -1.002  -0.312 -1.002  -0.183 -1.002  -0.055 -1.002  0.073 -1.002  0.201 -1.002  0.326 -0.979  0.449 -0.949  0.577 -0.949  0.705 -0.949  0.834 -0.949  0.962 -0.949  1.090 -0.949  1.218 -0.949
