3#apb#apb35#app3591/.  1.675 0.279  1.606 0.268  1.538 0.256  1.470 0.245  1.401 0.234  1.333 0.222  1.265 0.211  1.196 0.199  1.128 0.188  1.059 0.177  0.991 0.165  0.923 0.154  0.854 0.142  0.786 0.131  0.718 0.120  0.649 0.108  0.581 0.097  0.513 0.085  0.444 0.074  0.376 0.063  0.308 0.051  0.239 0.040  0.171 0.028  0.103 0.017  0.034 0.006  -0.034 -0.006  -0.103 -0.017  -0.171 -0.028  -0.239 -0.040  -0.308 -0.051  -0.376 -0.063  -0.444 -0.074  -0.513 -0.085  -0.581 -0.097  -0.649 -0.108  -0.718 -0.120  -0.786 -0.131  -0.854 -0.142  -0.923 -0.154  -0.991 -0.165  -1.059 -0.177  -1.128 -0.188  -1.196 -0.199  -1.265 -0.211  -1.333 -0.222  -1.401 -0.234  -1.470 -0.245  -1.538 -0.256  -1.606 -0.268  -1.675 -0.279
3#apb#apb35#app3591/,  -0.847 1.110  -0.847 1.185  -0.834 1.242  -0.764 1.218  -0.693 1.195  -0.622 1.173  -0.549 1.155  -0.477 1.137  -0.405 1.119  -0.345 1.079  -0.298 1.022  -0.251 0.964  -0.203 0.907  -0.156 0.849  -0.108 0.792  -0.061 0.734  -0.027 0.668  0.004 0.600  0.035 0.532  0.066 0.465  0.097 0.397  0.128 0.329  0.159 0.261  0.190 0.193  0.212 0.122  0.230 0.050  0.249 -0.022  0.268 -0.095  0.286 -0.167  0.305 -0.239  0.324 -0.311  0.343 -0.383  0.354 -0.456  0.351 -0.531  0.349 -0.605  0.346 -0.680  0.343 -0.754  0.340 -0.829  0.338 -0.904  0.335 -0.978  0.329 -1.052  0.297 -1.119  0.264 -1.186  0.232 -1.253  0.199 -1.321  0.167 -1.388  0.135 -1.455  0.102 -1.522  0.070 -1.589  0.038 -1.657
3#apb#apb35#app3591/;  -0.088 1.530  -0.046 1.593  -0.030 1.618  -0.007 1.551  -0.014 1.475  -0.022 1.400  -0.029 1.325  -0.036 1.249  -0.043 1.174  -0.050 1.099  -0.057 1.023  -0.064 0.948  -0.071 0.873  -0.078 0.797  -0.085 0.722  -0.093 0.647  -0.100 0.571  -0.107 0.496  -0.114 0.421  -0.121 0.345  -0.128 0.270  -0.135 0.195  -0.142 0.120  -0.149 0.044  -0.156 -0.031  -0.163 -0.106  -0.171 -0.182  -0.178 -0.257  -0.185 -0.332  -0.192 -0.408  -0.199 -0.483  -0.206 -0.558  -0.213 -0.634  -0.220 -0.709  -0.166 -0.746  -0.104 -0.789  -0.042 -0.833  0.023 -0.870  0.093 -0.899  0.162 -0.929  0.219 -0.974  0.263 -1.036  0.307 -1.098  0.351 -1.159  0.381 -1.228  0.407 -1.299  0.432 -1.370  0.449 -1.443  0.456 -1.519  0.463 -1.594
3#apb#apb35#app3591/:  0.298 1.525  0.258 1.584  0.234 1.576  0.223 1.506  0.213 1.435  0.203 1.365  0.192 1.295  0.182 1.224  0.171 1.154  0.161 1.084  0.150 1.013  0.140 0.943  0.130 0.872  0.119 0.802  0.109 0.732  0.098 0.661  0.088 0.591  0.077 0.521  0.067 0.450  0.057 0.380  0.046 0.309  0.036 0.239  0.025 0.169  0.015 0.098  0.005 0.028  -0.006 -0.042  -0.016 -0.113  -0.027 -0.183  -0.037 -0.254  -0.048 -0.324  -0.058 -0.394  -0.068 -0.465  -0.079 -0.535  -0.089 -0.605  -0.100 -0.676  -0.110 -0.746  -0.121 -0.817  -0.131 -0.887  -0.141 -0.957  -0.152 -1.028  -0.162 -1.098  -0.173 -1.168  -0.183 -1.239  -0.194 -1.309  -0.204 -1.380  -0.214 -1.450  -0.225 -1.520  -0.249 -1.502  -0.281 -1.439  -0.228 -1.427
3#apb#apb35#app3591/$  0.551 0.869  0.320 0.846  0.104 0.749  -0.085 0.608  -0.275 0.467  -0.465 0.326  -0.419 0.215  -0.197 0.154  0.032 0.096  0.258 0.028  0.473 -0.072  0.616 -0.250  0.663 -0.480  0.654 -0.701  0.495 -0.875  0.292 -0.994  0.065 -1.061  -0.162 -1.125  -0.385 -1.190  -0.591 -1.139  -0.527 -0.911  -0.463 -0.683  -0.399 -0.456  -0.334 -0.228  -0.270 -0.000  -0.206 0.227  -0.141 0.455  -0.077 0.683  -0.013 0.910  0.051 1.138  0.116 1.365  0.180 1.593  0.244 1.821  0.235 1.732  0.182 1.502  0.127 1.272  0.102 1.037  0.080 0.801  0.058 0.566  0.033 0.330  0.008 0.095  -0.020 -0.140  -0.053 -0.374  -0.085 -0.608  -0.100 -0.844  -0.108 -1.080  -0.125 -1.316  -0.152 -1.551  -0.155 -1.786  -0.131 -2.021
3#apb#apb35#app3591/#  -0.597 0.931  -0.560 0.518  -0.595 0.104  -0.647 -0.309  -0.688 -0.723  -0.726 -1.137  -0.604 -1.015  -0.400 -0.652  -0.196 -0.290  0.008 0.073  0.212 0.436  0.416 0.799  0.620 1.162  0.675 1.022  0.655 0.609  0.628 0.196  0.606 -0.219  0.573 -0.634  0.590 -1.049  0.585 -1.224  0.258 -0.967  -0.070 -0.711  -0.397 -0.454  -0.725 -0.197  -1.052 0.059  -1.380 0.316  -1.628 0.593  -1.224 0.514  -0.811 0.543  -0.396 0.522  0.020 0.508  0.436 0.508  0.852 0.512  1.267 0.525  1.434 0.482  1.027 0.396  0.620 0.310  0.213 0.224  -0.194 0.138  -0.601 0.051  -1.009 -0.035  -1.295 -0.175  -0.938 -0.315  -0.522 -0.315  -0.106 -0.331  0.306 -0.289  0.720 -0.247  1.134 -0.256  1.548 -0.253  1.958 -0.252
3#apb#apb35#app3591/&  -0.884 -1.197  -0.808 -1.055  -0.705 -0.934  -0.591 -0.821  -0.494 -0.693  -0.400 -0.562  -0.311 -0.428  -0.222 -0.294  -0.144 -0.153  -0.066 -0.012  0.023 0.121  0.115 0.253  0.204 0.387  0.282 0.529  0.359 0.670  0.437 0.811  0.515 0.952  0.592 1.093  0.670 1.234  0.583 1.336  0.451 1.427  0.318 1.518  0.189 1.580  0.085 1.458  -0.002 1.323  -0.053 1.174  -0.036 1.015  -0.007 0.857  0.032 0.701  0.087 0.550  0.164 0.411  0.239 0.270  0.306 0.123  0.364 -0.026  0.413 -0.179  0.458 -0.334  0.485 -0.492  0.506 -0.652  0.461 -0.789  0.401 -0.937  0.265 -1.021  0.119 -1.084  -0.036 -1.127  -0.194 -1.152  -0.354 -1.144  -0.512 -1.112  -0.665 -1.064  -0.800 -0.979  -0.894 -0.851  -0.944 -0.699
3#apb#apb35#app3591/!  0.061 1.695  0.049 1.626  0.038 1.558  0.028 1.489  0.019 1.420  0.010 1.351  0.001 1.282  -0.006 1.213  -0.013 1.144  -0.020 1.075  -0.027 1.005  -0.034 0.936  -0.041 0.867  -0.043 0.798  -0.045 0.728  -0.047 0.659  -0.049 0.589  -0.052 0.520  -0.054 0.450  -0.051 0.381  -0.049 0.311  -0.047 0.242  -0.044 0.172  -0.042 0.103  -0.037 0.033  -0.030 -0.036  -0.024 -0.105  -0.018 -0.174  -0.008 -0.243  0.004 -0.312  0.016 -0.380  0.023 -0.449  0.024 -0.519  0.024 -0.588  0.025 -0.658  0.026 -0.727  0.026 -0.797  0.027 -0.866  0.028 -0.936  0.029 -1.005  0.029 -1.075  0.030 -1.144  0.031 -1.214  0.031 -1.283  0.032 -1.353  0.033 -1.422  0.033 -1.492  0.034 -1.561  0.035 -1.631  0.035 -1.675
3#apb#apb35#app3591/?  -0.447 1.137  -0.361 1.158  -0.276 1.179  -0.190 1.196  -0.105 1.172  -0.021 1.148  0.066 1.137  0.154 1.137  0.241 1.127  0.328 1.112  0.408 1.078  0.481 1.029  0.536 0.961  0.579 0.886  0.573 0.806  0.529 0.730  0.475 0.660  0.420 0.592  0.343 0.549  0.273 0.499  0.227 0.424  0.180 0.349  0.124 0.282  0.058 0.224  -0.005 0.162  -0.064 0.097  -0.124 0.032  -0.199 -0.013  -0.275 -0.058  -0.301 -0.142  -0.319 -0.227  -0.300 -0.313  -0.284 -0.400  -0.267 -0.486  -0.251 -0.573  -0.235 -0.659  -0.218 -0.746  -0.202 -0.833  -0.186 -0.919  -0.169 -1.006  -0.153 -1.093  -0.136 -1.179  -0.120 -1.266  -0.104 -1.352  -0.087 -1.439  -0.071 -1.526  -0.055 -1.612  -0.069 -1.674  -0.157 -1.674  -0.245 -1.674
3#apb#apb35#app3591/  0.594 1.587  0.561 1.526  0.528 1.465  0.494 1.404  0.461 1.343  0.428 1.282  0.401 1.219  0.379 1.153  0.357 1.087  0.335 1.022  0.313 0.956  0.292 0.890  0.270 0.824  0.249 0.758  0.228 0.692  0.206 0.626  0.185 0.560  0.164 0.494  0.142 0.428  0.118 0.363  0.095 0.297  0.072 0.232  0.049 0.167  0.026 0.101  0.003 0.036  -0.020 -0.030  -0.041 -0.096  -0.062 -0.162  -0.083 -0.228  -0.103 -0.294  -0.124 -0.360  -0.145 -0.426  -0.166 -0.493  -0.186 -0.559  -0.208 -0.625  -0.229 -0.691  -0.250 -0.757  -0.271 -0.823  -0.293 -0.889  -0.314 -0.955  -0.339 -1.020  -0.364 -1.084  -0.389 -1.149  -0.415 -1.213  -0.440 -1.278  -0.462 -1.343  -0.482 -1.410  -0.502 -1.476  -0.522 -1.543  -0.542 -1.609
3#apb#apb35#app3591/'  0.331 1.090  0.331 1.165  0.331 1.239  0.331 1.313  0.331 1.387  0.331 1.421  0.331 1.347  0.331 1.273  0.331 1.199  0.331 1.124  0.331 1.050  0.331 0.976  0.331 0.902  0.331 0.827  0.300 0.760  0.268 0.692  0.237 0.625  0.206 0.558  0.175 0.490  0.144 0.423  0.113 0.355  0.082 0.288  0.051 0.221  0.020 0.153  -0.012 0.086  -0.043 0.018  -0.074 -0.049  -0.105 -0.117  -0.136 -0.184  -0.167 -0.251  -0.197 -0.319  -0.206 -0.393  -0.215 -0.467  -0.224 -0.540  -0.234 -0.614  -0.243 -0.688  -0.252 -0.761  -0.261 -0.835  -0.271 -0.909  -0.280 -0.982  -0.289 -1.056  -0.298 -1.130  -0.307 -1.203  -0.317 -1.277  -0.326 -1.351  -0.335 -1.424  -0.344 -1.498  -0.353 -1.572  -0.363 -1.645  -0.372 -1.719
