1b#tos#f2#f2044065/A  0.554 1.449  0.427 1.290  0.276 1.103  0.176 0.859  -0.017 0.675  -0.158 0.450  -0.299 0.222  -0.445 -0.002  -0.574 -0.233  -0.744 -0.437  -0.876 -0.665  -1.033 -0.882  -1.168 -1.109  -1.136 -1.098  -1.004 -0.864  -0.872 -0.631  -0.739 -0.397  -0.607 -0.163  -0.475 0.071  -0.343 0.305  -0.211 0.539  -0.079 0.773  0.053 1.006  0.185 1.240  0.317 1.474  0.391 1.395  0.521 1.192  0.577 0.931  0.696 0.695  0.774 0.450  0.812 0.188  0.847 -0.078  0.924 -0.325  0.978 -0.587  1.010 -0.848  1.043 -1.084  0.978 -1.164  0.748 -1.024  0.519 -0.884  0.290 -0.744  0.061 -0.604  -0.168 -0.464  -0.397 -0.324  -0.627 -0.184  -0.815 -0.218  -0.608 -0.279  -0.339 -0.279  -0.071 -0.279  0.193 -0.246  0.456 -0.213
1b#tos#f2#f2044065/F  0.135 1.236  -0.050 1.148  -0.085 0.908  -0.127 0.670  -0.161 0.429  -0.278 0.232  -0.308 -0.000  -0.438 -0.197  -0.499 -0.434  -0.536 -0.676  -0.605 -0.909  -0.641 -1.146  -0.715 -1.373  -0.715 -1.619  -0.691 -1.575  -0.651 -1.333  -0.612 -1.092  -0.572 -0.850  -0.532 -0.608  -0.492 -0.366  -0.453 -0.124  -0.413 0.118  -0.373 0.360  -0.333 0.602  -0.294 0.843  -0.178 1.015  0.067 1.015  0.312 1.015  0.557 1.011  0.798 0.978  1.043 0.978  1.288 0.978  1.475 0.959  1.275 0.818  1.074 0.677  0.874 0.536  0.673 0.395  0.473 0.254  0.273 0.113  0.072 -0.028  -0.128 -0.169  -0.329 -0.310  -0.524 -0.457  -0.537 -0.610  -0.292 -0.610  -0.047 -0.610  0.193 -0.574  0.438 -0.574  0.676 -0.543  0.910 -0.500
1b#tos#f2#f2044065/G  0.760 0.679  0.628 0.772  0.540 0.966  0.529 1.187  0.425 1.310  0.246 1.407  0.021 1.407  -0.161 1.330  -0.373 1.256  -0.555 1.175  -0.708 1.030  -0.849 0.856  -0.922 0.656  -1.011 0.451  -1.093 0.248  -1.126 0.026  -1.126 -0.199  -1.069 -0.406  -0.990 -0.603  -0.836 -0.761  -0.653 -0.876  -0.428 -0.876  -0.203 -0.876  0.021 -0.859  0.188 -0.753  0.364 -0.644  0.519 -0.531  0.385 -0.368  0.225 -0.209  0.066 -0.050  -0.093 0.109  -0.242 0.095  -0.083 0.059  0.137 0.083  0.362 0.083  0.584 0.105  0.803 0.138  1.017 0.183  0.941 0.183  0.715 0.183  0.557 0.116  0.465 -0.043  0.430 -0.263  0.382 -0.482  0.330 -0.697  0.303 -0.913  0.210 -1.112  0.198 -1.335  0.135 -1.535  0.032 -1.704
1b#tos#f2#f2044065/H  -0.572 0.909  -0.709 0.842  -0.709 0.668  -0.723 0.498  -0.783 0.335  -0.827 0.169  -0.895 0.013  -0.932 -0.157  -0.947 -0.329  -0.977 -0.499  -1.023 -0.665  -1.117 -0.799  -1.151 -0.967  -1.151 -0.942  -1.089 -0.780  -1.026 -0.618  -0.964 -0.456  -0.902 -0.294  -0.830 -0.146  -0.656 -0.146  -0.492 -0.115  -0.332 -0.057  -0.174 -0.010  0.000 -0.010  0.166 0.024  0.329 0.057  0.492 0.092  0.662 0.117  0.834 0.126  0.895 0.242  0.907 0.415  0.919 0.588  0.931 0.761  0.943 0.934  0.955 1.108  0.892 1.110  0.892 0.937  0.892 0.763  0.877 0.592  0.858 0.422  0.823 0.262  0.790 0.103  0.747 -0.061  0.669 -0.216  0.653 -0.386  0.652 -0.560  0.617 -0.729  0.551 -0.883  0.551 -1.056  0.483 -1.202
1b#tos#f2#f2044065/K  -0.499 1.642  -0.568 1.587  -0.568 1.365  -0.568 1.144  -0.568 0.922  -0.568 0.701  -0.568 0.479  -0.568 0.258  -0.568 0.036  -0.568 -0.185  -0.568 -0.407  -0.568 -0.628  -0.564 -0.849  -0.534 -1.068  -0.534 -1.289  -0.508 -1.494  -0.474 -1.342  -0.486 -1.121  -0.498 -0.899  -0.509 -0.678  -0.521 -0.457  -0.533 -0.236  -0.593 -0.128  -0.438 0.024  -0.252 0.139  -0.067 0.258  0.137 0.345  0.345 0.418  0.534 0.514  0.704 0.655  0.897 0.759  1.090 0.853  1.160 0.943  0.968 0.832  0.776 0.722  0.584 0.612  0.392 0.501  0.200 0.391  0.008 0.281  -0.184 0.170  -0.128 0.063  0.036 -0.067  0.200 -0.201  0.309 -0.366  0.478 -0.502  0.620 -0.671  0.812 -0.770  0.934 -0.955  1.103 -1.093  1.285 -1.207
1b#tos#f2#f2044065/M  -0.655 0.864  -0.692 0.767  -0.655 0.553  -0.655 0.334  -0.596 0.125  -0.585 -0.093  -0.567 -0.310  -0.567 -0.529  -0.567 -0.748  -0.567 -0.967  -0.585 -1.181  -0.626 -1.314  -0.626 -1.095  -0.626 -0.876  -0.626 -0.657  -0.626 -0.438  -0.626 -0.219  -0.626 -0.001  -0.626 0.218  -0.626 0.437  -0.626 0.656  -0.626 0.875  -0.767 0.953  -0.753 0.803  -0.707 0.609  -0.610 0.419  -0.475 0.249  -0.367 0.073  -0.194 -0.052  -0.012 -0.111  0.207 -0.111  0.384 -0.019  0.556 0.084  0.660 0.259  0.701 0.469  0.792 0.663  0.875 0.851  0.908 1.041  0.940 0.973  0.940 0.754  0.941 0.535  0.987 0.321  0.999 0.104  1.007 -0.114  1.058 -0.326  1.058 -0.545  1.069 -0.762  1.088 -0.978  1.114 -1.193  1.177 -1.352
1b#tos#f2#f2044065/Q  0.228 0.870  0.228 1.086  0.171 1.267  -0.025 1.315  -0.219 1.253  -0.397 1.136  -0.550 0.987  -0.694 0.828  -0.803 0.642  -0.881 0.444  -0.927 0.234  -0.974 0.024  -0.977 -0.192  -0.977 -0.408  -0.958 -0.620  -0.883 -0.819  -0.729 -0.967  -0.594 -1.095  -0.421 -1.200  -0.205 -1.200  0.004 -1.165  0.195 -1.076  0.368 -0.953  0.497 -0.780  0.609 -0.596  0.695 -0.401  0.737 -0.190  0.752 0.025  0.752 0.241  0.731 0.452  0.674 0.660  0.545 0.832  0.385 0.975  0.196 1.053  -0.020 1.053  -0.138 0.956  -0.134 0.740  -0.129 0.524  -0.124 0.309  -0.119 0.093  -0.115 -0.123  -0.156 -0.315  -0.070 -0.362  0.120 -0.440  0.308 -0.535  0.488 -0.643  0.626 -0.796  0.807 -0.913  0.957 -1.064  1.145 -1.148
1b#tos#f2#f2044065/S  0.745 0.635  0.745 0.764  0.692 0.871  0.628 0.976  0.570 1.091  0.460 1.145  0.334 1.165  0.207 1.188  0.078 1.191  -0.051 1.191  -0.180 1.191  -0.309 1.191  -0.395 1.111  -0.518 1.070  -0.629 1.008  -0.646 0.886  -0.685 0.773  -0.685 0.644  -0.685 0.515  -0.685 0.386  -0.656 0.262  -0.576 0.162  -0.503 0.056  -0.444 -0.053  -0.316 -0.071  -0.221 -0.141  -0.107 -0.193  0.015 -0.234  0.139 -0.265  0.263 -0.289  0.381 -0.338  0.466 -0.428  0.560 -0.482  0.666 -0.505  0.666 -0.634  0.692 -0.757  0.692 -0.886  0.614 -0.967  0.493 -0.994  0.429 -1.085  0.304 -1.117  0.178 -1.139  0.058 -1.178  -0.068 -1.192  -0.197 -1.192  -0.326 -1.192  -0.426 -1.160  -0.499 -1.061  -0.611 -1.016  -0.658 -0.901
1b#tos#f2#f2044065/T  -1.338 0.483  -1.374 0.348  -1.480 0.257  -1.502 0.198  -1.359 0.198  -1.216 0.198  -1.072 0.198  -0.929 0.198  -0.794 0.225  -0.671 0.299  -0.529 0.304  -0.387 0.313  -0.250 0.356  -0.113 0.395  0.028 0.411  0.172 0.411  0.294 0.479  0.437 0.483  0.580 0.483  0.723 0.483  0.866 0.483  1.010 0.483  1.151 0.493  1.290 0.518  1.232 0.517  1.089 0.512  0.946 0.508  0.803 0.503  0.660 0.498  0.517 0.493  0.373 0.489  0.230 0.484  0.158 0.391  0.051 0.305  -0.020 0.233  -0.020 0.090  -0.020 -0.054  -0.020 -0.197  -0.020 -0.340  -0.020 -0.483  0.009 -0.624  0.016 -0.766  0.039 -0.908  0.051 -1.050  0.051 -1.193  0.051 -1.337  0.051 -1.480  0.086 -1.617  0.086 -1.761  0.086 -1.904
1b#tos#f2#f2044065/U  -0.869 0.853  -0.927 0.794  -0.927 0.678  -0.869 0.586  -0.849 0.477  -0.812 0.372  -0.812 0.256  -0.799 0.142  -0.783 0.027  -0.776 -0.088  -0.754 -0.200  -0.754 -0.316  -0.697 -0.414  -0.697 -0.530  -0.643 -0.628  -0.595 -0.731  -0.555 -0.839  -0.526 -0.951  -0.425 -1.002  -0.348 -1.076  -0.238 -1.103  -0.123 -1.103  -0.015 -1.083  0.073 -1.017  0.184 -0.993  0.241 -0.895  0.333 -0.832  0.392 -0.741  0.454 -0.650  0.477 -0.540  0.528 -0.436  0.580 -0.332  0.637 -0.232  0.690 -0.129  0.713 -0.016  0.713 0.099  0.713 0.215  0.713 0.331  0.713 0.447  0.713 0.563  0.713 0.679  0.713 0.795  0.713 0.910  0.691 1.024  0.624 1.114  0.578 1.216  0.535 1.317  0.442 1.370  0.438 1.358  0.482 1.255
1b#tos#f2#f2044065/W  -1.171 1.100  -1.282 1.042  -1.258 0.888  -1.195 0.735  -1.124 0.575  -1.085 0.410  -1.046 0.237  -0.963 0.083  -0.911 -0.074  -0.911 -0.252  -0.810 -0.381  -0.747 -0.548  -0.714 -0.714  -0.643 -0.867  -0.565 -0.971  -0.533 -0.801  -0.450 -0.651  -0.408 -0.479  -0.356 -0.309  -0.305 -0.140  -0.276 0.031  -0.244 0.200  -0.190 0.363  -0.161 0.535  -0.101 0.701  -0.018 0.736  0.129 0.636  0.185 0.468  0.215 0.294  0.272 0.133  0.330 -0.031  0.352 -0.206  0.416 -0.372  0.417 -0.550  0.474 -0.710  0.574 -0.847  0.647 -0.979  0.734 -0.929  0.781 -0.765  0.881 -0.619  0.921 -0.449  0.996 -0.293  1.033 -0.127  1.081 0.037  1.095 0.212  1.139 0.382  1.139 0.560  1.179 0.732  1.225 0.900  1.254 1.071
