2#apb#apb07#app0799/b  -0.043 1.893  -0.075 1.768  -0.104 1.642  -0.133 1.516  -0.162 1.390  -0.191 1.264  -0.220 1.138  -0.249 1.012  -0.294 0.891  -0.341 0.771  -0.387 0.650  -0.425 0.527  -0.460 0.403  -0.492 0.277  -0.517 0.151  -0.489 0.144  -0.405 0.235  -0.293 0.299  -0.177 0.355  -0.058 0.406  0.070 0.412  0.199 0.412  0.309 0.351  0.414 0.276  0.508 0.187  0.599 0.096  0.690 0.004  0.726 -0.119  0.758 -0.244  0.788 -0.370  0.814 -0.496  0.839 -0.623  0.822 -0.749  0.791 -0.874  0.697 -0.958  0.585 -1.022  0.470 -1.079  0.345 -1.099  0.216 -1.099  0.086 -1.099  -0.039 -1.068  -0.163 -1.034  -0.287 -0.997  -0.408 -0.953  -0.530 -0.909  -0.646 -0.852  -0.758 -0.788  -0.863 -0.714  -0.823 -0.673  -0.695 -0.655
2#apb#apb07#app0799/e  -1.024 0.295  -0.869 0.244  -0.715 0.192  -0.560 0.144  -0.405 0.097  -0.249 0.050  -0.090 0.068  0.070 0.097  0.230 0.126  0.387 0.168  0.543 0.211  0.700 0.254  0.848 0.320  0.997 0.386  1.077 0.496  1.008 0.634  0.905 0.760  0.762 0.837  0.620 0.915  0.477 0.993  0.319 1.009  0.156 1.009  -0.006 1.009  -0.158 0.952  -0.308 0.892  -0.455 0.824  -0.577 0.717  -0.699 0.610  -0.798 0.486  -0.864 0.338  -0.930 0.190  -0.963 0.031  -0.969 -0.128  -0.926 -0.285  -0.884 -0.442  -0.809 -0.575  -0.672 -0.662  -0.535 -0.749  -0.398 -0.836  -0.253 -0.910  -0.107 -0.982  0.038 -1.055  0.192 -1.091  0.354 -1.091  0.517 -1.091  0.679 -1.091  0.842 -1.091  1.004 -1.091  1.167 -1.091  1.329 -1.091
2#apb#apb07#app0799/a  0.337 0.631  0.409 0.587  0.373 0.682  0.320 0.791  0.228 0.883  0.133 0.973  0.028 1.051  -0.095 1.033  -0.221 0.999  -0.347 0.965  -0.471 0.925  -0.595 0.884  -0.716 0.837  -0.801 0.738  -0.886 0.639  -0.966 0.536  -1.042 0.429  -1.103 0.318  -1.103 0.188  -1.103 0.057  -1.075 -0.066  -1.007 -0.178  -0.940 -0.290  -0.870 -0.400  -0.790 -0.503  -0.710 -0.606  -0.626 -0.703  -0.496 -0.717  -0.366 -0.731  -0.236 -0.729  -0.106 -0.715  0.021 -0.694  0.118 -0.607  0.215 -0.519  0.312 -0.432  0.412 -0.348  0.516 -0.270  0.621 -0.191  0.709 -0.097  0.799 -0.007  0.920 -0.003  0.980 -0.111  1.021 -0.235  1.021 -0.366  1.027 -0.494  1.103 -0.601  1.179 -0.707  1.238 -0.823  1.291 -0.942  1.345 -1.061
2#apb#apb07#app0799/t  -0.029 1.964  0.045 1.815  0.077 1.654  0.096 1.489  0.116 1.324  0.122 1.158  0.122 0.992  0.122 0.826  0.122 0.660  0.122 0.493  0.133 0.328  0.145 0.162  0.157 -0.004  0.169 -0.170  0.180 -0.335  0.194 -0.501  0.209 -0.667  0.223 -0.832  0.237 -0.998  0.237 -1.163  0.224 -1.329  0.207 -1.494  0.124 -1.555  -0.020 -1.473  -0.106 -1.332  -0.187 -1.187  -0.268 -1.042  -0.350 -0.897  -0.431 -0.752  -0.512 -0.607  -0.594 -0.462  -0.675 -0.318  -0.756 -0.173  -0.838 -0.028  -0.919 0.117  -1.000 0.262  -0.840 0.238  -0.674 0.233  -0.508 0.233  -0.342 0.233  -0.175 0.233  -0.009 0.233  0.156 0.248  0.320 0.273  0.484 0.298  0.649 0.323  0.813 0.349  0.977 0.371  1.142 0.393  1.307 0.415
2#apb#apb07#app0799/S  0.607 1.113  0.592 1.150  0.491 1.182  0.387 1.208  0.281 1.226  0.174 1.226  0.066 1.226  -0.040 1.213  -0.145 1.189  -0.250 1.165  -0.341 1.111  -0.427 1.047  -0.507 0.975  -0.583 0.899  -0.634 0.808  -0.664 0.704  -0.664 0.597  -0.659 0.490  -0.611 0.394  -0.557 0.302  -0.481 0.226  -0.405 0.150  -0.319 0.087  -0.224 0.036  -0.129 -0.015  -0.036 -0.070  0.053 -0.129  0.143 -0.189  0.232 -0.249  0.325 -0.303  0.419 -0.355  0.514 -0.406  0.607 -0.460  0.688 -0.525  0.721 -0.625  0.721 -0.732  0.656 -0.813  0.580 -0.889  0.500 -0.960  0.402 -1.005  0.304 -1.049  0.204 -1.090  0.104 -1.129  0.004 -1.167  -0.099 -1.199  -0.203 -1.227  -0.306 -1.258  -0.407 -1.296  -0.511 -1.316  -0.573 -1.270
2#apb#apb07#app0799/u  -1.284 0.915  -1.242 0.818  -1.201 0.722  -1.160 0.625  -1.118 0.529  -1.077 0.432  -1.031 0.338  -0.984 0.244  -0.938 0.150  -0.891 0.057  -0.844 -0.037  -0.797 -0.131  -0.750 -0.225  -0.703 -0.319  -0.656 -0.413  -0.586 -0.488  -0.504 -0.552  -0.421 -0.617  -0.338 -0.681  -0.252 -0.741  -0.164 -0.799  -0.077 -0.857  0.011 -0.913  0.116 -0.913  0.221 -0.913  0.325 -0.907  0.428 -0.886  0.514 -0.835  0.589 -0.761  0.663 -0.687  0.687 -0.592  0.687 -0.487  0.687 -0.382  0.687 -0.277  0.700 -0.173  0.714 -0.069  0.728 0.035  0.742 0.139  0.755 0.243  0.759 0.348  0.759 0.453  0.759 0.557  0.759 0.662  0.744 0.766  0.722 0.868  0.699 0.971  0.687 1.074  0.687 1.179  0.645 1.258  0.544 1.273
2#apb#apb07#app0799/s  0.526 1.178  0.623 1.178  0.720 1.178  0.663 1.178  0.566 1.178  0.471 1.169  0.382 1.130  0.294 1.090  0.205 1.051  0.120 1.005  0.037 0.956  -0.046 0.906  -0.129 0.856  -0.214 0.810  -0.303 0.771  -0.392 0.733  -0.475 0.685  -0.553 0.627  -0.636 0.579  -0.650 0.490  -0.650 0.393  -0.598 0.324  -0.517 0.270  -0.437 0.216  -0.364 0.153  -0.291 0.089  -0.218 0.025  -0.145 -0.039  -0.071 -0.102  0.002 -0.165  0.076 -0.228  0.146 -0.294  0.214 -0.363  0.267 -0.443  0.311 -0.529  0.348 -0.617  0.348 -0.714  0.348 -0.811  0.312 -0.901  0.274 -0.990  0.232 -1.077  0.169 -1.150  0.106 -1.224  0.043 -1.297  -0.020 -1.371  -0.083 -1.444  -0.146 -1.518  -0.213 -1.587  -0.289 -1.647  -0.365 -1.708
2#apb#apb07#app0799/a  0.462 0.537  0.576 0.598  0.503 0.709  0.388 0.801  0.257 0.867  0.124 0.928  -0.015 0.974  -0.154 1.020  -0.297 1.047  -0.442 1.067  -0.587 1.049  -0.728 1.018  -0.831 0.914  -0.935 0.811  -0.996 0.678  -1.054 0.544  -1.046 0.398  -1.035 0.252  -1.024 0.106  -0.990 -0.035  -0.940 -0.173  -0.890 -0.311  -0.824 -0.440  -0.742 -0.562  -0.661 -0.684  -0.547 -0.772  -0.418 -0.837  -0.274 -0.866  -0.166 -0.775  -0.072 -0.664  0.009 -0.542  0.090 -0.420  0.162 -0.292  0.227 -0.161  0.290 -0.029  0.348 0.105  0.386 0.244  0.461 0.198  0.526 0.067  0.598 -0.061  0.670 -0.189  0.738 -0.319  0.803 -0.450  0.869 -0.581  0.950 -0.703  1.034 -0.823  1.118 -0.943  1.231 -1.030  1.359 -1.101  1.488 -1.172
2#apb#apb07#app0799/n  -1.152 -0.934  -1.075 -0.992  -0.997 -1.049  -0.925 -1.069  -0.925 -0.972  -0.872 -0.891  -0.818 -0.811  -0.772 -0.728  -0.764 -0.631  -0.755 -0.535  -0.746 -0.439  -0.737 -0.342  -0.721 -0.247  -0.704 -0.152  -0.687 -0.057  -0.669 0.039  -0.651 0.134  -0.632 0.228  -0.613 0.323  -0.594 0.418  -0.570 0.511  -0.539 0.603  -0.507 0.694  -0.413 0.717  -0.318 0.731  -0.222 0.731  -0.125 0.731  -0.029 0.724  0.068 0.713  0.164 0.703  0.258 0.686  0.337 0.631  0.416 0.575  0.495 0.520  0.575 0.464  0.653 0.408  0.731 0.350  0.808 0.292  0.885 0.234  0.964 0.178  1.045 0.124  1.125 0.070  1.175 -0.007  1.205 -0.099  1.234 -0.191  1.250 -0.286  1.266 -0.382  1.280 -0.477  1.293 -0.573  1.307 -0.669
2#apb#apb07#app0799/'  -0.876 1.403  -0.821 1.358  -0.765 1.314  -0.710 1.269  -0.654 1.225  -0.598 1.181  -0.543 1.136  -0.487 1.092  -0.432 1.047  -0.376 1.003  -0.320 0.958  -0.265 0.914  -0.209 0.869  -0.154 0.825  -0.118 0.768  -0.103 0.698  -0.087 0.629  -0.072 0.559  -0.056 0.490  -0.041 0.420  -0.025 0.351  -0.010 0.281  0.006 0.212  0.021 0.142  0.036 0.073  0.052 0.003  0.067 -0.066  0.083 -0.136  0.098 -0.205  0.114 -0.275  0.129 -0.344  0.145 -0.414  0.160 -0.483  0.176 -0.553  0.204 -0.618  0.232 -0.684  0.260 -0.749  0.288 -0.814  0.316 -0.880  0.344 -0.945  0.373 -1.011  0.401 -1.076  0.429 -1.142  0.457 -1.207  0.485 -1.272  0.513 -1.338  0.541 -1.403  0.569 -1.469  0.597 -1.534  0.625 -1.600
2#apb#apb07#app0799/s  0.784 1.087  0.881 1.092  0.930 1.101  0.906 1.175  0.808 1.175  0.710 1.175  0.615 1.157  0.522 1.126  0.428 1.095  0.339 1.055  0.252 1.011  0.162 0.971  0.072 0.932  -0.006 0.877  -0.070 0.802  -0.134 0.728  -0.193 0.650  -0.250 0.570  -0.311 0.494  -0.395 0.444  -0.469 0.382  -0.528 0.303  -0.561 0.211  -0.589 0.118  -0.553 0.028  -0.477 -0.033  -0.401 -0.096  -0.332 -0.165  -0.263 -0.235  -0.175 -0.266  -0.077 -0.278  0.016 -0.302  0.098 -0.356  0.174 -0.415  0.211 -0.506  0.229 -0.600  0.228 -0.698  0.192 -0.789  0.141 -0.872  0.072 -0.941  0.007 -1.014  -0.047 -1.096  -0.104 -1.175  -0.173 -1.245  -0.243 -1.314  -0.324 -1.368  -0.411 -1.411  -0.488 -1.471  -0.557 -1.541  -0.649 -1.574
