3#apa#apa02#app0220/i  -0.015 0.067  -0.015 0.200  0.107 0.211  0.129 0.323  0.028 0.355  -0.015 0.265  0.041 0.155  0.129 0.058  0.129 -0.075  0.129 -0.208  0.129 -0.341  0.129 -0.475  0.173 -0.597  0.232 -0.716  0.273 -0.840  0.273 -0.973  0.288 -1.100  0.382 -1.194  0.417 -1.313  0.469 -1.425  0.561 -1.514  0.561 -1.380  0.511 -1.257  0.459 -1.135  0.406 -1.013  0.354 -0.890  0.301 -0.768  0.249 -0.645  0.196 -0.523  0.144 -0.401  0.092 -0.278  0.039 -0.156  -0.013 -0.033  -0.066 0.089  -0.118 0.211  -0.171 0.334  -0.223 0.456  -0.276 0.579  -0.328 0.701  -0.381 0.824  -0.433 0.946  -0.486 1.068  -0.538 1.191  -0.590 1.313  -0.643 1.436  -0.695 1.558  -0.703 1.651  -0.591 1.672  -0.580 1.795  -0.447 1.795
3#apa#apa02#app0220/n  -1.027 0.512  -1.027 0.357  -0.905 0.324  -0.838 0.235  -0.838 0.080  -0.838 -0.076  -0.838 -0.231  -0.694 -0.243  -0.649 -0.353  -0.649 -0.508  -0.649 -0.664  -0.639 -0.810  -0.484 -0.810  -0.460 -0.941  -0.362 -0.999  -0.271 -0.934  -0.271 -0.779  -0.271 -0.623  -0.424 -0.621  -0.460 -0.502  -0.460 -0.346  -0.460 -0.191  -0.473 -0.041  -0.583 0.069  -0.649 0.197  -0.649 0.353  -0.649 0.508  -0.542 0.619  -0.421 0.701  -0.267 0.705  -0.157 0.815  -0.033 0.890  0.123 0.890  0.278 0.890  0.433 0.890  0.558 0.816  0.668 0.706  0.778 0.597  0.862 0.476  0.865 0.324  1.020 0.324  1.051 0.199  1.116 0.070  1.225 -0.040  1.335 -0.150  1.429 -0.266  1.429 -0.422  1.531 -0.535  1.618 -0.654  1.618 -0.810
3#apa#apa02#app0220/o  0.199 0.764  0.029 0.764  -0.140 0.764  -0.274 0.678  -0.399 0.571  -0.568 0.571  -0.576 0.408  -0.714 0.377  -0.769 0.263  -0.769 0.094  -0.835 -0.010  -0.963 -0.052  -0.963 -0.221  -0.963 -0.391  -0.847 -0.512  -0.769 -0.649  -0.734 -0.784  -0.576 -0.795  -0.576 -0.964  -0.420 -0.978  -0.289 -1.071  -0.161 -1.171  0.009 -1.171  0.178 -1.171  0.347 -1.171  0.517 -1.171  0.657 -1.100  0.777 -0.980  0.897 -0.860  0.973 -0.723  0.973 -0.553  0.973 -0.384  0.973 -0.214  0.973 -0.045  0.973 0.125  0.895 0.262  0.773 0.377  0.603 0.377  0.586 0.529  0.586 0.698  0.482 0.764  0.313 0.764  0.199 0.819  0.167 0.958  0.000 0.963  -0.120 1.083  -0.261 1.151  -0.382 1.103  -0.406 0.958  -0.576 0.958
3#apa#apa02#app0220/n  -1.193 0.497  -1.081 0.385  -0.998 0.261  -0.992 0.108  -0.834 0.108  -0.803 -0.020  -0.803 -0.179  -0.764 -0.321  -0.652 -0.433  -0.609 -0.574  -0.547 -0.671  -0.414 -0.697  -0.414 -0.855  -0.414 -0.719  -0.414 -0.560  -0.414 -0.402  -0.414 -0.243  -0.417 -0.087  -0.575 -0.087  -0.609 0.038  -0.609 0.197  -0.609 0.355  -0.609 0.514  -0.609 0.672  -0.469 0.692  -0.414 0.795  -0.347 0.887  -0.197 0.908  -0.085 1.020  0.048 1.081  0.196 1.056  0.308 0.944  0.420 0.831  0.532 0.719  0.645 0.607  0.755 0.494  0.755 0.336  0.843 0.214  0.950 0.099  0.950 -0.059  0.950 -0.218  0.950 -0.377  0.950 -0.535  0.972 -0.671  1.130 -0.671  1.144 -0.816  1.144 -0.975  1.144 -1.133  1.180 -1.256  1.339 -1.256
3#apa#apa02#app0220/e  -0.625 -0.222  -0.526 -0.124  -0.414 -0.061  -0.301 -0.034  -0.297 0.101  -0.158 0.101  -0.140 0.222  -0.070 0.332  0.022 0.433  0.022 0.572  0.022 0.711  0.022 0.850  0.022 0.989  0.022 1.128  -0.012 1.233  -0.151 1.233  -0.290 1.233  -0.392 1.142  -0.490 1.044  -0.589 0.946  -0.687 0.847  -0.785 0.749  -0.786 0.610  -0.786 0.471  -0.786 0.332  -0.786 0.193  -0.786 0.054  -0.769 -0.078  -0.671 -0.176  -0.573 -0.274  -0.474 -0.373  -0.463 -0.507  -0.362 -0.546  -0.246 -0.601  -0.148 -0.699  -0.012 -0.707  0.127 -0.707  0.266 -0.707  0.388 -0.749  0.486 -0.848  0.616 -0.869  0.755 -0.869  0.894 -0.869  1.033 -0.869  1.172 -0.869  1.311 -0.869  1.411 -0.774  1.523 -0.707  1.662 -0.707  1.801 -0.707
3#apa#apa02#app0220/c  0.994 1.099  0.894 1.099  0.793 1.099  0.693 1.099  0.592 1.099  0.492 1.099  0.391 1.099  0.291 1.099  0.267 1.022  0.267 0.922  0.171 0.917  0.071 0.917  -0.029 0.917  -0.097 0.884  -0.097 0.783  -0.134 0.698  -0.205 0.627  -0.276 0.556  -0.375 0.553  -0.471 0.542  -0.542 0.471  -0.613 0.400  -0.642 0.312  -0.642 0.212  -0.642 0.111  -0.642 0.011  -0.642 -0.090  -0.642 -0.190  -0.642 -0.291  -0.642 -0.391  -0.642 -0.492  -0.604 -0.576  -0.533 -0.647  -0.462 -0.718  -0.391 -0.789  -0.320 -0.860  -0.236 -0.902  -0.136 -0.902  -0.053 -0.945  0.018 -1.016  0.090 -1.083  0.191 -1.083  0.291 -1.083  0.391 -1.083  0.492 -1.083  0.592 -1.083  0.693 -1.083  0.793 -1.083  0.894 -1.083  0.994 -1.083
3#apa#apa02#app0220/l  -0.395 1.595  -0.395 1.515  -0.395 1.435  -0.395 1.355  -0.395 1.274  -0.316 1.273  -0.236 1.273  -0.234 1.195  -0.234 1.115  -0.234 1.035  -0.234 0.954  -0.234 0.874  -0.234 0.794  -0.158 0.791  -0.077 0.791  -0.073 0.714  -0.073 0.634  -0.073 0.554  -0.073 0.474  -0.073 0.394  -0.073 0.314  -0.073 0.233  -0.073 0.153  0.001 0.147  0.081 0.147  0.087 0.074  0.087 -0.006  0.087 -0.087  0.087 -0.167  0.087 -0.247  0.087 -0.327  0.087 -0.407  0.087 -0.487  0.087 -0.568  0.087 -0.648  0.137 -0.707  0.194 -0.764  0.248 -0.822  0.248 -0.902  0.248 -0.982  0.248 -1.062  0.248 -1.142  0.248 -1.222  0.248 -1.303  0.248 -1.383  0.248 -1.463  0.248 -1.543  0.249 -1.623  0.329 -1.623  0.409 -1.623
3#apa#apa02#app0220/a  0.112 0.224  0.112 0.381  0.112 0.538  0.052 0.635  -0.102 0.644  -0.213 0.755  -0.335 0.841  -0.493 0.841  -0.650 0.841  -0.779 0.772  -0.890 0.661  -1.037 0.635  -1.173 0.584  -1.285 0.473  -1.328 0.333  -1.328 0.176  -1.328 0.018  -1.328 -0.139  -1.219 -0.188  -1.080 -0.230  -0.968 -0.342  -0.832 -0.394  -0.675 -0.394  -0.518 -0.394  -0.360 -0.394  -0.203 -0.394  -0.045 -0.394  0.112 -0.394  0.223 -0.283  0.318 -0.164  0.318 -0.007  0.318 0.150  0.318 0.308  0.354 0.429  0.511 0.429  0.626 0.327  0.730 0.212  0.730 0.055  0.850 0.018  0.935 -0.054  0.935 -0.212  0.935 -0.369  0.935 -0.526  1.020 -0.599  1.141 -0.635  1.141 -0.793  1.141 -0.950  1.238 -1.011  1.395 -1.011  1.553 -1.011
3#apa#apa02#app0220/w  -1.391 0.662  -1.391 0.494  -1.391 0.327  -1.391 0.159  -1.391 -0.009  -1.391 -0.177  -1.265 -0.219  -1.215 -0.336  -1.138 -0.472  -1.019 -0.591  -0.901 -0.710  -0.749 -0.748  -0.581 -0.748  -0.413 -0.748  -0.334 -0.659  -0.254 -0.572  -0.157 -0.500  -0.094 -0.395  0.019 -0.340  0.019 -0.173  0.019 -0.005  0.019 0.163  0.019 0.331  0.019 0.499  0.015 0.662  -0.153 0.662  -0.157 0.499  -0.157 0.331  -0.157 0.163  -0.019 0.133  0.019 0.004  0.019 -0.164  0.099 -0.299  0.227 -0.395  0.394 -0.395  0.562 -0.395  0.730 -0.395  0.898 -0.395  0.900 -0.230  1.057 -0.219  1.076 -0.070  1.217 -0.043  1.252 0.089  1.252 0.257  1.252 0.425  1.252 0.593  1.252 0.760  1.252 0.928  1.195 1.072  1.076 1.191
3#apa#apa02#app0220/e  -0.981 -0.231  -0.811 -0.231  -0.640 -0.231  -0.469 -0.231  -0.299 -0.231  -0.163 -0.145  -0.043 -0.025  -0.004 0.130  0.039 0.258  0.209 0.258  0.240 0.398  0.240 0.569  0.240 0.739  0.404 0.746  0.484 0.836  0.484 1.007  0.484 1.178  0.370 1.235  0.200 1.235  0.029 1.235  -0.142 1.235  -0.249 1.171  -0.249 1.000  -0.362 0.877  -0.483 0.756  -0.493 0.589  -0.576 0.502  -0.737 0.492  -0.737 0.321  -0.737 0.151  -0.737 -0.020  -0.737 -0.191  -0.737 -0.361  -0.697 -0.515  -0.576 -0.636  -0.440 -0.719  -0.269 -0.719  -0.249 -0.869  -0.172 -0.963  -0.002 -0.963  0.169 -0.963  0.340 -0.963  0.510 -0.963  0.681 -0.963  0.852 -0.963  1.022 -0.963  1.193 -0.963  1.364 -0.963  1.535 -0.963  1.705 -0.963
3#apa#apa02#app0220/d  0.354 -0.361  0.161 -0.361  0.013 -0.468  -0.179 -0.468  -0.372 -0.468  -0.456 -0.576  -0.607 -0.676  -0.615 -0.865  -0.564 -1.007  -0.411 -1.103  -0.224 -1.114  -0.076 -1.222  0.117 -1.222  0.291 -1.177  0.427 -1.041  0.425 -0.868  0.377 -0.681  0.329 -0.495  0.281 -0.309  0.232 -0.122  0.184 0.064  0.136 0.250  0.087 0.437  0.039 0.623  -0.009 0.809  -0.058 0.996  -0.106 1.182  -0.154 1.368  -0.203 1.555  -0.251 1.741  -0.264 1.900  -0.185 1.788  -0.185 1.595  -0.185 1.403  -0.077 1.318  -0.077 1.126  -0.077 0.933  -0.077 0.741  -0.024 0.557  0.031 0.373  0.031 0.181  0.031 -0.012  0.031 -0.204  0.133 -0.355  0.138 -0.545  0.176 -0.722  0.246 -0.885  0.326 -1.059  0.377 -1.222  0.461 -1.330
