3#apa#apa20#app2014/0  0.831 0.491  0.708 0.615  0.545 0.778  0.382 0.941  0.182 1.053  -0.046 1.060  -0.238 0.966  -0.402 0.900  -0.582 0.781  -0.725 0.604  -0.855 0.418  -0.925 0.202  -0.989 -0.018  -1.066 -0.231  -1.066 -0.461  -1.046 -0.687  -0.971 -0.900  -0.794 -1.020  -0.673 -1.176  -0.491 -1.311  -0.261 -1.311  -0.030 -1.311  0.178 -1.216  0.393 -1.151  0.568 -1.005  0.731 -0.842  0.736 -0.614  0.736 -0.384  0.736 -0.153  0.709 0.071  0.606 0.277  0.478 0.465  0.315 0.628  0.152 0.791  -0.002 0.880  0.210 0.970  0.422 1.061  0.634 1.152  0.459 1.060  0.428 0.847  0.325 0.650  0.270 0.426  0.173 0.218  0.098 -0.000  0.006 -0.211  -0.097 -0.417  -0.117 -0.642  -0.212 -0.850  -0.212 -1.081  -0.212 -1.311
3#apa#apa20#app2014/1  -0.026 1.207  -0.026 1.284  -0.032 1.357  -0.086 1.411  -0.140 1.465  -0.169 1.459  -0.169 1.383  -0.169 1.306  -0.169 1.230  -0.169 1.154  -0.169 1.077  -0.169 1.001  -0.169 0.925  -0.169 0.848  -0.169 0.772  -0.169 0.695  -0.169 0.619  -0.169 0.543  -0.153 0.473  -0.099 0.419  -0.045 0.365  -0.026 0.297  -0.026 0.220  -0.026 0.144  -0.026 0.068  -0.026 -0.009  -0.026 -0.085  -0.026 -0.162  -0.021 -0.237  0.013 -0.305  0.047 -0.374  0.081 -0.442  0.115 -0.510  0.118 -0.586  0.118 -0.662  0.118 -0.739  0.118 -0.815  0.118 -0.891  0.118 -0.968  0.118 -1.044  0.118 -1.121  0.118 -1.197  0.118 -1.273  0.118 -1.350  0.167 -1.377  0.243 -1.377  0.261 -1.435  0.261 -1.512  0.261 -1.588  0.261 -1.664
3#apa#apa20#app2014/  0.563 1.278  0.563 1.349  0.563 1.420  0.510 1.438  0.460 1.388  0.457 1.318  0.443 1.250  0.411 1.186  0.386 1.119  0.364 1.052  0.341 0.984  0.318 0.917  0.296 0.849  0.273 0.782  0.251 0.714  0.228 0.647  0.206 0.579  0.183 0.511  0.161 0.444  0.138 0.376  0.116 0.309  0.093 0.241  0.068 0.175  0.040 0.109  0.012 0.044  -0.016 -0.021  -0.044 -0.087  -0.072 -0.152  -0.096 -0.220  -0.118 -0.287  -0.141 -0.355  -0.163 -0.422  -0.186 -0.490  -0.203 -0.559  -0.220 -0.628  -0.237 -0.697  -0.260 -0.765  -0.282 -0.832  -0.315 -0.895  -0.355 -0.954  -0.394 -1.013  -0.398 -1.083  -0.398 -1.154  -0.419 -1.221  -0.451 -1.284  -0.483 -1.348  -0.520 -1.408  -0.558 -1.463  -0.558 -1.534  -0.558 -1.606
3#apa#apa20#app2014/2  -0.462 1.051  -0.342 1.051  -0.335 1.165  -0.335 1.286  -0.233 1.305  -0.113 1.305  0.008 1.305  0.129 1.305  0.250 1.305  0.350 1.255  0.439 1.178  0.553 1.172  0.553 1.051  0.553 0.930  0.553 0.809  0.553 0.689  0.553 0.568  0.485 0.475  0.426 0.379  0.412 0.262  0.358 0.154  0.304 0.046  0.202 -0.013  0.094 -0.067  -0.002 -0.139  -0.087 -0.224  -0.173 -0.310  -0.271 -0.377  -0.379 -0.431  -0.482 -0.492  -0.567 -0.577  -0.653 -0.663  -0.747 -0.726  -0.843 -0.751  -0.843 -0.872  -0.831 -0.980  -0.710 -0.980  -0.589 -0.980  -0.469 -0.980  -0.348 -0.980  -0.227 -0.980  -0.106 -0.980  0.014 -0.980  0.135 -0.980  0.256 -0.980  0.377 -0.980  0.497 -0.980  0.599 -0.934  0.686 -0.853  0.807 -0.853
3#apa#apa20#app2014/3  -0.963 0.706  -0.953 0.850  -0.849 0.954  -0.744 1.059  -0.618 1.109  -0.496 1.173  -0.378 1.244  -0.230 1.244  -0.104 1.191  0.010 1.109  0.157 1.109  0.288 1.068  0.381 0.959  0.381 0.811  0.339 0.706  0.207 0.666  0.112 0.558  0.086 0.437  -0.050 0.409  -0.155 0.304  -0.299 0.295  -0.403 0.190  -0.425 0.052  -0.295 0.034  -0.148 0.034  0.000 0.034  0.144 0.018  0.276 -0.048  0.408 -0.114  0.541 -0.180  0.675 -0.235  0.812 -0.262  0.916 -0.366  0.919 -0.513  0.919 -0.661  0.883 -0.772  0.749 -0.807  0.643 -0.907  0.501 -0.921  0.397 -1.026  0.255 -1.041  0.108 -1.041  -0.035 -1.054  -0.139 -1.158  -0.280 -1.176  -0.427 -1.176  -0.575 -1.176  -0.723 -1.176  -0.858 -1.205  -0.963 -1.310
3#apa#apa20#app2014/  0.545 1.463  0.532 1.520  0.488 1.494  0.470 1.428  0.439 1.366  0.414 1.300  0.392 1.234  0.370 1.168  0.348 1.101  0.326 1.035  0.305 0.968  0.286 0.901  0.267 0.834  0.248 0.766  0.229 0.699  0.209 0.632  0.192 0.564  0.175 0.496  0.158 0.428  0.138 0.361  0.111 0.297  0.083 0.233  0.055 0.169  0.028 0.104  0.000 0.040  -0.027 -0.024  -0.044 -0.092  -0.061 -0.160  -0.078 -0.228  -0.098 -0.295  -0.120 -0.361  -0.142 -0.428  -0.165 -0.494  -0.187 -0.560  -0.209 -0.627  -0.231 -0.693  -0.253 -0.759  -0.275 -0.826  -0.297 -0.892  -0.319 -0.958  -0.342 -1.025  -0.364 -1.091  -0.393 -1.155  -0.424 -1.217  -0.427 -1.287  -0.435 -1.355  -0.467 -1.417  -0.484 -1.483  -0.484 -1.553  -0.484 -1.623
3#apa#apa20#app2014/4  0.046 1.039  -0.129 1.039  -0.304 1.039  -0.463 1.001  -0.586 0.878  -0.730 0.804  -0.868 0.714  -0.908 0.556  -1.031 0.432  -1.130 0.299  -1.195 0.151  -1.248 -0.002  -1.248 -0.177  -1.151 -0.254  -1.094 -0.372  -0.946 -0.438  -0.793 -0.489  -0.618 -0.489  -0.444 -0.489  -0.269 -0.489  -0.094 -0.489  0.080 -0.489  0.214 -0.413  0.311 -0.268  0.408 -0.123  0.505 0.023  0.601 0.168  0.698 0.313  0.795 0.459  0.892 0.604  0.989 0.749  1.086 0.895  0.961 0.921  0.811 0.864  0.751 0.714  0.730 0.548  0.616 0.417  0.538 0.261  0.516 0.091  0.496 -0.080  0.440 -0.246  0.380 -0.409  0.302 -0.565  0.281 -0.735  0.281 -0.910  0.281 -1.084  0.281 -1.259  0.281 -1.433  0.281 -1.608  0.398 -1.665
3#apa#apa20#app2014/5  -0.033 0.874  -0.212 0.874  -0.376 0.806  -0.546 0.770  -0.705 0.721  -0.759 0.564  -0.655 0.428  -0.653 0.252  -0.473 0.252  -0.320 0.166  -0.171 0.067  -0.039 -0.054  0.119 -0.136  0.258 -0.247  0.412 -0.334  0.554 -0.440  0.681 -0.566  0.693 -0.741  0.671 -0.911  0.532 -1.021  0.371 -1.097  0.201 -1.135  0.037 -1.200  -0.110 -1.277  -0.278 -1.304  -0.457 -1.304  -0.636 -1.304  -0.759 -1.248  -0.711 -1.077  -0.646 -0.910  -0.582 -0.744  -0.517 -0.577  -0.452 -0.410  -0.387 -0.243  -0.322 -0.076  -0.257 0.091  -0.192 0.258  -0.127 0.425  -0.062 0.592  -0.033 0.766  -0.033 0.945  0.114 0.977  0.293 0.977  0.472 0.977  0.644 1.005  0.806 1.081  0.985 1.081  1.107 1.138  1.239 1.185  1.315 1.081
3#apa#apa20#app2014/`  -1.532 -0.047  -1.410 -0.047  -1.289 -0.047  -1.167 -0.047  -1.046 -0.047  -0.925 -0.047  -0.803 -0.047  -0.682 -0.047  -0.560 -0.047  -0.439 -0.047  -0.433 0.068  -0.433 0.190  -0.433 0.311  -0.433 0.432  -0.433 0.554  -0.433 0.675  -0.433 0.797  -0.433 0.918  -0.433 1.039  -0.433 0.942  -0.433 0.821  -0.433 0.700  -0.433 0.578  -0.433 0.457  -0.433 0.335  -0.433 0.214  -0.433 0.093  -0.433 -0.029  -0.330 -0.047  -0.208 -0.047  -0.087 -0.047  0.034 -0.047  0.156 -0.047  0.277 -0.047  0.399 -0.047  0.520 -0.047  0.641 -0.047  0.734 -0.116  0.820 -0.202  0.906 -0.287  0.992 -0.373  1.078 -0.459  1.164 -0.545  1.249 -0.631  1.335 -0.717  1.421 -0.802  1.507 -0.888  1.593 -0.974  1.679 -1.060  1.765 -1.146
3#apa#apa20#app2014/i  0.050 0.434  -0.073 0.434  -0.086 0.325  -0.086 0.203  -0.086 0.081  -0.086 -0.041  -0.086 -0.163  -0.086 -0.285  -0.086 -0.407  -0.086 -0.530  -0.086 -0.652  -0.086 -0.774  -0.035 -0.884  0.019 -0.993  0.050 -1.108  0.050 -1.230  0.050 -1.353  0.050 -1.475  0.050 -1.593  0.050 -1.471  0.050 -1.349  0.050 -1.227  0.050 -1.104  0.050 -0.982  0.050 -0.860  0.050 -0.738  0.050 -0.616  0.050 -0.494  0.050 -0.372  0.050 -0.250  0.050 -0.127  0.050 -0.005  0.050 0.117  0.050 0.239  0.050 0.361  0.050 0.483  0.050 0.605  0.050 0.728  0.050 0.850  0.050 0.972  0.050 1.094  0.050 1.216  0.050 1.338  0.050 1.460  0.050 1.583  -0.003 1.652  -0.086 1.692  -0.112 1.787  -0.221 1.774  -0.221 1.652
3#apa#apa20#app2014/s  0.809 0.585  0.689 0.704  0.543 0.759  0.399 0.820  0.276 0.933  0.108 0.936  -0.011 1.056  -0.159 1.108  -0.328 1.108  -0.497 1.108  -0.667 1.108  -0.814 1.054  -0.933 0.935  -0.935 0.766  -0.935 0.597  -0.824 0.474  -0.760 0.331  -0.686 0.236  -0.537 0.187  -0.418 0.068  -0.268 -0.010  -0.117 -0.086  0.046 -0.113  0.216 -0.113  0.385 -0.113  0.554 -0.113  0.697 -0.175  0.820 -0.287  0.989 -0.287  1.157 -0.288  1.157 -0.457  1.322 -0.461  1.172 -0.461  1.157 -0.616  1.008 -0.636  0.839 -0.636  0.669 -0.636  0.500 -0.636  0.331 -0.636  0.162 -0.636  -0.007 -0.636  -0.177 -0.636  -0.346 -0.636  -0.515 -0.636  -0.655 -0.705  -0.781 -0.810  -0.950 -0.810  -1.119 -0.810  -1.283 -0.815  -1.283 -0.984
