1b#tos#f1#f1050060/A  -0.829 -1.303  -0.928 -1.321  -0.896 -1.113  -0.815 -0.919  -0.736 -0.724  -0.689 -0.518  -0.653 -0.310  -0.596 -0.106  -0.550 0.100  -0.507 0.307  -0.462 0.513  -0.367 0.702  -0.268 0.887  -0.236 1.096  -0.142 1.285  -0.010 1.442  0.047 1.638  0.215 1.745  0.306 1.593  0.416 1.416  0.446 1.206  0.473 0.997  0.482 0.786  0.528 0.587  0.580 0.390  0.580 0.178  0.603 -0.029  0.646 -0.234  0.646 -0.446  0.730 -0.629  0.758 -0.834  0.801 -1.033  0.842 -1.228  0.683 -1.114  0.516 -0.984  0.349 -0.854  0.182 -0.725  0.015 -0.595  -0.152 -0.465  -0.318 -0.335  -0.485 -0.205  -0.658 -0.091  -0.790 -0.156  -0.578 -0.156  -0.367 -0.156  -0.155 -0.156  0.024 -0.058  0.235 -0.058  0.440 -0.022  0.646 0.008
1b#tos#f1#f1050060/D  -0.478 1.015  -0.478 0.983  -0.478 0.798  -0.512 0.617  -0.516 0.433  -0.516 0.248  -0.516 0.064  -0.516 -0.121  -0.516 -0.305  -0.516 -0.490  -0.516 -0.674  -0.516 -0.859  -0.516 -1.043  -0.516 -0.939  -0.516 -0.754  -0.516 -0.570  -0.516 -0.385  -0.516 -0.201  -0.516 -0.016  -0.516 0.168  -0.516 0.353  -0.516 0.537  -0.516 0.722  -0.467 0.867  -0.369 0.991  -0.232 1.069  -0.072 1.129  0.112 1.129  0.297 1.129  0.477 1.103  0.644 1.026  0.766 0.892  0.872 0.746  1.005 0.622  1.066 0.452  1.086 0.269  1.086 0.085  1.084 -0.100  1.041 -0.279  0.998 -0.458  0.900 -0.608  0.742 -0.704  0.646 -0.846  0.481 -0.928  0.369 -1.074  0.195 -1.131  0.023 -1.195  -0.152 -1.236  -0.334 -1.257  -0.516 -1.274
1b#tos#f1#f1050060/F  -0.666 1.033  -0.576 1.033  -0.416 1.033  -0.256 1.033  -0.097 1.033  0.063 1.033  0.223 1.033  0.382 1.033  0.542 1.033  0.702 1.033  0.852 1.067  0.692 1.067  0.532 1.067  0.373 1.067  0.213 1.067  0.053 1.067  -0.106 1.067  -0.217 1.018  -0.217 0.859  -0.217 0.699  -0.217 0.539  -0.217 0.380  -0.217 0.220  -0.217 0.061  -0.217 -0.099  -0.217 -0.259  -0.217 -0.418  -0.209 -0.577  -0.150 -0.725  -0.148 -0.884  -0.148 -1.044  -0.130 -1.202  -0.114 -1.361  -0.114 -1.520  -0.081 -1.651  -0.119 -1.496  -0.157 -1.341  -0.194 -1.186  -0.232 -1.031  -0.270 -0.876  -0.307 -0.720  -0.345 -0.565  -0.257 -0.566  -0.101 -0.591  0.059 -0.591  0.218 -0.591  0.378 -0.591  0.536 -0.578  0.694 -0.556  0.854 -0.556
1b#tos#f1#f1050060/L  -0.132 0.807  -0.142 0.898  -0.194 0.976  -0.255 1.048  -0.307 1.126  -0.319 1.216  -0.319 1.310  -0.357 1.366  -0.432 1.353  -0.432 1.260  -0.432 1.166  -0.432 1.072  -0.432 0.978  -0.432 0.884  -0.432 0.790  -0.432 0.696  -0.432 0.602  -0.419 0.509  -0.404 0.416  -0.394 0.323  -0.394 0.229  -0.394 0.136  -0.394 0.042  -0.381 -0.050  -0.346 -0.137  -0.319 -0.226  -0.319 -0.320  -0.319 -0.414  -0.319 -0.508  -0.304 -0.595  -0.237 -0.661  -0.207 -0.743  -0.157 -0.816  -0.080 -0.856  0.005 -0.879  0.098 -0.879  0.192 -0.879  0.286 -0.879  0.380 -0.879  0.474 -0.879  0.568 -0.879  0.662 -0.879  0.756 -0.879  0.850 -0.879  0.944 -0.879  1.029 -0.842  1.123 -0.842  1.217 -0.842  1.311 -0.842  1.405 -0.842
1b#tos#f1#f1050060/M  -0.552 -1.070  -0.703 -1.141  -0.853 -1.184  -0.893 -1.030  -0.893 -0.837  -0.893 -0.644  -0.893 -0.451  -0.893 -0.258  -0.893 -0.065  -0.893 0.128  -0.883 0.319  -0.813 0.499  -0.779 0.687  -0.779 0.880  -0.757 1.051  -0.607 0.991  -0.508 0.828  -0.448 0.648  -0.418 0.458  -0.371 0.273  -0.287 0.100  -0.269 -0.092  -0.202 -0.237  -0.135 -0.363  -0.119 -0.540  0.017 -0.576  0.072 -0.392  0.092 -0.203  0.148 -0.021  0.168 0.168  0.213 0.354  0.274 0.537  0.349 0.712  0.433 0.877  0.456 1.068  0.603 1.127  0.736 1.038  0.758 0.850  0.834 0.672  0.850 0.482  0.865 0.291  0.888 0.100  0.888 -0.093  0.932 -0.280  0.963 -0.468  0.972 -0.660  1.010 -0.850  1.039 -1.040  1.057 -1.229  1.115 -1.411
1b#tos#f1#f1050060/O  -0.387 0.816  -0.423 0.914  -0.547 0.924  -0.657 0.885  -0.742 0.784  -0.745 0.651  -0.745 0.517  -0.745 0.383  -0.745 0.250  -0.745 0.116  -0.745 -0.018  -0.745 -0.152  -0.745 -0.286  -0.721 -0.417  -0.709 -0.550  -0.709 -0.683  -0.652 -0.804  -0.552 -0.888  -0.482 -0.999  -0.382 -1.072  -0.279 -1.154  -0.146 -1.154  -0.012 -1.154  0.122 -1.154  0.241 -1.126  0.330 -1.033  0.455 -0.986  0.580 -0.939  0.606 -0.808  0.660 -0.687  0.729 -0.572  0.797 -0.457  0.853 -0.336  0.867 -0.205  0.867 -0.071  0.867 0.063  0.867 0.197  0.862 0.330  0.819 0.457  0.761 0.575  0.682 0.683  0.613 0.798  0.524 0.894  0.415 0.971  0.295 1.031  0.175 1.090  0.044 1.103  -0.089 1.103  -0.223 1.103  -0.351 1.067
1b#tos#f1#f1050060/P  -0.291 1.085  -0.378 1.251  -0.457 1.127  -0.418 0.927  -0.378 0.727  -0.374 0.524  -0.374 0.320  -0.374 0.117  -0.374 -0.087  -0.374 -0.291  -0.356 -0.493  -0.333 -0.695  -0.333 -0.899  -0.295 -1.098  -0.285 -1.300  -0.250 -1.498  -0.243 -1.695  -0.209 -1.774  -0.212 -1.570  -0.215 -1.367  -0.218 -1.163  -0.221 -0.959  -0.224 -0.756  -0.227 -0.552  -0.229 -0.348  -0.232 -0.144  -0.235 0.059  -0.238 0.263  -0.241 0.467  -0.244 0.670  -0.247 0.874  -0.250 1.078  -0.088 1.168  0.116 1.168  0.319 1.168  0.523 1.168  0.706 1.105  0.886 1.019  1.036 0.902  1.036 0.698  1.024 0.496  0.994 0.296  0.893 0.131  0.751 0.015  0.632 -0.149  0.472 -0.269  0.294 -0.363  0.116 -0.450  -0.088 -0.450  -0.291 -0.450
1b#tos#f1#f1050060/Q  -0.262 1.037  -0.391 1.117  -0.590 1.157  -0.663 1.022  -0.696 0.818  -0.703 0.611  -0.703 0.402  -0.703 0.193  -0.703 -0.015  -0.703 -0.224  -0.703 -0.433  -0.645 -0.630  -0.587 -0.830  -0.526 -1.010  -0.366 -1.144  -0.217 -1.288  -0.008 -1.288  0.200 -1.288  0.391 -1.227  0.550 -1.100  0.642 -0.917  0.721 -0.725  0.740 -0.521  0.740 -0.312  0.740 -0.103  0.735 0.105  0.701 0.311  0.635 0.509  0.549 0.698  0.455 0.885  0.352 1.064  0.204 1.212  0.023 1.278  -0.186 1.278  -0.388 1.267  -0.502 1.116  -0.431 0.919  -0.361 0.723  -0.290 0.527  -0.219 0.330  -0.149 0.134  -0.102 -0.033  -0.062 -0.233  0.099 -0.342  0.155 -0.534  0.316 -0.663  0.494 -0.761  0.642 -0.909  0.789 -1.056  0.980 -1.127
1b#tos#f1#f1050060/S  0.829 0.638  0.729 0.668  0.707 0.761  0.648 0.850  0.572 0.924  0.486 0.988  0.427 1.074  0.329 1.088  0.264 1.156  0.166 1.170  0.059 1.170  -0.048 1.170  -0.155 1.170  -0.262 1.170  -0.316 1.092  -0.316 0.985  -0.316 0.878  -0.316 0.771  -0.311 0.665  -0.277 0.564  -0.219 0.474  -0.151 0.392  -0.104 0.296  -0.039 0.219  0.052 0.178  0.072 0.077  0.131 -0.012  0.231 -0.048  0.257 -0.136  0.298 -0.234  0.298 -0.341  0.298 -0.448  0.298 -0.555  0.298 -0.662  0.298 -0.769  0.297 -0.875  0.193 -0.901  0.102 -0.948  0.026 -1.024  -0.055 -1.092  -0.151 -1.140  -0.212 -1.218  -0.271 -1.284  -0.378 -1.284  -0.485 -1.284  -0.592 -1.284  -0.699 -1.284  -0.806 -1.284  -0.913 -1.284  -0.970 -1.202
1b#tos#f1#f1050060/U  -0.772 1.188  -0.866 1.188  -0.808 1.124  -0.808 1.002  -0.808 0.879  -0.796 0.760  -0.750 0.646  -0.720 0.528  -0.697 0.408  -0.679 0.288  -0.664 0.166  -0.664 0.044  -0.656 -0.077  -0.632 -0.197  -0.608 -0.317  -0.582 -0.436  -0.553 -0.555  -0.523 -0.673  -0.520 -0.795  -0.472 -0.903  -0.405 -1.004  -0.306 -1.048  -0.204 -1.115  -0.084 -1.121  0.039 -1.121  0.161 -1.121  0.279 -1.113  0.353 -1.016  0.447 -0.944  0.544 -0.875  0.607 -0.770  0.648 -0.657  0.671 -0.537  0.671 -0.415  0.671 -0.293  0.732 -0.188  0.779 -0.079  0.779 0.043  0.779 0.166  0.779 0.288  0.779 0.410  0.763 0.530  0.728 0.647  0.683 0.760  0.671 0.880  0.578 0.945  0.486 1.020  0.434 1.121  0.315 1.150  0.202 1.188
1b#tos#f1#f1050060/W  -1.133 0.853  -1.219 0.960  -1.103 0.802  -1.038 0.622  -1.032 0.425  -0.954 0.244  -0.889 0.057  -0.833 -0.133  -0.814 -0.328  -0.789 -0.523  -0.741 -0.715  -0.665 -0.895  -0.618 -1.080  -0.537 -1.220  -0.464 -1.095  -0.464 -0.897  -0.416 -0.711  -0.380 -0.518  -0.340 -0.325  -0.304 -0.132  -0.298 0.065  -0.270 0.261  -0.242 0.457  -0.149 0.630  -0.113 0.818  -0.053 0.996  0.015 1.169  0.127 1.044  0.142 0.862  0.165 0.665  0.192 0.470  0.238 0.278  0.282 0.086  0.308 -0.110  0.355 -0.300  0.453 -0.471  0.542 -0.648  0.607 -0.833  0.748 -0.964  0.894 -0.940  0.940 -0.753  0.990 -0.571  1.003 -0.377  1.050 -0.187  1.087 0.007  1.099 0.204  1.099 0.401  1.147 0.590  1.182 0.783  1.195 0.980
