1c#tos#t1#t1036060/a  0.227 -0.060  0.185 -0.182  0.209 -0.032  0.275 0.117  0.369 0.250  0.436 0.396  0.481 0.553  0.481 0.717  0.481 0.880  0.478 1.043  0.362 1.159  0.221 1.215  0.073 1.251  -0.091 1.251  -0.250 1.239  -0.373 1.132  -0.501 1.031  -0.612 0.911  -0.714 0.783  -0.745 0.630  -0.792 0.485  -0.908 0.369  -0.915 0.208  -0.915 0.045  -0.915 -0.119  -0.915 -0.283  -0.915 -0.447  -0.915 -0.611  -0.915 -0.774  -0.821 -0.892  -0.677 -0.949  -0.519 -0.934  -0.403 -0.818  -0.365 -0.670  -0.233 -0.633  -0.189 -0.477  -0.111 -0.338  -0.017 -0.281  0.116 -0.372  0.245 -0.458  0.334 -0.590  0.453 -0.652  0.617 -0.652  0.780 -0.653  0.941 -0.685  1.104 -0.695  1.268 -0.695  1.432 -0.695  1.532 -0.577  1.623 -0.441
1c#tos#t1#t1036060/b  0.156 1.775  0.079 1.938  0.051 1.886  0.003 1.706  0.003 1.511  -0.058 1.325  -0.092 1.134  -0.117 0.941  -0.144 0.748  -0.151 0.553  -0.151 0.358  -0.197 0.169  -0.247 -0.020  -0.300 -0.207  -0.327 -0.400  -0.343 -0.594  -0.343 -0.789  -0.343 -0.984  -0.343 -1.179  -0.377 -1.366  -0.381 -1.420  -0.386 -1.225  -0.395 -1.031  -0.404 -0.836  -0.412 -0.641  -0.421 -0.446  -0.430 -0.251  -0.438 -0.057  -0.447 0.138  -0.456 0.333  -0.405 0.507  -0.216 0.532  -0.024 0.545  0.171 0.545  0.366 0.545  0.556 0.515  0.717 0.420  0.886 0.368  0.922 0.184  0.963 0.002  0.963 -0.193  0.906 -0.375  0.794 -0.527  0.632 -0.635  0.443 -0.680  0.300 -0.808  0.133 -0.906  -0.045 -0.984  -0.227 -1.055  -0.420 -1.068
1c#tos#t1#t1036060/d  -0.145 -0.092  -0.172 0.046  -0.227 0.213  -0.376 0.264  -0.557 0.198  -0.732 0.104  -0.879 -0.032  -0.947 -0.213  -1.031 -0.392  -1.049 -0.591  -1.049 -0.791  -1.049 -0.991  -0.901 -1.107  -0.700 -1.107  -0.508 -1.066  -0.375 -0.941  -0.252 -0.799  -0.156 -0.624  -0.071 -0.443  0.023 -0.268  0.067 -0.073  0.136 0.113  0.187 0.306  0.269 0.488  0.322 0.680  0.355 0.876  0.422 1.060  0.469 1.254  0.513 1.448  0.568 1.617  0.538 1.739  0.448 1.559  0.387 1.370  0.319 1.181  0.276 0.987  0.231 0.792  0.184 0.598  0.184 0.398  0.172 0.198  0.157 -0.001  0.157 -0.201  0.157 -0.401  0.157 -0.602  0.232 -0.771  0.321 -0.946  0.431 -1.061  0.612 -1.079  0.813 -1.079  0.982 -0.986  1.089 -0.833
1c#tos#t1#t1036060/g  0.202 0.583  0.125 0.668  0.153 0.829  0.206 1.005  0.250 1.183  0.250 1.368  0.235 1.552  0.069 1.580  -0.087 1.503  -0.199 1.354  -0.303 1.200  -0.421 1.057  -0.479 0.882  -0.479 0.697  -0.472 0.512  -0.382 0.368  -0.202 0.372  -0.025 0.405  0.120 0.517  0.177 0.604  0.153 0.422  0.153 0.236  0.153 0.051  0.153 -0.135  0.153 -0.321  0.133 -0.505  0.103 -0.689  0.080 -0.873  0.046 -1.056  0.031 -1.240  -0.006 -1.413  -0.055 -1.586  -0.101 -1.751  -0.274 -1.763  -0.394 -1.622  -0.431 -1.444  -0.431 -1.259  -0.431 -1.073  -0.408 -0.889  -0.359 -0.710  -0.277 -0.543  -0.202 -0.373  -0.111 -0.212  0.009 -0.072  0.166 -0.001  0.314 0.104  0.495 0.120  0.681 0.120  0.867 0.120  1.053 0.120
1c#tos#t1#t1036060/h  -0.542 0.267  -0.705 0.204  -0.715 0.106  -0.539 0.106  -0.384 0.156  -0.226 0.229  -0.077 0.319  0.056 0.424  0.196 0.519  0.257 0.666  0.376 0.786  0.456 0.940  0.494 1.112  0.504 1.286  0.485 1.457  0.406 1.580  0.231 1.580  0.125 1.470  0.063 1.317  0.012 1.149  -0.006 0.977  -0.036 0.806  -0.094 0.641  -0.154 0.476  -0.198 0.307  -0.258 0.142  -0.315 -0.024  -0.363 -0.193  -0.414 -0.361  -0.475 -0.525  -0.552 -0.682  -0.622 -0.839  -0.654 -1.009  -0.702 -1.177  -0.638 -1.196  -0.545 -1.049  -0.421 -0.925  -0.277 -0.833  -0.178 -0.689  -0.068 -0.563  0.084 -0.510  0.241 -0.554  0.306 -0.714  0.426 -0.800  0.529 -0.938  0.657 -1.056  0.824 -1.090  0.988 -1.126  1.163 -1.126  1.281 -1.046
1c#tos#t1#t1036060/i  -0.799 -0.494  -0.811 -0.645  -0.899 -0.766  -1.008 -0.875  -1.001 -0.955  -0.892 -0.846  -0.784 -0.738  -0.678 -0.627  -0.599 -0.496  -0.480 -0.400  -0.431 -0.255  -0.342 -0.131  -0.285 0.008  -0.194 0.114  -0.211 0.073  -0.223 -0.079  -0.280 -0.215  -0.280 -0.368  -0.280 -0.522  -0.280 -0.675  -0.280 -0.829  -0.140 -0.852  0.002 -0.897  0.156 -0.897  0.309 -0.897  0.445 -0.836  0.579 -0.764  0.727 -0.725  0.799 -0.590  0.904 -0.482  0.955 -0.353  0.957 -0.202  0.884 -0.066  0.811 0.069  0.739 0.204  0.666 0.339  0.593 0.474  0.520 0.609  0.447 0.744  0.375 0.880  0.302 1.015  0.229 1.150  0.156 1.285  0.084 1.420  0.011 1.555  -0.075 1.668  -0.222 1.640  -0.152 1.525  -0.058 1.413  0.037 1.293
1c#tos#t1#t1036060/j  0.161 0.834  0.114 0.902  0.114 0.751  0.114 0.599  0.095 0.448  0.091 0.296  0.078 0.145  0.049 -0.003  0.020 -0.151  0.020 -0.303  -0.025 -0.448  -0.067 -0.593  -0.105 -0.740  -0.148 -0.886  -0.201 -1.028  -0.246 -1.173  -0.297 -1.315  -0.377 -1.436  -0.518 -1.483  -0.668 -1.464  -0.768 -1.354  -0.799 -1.208  -0.799 -1.057  -0.766 -0.914  -0.685 -0.786  -0.595 -0.663  -0.490 -0.557  -0.358 -0.483  -0.242 -0.384  -0.115 -0.303  0.021 -0.236  0.158 -0.170  0.296 -0.115  0.431 -0.055  0.553 0.034  0.639 0.108  0.598 0.254  0.556 0.401  0.515 0.547  0.473 0.693  0.432 0.839  0.390 0.985  0.349 1.131  0.308 1.277  0.266 1.423  0.225 1.569  0.184 1.691  0.278 1.587  0.323 1.446  0.418 1.349
1c#tos#t1#t1036060/l  -1.076 -0.426  -1.126 -0.574  -1.191 -0.716  -1.227 -0.864  -1.145 -0.939  -0.989 -0.939  -0.841 -0.893  -0.694 -0.841  -0.544 -0.795  -0.398 -0.745  -0.275 -0.647  -0.141 -0.568  -0.014 -0.479  0.097 -0.368  0.214 -0.265  0.334 -0.166  0.457 -0.068  0.536 0.067  0.620 0.198  0.707 0.328  0.784 0.464  0.847 0.606  0.894 0.755  0.913 0.909  0.913 1.066  0.913 1.222  0.817 1.328  0.671 1.352  0.515 1.352  0.363 1.325  0.227 1.252  0.108 1.151  0.009 1.031  -0.069 0.896  -0.139 0.756  -0.174 0.604  -0.213 0.453  -0.275 0.309  -0.293 0.156  -0.293 -0.000  -0.293 -0.156  -0.293 -0.313  -0.250 -0.462  -0.181 -0.602  -0.106 -0.739  -0.010 -0.860  0.112 -0.957  0.253 -1.022  0.396 -1.087  0.551 -1.089
1c#tos#t1#t1036060/n  -0.798 1.287  -0.924 1.287  -0.774 1.250  -0.657 1.150  -0.603 0.994  -0.543 0.848  -0.543 0.683  -0.543 0.518  -0.543 0.352  -0.543 0.187  -0.593 0.031  -0.662 -0.118  -0.733 -0.268  -0.789 -0.423  -0.843 -0.579  -0.878 -0.740  -0.922 -0.863  -0.798 -0.822  -0.798 -0.657  -0.715 -0.526  -0.618 -0.393  -0.543 -0.246  -0.506 -0.089  -0.443 0.054  -0.337 0.180  -0.240 0.309  -0.164 0.442  -0.026 0.531  0.078 0.656  0.229 0.704  0.394 0.704  0.551 0.667  0.551 0.502  0.551 0.337  0.551 0.172  0.551 0.006  0.539 -0.158  0.514 -0.320  0.514 -0.486  0.514 -0.651  0.546 -0.811  0.669 -0.900  0.834 -0.900  0.997 -0.876  1.124 -0.785  1.230 -0.659  1.353 -0.551  1.497 -0.469  1.607 -0.355  1.681 -0.207
1c#tos#t1#t1036060/o  -0.054 0.832  -0.190 0.832  -0.327 0.832  -0.455 0.807  -0.568 0.732  -0.682 0.656  -0.766 0.550  -0.839 0.436  -0.890 0.310  -0.940 0.183  -0.991 0.057  -1.008 -0.076  -1.008 -0.212  -1.008 -0.349  -1.008 -0.485  -1.008 -0.621  -0.932 -0.734  -0.866 -0.852  -0.752 -0.927  -0.620 -0.939  -0.483 -0.939  -0.347 -0.939  -0.211 -0.939  -0.075 -0.939  0.061 -0.935  0.195 -0.912  0.326 -0.881  0.435 -0.799  0.548 -0.724  0.666 -0.657  0.785 -0.589  0.849 -0.475  0.899 -0.348  0.958 -0.225  1.008 -0.099  1.036 0.032  1.036 0.168  1.036 0.304  1.036 0.441  1.030 0.576  0.982 0.700  0.863 0.766  0.746 0.832  0.610 0.832  0.474 0.832  0.338 0.832  0.202 0.832  0.069 0.806  -0.059 0.762  -0.100 0.651
1c#tos#t1#t1036060/t  -1.303 -0.463  -1.355 -0.695  -1.446 -0.915  -1.449 -1.080  -1.217 -1.046  -1.035 -0.897  -0.854 -0.743  -0.677 -0.585  -0.521 -0.418  -0.374 -0.246  -0.204 -0.089  -0.094 0.123  0.023 0.330  0.144 0.535  0.293 0.717  0.398 0.931  0.438 1.158  0.494 1.362  0.393 1.153  0.273 0.947  0.223 0.717  0.098 0.515  0.011 0.296  -0.018 0.060  -0.133 -0.149  -0.152 -0.382  -0.152 -0.621  -0.144 -0.858  -0.097 -1.086  0.085 -1.205  0.317 -1.221  0.508 -1.126  0.685 -1.011  0.848 -0.843  0.977 -0.644  1.084 -0.432  1.111 -0.197  0.981 -0.021  0.795 0.128  0.608 0.277  0.422 0.426  0.236 0.574  0.050 0.723  -0.136 0.872  -0.370 0.885  -0.425 0.885  -0.188 0.873  0.045 0.829  0.283 0.829  0.522 0.829
