3#apb#apb38#app3892/W  -0.438 1.255  -0.533 1.347  -0.607 1.236  -0.640 1.084  -0.665 0.931  -0.689 0.777  -0.712 0.624  -0.732 0.469  -0.752 0.315  -0.771 0.161  -0.791 0.007  -0.791 -0.148  -0.778 -0.303  -0.766 -0.458  -0.749 -0.612  -0.716 -0.764  -0.679 -0.915  -0.618 -1.057  -0.491 -1.108  -0.361 -1.024  -0.273 -0.896  -0.190 -0.764  -0.118 -0.627  -0.051 -0.487  0.002 -0.341  0.004 -0.217  -0.021 -0.370  0.015 -0.522  0.078 -0.660  0.174 -0.782  0.311 -0.850  0.457 -0.889  0.609 -0.858  0.730 -0.764  0.818 -0.640  0.881 -0.498  0.918 -0.349  0.936 -0.195  0.949 -0.040  0.943 0.115  0.936 0.271  0.878 0.415  0.821 0.559  0.739 0.689  0.640 0.809  0.544 0.931  0.476 1.071  0.409 1.211  0.352 1.355  0.312 1.505
3#apb#apb38#app3892/a  0.309 0.606  0.384 0.781  0.374 0.964  0.264 1.102  0.085 1.091  -0.076 0.988  -0.233 0.881  -0.383 0.763  -0.532 0.645  -0.661 0.506  -0.779 0.357  -0.897 0.207  -1.014 0.057  -1.093 -0.117  -1.171 -0.290  -1.249 -0.464  -1.272 -0.650  -1.272 -0.840  -1.211 -1.006  -1.076 -1.140  -0.893 -1.105  -0.708 -1.061  -0.526 -1.007  -0.351 -0.931  -0.176 -0.855  -0.002 -0.779  0.141 -0.662  0.255 -0.509  0.369 -0.357  0.483 -0.205  0.575 -0.038  0.661 0.132  0.746 0.303  0.829 0.474  0.886 0.656  0.943 0.837  0.897 0.994  0.744 0.911  0.590 0.799  0.490 0.637  0.389 0.475  0.311 0.308  0.321 0.118  0.332 -0.072  0.388 -0.248  0.491 -0.408  0.595 -0.568  0.731 -0.689  0.907 -0.760  1.084 -0.830
3#apb#apb38#app3892/s  1.134 0.925  1.160 1.051  1.157 1.159  1.038 1.190  0.917 1.145  0.796 1.100  0.676 1.054  0.554 1.011  0.433 0.969  0.311 0.926  0.189 0.884  0.074 0.827  -0.040 0.767  -0.154 0.707  -0.268 0.647  -0.379 0.581  -0.487 0.512  -0.596 0.443  -0.703 0.376  -0.652 0.257  -0.575 0.158  -0.478 0.073  -0.367 0.015  -0.242 -0.016  -0.117 -0.047  0.009 -0.074  0.136 -0.091  0.264 -0.108  0.390 -0.133  0.513 -0.170  0.637 -0.205  0.666 -0.292  0.619 -0.409  0.528 -0.501  0.437 -0.592  0.333 -0.663  0.214 -0.712  0.095 -0.761  -0.024 -0.810  -0.142 -0.863  -0.260 -0.915  -0.377 -0.968  -0.495 -1.021  -0.620 -1.043  -0.748 -1.051  -0.877 -1.059  -1.002 -1.087  -1.124 -1.127  -1.227 -1.071  -1.325 -0.988
3#apb#apb38#app3892/h  -0.305 1.947  -0.352 1.898  -0.341 1.773  -0.341 1.648  -0.341 1.523  -0.341 1.398  -0.341 1.274  -0.341 1.149  -0.341 1.024  -0.341 0.899  -0.341 0.774  -0.341 0.649  -0.341 0.524  -0.341 0.399  -0.341 0.274  -0.341 0.149  -0.343 0.025  -0.351 -0.100  -0.358 -0.225  -0.366 -0.350  -0.373 -0.474  -0.385 -0.599  -0.399 -0.723  -0.415 -0.846  -0.445 -0.968  -0.407 -0.957  -0.378 -0.835  -0.350 -0.714  -0.301 -0.600  -0.243 -0.489  -0.185 -0.378  -0.124 -0.270  -0.051 -0.168  0.022 -0.067  0.115 0.015  0.223 0.066  0.309 -0.009  0.380 -0.111  0.418 -0.230  0.455 -0.350  0.494 -0.468  0.534 -0.587  0.616 -0.674  0.716 -0.749  0.820 -0.818  0.928 -0.881  1.041 -0.933  1.159 -0.976  1.277 -0.950  1.395 -0.910
3#apb#apb38#app3892/i  -1.468 -0.932  -1.330 -0.897  -1.241 -0.790  -1.159 -0.673  -1.077 -0.556  -0.982 -0.450  -0.876 -0.354  -0.770 -0.258  -0.664 -0.162  -0.568 -0.057  -0.481 0.056  -0.394 0.170  -0.308 0.284  -0.221 0.397  -0.134 0.511  -0.051 0.627  0.030 0.744  0.112 0.862  0.193 0.979  0.261 1.104  0.306 1.239  0.395 1.320  0.294 1.219  0.199 1.113  0.109 1.001  0.020 0.890  -0.068 0.778  -0.123 0.646  -0.178 0.514  -0.233 0.382  -0.262 0.245  -0.262 0.102  -0.262 -0.041  -0.236 -0.179  -0.183 -0.312  -0.130 -0.445  -0.034 -0.536  0.097 -0.594  0.227 -0.652  0.362 -0.699  0.498 -0.744  0.635 -0.772  0.778 -0.758  0.920 -0.744  1.061 -0.723  1.202 -0.697  1.342 -0.672  1.459 -0.604  1.552 -0.496  1.645 -0.387
3#apb#apb38#app3892/n  -1.627 -0.697  -1.663 -0.844  -1.587 -0.892  -1.480 -0.792  -1.383 -0.675  -1.291 -0.556  -1.197 -0.437  -1.104 -0.318  -1.011 -0.199  -0.911 -0.086  -0.812 0.028  -0.712 0.141  -0.609 0.252  -0.502 0.358  -0.395 0.465  -0.283 0.566  -0.170 0.667  -0.036 0.736  -0.032 0.645  -0.059 0.496  -0.074 0.346  -0.074 0.195  -0.074 0.044  -0.116 -0.101  -0.135 -0.251  -0.158 -0.400  -0.215 -0.539  -0.177 -0.509  -0.083 -0.391  0.012 -0.274  0.102 -0.153  0.196 -0.035  0.307 0.068  0.418 0.170  0.525 0.277  0.628 0.388  0.730 0.499  0.849 0.590  0.974 0.675  1.062 0.698  1.062 0.547  1.062 0.396  1.062 0.245  1.062 0.093  1.080 -0.056  1.107 -0.205  1.221 -0.301  1.367 -0.339  1.506 -0.301  1.641 -0.233
3#apb#apb38#app3892/g  0.107 1.014  0.051 1.122  -0.074 1.139  -0.202 1.171  -0.319 1.116  -0.432 1.049  -0.534 0.965  -0.636 0.882  -0.730 0.791  -0.814 0.689  -0.865 0.572  -0.886 0.442  -0.837 0.323  -0.731 0.263  -0.602 0.241  -0.477 0.254  -0.363 0.320  -0.248 0.385  -0.132 0.448  -0.038 0.538  0.051 0.636  0.128 0.743  0.195 0.852  0.170 0.798  0.144 0.668  0.157 0.538  0.174 0.407  0.231 0.291  0.302 0.180  0.381 0.075  0.466 -0.025  0.552 -0.126  0.632 -0.230  0.713 -0.335  0.772 -0.451  0.818 -0.573  0.818 -0.705  0.769 -0.826  0.710 -0.943  0.621 -1.037  0.518 -1.120  0.416 -1.203  0.303 -1.271  0.190 -1.338  0.073 -1.398  -0.052 -1.439  -0.177 -1.481  -0.307 -1.484  -0.438 -1.471  -0.569 -1.458
3#apb#apb38#app3892/t  0.332 1.349  0.440 1.497  0.435 1.559  0.383 1.386  0.352 1.205  0.324 1.024  0.296 0.842  0.266 0.661  0.233 0.481  0.201 0.300  0.153 0.123  0.102 -0.054  0.069 -0.234  0.040 -0.416  -0.006 -0.593  -0.057 -0.769  -0.066 -0.952  -0.007 -1.120  0.141 -1.219  0.314 -1.278  0.488 -1.253  0.660 -1.190  0.822 -1.103  0.965 -0.992  1.085 -0.853  1.167 -0.696  1.054 -0.579  0.892 -0.493  0.730 -0.407  0.568 -0.321  0.405 -0.235  0.243 -0.149  0.081 -0.064  -0.081 0.022  -0.244 0.108  -0.406 0.194  -0.568 0.280  -0.731 0.366  -0.893 0.452  -1.055 0.538  -1.225 0.594  -1.391 0.539  -1.380 0.360  -1.266 0.223  -1.102 0.166  -0.919 0.151  -0.736 0.136  -0.552 0.136  -0.369 0.136  -0.185 0.136
3#apb#apb38#app3892/o  0.011 0.495  -0.176 0.495  -0.344 0.413  -0.514 0.343  -0.701 0.343  -0.781 0.180  -0.878 0.024  -1.010 -0.108  -1.091 -0.262  -1.091 -0.449  -1.091 -0.636  -1.091 -0.823  -1.005 -0.988  -0.914 -1.151  -0.756 -1.240  -0.585 -1.316  -0.414 -1.263  -0.243 -1.187  -0.089 -1.082  0.062 -0.972  0.210 -0.858  0.313 -0.703  0.417 -0.547  0.513 -0.388  0.566 -0.209  0.617 -0.029  0.583 0.154  0.550 0.338  0.454 0.494  0.339 0.642  0.199 0.758  0.029 0.835  -0.141 0.913  -0.321 0.964  -0.485 0.930  -0.559 0.780  -0.478 0.643  -0.332 0.526  -0.159 0.464  0.023 0.422  0.205 0.380  0.388 0.341  0.571 0.302  0.754 0.267  0.941 0.267  1.128 0.267  1.315 0.278  1.501 0.293  1.687 0.312  1.871 0.343
3#apb#apb38#app3892/n  -1.631 -0.255  -1.617 -0.309  -1.520 -0.266  -1.414 -0.189  -1.316 -0.099  -1.211 -0.019  -1.098 0.051  -0.985 0.122  -0.881 0.204  -0.777 0.287  -0.672 0.369  -0.565 0.447  -0.446 0.500  -0.348 0.489  -0.384 0.361  -0.460 0.252  -0.527 0.138  -0.574 0.014  -0.631 -0.106  -0.700 -0.220  -0.710 -0.350  -0.646 -0.433  -0.515 -0.418  -0.403 -0.346  -0.287 -0.282  -0.170 -0.221  -0.076 -0.127  0.032 -0.052  0.118 0.049  0.201 0.153  0.285 0.256  0.372 0.357  0.485 0.427  0.598 0.477  0.689 0.407  0.681 0.277  0.653 0.149  0.645 0.017  0.668 -0.109  0.759 -0.204  0.877 -0.264  1.006 -0.296  1.138 -0.309  1.270 -0.305  1.394 -0.258  1.520 -0.216  1.642 -0.163  1.753 -0.091  1.853 -0.004  1.927 0.106
3#apb#apb38#app3892/T  -0.077 1.098  -0.084 1.057  -0.156 0.881  -0.223 0.704  -0.302 0.531  -0.390 0.363  -0.501 0.212  -0.657 0.107  -0.829 0.114  -0.886 0.286  -0.833 0.466  -0.734 0.627  -0.586 0.740  -0.407 0.797  -0.220 0.803  -0.033 0.774  0.155 0.747  0.344 0.726  0.534 0.712  0.723 0.703  0.913 0.711  1.089 0.778  1.232 0.895  1.258 0.875  1.153 0.716  1.048 0.558  0.942 0.400  0.837 0.242  0.724 0.091  0.581 -0.030  0.474 -0.187  0.366 -0.343  0.264 -0.503  0.179 -0.673  0.092 -0.842  0.009 -1.013  -0.072 -1.183  -0.200 -1.322  -0.376 -1.374  -0.555 -1.347  -0.666 -1.200  -0.726 -1.020  -0.741 -0.830  -0.714 -0.644  -0.615 -0.513  -0.506 -0.666  -0.436 -0.842  -0.293 -0.965  -0.139 -1.074  0.037 -1.144
