1b#tos#f3#f3010058/A  -1.101 -1.112  -1.228 -1.239  -1.110 -1.158  -1.064 -0.994  -1.014 -0.823  -0.961 -0.665  -0.834 -0.538  -0.751 -0.393  -0.690 -0.232  -0.570 -0.099  -0.486 0.055  -0.406 0.215  -0.339 0.378  -0.274 0.534  -0.182 0.664  -0.182 0.844  -0.082 0.985  -0.014 1.151  0.090 1.280  0.206 1.382  0.331 1.469  0.500 1.443  0.534 1.278  0.578 1.112  0.647 0.947  0.728 0.787  0.736 0.609  0.747 0.432  0.780 0.258  0.819 0.084  0.824 -0.094  0.824 -0.274  0.865 -0.447  0.907 -0.619  0.955 -0.788  0.929 -0.922  0.771 -0.835  0.614 -0.749  0.457 -0.662  0.300 -0.575  0.143 -0.489  -0.014 -0.402  -0.171 -0.315  -0.331 -0.237  -0.510 -0.237  -0.690 -0.237  -0.590 -0.193  -0.410 -0.193  -0.231 -0.193  -0.051 -0.193
1b#tos#f3#f3010058/E  -0.887 1.147  -0.978 0.991  -0.892 0.829  -0.672 0.879  -0.471 0.965  -0.238 1.030  0.001 1.088  0.235 1.164  0.462 1.257  0.698 1.327  0.937 1.373  0.907 1.275  0.685 1.168  0.462 1.062  0.240 0.955  0.017 0.848  -0.212 0.778  -0.252 0.548  -0.298 0.312  -0.298 0.065  -0.298 -0.181  -0.343 -0.421  -0.343 -0.667  -0.343 -0.914  -0.521 -1.071  -0.522 -1.286  -0.483 -1.043  -0.445 -0.799  -0.406 -0.555  -0.479 -0.479  -0.290 -0.391  -0.098 -0.304  0.056 -0.201  0.206 -0.077  0.446 -0.059  0.609 0.093  0.676 0.032  0.505 -0.146  0.334 -0.324  0.164 -0.502  -0.007 -0.681  -0.178 -0.859  -0.371 -0.984  -0.296 -1.122  -0.081 -1.130  0.151 -1.077  0.393 -1.064  0.606 -0.984  0.848 -0.972  1.062 -0.893
1b#tos#f3#f3010058/F  -0.504 1.033  -0.555 0.928  -0.397 0.957  -0.235 0.957  -0.111 0.995  0.043 1.015  0.182 1.070  0.339 1.100  0.491 1.146  0.646 1.175  0.806 1.183  0.896 1.209  0.744 1.151  0.593 1.094  0.441 1.036  0.290 0.978  0.138 0.921  0.052 0.844  0.023 0.711  0.023 0.549  -0.015 0.403  -0.066 0.253  -0.090 0.096  -0.092 -0.065  -0.128 -0.223  -0.140 -0.384  -0.165 -0.543  -0.202 -0.697  -0.259 -0.847  -0.278 -1.007  -0.304 -1.167  -0.348 -1.322  -0.384 -1.476  -0.454 -1.603  -0.455 -1.682  -0.402 -1.528  -0.350 -1.375  -0.298 -1.222  -0.245 -1.068  -0.193 -0.915  -0.140 -0.762  -0.088 -0.608  -0.035 -0.455  0.017 -0.302  -0.122 -0.285  -0.047 -0.285  0.115 -0.285  0.276 -0.278  0.434 -0.248  0.550 -0.172
1b#tos#f3#f3010058/J  -0.512 0.751  -0.639 0.751  -0.700 0.685  -0.732 0.601  -0.611 0.627  -0.492 0.670  -0.366 0.676  -0.259 0.741  -0.153 0.798  -0.028 0.819  0.094 0.853  0.220 0.864  0.300 0.939  0.427 0.939  0.554 0.939  0.681 0.939  0.808 0.939  0.747 0.908  0.627 0.868  0.507 0.828  0.386 0.788  0.266 0.748  0.144 0.714  0.051 0.680  0.058 0.556  0.126 0.458  0.146 0.335  0.201 0.228  0.201 0.101  0.201 -0.026  0.202 -0.152  0.232 -0.276  0.238 -0.402  0.238 -0.529  0.238 -0.656  0.238 -0.782  0.238 -0.909  0.183 -1.020  0.156 -1.139  0.084 -1.241  -0.006 -1.331  -0.073 -1.436  -0.181 -1.500  -0.308 -1.500  -0.435 -1.500  -0.547 -1.465  -0.652 -1.394  -0.664 -1.273  -0.700 -1.161  -0.737 -1.050
1b#tos#f3#f3010058/M  -0.535 0.914  -0.535 0.734  -0.575 0.565  -0.609 0.392  -0.654 0.222  -0.679 0.047  -0.743 -0.121  -0.804 -0.289  -0.849 -0.462  -0.868 -0.638  -0.966 -0.782  -0.965 -0.850  -0.948 -0.672  -0.931 -0.494  -0.915 -0.315  -0.898 -0.137  -0.881 0.041  -0.864 0.220  -0.851 0.398  -0.851 0.577  -0.754 0.521  -0.733 0.347  -0.654 0.201  -0.577 0.047  -0.415 -0.010  -0.244 -0.035  -0.070 0.002  0.109 0.004  0.272 0.072  0.404 0.192  0.550 0.277  0.666 0.411  0.809 0.519  0.843 0.694  0.947 0.835  0.984 0.993  1.007 0.837  0.998 0.660  0.967 0.488  0.967 0.309  0.967 0.130  0.967 -0.050  0.967 -0.229  0.967 -0.408  0.967 -0.587  0.967 -0.766  0.967 -0.945  0.979 -1.121  1.046 -1.279  1.046 -1.458
1b#tos#f3#f3010058/N  -0.393 0.858  -0.439 0.944  -0.467 0.772  -0.467 0.596  -0.484 0.420  -0.542 0.261  -0.609 0.103  -0.641 -0.071  -0.690 -0.239  -0.746 -0.406  -0.766 -0.581  -0.841 -0.726  -0.879 -0.894  -0.856 -0.728  -0.832 -0.553  -0.808 -0.378  -0.785 -0.203  -0.761 -0.028  -0.737 0.148  -0.714 0.323  -0.692 0.498  -0.613 0.596  -0.486 0.521  -0.395 0.410  -0.318 0.259  -0.261 0.100  -0.178 -0.056  -0.131 -0.225  -0.131 -0.401  -0.102 -0.573  -0.057 -0.744  -0.019 -0.912  0.056 -1.014  0.161 -0.988  0.307 -0.893  0.399 -0.751  0.497 -0.608  0.609 -0.472  0.726 -0.340  0.838 -0.205  0.929 -0.054  1.020 0.098  1.132 0.235  1.224 0.381  1.272 0.548  1.378 0.689  1.489 0.827  1.547 0.991  1.591 1.160  1.663 1.307
1b#tos#f3#f3010058/O  -0.314 0.887  -0.364 0.798  -0.494 0.789  -0.562 0.689  -0.659 0.590  -0.703 0.459  -0.708 0.321  -0.708 0.182  -0.715 0.047  -0.830 -0.030  -0.855 -0.155  -0.855 -0.294  -0.855 -0.433  -0.855 -0.571  -0.855 -0.710  -0.835 -0.845  -0.785 -0.974  -0.703 -1.084  -0.603 -1.178  -0.464 -1.178  -0.325 -1.178  -0.190 -1.147  -0.065 -1.093  0.050 -1.015  0.161 -0.932  0.272 -0.849  0.383 -0.765  0.486 -0.673  0.584 -0.575  0.682 -0.476  0.773 -0.374  0.816 -0.242  0.816 -0.104  0.840 0.025  0.898 0.148  0.915 0.284  0.954 0.416  0.964 0.554  0.964 0.692  0.964 0.831  0.871 0.931  0.736 0.947  0.604 0.986  0.465 0.986  0.326 0.986  0.187 0.986  0.057 0.950  -0.067 0.888  -0.182 0.811  -0.216 0.691
1b#tos#f3#f3010058/P  0.165 0.608  0.087 0.546  0.067 0.353  0.022 0.164  -0.049 -0.017  -0.069 -0.208  -0.069 -0.403  -0.069 -0.599  -0.164 -0.761  -0.225 -0.935  -0.264 -1.125  -0.294 -1.316  -0.303 -1.510  -0.374 -1.684  -0.406 -1.516  -0.432 -1.322  -0.458 -1.129  -0.484 -0.935  -0.510 -0.741  -0.536 -0.547  -0.562 -0.354  -0.588 -0.160  -0.614 0.034  -0.640 0.227  -0.742 0.334  -0.938 0.334  -1.084 0.383  -0.944 0.475  -0.776 0.565  -0.598 0.608  -0.460 0.725  -0.284 0.810  -0.103 0.882  0.090 0.914  0.266 0.971  0.441 1.058  0.632 1.076  0.828 1.076  1.023 1.076  1.150 0.950  1.180 0.767  1.180 0.571  1.180 0.376  1.143 0.217  0.970 0.163  0.832 0.025  0.689 -0.106  0.523 -0.206  0.365 -0.309  0.204 -0.407
1b#tos#f3#f3010058/S  0.904 0.917  0.857 1.008  0.782 1.115  0.660 1.154  0.532 1.186  0.449 1.268  0.318 1.268  0.187 1.268  0.055 1.268  -0.076 1.268  -0.107 1.167  -0.107 1.036  -0.068 0.943  0.022 0.892  0.100 0.788  0.170 0.679  0.263 0.586  0.315 0.468  0.400 0.370  0.459 0.253  0.483 0.127  0.515 0.003  0.538 -0.125  0.554 -0.253  0.554 -0.385  0.554 -0.516  0.527 -0.643  0.476 -0.757  0.462 -0.879  0.338 -0.911  0.207 -0.911  0.090 -0.947  -0.040 -0.950  -0.172 -0.950  -0.225 -0.872  -0.341 -0.820  -0.421 -0.735  -0.468 -0.631  -0.574 -0.557  -0.582 -0.427  -0.613 -0.303  -0.637 -0.324  -0.652 -0.453  -0.701 -0.559  -0.807 -0.638  -0.905 -0.716  -0.952 -0.839  -1.049 -0.889  -1.080 -1.013  -1.196 -1.028
1b#tos#f3#f3010058/T  -0.769 0.565  -0.892 0.565  -1.015 0.565  -0.948 0.565  -0.825 0.565  -0.703 0.565  -0.580 0.565  -0.457 0.572  -0.336 0.592  -0.222 0.630  -0.115 0.682  0.008 0.682  0.128 0.706  0.247 0.735  0.366 0.761  0.489 0.761  0.612 0.761  0.735 0.761  0.858 0.761  0.980 0.761  0.882 0.726  0.765 0.689  0.648 0.651  0.531 0.614  0.414 0.576  0.297 0.539  0.180 0.502  0.063 0.464  -0.057 0.448  -0.105 0.350  -0.105 0.227  -0.105 0.104  -0.105 -0.019  -0.105 -0.142  -0.105 -0.265  -0.105 -0.388  -0.105 -0.510  -0.100 -0.633  -0.076 -0.753  -0.066 -0.875  -0.066 -0.998  -0.042 -1.118  -0.027 -1.240  -0.027 -1.363  -0.027 -1.486  -0.027 -1.608  -0.027 -1.731  -0.027 -1.854  0.011 -1.971  0.052 -2.054
1b#tos#f3#f3010058/U  -0.534 1.084  -0.619 1.122  -0.686 1.179  -0.724 1.208  -0.724 1.084  -0.707 0.964  -0.661 0.849  -0.648 0.728  -0.648 0.604  -0.648 0.481  -0.648 0.357  -0.648 0.233  -0.648 0.110  -0.648 -0.014  -0.641 -0.137  -0.621 -0.259  -0.610 -0.382  -0.610 -0.505  -0.568 -0.621  -0.510 -0.728  -0.450 -0.835  -0.380 -0.935  -0.321 -1.040  -0.267 -1.123  -0.187 -1.189  -0.065 -1.200  0.059 -1.200  0.123 -1.104  0.210 -1.033  0.304 -0.982  0.315 -0.860  0.354 -0.743  0.419 -0.647  0.529 -0.592  0.586 -0.483  0.631 -0.368  0.671 -0.251  0.684 -0.130  0.734 -0.021  0.795 0.087  0.836 0.200  0.836 0.324  0.836 0.448  0.836 0.571  0.836 0.695  0.836 0.819  0.836 0.942  0.788 1.040  0.718 1.127  0.646 1.122
