3#apa#apa19#app1978/W  -1.025 0.754  -1.025 0.930  -1.124 0.896  -1.148 0.730  -1.223 0.585  -1.223 0.409  -1.223 0.233  -1.223 0.058  -1.223 -0.118  -1.152 -0.277  -1.043 -0.413  -0.988 -0.566  -0.927 -0.717  -0.761 -0.727  -0.585 -0.727  -0.445 -0.640  -0.292 -0.586  -0.168 -0.461  -0.122 -0.302  -0.043 -0.144  0.061 -0.010  0.061 0.165  0.061 0.341  0.061 0.517  -0.036 0.653  -0.090 0.504  -0.137 0.348  -0.137 0.172  -0.107 0.003  -0.028 -0.154  0.050 -0.311  0.169 -0.440  0.293 -0.564  0.417 -0.689  0.578 -0.727  0.753 -0.727  0.929 -0.727  1.088 -0.686  1.213 -0.562  1.245 -0.399  1.245 -0.224  1.206 -0.057  1.147 0.105  1.093 0.268  1.048 0.433  1.011 0.594  0.949 0.744  0.850 0.879  0.923 0.878  1.048 0.754
3#apa#apa19#app1978/I  0.241 1.114  0.241 1.191  0.241 1.269  0.164 1.269  0.087 1.269  0.086 1.346  0.086 1.423  0.086 1.349  0.086 1.272  0.086 1.194  0.086 1.117  0.086 1.039  0.086 0.962  0.033 0.906  -0.022 0.851  -0.070 0.793  -0.070 0.716  -0.070 0.638  -0.070 0.561  -0.070 0.483  -0.070 0.406  -0.070 0.328  -0.070 0.251  -0.070 0.173  -0.070 0.096  -0.070 0.018  -0.070 -0.059  -0.070 -0.137  -0.070 -0.214  -0.070 -0.292  -0.070 -0.369  -0.070 -0.447  -0.070 -0.524  -0.070 -0.602  -0.070 -0.679  -0.070 -0.757  -0.070 -0.834  -0.070 -0.912  -0.070 -0.989  -0.070 -1.067  -0.070 -1.144  -0.070 -1.222  -0.070 -1.299  -0.070 -1.377  -0.070 -1.454  -0.069 -1.531  0.009 -1.531  0.086 -1.531  0.164 -1.531  0.241 -1.531
3#apa#apa19#app1978/T  -0.039 0.275  0.062 0.174  0.080 0.039  0.080 -0.104  0.080 -0.247  0.080 -0.390  0.080 -0.533  0.080 -0.676  0.080 -0.819  0.080 -0.962  0.080 -1.105  0.080 -1.248  0.080 -1.391  0.094 -1.520  0.183 -1.487  0.119 -1.359  0.055 -1.231  -0.009 -1.103  -0.072 -0.975  -0.136 -0.847  -0.200 -0.719  -0.264 -0.591  -0.328 -0.463  -0.392 -0.336  -0.456 -0.208  -0.520 -0.080  -0.584 0.048  -0.648 0.176  -0.712 0.304  -0.776 0.432  -0.840 0.560  -0.877 0.694  -0.877 0.837  -0.771 0.874  -0.628 0.874  -0.485 0.874  -0.342 0.874  -0.199 0.874  -0.056 0.874  0.087 0.874  0.230 0.874  0.373 0.874  0.516 0.874  0.659 0.874  0.802 0.874  0.945 0.874  1.088 0.874  1.230 0.874  1.373 0.874  1.516 0.874
3#apa#apa19#app1978/H  -0.719 1.085  -0.719 0.885  -0.719 0.685  -0.719 0.486  -0.719 0.286  -0.719 0.086  -0.719 -0.114  -0.719 -0.314  -0.652 -0.499  -0.587 -0.683  -0.587 -0.883  -0.587 -1.083  -0.587 -1.283  -0.594 -1.356  -0.616 -1.157  -0.638 -0.958  -0.660 -0.760  -0.683 -0.561  -0.705 -0.362  -0.719 -0.163  -0.581 -0.101  -0.381 -0.101  -0.181 -0.101  0.019 -0.101  0.219 -0.101  0.419 -0.101  0.479 0.050  0.495 0.249  0.510 0.449  0.525 0.648  0.541 0.848  0.556 1.047  0.571 1.246  0.587 1.446  0.599 1.580  0.599 1.380  0.599 1.180  0.599 0.980  0.599 0.780  0.599 0.580  0.599 0.380  0.599 0.180  0.599 -0.019  0.599 -0.219  0.599 -0.419  0.599 -0.619  0.599 -0.819  0.599 -1.019  0.599 -1.219  0.599 -1.419
3#apa#apa19#app1978/A  -0.354 0.657  -0.378 0.412  -0.524 0.206  -0.574 -0.037  -0.604 -0.286  -0.685 -0.522  -0.685 -0.778  -0.685 -1.033  -0.685 -1.289  -0.685 -1.338  -0.574 -1.129  -0.574 -0.873  -0.574 -0.618  -0.548 -0.367  -0.467 -0.124  -0.464 0.131  -0.464 0.386  -0.464 0.642  -0.455 0.895  -0.354 1.127  -0.354 1.382  -0.243 1.592  -0.158 1.762  0.095 1.755  0.199 1.542  0.309 1.333  0.418 1.103  0.420 0.848  0.498 0.611  0.530 0.363  0.628 0.130  0.640 -0.122  0.669 -0.366  0.751 -0.587  0.751 -0.843  0.861 -1.052  0.939 -1.194  0.742 -1.032  0.544 -0.870  0.346 -0.709  0.149 -0.547  -0.049 -0.385  -0.248 -0.226  -0.354 -0.076  -0.169 -0.005  0.086 -0.005  0.316 -0.116  0.571 -0.116  0.827 -0.116  1.082 -0.116
3#apa#apa19#app1978/Q  -0.097 0.866  -0.204 0.974  -0.298 1.114  -0.478 1.164  -0.664 1.197  -0.810 1.064  -0.924 0.911  -0.994 0.727  -1.084 0.548  -1.090 0.349  -1.090 0.148  -1.049 -0.043  -0.960 -0.222  -0.870 -0.401  -0.743 -0.553  -0.583 -0.673  -0.422 -0.793  -0.240 -0.872  -0.040 -0.872  0.161 -0.872  0.327 -0.790  0.490 -0.700  0.632 -0.558  0.648 -0.364  0.648 -0.164  0.609 0.032  0.555 0.225  0.466 0.404  0.376 0.583  0.286 0.762  0.159 0.904  -0.002 1.020  -0.168 1.103  -0.143 0.934  -0.104 0.737  -0.065 0.541  -0.025 0.344  0.014 0.148  0.053 -0.049  0.096 -0.183  0.235 -0.214  0.289 -0.402  0.418 -0.550  0.591 -0.649  0.702 -0.813  0.826 -0.967  0.942 -1.128  1.086 -1.227  1.227 -1.369  1.311 -1.369
3#apa#apa19#app1978/U  -0.772 1.114  -0.670 1.134  -0.670 1.175  -0.670 1.053  -0.670 0.931  -0.670 0.808  -0.670 0.686  -0.670 0.564  -0.670 0.442  -0.670 0.319  -0.670 0.197  -0.670 0.075  -0.670 -0.048  -0.670 -0.170  -0.635 -0.284  -0.580 -0.393  -0.568 -0.513  -0.568 -0.635  -0.553 -0.754  -0.498 -0.863  -0.431 -0.963  -0.344 -1.049  -0.256 -1.132  -0.134 -1.132  -0.012 -1.132  0.111 -1.132  0.233 -1.132  0.350 -1.127  0.368 -1.012  0.455 -0.925  0.541 -0.839  0.587 -0.728  0.626 -0.612  0.657 -0.494  0.657 -0.372  0.657 -0.250  0.657 -0.128  0.657 -0.005  0.657 0.117  0.657 0.239  0.657 0.362  0.657 0.484  0.657 0.606  0.657 0.728  0.657 0.851  0.657 0.973  0.597 1.071  0.554 1.175  0.554 1.298  0.554 1.420
3#apa#apa19#app1978/A  -0.046 0.932  -0.160 0.792  -0.213 0.546  -0.301 0.307  -0.389 0.073  -0.389 -0.182  -0.438 -0.425  -0.503 -0.664  -0.503 -0.919  -0.617 -1.127  -0.618 -1.381  -0.618 -1.305  -0.503 -1.098  -0.478 -0.849  -0.389 -0.615  -0.342 -0.366  -0.280 -0.119  -0.274 0.135  -0.274 0.390  -0.160 0.597  -0.160 0.852  -0.133 1.100  -0.046 1.335  -0.046 1.589  0.033 1.812  0.183 1.758  0.298 1.618  0.454 1.420  0.526 1.183  0.580 0.940  0.641 0.700  0.641 0.445  0.641 0.190  0.641 -0.064  0.740 -0.296  0.755 -0.547  0.755 -0.802  0.755 -1.056  0.755 -1.311  0.600 -1.215  0.411 -1.044  0.223 -0.872  0.034 -0.701  -0.154 -0.529  -0.343 -0.358  -0.541 -0.212  -0.554 -0.098  -0.309 -0.138  -0.072 -0.212  0.183 -0.212
3#apa#apa19#app1978/L  0.138 1.702  0.138 1.619  0.097 1.577  0.014 1.577  0.013 1.494  0.013 1.410  0.013 1.327  -0.024 1.253  -0.061 1.178  -0.098 1.104  -0.112 1.023  -0.112 0.940  -0.112 0.857  -0.112 0.773  -0.112 0.690  -0.112 0.607  -0.112 0.524  -0.120 0.444  -0.179 0.385  -0.237 0.325  -0.237 0.242  -0.237 0.159  -0.237 0.075  -0.237 -0.008  -0.237 -0.091  -0.237 -0.175  -0.237 -0.258  -0.237 -0.341  -0.237 -0.424  -0.237 -0.508  -0.237 -0.591  -0.237 -0.674  -0.237 -0.758  -0.237 -0.841  -0.237 -0.924  -0.237 -1.008  -0.194 -1.049  -0.111 -1.049  -0.028 -1.049  0.055 -1.049  0.139 -1.049  0.222 -1.049  0.305 -1.049  0.389 -1.049  0.472 -1.049  0.555 -1.049  0.639 -1.049  0.722 -1.049  0.805 -1.049  0.889 -1.049
3#apa#apa19#app1978/M  -0.673 0.844  -0.757 0.652  -0.841 0.460  -0.902 0.243  -0.924 0.020  -0.924 -0.206  -0.924 -0.433  -0.924 -0.660  -0.924 -0.886  -0.924 -1.047  -0.841 -0.904  -0.810 -0.685  -0.750 -0.472  -0.678 -0.257  -0.653 -0.036  -0.590 0.176  -0.544 0.395  -0.459 0.605  -0.376 0.815  -0.322 1.029  -0.255 0.963  -0.255 0.736  -0.214 0.514  -0.171 0.293  -0.171 0.066  -0.171 -0.160  -0.129 -0.370  -0.088 -0.579  0.014 -0.727  0.115 -0.542  0.163 -0.336  0.163 -0.109  0.247 0.098  0.247 0.325  0.303 0.538  0.371 0.753  0.414 0.975  0.548 1.045  0.650 0.860  0.753 0.660  0.808 0.440  0.889 0.230  0.990 0.027  1.065 -0.187  1.158 -0.393  1.251 -0.598  1.307 -0.801  1.418 -0.982  1.568 -1.146  1.753 -1.247
3#apa#apa19#app1978/T  0.148 0.297  0.148 0.155  0.148 0.012  0.148 -0.130  0.148 -0.273  0.148 -0.416  0.148 -0.558  0.158 -0.699  0.203 -0.835  0.236 -0.972  0.236 -1.114  0.236 -1.257  0.315 -1.367  0.324 -1.506  0.276 -1.468  0.204 -1.345  0.132 -1.222  0.060 -1.099  -0.012 -0.975  -0.084 -0.852  -0.156 -0.729  -0.227 -0.606  -0.299 -0.483  -0.371 -0.359  -0.443 -0.236  -0.515 -0.113  -0.587 0.010  -0.659 0.133  -0.730 0.256  -0.802 0.380  -0.874 0.503  -0.908 0.636  -0.908 0.779  -0.820 0.833  -0.758 0.914  -0.616 0.914  -0.473 0.914  -0.330 0.914  -0.188 0.914  -0.045 0.914  0.097 0.914  0.240 0.914  0.383 0.914  0.525 0.914  0.668 0.914  0.810 0.914  0.953 0.914  1.096 0.914  1.238 0.914  1.381 0.914
