1c#app#app13#app1324/x  -1.033 0.831  -1.033 1.043  -0.867 1.089  -0.655 1.089  -0.519 1.013  -0.519 0.800  -0.519 0.588  -0.321 0.574  -0.261 0.422  -0.261 0.210  -0.200 0.059  -0.004 0.043  -0.004 -0.169  -0.004 -0.381  0.093 -0.553  0.243 -0.703  0.254 -0.911  0.361 -1.078  0.511 -1.228  0.511 -1.016  0.530 -0.805  0.553 -0.594  0.576 -0.383  0.600 -0.172  0.623 0.038  0.647 0.249  0.670 0.460  0.693 0.671  0.717 0.881  0.740 1.092  0.764 1.303  0.768 1.177  0.681 1.001  0.531 0.851  0.511 0.648  0.373 0.574  0.254 0.481  0.220 0.283  0.070 0.133  -0.080 -0.017  -0.230 -0.167  -0.261 -0.366  -0.348 -0.542  -0.498 -0.692  -0.519 -0.896  -0.616 -1.068  -0.766 -1.218  -0.915 -1.368  -1.033 -1.531  -1.033 -1.743
1c#app#app13#app1324/y  -0.801 1.631  -0.801 1.468  -0.801 1.304  -0.801 1.141  -0.724 1.055  -0.560 1.055  -0.513 0.939  -0.513 0.776  -0.513 0.612  -0.513 0.449  -0.513 0.286  -0.465 0.142  -0.349 0.027  -0.234 -0.089  -0.225 -0.248  -0.199 -0.386  -0.036 -0.386  0.128 -0.386  0.291 -0.386  0.351 -0.283  0.351 -0.119  0.386 0.040  0.425 0.198  0.465 0.357  0.505 0.515  0.544 0.674  0.584 0.832  0.624 0.991  0.640 0.958  0.640 0.794  0.640 0.631  0.640 0.468  0.640 0.304  0.605 0.156  0.489 0.040  0.374 -0.075  0.351 -0.230  0.346 -0.391  0.231 -0.506  0.115 -0.622  0.063 -0.764  0.063 -0.927  -0.027 -1.053  -0.143 -1.168  -0.225 -1.298  -0.225 -1.461  -0.225 -1.624  -0.225 -1.788  -0.350 -1.826  -0.513 -1.826
1c#app#app13#app1324/z  -0.877 1.376  -0.877 1.231  -0.803 1.160  -0.658 1.157  -0.556 1.055  -0.453 0.952  -0.312 0.944  -0.167 0.944  -0.022 0.944  0.123 0.944  0.268 0.944  0.413 0.944  0.558 0.944  0.683 0.896  0.785 0.793  0.851 0.675  0.851 0.530  0.724 0.512  0.635 0.456  0.635 0.311  0.505 0.296  0.378 0.254  0.275 0.152  0.173 0.049  0.070 -0.053  -0.041 -0.136  -0.186 -0.136  -0.301 -0.208  -0.403 -0.310  -0.506 -0.413  -0.608 -0.515  -0.732 -0.568  -0.877 -0.568  -0.877 -0.713  -0.803 -0.784  -0.661 -0.787  -0.661 -0.932  -0.583 -1.000  -0.439 -1.000  -0.294 -1.000  -0.149 -1.000  -0.004 -1.000  0.141 -1.000  0.286 -1.000  0.431 -1.000  0.576 -1.000  0.696 -0.939  0.799 -0.836  0.922 -0.784  1.067 -0.784
1c#app#app13#app1324/z  -1.203 0.949  -1.203 0.799  -1.158 0.694  -1.008 0.694  -0.859 0.694  -0.709 0.694  -0.694 0.829  -0.664 0.949  -0.514 0.949  -0.365 0.949  -0.215 0.949  -0.065 0.949  0.084 0.949  0.234 0.949  0.384 0.949  0.533 0.949  0.578 0.843  0.578 0.694  0.578 0.544  0.533 0.440  0.383 0.440  0.324 0.349  0.324 0.200  0.228 0.090  0.122 -0.016  0.016 -0.122  -0.090 -0.228  -0.200 -0.324  -0.349 -0.324  -0.440 -0.383  -0.440 -0.533  -0.544 -0.578  -0.694 -0.578  -0.694 -0.727  -0.650 -0.832  -0.500 -0.832  -0.350 -0.832  -0.201 -0.832  -0.051 -0.832  0.099 -0.832  0.248 -0.832  0.398 -0.832  0.548 -0.832  0.698 -0.832  0.847 -0.832  0.997 -0.832  1.147 -0.832  1.296 -0.832  1.341 -0.937  1.341 -1.087
1c#app#app13#app1324/y  -1.197 1.042  -1.197 0.878  -1.115 0.748  -0.999 0.632  -0.984 0.474  -0.918 0.337  -0.802 0.221  -0.771 0.070  -0.771 -0.094  -0.755 -0.252  -0.639 -0.368  -0.558 -0.498  -0.557 -0.661  -0.393 -0.661  -0.345 -0.544  -0.345 -0.380  -0.333 -0.221  -0.226 -0.096  -0.119 0.029  -0.012 0.153  0.095 0.278  0.201 0.402  0.308 0.527  0.415 0.652  0.522 0.776  0.629 0.901  0.735 1.026  0.842 1.150  0.932 1.230  0.932 1.066  0.932 0.901  0.932 0.737  0.932 0.573  0.932 0.409  0.820 0.291  0.719 0.169  0.719 0.005  0.623 -0.119  0.507 -0.235  0.390 -0.351  0.281 -0.472  0.208 -0.619  0.135 -0.766  0.081 -0.917  0.081 -1.082  -0.032 -1.199  -0.132 -1.322  -0.132 -1.486  -0.229 -1.610  -0.345 -1.726
1c#app#app13#app1324/w  -1.291 0.532  -1.430 0.532  -1.347 0.440  -1.291 0.325  -1.256 0.201  -1.158 0.103  -1.143 -0.030  -1.143 -0.169  -1.143 -0.307  -1.143 -0.446  -1.062 -0.503  -0.996 -0.575  -0.932 -0.650  -0.793 -0.650  -0.700 -0.605  -0.675 -0.477  -0.576 -0.379  -0.478 -0.281  -0.380 -0.183  -0.282 -0.085  -0.257 0.043  -0.191 0.154  -0.109 0.259  -0.095 0.384  0.039 0.388  0.039 0.527  0.173 0.532  0.187 0.407  0.268 0.302  0.334 0.191  0.334 0.052  0.334 -0.087  0.347 -0.220  0.445 -0.318  0.482 -0.441  0.559 -0.503  0.678 -0.455  0.776 -0.357  0.914 -0.355  0.925 -0.228  1.043 -0.207  1.073 -0.098  1.144 0.011  1.242 0.109  1.340 0.207  1.369 0.334  1.369 0.473  1.425 0.588  1.516 0.689  1.516 0.827
1c#app#app13#app1324/h  -0.465 2.024  -0.465 1.877  -0.465 1.731  -0.406 1.643  -0.275 1.628  -0.275 1.481  -0.275 1.334  -0.275 1.188  -0.275 1.041  -0.275 0.894  -0.275 0.748  -0.275 0.601  -0.275 0.454  -0.275 0.308  -0.275 0.161  -0.275 0.014  -0.301 -0.126  -0.367 -0.257  -0.433 -0.389  -0.465 -0.528  -0.465 -0.674  -0.465 -0.821  -0.465 -0.968  -0.465 -1.114  -0.420 -1.216  -0.275 -1.215  -0.275 -1.068  -0.201 -0.952  -0.097 -0.848  -0.084 -0.707  -0.025 -0.585  0.079 -0.481  0.155 -0.357  0.220 -0.226  0.286 -0.095  0.297 0.049  0.352 0.173  0.456 0.277  0.589 0.309  0.678 0.251  0.678 0.104  0.678 -0.042  0.678 -0.189  0.678 -0.336  0.678 -0.483  0.678 -0.629  0.678 -0.776  0.678 -0.923  0.678 -1.069  0.678 -1.216
1c#app#app13#app1324/e  -0.318 -0.321  -0.160 -0.321  -0.001 -0.321  0.157 -0.321  0.315 -0.321  0.386 -0.233  0.398 -0.086  0.556 -0.086  0.621 0.007  0.621 0.166  0.621 0.324  0.621 0.483  0.621 0.641  0.621 0.800  0.621 0.958  0.621 1.117  0.621 1.275  0.510 1.323  0.352 1.323  0.193 1.323  0.151 1.206  0.111 1.088  -0.047 1.088  -0.084 0.966  -0.129 0.853  -0.288 0.853  -0.376 0.739  -0.446 0.597  -0.517 0.455  -0.553 0.305  -0.555 0.149  -0.713 0.149  -0.788 0.065  -0.788 -0.094  -0.788 -0.252  -0.788 -0.411  -0.788 -0.569  -0.788 -0.728  -0.721 -0.858  -0.609 -0.970  -0.497 -1.082  -0.385 -1.194  -0.253 -1.260  -0.095 -1.260  0.063 -1.260  0.222 -1.260  0.380 -1.260  0.539 -1.260  0.697 -1.260  0.856 -1.260
1c#app#app13#app1324/e  -0.709 -0.159  -0.709 -0.322  -0.628 -0.403  -0.466 -0.403  -0.303 -0.403  -0.141 -0.403  0.022 -0.403  0.022 -0.241  0.103 -0.159  0.265 -0.159  0.266 0.003  0.346 0.084  0.509 0.084  0.510 0.246  0.567 0.385  0.681 0.500  0.753 0.633  0.753 0.795  0.753 0.958  0.753 1.120  0.753 1.283  0.612 1.303  0.449 1.303  0.287 1.303  0.124 1.303  0.022 1.243  0.022 1.081  -0.120 1.060  -0.222 0.999  -0.222 0.837  -0.222 0.674  -0.264 0.530  -0.379 0.415  -0.466 0.288  -0.466 0.125  -0.466 -0.037  -0.466 -0.199  -0.466 -0.362  -0.466 -0.524  -0.466 -0.687  -0.466 -0.849  -0.466 -1.012  -0.437 -1.163  -0.323 -1.278  -0.208 -1.392  -0.093 -1.507  0.022 -1.622  0.185 -1.622  0.347 -1.622  0.510 -1.622
1c#app#app13#app1324/z  -1.398 0.792  -1.246 0.792  -1.093 0.792  -0.941 0.792  -0.788 0.792  -0.636 0.792  -0.484 0.792  -0.344 0.823  -0.236 0.931  -0.111 0.997  0.041 0.997  0.194 0.997  0.346 0.997  0.444 0.943  0.443 0.792  0.290 0.792  0.240 0.690  0.240 0.538  0.240 0.386  0.134 0.277  0.023 0.178  -0.130 0.178  -0.170 0.066  -0.224 -0.054  -0.360 -0.122  -0.496 -0.190  -0.579 -0.291  -0.587 -0.436  -0.739 -0.436  -0.784 -0.544  -0.784 -0.696  -0.781 -0.846  -0.629 -0.846  -0.476 -0.846  -0.324 -0.846  -0.171 -0.846  -0.019 -0.846  0.133 -0.846  0.286 -0.846  0.438 -0.846  0.591 -0.846  0.716 -0.779  0.823 -0.671  0.963 -0.641  1.115 -0.641  1.263 -0.636  1.263 -0.484  1.368 -0.436  1.468 -0.384  1.468 -0.231
1c#app#app13#app1324/e  -0.115 -0.024  0.043 -0.024  0.186 -0.009  0.209 0.127  0.337 0.157  0.375 0.277  0.487 0.323  0.487 0.481  0.487 0.639  0.556 0.729  0.638 0.805  0.638 0.964  0.546 1.030  0.487 1.129  0.412 1.256  0.285 1.331  0.126 1.331  0.036 1.264  -0.040 1.181  -0.115 1.098  -0.205 1.030  -0.266 0.932  -0.340 0.805  -0.452 0.693  -0.564 0.581  -0.567 0.424  -0.567 0.266  -0.567 0.107  -0.586 -0.043  -0.698 -0.155  -0.717 -0.305  -0.717 -0.463  -0.717 -0.621  -0.717 -0.780  -0.717 -0.938  -0.700 -1.078  -0.567 -1.104  -0.534 -1.229  -0.375 -1.229  -0.217 -1.229  -0.059 -1.229  0.099 -1.229  0.186 -1.158  0.265 -1.078  0.398 -1.017  0.519 -0.928  0.666 -0.900  0.778 -0.788  0.932 -0.777  0.939 -0.627
