1d#ced#cada7032_s_ie/@  -0.024 0.434  0.002 0.537  -0.135 0.504  -0.205 0.383  -0.230 0.228  -0.230 0.063  -0.138 -0.019  0.023 -0.030  0.182 -0.005  0.343 0.021  0.484 0.091  0.595 0.204  0.621 0.359  0.621 0.524  0.613 0.675  0.587 0.829  0.525 0.969  0.441 1.104  0.306 1.188  0.168 1.267  0.013 1.271  -0.134 1.227  -0.270 1.143  -0.382 1.029  -0.495 0.910  -0.586 0.775  -0.688 0.654  -0.746 0.500  -0.772 0.341  -0.821 0.185  -0.824 0.020  -0.824 -0.145  -0.798 -0.306  -0.774 -0.466  -0.746 -0.625  -0.695 -0.773  -0.614 -0.908  -0.486 -0.985  -0.355 -1.073  -0.204 -1.140  -0.043 -1.166  0.122 -1.169  0.285 -1.183  0.444 -1.190  0.605 -1.163  0.765 -1.133  0.917 -1.069  1.063 -0.996  1.204 -0.933  1.292 -0.959
1d#ced#cada7032_s_ie/$  0.825 0.493  0.842 0.737  0.688 0.924  0.483 1.003  0.237 0.948  0.011 0.838  -0.208 0.701  -0.432 0.589  -0.495 0.429  -0.289 0.275  -0.059 0.160  0.185 0.069  0.433 -0.008  0.661 -0.120  0.899 -0.225  1.109 -0.365  1.150 -0.595  0.964 -0.753  0.720 -0.810  0.469 -0.868  0.208 -0.868  -0.048 -0.841  -0.300 -0.839  -0.558 -0.829  -0.815 -0.810  -0.781 -0.627  -0.691 -0.382  -0.602 -0.137  -0.512 0.109  -0.423 0.354  -0.333 0.599  -0.244 0.844  -0.155 1.089  -0.048 1.327  0.072 1.549  0.048 1.522  -0.009 1.272  -0.044 1.014  -0.073 0.756  -0.107 0.498  -0.154 0.241  -0.192 -0.017  -0.218 -0.276  -0.237 -0.536  -0.250 -0.796  -0.276 -1.054  -0.305 -1.312  -0.334 -1.570  -0.363 -1.824  -0.450 -1.882
1d#ced#cada7032_s_ie/.  -0.557 0.098  -0.654 0.195  -0.549 0.247  -0.400 0.193  -0.243 0.341  -0.031 0.467  0.232 0.568  0.383 0.722  0.540 0.649  0.696 0.577  0.696 0.567  0.547 0.411  0.681 0.255  0.696 -0.035  0.696 -0.340  0.613 -0.611  0.495 -0.842  0.357 -0.972  0.106 -0.842  -0.166 -0.762  -0.382 -0.546  -0.598 -0.331  -0.813 -0.115  -0.971 0.143  -1.002 0.411  -0.992 0.533  -0.926 0.724  -0.778 0.881  -0.537 1.038  -0.232 1.038  0.073 1.038  0.334 0.930  0.554 0.724  0.811 0.609  1.010 0.386  1.178 0.243  1.323 -0.003  1.323 -0.308  1.166 -0.456  1.001 -0.693  0.757 -0.842  0.452 -0.842  0.147 -0.842  -0.158 -0.842  -0.457 -0.813  -0.732 -0.685  -1.037 -0.685  -1.341 -0.683  -1.582 -0.528  -1.731 -0.372
1d#ced#cada7032_s_ie/=  -1.231 0.314  -1.338 0.421  -1.396 0.480  -1.474 0.530  -1.370 0.509  -1.200 0.548  -1.023 0.557  -0.843 0.557  -0.670 0.599  -0.491 0.606  -0.312 0.606  -0.137 0.649  0.042 0.654  0.222 0.654  0.401 0.654  0.581 0.654  0.761 0.654  0.940 0.654  1.044 0.628  0.905 0.514  0.766 0.400  0.627 0.287  0.488 0.173  0.348 0.059  0.209 -0.054  0.070 -0.168  -0.069 -0.282  -0.200 -0.307  -0.356 -0.366  -0.515 -0.415  -0.648 -0.437  -0.737 -0.415  -0.842 -0.409  -0.891 -0.386  -0.805 -0.501  -0.637 -0.542  -0.461 -0.561  -0.282 -0.561  -0.102 -0.561  0.078 -0.561  0.258 -0.561  0.433 -0.600  0.611 -0.609  0.786 -0.567  0.964 -0.561  1.144 -0.561  1.324 -0.561  1.497 -0.603  1.675 -0.609  1.855 -0.609
1d#ced#cada7032_s_ie/$  0.950 0.455  1.137 0.614  1.095 0.779  0.834 0.846  0.558 0.874  0.277 0.874  0.000 0.846  -0.275 0.805  -0.542 0.721  -0.805 0.624  -1.004 0.450  -0.801 0.322  -0.529 0.260  -0.255 0.216  0.022 0.184  0.292 0.110  0.556 0.023  0.825 -0.055  1.068 -0.193  1.201 -0.424  1.001 -0.589  0.741 -0.690  0.465 -0.717  0.188 -0.745  -0.092 -0.748  -0.366 -0.758  -0.637 -0.720  -0.906 -0.677  -0.820 -0.485  -0.680 -0.241  -0.541 0.002  -0.402 0.246  -0.263 0.490  -0.139 0.737  -0.061 1.002  0.001 1.268  0.111 1.378  0.106 1.098  0.056 0.824  0.023 0.546  -0.026 0.270  -0.066 -0.008  -0.126 -0.281  -0.172 -0.558  -0.212 -0.836  -0.253 -1.113  -0.333 -1.381  -0.362 -1.658  -0.418 -1.928  -0.418 -2.057
1d#ced#cada7032_s_ie/.  0.840 0.086  1.068 0.458  0.954 0.649  1.025 0.884  1.068 0.622  1.296 0.183  1.410 -0.302  1.401 -0.370  1.040 -0.114  0.726 0.222  0.613 0.641  1.046 0.861  1.376 0.576  1.524 0.084  1.524 -0.449  1.172 -0.836  0.709 -1.054  0.203 -0.940  -0.235 -0.662  -0.413 -0.202  -0.355 0.083  -0.299 -0.216  -0.529 -0.140  -0.665 -0.118  -0.755 0.216  -0.823 0.428  -0.755 0.124  -0.641 -0.362  -0.641 -0.801  -0.872 -0.708  -1.211 -0.382  -1.439 -0.010  -1.258 0.381  -0.791 0.314  -0.413 0.092  -0.299 -0.394  -0.648 -0.484  -0.983 -0.153  -1.097 0.333  -0.755 0.430  -0.334 0.542  0.087 0.270  0.429 -0.028  0.298 -0.342  -0.123 -0.344  -0.603 -0.180  -1.074 -0.028  -0.976 0.200  -0.641 0.398  -0.185 0.542
1d#ced#cada7032_s_ie/  0.292 1.206  0.312 1.259  0.319 1.325  0.319 1.398  0.293 1.443  0.290 1.408  0.267 1.340  0.266 1.267  0.266 1.194  0.248 1.125  0.228 1.055  0.211 0.985  0.197 0.913  0.183 0.842  0.169 0.771  0.154 0.700  0.140 0.629  0.127 0.557  0.115 0.486  0.099 0.415  0.076 0.346  0.054 0.277  0.044 0.206  0.034 0.134  0.023 0.062  0.011 -0.010  -0.005 -0.080  -0.028 -0.149  -0.050 -0.218  -0.070 -0.288  -0.090 -0.358  -0.107 -0.428  -0.119 -0.500  -0.131 -0.571  -0.143 -0.643  -0.155 -0.714  -0.167 -0.786  -0.179 -0.857  -0.195 -0.928  -0.213 -0.999  -0.230 -1.069  -0.245 -1.140  -0.260 -1.211  -0.282 -1.280  -0.304 -1.349  -0.333 -1.415  -0.340 -1.486  -0.357 -1.552  -0.366 -1.621  -0.366 -1.693
1d#ced#cada7032_s_ie/=  -0.832 0.742  -0.963 0.801  -1.043 0.808  -1.160 0.856  -1.160 0.857  -1.094 0.765  -1.094 0.799  -1.029 0.806  -0.865 0.808  -0.700 0.808  -0.535 0.808  -0.370 0.808  -0.205 0.808  -0.040 0.808  0.125 0.808  0.290 0.808  0.455 0.808  0.620 0.808  0.785 0.808  0.832 0.739  0.751 0.596  0.669 0.452  0.588 0.308  0.507 0.165  0.426 0.021  0.345 -0.123  0.264 -0.266  0.182 -0.410  0.101 -0.554  0.020 -0.697  -0.112 -0.759  -0.189 -0.764  -0.275 -0.731  -0.411 -0.727  -0.439 -0.824  -0.439 -0.858  -0.439 -0.892  -0.374 -0.860  -0.309 -0.830  -0.171 -0.764  -0.006 -0.764  0.159 -0.764  0.324 -0.764  0.489 -0.764  0.654 -0.764  0.815 -0.739  0.972 -0.708  1.132 -0.748  1.295 -0.764  1.460 -0.764
1d#ced#cada7032_s_ie/.  0.134 -0.204  -0.046 -0.024  -0.109 0.204  -0.231 0.337  -0.109 0.469  -0.109 0.480  -0.022 0.647  0.082 0.699  0.255 0.588  0.447 0.526  0.556 0.347  0.741 0.241  0.863 0.037  0.873 -0.213  0.889 -0.325  0.634 -0.325  0.431 -0.204  0.227 -0.082  0.020 0.032  -0.181 0.161  -0.375 0.305  -0.555 0.485  -0.596 0.722  -0.388 0.769  -0.162 0.838  0.020 0.769  0.269 0.755  0.478 0.647  0.707 0.543  0.894 0.373  1.106 0.278  1.203 0.064  1.228 -0.180  1.150 -0.402  1.057 -0.618  0.877 -0.797  0.628 -0.811  0.375 -0.812  0.147 -0.926  -0.080 -0.826  -0.331 -0.811  -0.585 -0.811  -0.827 -0.734  -1.074 -0.690  -1.291 -0.602  -1.510 -0.476  -1.702 -0.313  -1.910 -0.204  -2.043 -0.082  -2.054 0.161
1d#ced#cada7032_s_ie/%  -0.285 0.802  -0.282 0.949  -0.422 1.026  -0.583 0.952  -0.683 0.807  -0.733 0.626  -0.688 0.458  -0.509 0.404  -0.310 0.416  -0.156 0.533  -0.061 0.703  -0.105 0.890  -0.244 1.018  -0.248 1.090  -0.050 1.123  0.149 1.156  0.344 1.203  0.528 1.283  0.647 1.311  0.587 1.128  0.498 0.949  0.400 0.774  0.286 0.608  0.189 0.432  0.099 0.251  -0.001 0.077  -0.098 -0.099  -0.200 -0.272  -0.298 -0.448  -0.368 -0.636  -0.463 -0.812  -0.564 -0.985  -0.648 -1.167  -0.626 -1.253  -0.455 -1.147  -0.283 -1.041  -0.112 -0.936  0.059 -0.830  0.237 -0.749  0.415 -0.712  0.390 -0.666  0.260 -0.768  0.188 -0.949  0.163 -1.140  0.299 -1.264  0.499 -1.257  0.671 -1.179  0.820 -1.055  0.910 -0.886  0.835 -0.716
1d#ced#cada7032_s_ie/(  0.310 1.144  0.357 1.191  0.382 1.260  0.409 1.315  0.382 1.339  0.322 1.359  0.252 1.335  0.206 1.288  0.172 1.227  0.112 1.185  0.070 1.118  0.034 1.047  0.023 0.970  0.003 0.893  -0.022 0.817  -0.047 0.741  -0.067 0.664  -0.105 0.594  -0.143 0.524  -0.179 0.453  -0.215 0.381  -0.246 0.308  -0.265 0.230  -0.284 0.153  -0.288 0.073  -0.288 -0.007  -0.288 -0.087  -0.288 -0.167  -0.289 -0.246  -0.309 -0.323  -0.290 -0.400  -0.288 -0.480  -0.274 -0.558  -0.252 -0.635  -0.230 -0.712  -0.204 -0.786  -0.163 -0.855  -0.130 -0.925  -0.078 -0.986  -0.037 -1.054  0.005 -1.123  0.062 -1.176  0.108 -1.236  0.159 -1.290  0.203 -1.354  0.260 -1.411  0.313 -1.440  0.384 -1.463  0.381 -1.460  0.358 -1.437
