1b#tos#f1#f1013066/C  0.735 0.029  0.735 0.132  0.749 0.232  0.795 0.324  0.828 0.422  0.852 0.521  0.852 0.624  0.852 0.728  0.852 0.831  0.839 0.931  0.794 1.023  0.748 1.080  0.645 1.080  0.541 1.080  0.445 1.052  0.353 1.005  0.262 0.957  0.189 0.884  0.116 0.811  0.043 0.738  -0.029 0.665  -0.102 0.593  -0.185 0.532  -0.277 0.486  -0.369 0.440  -0.405 0.345  -0.432 0.247  -0.432 0.143  -0.466 0.054  -0.539 -0.019  -0.611 -0.092  -0.666 -0.172  -0.666 -0.275  -0.666 -0.379  -0.666 -0.482  -0.666 -0.585  -0.666 -0.688  -0.666 -0.791  -0.666 -0.894  -0.666 -0.997  -0.650 -1.092  -0.567 -1.154  -0.485 -1.216  -0.399 -1.272  -0.306 -1.314  -0.202 -1.314  -0.099 -1.314  0.004 -1.314  0.107 -1.314  0.210 -1.314
1b#tos#f1#f1013066/E  -1.021 1.067  -0.985 0.942  -0.773 0.982  -0.568 1.019  -0.352 1.046  -0.134 1.067  0.083 1.103  0.289 1.179  0.507 1.192  0.693 1.276  0.719 1.270  0.499 1.258  0.278 1.246  0.060 1.229  -0.079 1.067  -0.102 0.870  -0.121 0.653  -0.183 0.447  -0.228 0.237  -0.260 0.020  -0.311 -0.194  -0.385 -0.385  -0.436 -0.584  -0.543 -0.774  -0.605 -0.980  -0.706 -1.024  -0.595 -0.833  -0.485 -0.642  -0.374 -0.450  -0.258 -0.269  -0.058 -0.222  0.073 -0.102  0.294 -0.102  0.497 -0.061  0.718 -0.061  0.577 -0.196  0.411 -0.341  0.244 -0.486  0.078 -0.631  -0.089 -0.775  -0.228 -0.933  -0.379 -1.059  -0.222 -1.105  -0.001 -1.105  0.206 -1.031  0.425 -1.021  0.645 -1.021  0.844 -0.947  1.062 -0.938  1.276 -0.896
1b#tos#f1#f1013066/F  -0.754 1.111  -0.829 0.988  -0.697 0.922  -0.500 0.922  -0.302 0.922  -0.104 0.922  0.093 0.927  0.287 0.960  0.485 0.960  0.674 0.998  0.871 0.998  0.906 1.019  0.714 0.974  0.521 0.930  0.328 0.885  0.135 0.841  -0.053 0.783  -0.110 0.603  -0.183 0.449  -0.238 0.264  -0.302 0.086  -0.371 -0.071  -0.410 -0.258  -0.473 -0.438  -0.552 -0.619  -0.635 -0.798  -0.699 -0.975  -0.792 -1.123  -0.834 -1.300  -0.978 -1.376  -0.943 -1.263  -0.841 -1.123  -0.683 -1.020  -0.528 -0.961  -0.416 -0.830  -0.245 -0.735  -0.065 -0.678  0.128 -0.660  0.274 -0.574  0.440 -0.475  0.630 -0.425  0.801 -0.366  0.863 -0.178  0.926 0.009  0.979 0.139  0.866 0.023  0.753 -0.084  0.659 -0.246  0.638 -0.439  0.565 -0.622
1b#tos#f1#f1013066/I  -0.250 1.353  -0.332 1.271  -0.415 1.188  -0.360 1.163  -0.246 1.177  -0.133 1.201  -0.021 1.226  0.093 1.239  0.194 1.277  0.311 1.277  0.427 1.277  0.443 1.215  0.383 1.125  0.291 1.078  0.246 0.975  0.246 0.859  0.208 0.751  0.163 0.673  0.140 0.559  0.109 0.447  0.093 0.333  0.093 0.216  0.061 0.107  0.011 0.002  -0.021 -0.109  -0.021 -0.226  -0.059 -0.333  -0.059 -0.450  -0.090 -0.556  -0.160 -0.649  -0.174 -0.761  -0.174 -0.878  -0.196 -0.972  -0.312 -0.972  -0.429 -0.972  -0.546 -0.972  -0.657 -1.006  -0.604 -1.048  -0.488 -1.048  -0.371 -1.048  -0.254 -1.048  -0.138 -1.048  -0.027 -1.012  0.089 -1.010  0.206 -1.010  0.313 -0.972  0.430 -0.972  0.546 -0.972  0.663 -0.972  0.779 -0.972
1b#tos#f1#f1013066/J  -0.053 1.040  -0.162 1.010  -0.115 0.952  0.006 0.952  0.127 0.952  0.247 0.952  0.361 0.981  0.478 0.999  0.595 1.015  0.699 1.069  0.793 1.136  0.692 1.156  0.577 1.144  0.481 1.073  0.382 1.006  0.355 0.892  0.326 0.778  0.326 0.657  0.273 0.552  0.268 0.433  0.268 0.312  0.295 0.198  0.297 0.077  0.297 -0.044  0.314 -0.161  0.326 -0.279  0.355 -0.395  0.355 -0.516  0.355 -0.636  0.355 -0.757  0.311 -0.865  0.268 -0.969  0.199 -1.052  0.116 -1.131  0.024 -1.177  -0.097 -1.177  -0.218 -1.177  -0.337 -1.161  -0.448 -1.119  -0.540 -1.041  -0.645 -0.983  -0.747 -0.919  -0.824 -0.826  -0.891 -0.726  -0.985 -0.653  -0.987 -0.533  -1.012 -0.423  -1.045 -0.316  -1.031 -0.201  -0.987 -0.098
1b#tos#f1#f1013066/L  0.079 1.760  -0.020 1.740  -0.020 1.621  -0.020 1.502  -0.066 1.398  -0.096 1.284  -0.152 1.182  -0.155 1.064  -0.218 0.971  -0.218 0.852  -0.230 0.735  -0.251 0.619  -0.274 0.508  -0.346 0.413  -0.368 0.297  -0.390 0.180  -0.416 0.064  -0.416 -0.055  -0.457 -0.166  -0.522 -0.266  -0.575 -0.372  -0.628 -0.474  -0.679 -0.558  -0.743 -0.614  -0.829 -0.647  -0.844 -0.543  -0.819 -0.449  -0.766 -0.383  -0.654 -0.354  -0.541 -0.330  -0.427 -0.307  -0.314 -0.284  -0.195 -0.284  -0.076 -0.284  0.038 -0.315  0.148 -0.353  0.241 -0.416  0.345 -0.451  0.428 -0.520  0.524 -0.572  0.621 -0.628  0.728 -0.676  0.823 -0.717  0.924 -0.746  1.030 -0.779  1.149 -0.779  1.268 -0.779  1.387 -0.779  1.461 -0.697  1.530 -0.614
1b#tos#f1#f1013066/N  -1.352 -1.170  -1.255 -1.170  -1.181 -1.030  -1.053 -0.932  -0.980 -0.790  -0.911 -0.646  -0.843 -0.502  -0.761 -0.365  -0.687 -0.226  -0.648 -0.069  -0.597 0.086  -0.553 0.242  -0.490 0.391  -0.438 0.541  -0.424 0.701  -0.373 0.855  -0.307 1.002  -0.307 1.165  -0.242 1.167  -0.180 1.025  -0.144 0.871  -0.144 0.708  -0.116 0.549  -0.112 0.387  -0.112 0.224  -0.086 0.065  -0.079 -0.096  -0.054 -0.256  -0.046 -0.417  0.019 -0.560  0.053 -0.714  0.149 -0.842  0.198 -0.981  0.308 -1.072  0.388 -0.954  0.461 -0.809  0.533 -0.664  0.615 -0.524  0.640 -0.368  0.667 -0.209  0.700 -0.050  0.773 0.093  0.849 0.237  0.916 0.384  1.017 0.511  1.066 0.664  1.129 0.811  1.211 0.915  1.325 0.938  1.456 0.888
1b#tos#f1#f1013066/O  -0.342 0.531  -0.227 0.646  -0.085 0.715  -0.033 0.825  -0.162 0.740  -0.248 0.615  -0.367 0.507  -0.444 0.365  -0.516 0.220  -0.560 0.064  -0.619 -0.087  -0.688 -0.234  -0.746 -0.382  -0.751 -0.543  -0.820 -0.689  -0.820 -0.851  -0.820 -1.013  -0.820 -1.175  -0.719 -1.258  -0.558 -1.270  -0.396 -1.270  -0.233 -1.270  -0.080 -1.224  0.058 -1.141  0.185 -1.042  0.324 -0.958  0.445 -0.851  0.553 -0.730  0.654 -0.604  0.758 -0.479  0.865 -0.357  0.954 -0.229  0.981 -0.069  0.981 0.093  0.981 0.255  0.981 0.417  0.981 0.579  0.953 0.735  0.859 0.866  0.721 0.944  0.565 0.972  0.402 0.972  0.240 0.972  0.078 0.972  -0.084 0.972  -0.229 0.908  -0.366 0.822  -0.518 0.789  -0.636 0.694  -0.636 0.531
1b#tos#f1#f1013066/P  0.194 1.261  0.194 1.284  0.167 1.067  0.068 0.869  0.029 0.651  -0.077 0.450  -0.169 0.242  -0.222 0.021  -0.351 -0.165  -0.404 -0.386  -0.471 -0.602  -0.585 -0.799  -0.645 -1.013  -0.694 -1.234  -0.729 -1.456  -0.713 -1.583  -0.643 -1.366  -0.573 -1.149  -0.504 -0.932  -0.434 -0.714  -0.364 -0.497  -0.294 -0.280  -0.224 -0.063  -0.154 0.155  -0.085 0.372  -0.015 0.589  0.110 0.727  0.146 0.950  0.281 1.099  0.461 1.177  0.689 1.177  0.902 1.139  1.079 0.999  1.197 0.804  1.242 0.586  1.242 0.358  1.148 0.161  1.085 -0.044  0.906 -0.166  0.724 -0.298  0.571 -0.459  0.343 -0.459  0.126 -0.519  -0.098 -0.542  -0.326 -0.542  -0.534 -0.477  -0.729 -0.361  -0.903 -0.229  -0.981 -0.016  -0.981 0.212
1b#tos#f1#f1013066/Q  -0.519 -0.846  -0.603 -0.969  -0.786 -0.969  -0.916 -0.852  -1.023 -0.721  -1.042 -0.543  -1.042 -0.360  -1.042 -0.177  -1.025 0.004  -0.962 0.174  -0.919 0.352  -0.818 0.504  -0.720 0.658  -0.618 0.808  -0.475 0.920  -0.334 1.037  -0.169 1.112  -0.021 1.215  0.158 1.253  0.338 1.275  0.522 1.275  0.699 1.251  0.822 1.170  0.910 1.016  0.926 0.836  0.924 0.653  0.871 0.478  0.814 0.304  0.752 0.133  0.667 -0.029  0.552 -0.166  0.489 -0.331  0.359 -0.460  0.242 -0.600  0.132 -0.747  -0.004 -0.868  -0.136 -0.969  -0.301 -0.909  -0.335 -0.735  -0.335 -0.552  -0.314 -0.374  -0.168 -0.293  0.015 -0.293  0.198 -0.293  0.374 -0.323  0.537 -0.375  0.678 -0.475  0.794 -0.604  0.894 -0.719  0.957 -0.877
1b#tos#f1#f1013066/R  0.054 1.018  -0.014 1.209  -0.073 0.981  -0.215 0.788  -0.294 0.562  -0.395 0.344  -0.472 0.130  -0.583 -0.072  -0.670 -0.297  -0.755 -0.521  -0.860 -0.737  -0.906 -0.972  -0.974 -1.199  -0.939 -1.054  -0.848 -0.830  -0.758 -0.606  -0.668 -0.383  -0.578 -0.159  -0.487 0.065  -0.397 0.288  -0.307 0.512  -0.217 0.736  -0.146 0.955  0.039 1.105  0.239 1.228  0.454 1.327  0.695 1.327  0.850 1.216  0.945 1.008  0.945 0.767  0.877 0.542  0.773 0.331  0.614 0.161  0.475 0.037  0.311 -0.063  0.124 -0.193  -0.108 -0.250  -0.350 -0.250  -0.425 -0.044  -0.234 -0.051  -0.014 -0.115  0.160 -0.253  0.332 -0.387  0.397 -0.592  0.489 -0.788  0.603 -0.991  0.659 -1.219  0.729 -1.439  0.876 -1.586  1.048 -1.586
