1c#apa#apa02#app0277/f  0.418 1.403  0.418 1.547  0.418 1.691  0.304 1.721  0.206 1.675  0.122 1.615  -0.007 1.599  -0.044 1.471  -0.146 1.369  -0.219 1.255  -0.219 1.111  -0.219 0.967  -0.219 0.823  -0.219 0.679  -0.219 0.535  -0.179 0.407  -0.113 0.290  -0.113 0.146  -0.023 0.039  -0.007 -0.098  -0.007 -0.242  0.058 -0.360  0.099 -0.486  0.099 -0.630  0.099 -0.775  0.099 -0.919  0.124 -1.038  0.206 -1.101  0.206 -1.245  0.206 -1.389  0.162 -1.408  0.072 -1.296  -0.018 -1.183  -0.108 -1.071  -0.198 -0.958  -0.288 -0.846  -0.378 -0.733  -0.468 -0.621  -0.558 -0.508  -0.636 -0.402  -0.492 -0.402  -0.347 -0.402  -0.205 -0.395  -0.076 -0.330  0.060 -0.295  0.204 -0.295  0.348 -0.295  0.470 -0.243  0.592 -0.189  0.736 -0.189
1c#apa#apa02#app0277/y  -0.865 1.521  -0.865 1.336  -0.865 1.152  -0.865 0.967  -0.865 0.783  -0.865 0.598  -0.865 0.414  -0.761 0.272  -0.577 0.272  -0.409 0.311  -0.278 0.442  -0.148 0.572  -0.072 0.688  -0.032 0.833  0.054 0.982  0.110 1.143  0.176 1.300  0.176 1.141  0.176 0.956  0.176 0.772  0.176 0.587  0.176 0.403  0.176 0.218  0.176 0.033  0.176 -0.151  0.176 -0.336  0.176 -0.520  0.176 -0.705  0.261 -0.854  0.280 -1.031  0.280 -1.215  0.280 -1.400  0.280 -1.584  0.157 -1.706  0.002 -1.636  -0.129 -1.505  -0.136 -1.324  -0.136 -1.139  -0.120 -0.961  -0.032 -0.813  -0.016 -0.632  0.067 -0.467  0.194 -0.335  0.325 -0.204  0.384 -0.044  0.543 0.014  0.673 0.144  0.848 0.168  0.929 0.272  1.113 0.272
1c#apa#apa02#app0277/a  0.280 -0.027  0.280 0.174  0.280 0.374  0.263 0.557  0.086 0.581  0.086 0.782  0.050 0.947  -0.150 0.947  -0.351 0.947  -0.552 0.947  -0.752 0.947  -0.934 0.901  -1.076 0.759  -1.083 0.561  -1.222 0.418  -1.278 0.241  -1.278 0.040  -1.183 -0.122  -1.083 -0.281  -1.083 -0.481  -1.012 -0.611  -0.888 -0.688  -0.805 -0.806  -0.693 -0.894  -0.599 -1.001  -0.398 -1.001  -0.198 -1.001  -0.030 -0.921  0.123 -0.806  0.280 -0.763  0.280 -0.562  0.319 -0.377  0.461 -0.236  0.475 -0.041  0.475 0.160  0.475 0.361  0.475 0.561  0.485 0.752  0.670 0.736  0.670 0.536  0.670 0.335  0.703 0.168  0.865 0.128  0.865 -0.072  0.916 -0.222  1.059 -0.279  1.104 -0.461  1.246 -0.603  1.254 -0.800  1.449 -0.806
1c#apa#apa02#app0277/m  -1.423 0.716  -1.286 0.674  -1.286 0.495  -1.286 0.315  -1.286 0.136  -1.253 -0.035  -1.172 -0.196  -1.149 -0.369  -1.149 -0.548  -1.075 -0.653  -0.895 -0.653  -0.853 -0.517  -0.738 -0.452  -0.632 -0.380  -0.601 -0.231  -0.563 -0.067  -0.464 0.071  -0.464 0.250  -0.340 0.305  -0.274 0.463  -0.218 0.633  -0.190 0.624  -0.190 0.445  -0.190 0.266  -0.132 0.111  -0.053 -0.036  -0.053 -0.215  -0.053 -0.394  -0.013 -0.557  0.126 -0.653  0.221 -0.569  0.348 -0.517  0.478 -0.397  0.507 -0.230  0.632 -0.102  0.678 0.031  0.769 0.120  0.769 0.299  0.891 0.427  0.921 0.594  1.049 0.716  1.214 0.681  1.316 0.544  1.316 0.365  1.316 0.186  1.316 0.007  1.316 -0.172  1.316 -0.352  1.327 -0.527  1.453 -0.653
1c#apa#apa02#app0277/e  -0.390 0.138  -0.219 0.138  -0.192 -0.005  -0.076 -0.059  0.094 -0.059  0.247 -0.016  0.367 0.105  0.524 0.138  0.694 0.138  0.865 0.138  0.994 0.179  0.994 0.350  0.994 0.520  0.884 0.645  0.749 0.732  0.599 0.752  0.599 0.922  0.435 0.929  0.265 0.929  0.203 1.038  0.122 1.127  -0.049 1.127  -0.219 1.127  -0.390 1.127  -0.390 0.957  -0.533 0.929  -0.669 0.847  -0.785 0.725  -0.785 0.554  -0.785 0.384  -0.785 0.214  -0.785 0.043  -0.785 -0.127  -0.785 -0.298  -0.785 -0.468  -0.785 -0.639  -0.628 -0.653  -0.588 -0.782  -0.485 -0.850  -0.390 -0.925  -0.342 -1.048  -0.192 -1.068  -0.192 -1.239  -0.028 -1.246  0.142 -1.246  0.313 -1.246  0.483 -1.246  0.653 -1.246  0.824 -1.246  0.994 -1.246
1c#apa#apa02#app0277/o  0.239 1.153  0.239 1.276  0.211 1.371  0.088 1.371  -0.036 1.371  -0.159 1.371  -0.197 1.287  -0.197 1.164  -0.277 1.074  -0.364 0.987  -0.451 0.900  -0.538 0.813  -0.625 0.725  -0.634 0.606  -0.634 0.483  -0.634 0.360  -0.634 0.237  -0.634 0.114  -0.634 -0.010  -0.634 -0.133  -0.634 -0.256  -0.634 -0.379  -0.634 -0.502  -0.634 -0.625  -0.634 -0.748  -0.572 -0.810  -0.449 -0.810  -0.415 -0.899  -0.415 -1.022  -0.298 -1.028  -0.175 -1.028  -0.052 -1.028  0.072 -1.028  0.195 -1.028  0.295 -0.972  0.382 -0.885  0.474 -0.810  0.597 -0.810  0.675 -0.765  0.675 -0.642  0.726 -0.540  0.814 -0.453  0.893 -0.363  0.893 -0.240  0.893 -0.117  0.893 0.007  0.893 0.130  0.893 0.253  0.893 0.376  0.893 0.499
1c#apa#apa02#app0277/u  -1.216 0.930  -1.076 0.930  -1.020 0.847  -1.020 0.707  -1.020 0.567  -1.020 0.426  -1.020 0.286  -1.020 0.146  -1.020 0.006  -1.020 -0.134  -1.020 -0.274  -1.020 -0.414  -1.020 -0.554  -0.984 -0.680  -0.885 -0.779  -0.770 -0.841  -0.630 -0.841  -0.490 -0.841  -0.429 -0.761  -0.407 -0.644  -0.267 -0.644  -0.126 -0.644  -0.036 -0.594  -0.036 -0.454  0.058 -0.353  0.157 -0.254  0.256 -0.155  0.355 -0.056  0.419 0.069  0.481 0.194  0.544 0.320  0.554 0.457  0.554 0.597  0.557 0.736  0.656 0.835  0.757 0.930  0.897 0.930  0.948 0.841  0.948 0.701  0.948 0.560  0.948 0.420  0.948 0.280  0.948 0.140  0.948 0.000  0.948 -0.140  0.948 -0.280  0.948 -0.420  0.948 -0.560  0.948 -0.700  0.948 -0.841
1c#apa#apa02#app0277/r  -0.803 0.826  -0.663 0.826  -0.624 0.725  -0.624 0.586  -0.624 0.446  -0.624 0.307  -0.624 0.167  -0.624 0.028  -0.624 -0.112  -0.620 -0.249  -0.521 -0.348  -0.446 -0.456  -0.446 -0.596  -0.446 -0.735  -0.513 -0.847  -0.611 -0.945  -0.624 -1.080  -0.624 -1.219  -0.624 -1.272  -0.624 -1.132  -0.624 -0.993  -0.624 -0.853  -0.578 -0.733  -0.479 -0.634  -0.446 -0.509  -0.446 -0.369  -0.435 -0.234  -0.337 -0.135  -0.267 -0.025  -0.265 0.113  -0.140 0.176  -0.016 0.238  0.089 0.313  0.089 0.452  0.212 0.469  0.268 0.553  0.313 0.647  0.452 0.647  0.592 0.647  0.731 0.647  0.870 0.647  1.010 0.647  1.149 0.647  1.251 0.556  1.354 0.469  1.494 0.469  1.517 0.352  1.594 0.291  1.734 0.291  1.873 0.291
1c#apa#apa02#app0277/r  -0.670 0.832  -0.528 0.832  -0.504 0.714  -0.504 0.571  -0.504 0.429  -0.471 0.300  -0.370 0.199  -0.337 0.070  -0.337 -0.072  -0.337 -0.215  -0.337 -0.357  -0.337 -0.500  -0.337 -0.642  -0.337 -0.785  -0.337 -0.927  -0.337 -1.070  -0.337 -1.212  -0.337 -1.355  -0.337 -1.497  -0.435 -1.404  -0.504 -1.290  -0.504 -1.147  -0.504 -1.005  -0.504 -0.862  -0.504 -0.720  -0.439 -0.604  -0.338 -0.503  -0.337 -0.361  -0.337 -0.219  -0.296 -0.086  -0.232 0.042  -0.170 0.170  -0.170 0.312  -0.048 0.332  -0.004 0.430  0.049 0.551  0.150 0.652  0.287 0.665  0.330 0.765  0.405 0.832  0.547 0.832  0.690 0.832  0.832 0.832  0.975 0.832  1.117 0.832  1.260 0.832  1.402 0.832  1.545 0.832  1.663 0.808  1.663 0.665
1c#apa#apa02#app0277/i  -0.152 0.429  -0.029 0.429  -0.021 0.314  0.054 0.223  0.110 0.123  0.110 0.001  0.110 -0.122  0.110 -0.245  0.110 -0.367  0.108 -0.489  0.022 -0.576  -0.021 -0.681  -0.021 -0.804  -0.021 -0.926  -0.021 -1.049  -0.021 -1.171  -0.042 -1.273  -0.152 -1.286  -0.152 -1.408  -0.152 -1.531  -0.142 -1.416  -0.131 -1.293  -0.121 -1.171  -0.111 -1.049  -0.101 -0.927  -0.091 -0.805  -0.081 -0.682  -0.070 -0.560  -0.060 -0.438  -0.050 -0.316  -0.040 -0.194  -0.030 -0.072  -0.019 0.051  -0.009 0.173  0.001 0.295  0.011 0.417  0.021 0.539  0.031 0.662  0.042 0.784  0.052 0.906  0.062 1.028  0.072 1.150  0.082 1.273  0.093 1.395  0.103 1.517  0.110 1.639  0.110 1.762  0.110 1.885  0.110 1.991  0.110 1.868
1c#apa#apa02#app0277/e  -0.986 0.108  -0.824 0.097  -0.707 -0.020  -0.550 -0.043  -0.383 -0.043  -0.217 -0.043  -0.050 -0.043  0.116 -0.043  0.223 0.017  0.298 0.108  0.464 0.108  0.600 0.183  0.676 0.318  0.750 0.410  0.827 0.499  0.827 0.666  0.707 0.713  0.676 0.848  0.676 1.014  0.559 1.132  0.407 1.166  0.240 1.166  0.074 1.166  -0.093 1.166  -0.251 1.146  -0.369 1.028  -0.486 0.910  -0.533 0.763  -0.533 0.597  -0.664 0.561  -0.684 0.415  -0.684 0.249  -0.684 0.082  -0.684 -0.084  -0.684 -0.251  -0.684 -0.417  -0.622 -0.558  -0.505 -0.676  -0.387 -0.793  -0.269 -0.911  -0.152 -1.029  -0.015 -1.101  0.072 -1.180  0.166 -1.252  0.333 -1.252  0.486 -1.308  0.635 -1.382  0.797 -1.403  0.963 -1.403  1.129 -1.403
