1d#tos#t3#t3042061/\"  -0.264 0.736  -0.383 0.696  -0.383 0.537  -0.503 0.498  -0.640 0.462  -0.711 0.320  -0.741 0.168  -0.749 0.012  -0.860 -0.101  -0.860 -0.260  -0.918 -0.395  -1.031 -0.507  -1.098 -0.638  -1.144 -0.786  -1.216 -0.928  -1.327 -1.042  -1.218 -0.969  -1.087 -0.878  -0.957 -0.787  -0.826 -0.696  -0.695 -0.605  -0.565 -0.515  -0.434 -0.424  -0.304 -0.333  -0.173 -0.242  -0.043 -0.151  0.088 -0.061  0.218 0.030  0.349 0.121  0.479 0.212  0.610 0.303  0.740 0.393  0.871 0.484  1.001 0.575  1.132 0.666  1.263 0.757  1.393 0.847  1.285 0.830  1.285 0.671  1.285 0.512  1.259 0.379  1.100 0.379  0.972 0.304  0.860 0.191  0.726 0.113  0.575 0.063  0.451 -0.007  0.451 -0.166  0.403 -0.313  0.332 -0.456
1d#tos#t3#t3042061/%  -0.303 0.930  -0.545 0.969  -0.744 0.797  -0.896 0.589  -1.068 0.375  -1.057 0.140  -0.794 0.085  -0.521 0.109  -0.334 0.286  -0.182 0.465  -0.142 0.708  -0.274 0.890  -0.557 0.890  -0.732 0.890  -0.450 0.920  -0.169 0.954  0.112 0.987  0.394 1.021  0.675 1.054  0.956 1.088  0.824 0.968  0.652 0.786  0.441 0.607  0.232 0.418  0.071 0.189  -0.122 -0.016  -0.323 -0.217  -0.484 -0.439  -0.579 -0.706  -0.737 -0.925  -0.786 -1.184  -0.867 -1.418  -0.748 -1.260  -0.508 -1.109  -0.269 -0.957  -0.029 -0.806  0.210 -0.655  0.450 -0.504  0.689 -0.352  0.646 -0.439  0.476 -0.572  0.430 -0.809  0.602 -0.981  0.876 -1.002  1.089 -0.836  1.227 -0.623  1.147 -0.390  0.942 -0.278  0.658 -0.278  0.422 -0.358
1d#tos#t3#t3042061/&  0.906 -1.209  0.906 -1.115  0.735 -1.077  0.566 -1.038  0.439 -0.924  0.254 -0.842  0.107 -0.695  -0.054 -0.582  -0.176 -0.429  -0.296 -0.297  -0.447 -0.240  -0.518 -0.070  -0.674 0.065  -0.786 0.223  -0.803 0.428  -0.781 0.614  -0.669 0.769  -0.527 0.912  -0.420 1.079  -0.293 1.238  -0.156 1.355  -0.005 1.412  0.146 1.469  0.354 1.469  0.551 1.419  0.678 1.289  0.699 1.086  0.735 0.886  0.628 0.785  0.498 0.699  0.402 0.525  0.219 0.440  0.063 0.306  -0.067 0.156  -0.253 0.063  -0.347 -0.108  -0.506 -0.228  -0.632 -0.360  -0.689 -0.545  -0.689 -0.753  -0.746 -0.904  -0.581 -0.981  -0.373 -0.981  -0.172 -0.950  0.030 -0.924  0.191 -0.810  0.381 -0.766  0.570 -0.696  0.755 -0.639  0.849 -0.525
1d#tos#t3#t3042061/'  -0.859 1.418  -0.859 1.311  -0.859 1.203  -0.859 1.095  -0.782 1.064  -0.682 1.057  -0.682 0.949  -0.649 0.854  -0.573 0.778  -0.493 0.710  -0.385 0.710  -0.277 0.710  -0.170 0.710  -0.062 0.710  0.040 0.696  0.116 0.620  0.193 0.544  0.296 0.533  0.404 0.533  0.512 0.533  0.558 0.471  0.558 0.364  0.658 0.356  0.735 0.325  0.735 0.217  0.735 0.110  0.735 0.002  0.735 -0.106  0.735 -0.214  0.735 -0.322  0.658 -0.352  0.550 -0.352  0.442 -0.352  0.334 -0.352  0.226 -0.352  0.177 -0.433  0.143 -0.535  0.109 -0.637  0.074 -0.740  0.040 -0.842  -0.002 -0.941  -0.050 -1.037  -0.099 -1.134  -0.147 -1.230  -0.233 -1.293  -0.323 -1.353  -0.413 -1.412  -0.502 -1.472  -0.592 -1.532  -0.682 -1.592
1d#tos#t3#t3042061/(  0.442 1.486  0.373 1.439  0.301 1.398  0.217 1.398  0.178 1.353  0.118 1.293  0.046 1.265  0.008 1.190  0.002 1.107  -0.064 1.090  -0.086 1.028  -0.100 0.958  -0.174 0.948  -0.174 0.864  -0.175 0.780  -0.218 0.714  -0.237 0.650  -0.262 0.590  -0.262 0.506  -0.262 0.422  -0.264 0.339  -0.306 0.272  -0.306 0.188  -0.306 0.104  -0.306 0.020  -0.306 -0.064  -0.306 -0.148  -0.306 -0.232  -0.287 -0.311  -0.262 -0.389  -0.262 -0.473  -0.245 -0.547  -0.171 -0.585  -0.130 -0.652  -0.108 -0.715  -0.058 -0.770  -0.039 -0.848  0.036 -0.886  0.067 -0.955  0.126 -1.014  0.134 -1.095  0.196 -1.128  0.255 -1.187  0.310 -1.222  0.356 -1.287  0.438 -1.300  0.517 -1.326  0.574 -1.383  0.618 -1.423  0.662 -1.463
1d#tos#t3#t3042061/*  0.357 1.756  0.118 1.646  0.118 1.364  0.118 1.083  0.118 0.801  0.118 0.519  0.118 0.238  0.118 -0.044  0.118 -0.326  0.118 -0.607  0.118 -0.889  0.118 -1.171  0.039 -1.311  0.118 -1.109  0.038 -0.859  -0.155 -0.653  -0.347 -0.448  -0.540 -0.242  -0.733 -0.037  -0.925 0.169  -1.139 0.326  -1.361 0.326  -1.096 0.258  -0.850 0.167  -0.568 0.167  -0.352 0.008  -0.070 0.008  0.196 -0.043  0.445 -0.151  0.683 -0.274  0.938 -0.389  1.097 -0.243  1.146 0.034  1.195 0.312  1.244 0.589  1.293 0.866  1.156 0.859  0.891 0.803  0.674 0.677  0.523 0.489  0.314 0.320  0.111 0.147  -0.008 -0.094  -0.260 -0.220  -0.441 -0.390  -0.622 -0.560  -0.874 -0.686  -1.049 -0.897  -1.142 -1.104  -1.232 -1.183
1d#tos#t3#t3042061/+  -1.228 0.255  -1.392 0.255  -1.556 0.255  -1.569 0.105  -1.654 0.026  -1.517 -0.000  -1.353 -0.000  -1.189 -0.000  -1.026 -0.000  -0.862 -0.000  -0.698 -0.000  -0.535 -0.000  -0.371 -0.000  -0.207 -0.000  -0.043 -0.000  0.120 -0.000  0.281 0.020  0.436 0.072  0.598 0.085  0.761 0.085  0.925 0.085  1.089 0.085  1.253 0.085  1.411 0.090  1.343 0.218  1.208 0.311  1.073 0.404  0.939 0.497  0.804 0.590  0.670 0.684  0.535 0.777  0.400 0.870  0.283 0.895  0.199 0.766  0.049 0.753  0.049 0.589  0.049 0.425  0.049 0.261  0.049 0.098  0.049 -0.066  0.049 -0.230  0.049 -0.393  0.049 -0.557  0.049 -0.721  0.049 -0.885  0.049 -1.048  0.049 -1.212  0.049 -1.376  0.055 -1.533  0.134 -1.618
1d#tos#t3#t3042061/,  0.404 1.637  0.404 1.560  0.404 1.483  0.404 1.406  0.404 1.328  0.404 1.251  0.404 1.174  0.404 1.096  0.404 1.019  0.404 0.942  0.404 0.865  0.375 0.816  0.298 0.816  0.240 0.797  0.240 0.720  0.240 0.642  0.240 0.565  0.240 0.488  0.240 0.411  0.240 0.333  0.240 0.256  0.240 0.179  0.240 0.101  0.240 0.024  0.240 -0.053  0.240 -0.130  0.206 -0.186  0.136 -0.221  0.067 -0.256  -0.002 -0.290  -0.071 -0.325  -0.107 -0.388  -0.131 -0.461  -0.156 -0.535  -0.180 -0.608  -0.205 -0.681  -0.229 -0.755  -0.254 -0.828  -0.309 -0.882  -0.363 -0.937  -0.418 -0.992  -0.473 -1.046  -0.527 -1.101  -0.582 -1.155  -0.637 -1.210  -0.691 -1.265  -0.746 -1.319  -0.801 -1.374  -0.855 -1.429  -0.910 -1.483
1d#tos#t3#t3042061/  -1.271 0.033  -1.286 -0.026  -1.359 -0.026  -1.433 -0.026  -1.449 -0.084  -1.436 -0.145  -1.362 -0.145  -1.289 -0.145  -1.215 -0.145  -1.141 -0.145  -1.067 -0.145  -0.998 -0.127  -0.932 -0.094  -0.860 -0.086  -0.787 -0.083  -0.715 -0.065  -0.644 -0.047  -0.572 -0.029  -0.499 -0.026  -0.425 -0.026  -0.352 -0.026  -0.278 -0.026  -0.204 -0.026  -0.130 -0.026  -0.057 -0.026  0.017 -0.026  0.091 -0.026  0.143 0.025  0.214 0.033  0.287 0.033  0.361 0.033  0.435 0.033  0.508 0.033  0.578 0.057  0.648 0.080  0.720 0.092  0.794 0.092  0.867 0.092  0.941 0.092  1.015 0.092  1.088 0.092  1.162 0.092  1.236 0.092  1.310 0.092  1.383 0.092  1.457 0.092  1.531 0.092  1.604 0.092  1.678 0.092  1.693 0.151
1d#tos#t3#t3042061/.  -1.580 1.096  -1.580 0.861  -1.580 0.627  -1.580 0.393  -1.580 0.158  -1.580 -0.076  -1.431 0.050  -1.265 0.216  -1.065 0.299  -0.831 0.299  -0.596 0.299  -0.385 0.322  -0.385 0.556  -0.292 0.697  -0.057 0.697  0.014 0.534  0.014 0.299  0.014 0.065  -0.036 -0.149  -0.202 -0.315  -0.367 -0.481  -0.385 -0.708  -0.339 -0.896  -0.105 -0.896  0.014 -0.780  0.014 -0.546  0.014 -0.311  0.036 -0.099  0.271 -0.099  0.505 -0.099  0.739 -0.099  0.974 -0.099  1.208 -0.099  1.209 0.134  1.209 0.369  1.209 0.603  1.209 0.557  1.209 0.323  1.209 0.088  1.209 -0.146  1.209 -0.380  1.092 -0.498  0.858 -0.498  0.623 -0.498  0.389 -0.498  0.154 -0.498  0.014 -0.404  0.014 -0.170  0.178 -0.099  0.412 -0.099
1d#tos#t3#t3042061/:  0.096 1.356  0.012 1.356  -0.072 1.356  -0.156 1.356  -0.241 1.356  -0.290 1.321  -0.290 1.237  -0.290 1.153  -0.234 1.125  -0.150 1.125  -0.066 1.125  -0.004 1.071  0.071 1.048  0.094 0.989  0.090 0.905  0.087 0.821  0.084 0.737  0.081 0.653  0.078 0.569  0.074 0.484  0.071 0.400  0.068 0.316  0.065 0.232  0.061 0.148  0.058 0.064  0.055 -0.020  0.052 -0.104  0.048 -0.188  0.045 -0.272  0.042 -0.356  0.039 -0.440  0.035 -0.524  0.032 -0.609  0.029 -0.693  0.026 -0.777  0.023 -0.861  0.019 -0.945  -0.052 -0.958  -0.058 -1.036  -0.058 -1.120  -0.073 -1.190  -0.114 -1.190  -0.058 -1.218  -0.023 -1.267  0.019 -1.309  0.068 -1.344  0.096 -1.400  0.096 -1.485  0.166 -1.499  0.250 -1.499
