1b#tos#f1#f1042059/C  0.884 0.580  0.793 0.597  0.714 0.626  0.702 0.722  0.657 0.784  0.657 0.892  0.601 0.944  0.533 1.009  0.441 1.035  0.379 1.081  0.271 1.081  0.163 1.081  0.055 1.081  -0.045 1.062  -0.121 0.986  -0.211 0.942  -0.301 0.882  -0.369 0.803  -0.442 0.728  -0.528 0.666  -0.563 0.563  -0.607 0.465  -0.655 0.369  -0.663 0.263  -0.663 0.155  -0.663 0.047  -0.663 -0.061  -0.663 -0.169  -0.663 -0.277  -0.663 -0.385  -0.631 -0.485  -0.618 -0.590  -0.578 -0.678  -0.492 -0.743  -0.436 -0.823  -0.427 -0.924  -0.322 -0.950  -0.223 -0.988  -0.133 -1.048  -0.028 -1.058  0.080 -1.058  0.187 -1.058  0.295 -1.058  0.403 -1.058  0.511 -1.058  0.619 -1.058  0.727 -1.058  0.823 -1.029  0.899 -0.953  0.975 -0.876
1b#tos#f1#f1042059/D  0.085 1.366  -0.148 1.266  -0.216 1.038  -0.216 0.743  -0.216 0.447  -0.216 0.152  -0.216 -0.143  -0.216 -0.439  -0.216 -0.734  -0.216 -1.029  -0.216 -1.324  -0.228 -1.064  -0.242 -0.769  -0.255 -0.474  -0.269 -0.179  -0.282 0.116  -0.295 0.411  -0.309 0.706  -0.452 0.865  -0.637 0.915  -0.341 0.915  -0.046 0.915  0.249 0.915  0.537 0.965  0.831 0.959  1.124 0.917  1.277 0.714  1.376 0.490  1.389 0.197  1.340 -0.086  1.208 -0.351  0.954 -0.483  0.917 -0.757  0.686 -0.941  0.395 -0.989  0.292 -1.258  0.104 -1.400  -0.072 -1.163  -0.248 -0.926  -0.424 -0.689  -0.600 -0.452  -0.776 -0.215  -0.953 0.022  -1.129 0.259  -1.141 0.213  -0.946 0.112  -0.700 0.062  -0.405 0.062  -0.110 0.062  0.186 0.062
1b#tos#f1#f1042059/F  -0.371 1.163  -0.514 1.009  -0.514 0.710  -0.514 0.412  -0.514 0.114  -0.536 -0.183  -0.562 -0.479  -0.562 -0.777  -0.562 -1.075  -0.562 -1.373  -0.532 -1.669  -0.468 -1.788  -0.473 -1.489  -0.478 -1.191  -0.483 -0.893  -0.488 -0.595  -0.494 -0.297  -0.499 0.001  -0.504 0.299  -0.509 0.597  -0.534 0.876  -0.599 0.924  -0.305 0.966  -0.078 1.151  0.182 1.259  0.480 1.259  0.779 1.259  0.982 1.211  0.804 0.972  0.627 0.732  0.449 0.493  0.271 0.254  0.094 0.014  -0.084 -0.225  -0.255 -0.428  -0.525 -0.551  -0.417 -0.583  -0.150 -0.464  0.113 -0.342  0.382 -0.218  0.630 -0.086  0.855 0.014  0.943 0.299  0.972 0.541  0.779 0.400  0.730 0.150  0.730 -0.148  0.730 -0.446  0.776 -0.741  0.778 -1.039
1b#tos#f1#f1042059/G  0.400 1.410  0.247 1.501  0.094 1.592  -0.148 1.589  -0.297 1.397  -0.488 1.245  -0.571 1.022  -0.706 0.819  -0.800 0.595  -0.896 0.371  -0.955 0.135  -0.964 -0.108  -0.964 -0.352  -0.964 -0.596  -0.904 -0.803  -0.765 -0.976  -0.536 -1.046  -0.292 -1.046  -0.048 -1.046  0.196 -1.046  0.410 -0.948  0.600 -0.795  0.795 -0.648  0.644 -0.485  0.464 -0.320  0.284 -0.155  0.104 0.010  -0.076 0.175  -0.256 0.340  -0.463 0.273  -0.689 0.182  -0.639 0.049  -0.430 0.174  -0.208 0.253  0.018 0.318  0.250 0.389  0.483 0.434  0.707 0.500  0.932 0.546  1.024 0.532  0.879 0.353  0.780 0.182  0.572 0.072  0.537 -0.154  0.537 -0.398  0.464 -0.621  0.439 -0.863  0.400 -1.104  0.400 -1.348  0.400 -1.592
1b#tos#f1#f1042059/H  -0.277 1.235  -0.472 1.211  -0.667 1.196  -0.700 1.032  -0.700 0.835  -0.750 0.648  -0.777 0.456  -0.777 0.259  -0.777 0.062  -0.777 -0.135  -0.784 -0.331  -0.816 -0.524  -0.816 -0.721  -0.816 -0.918  -0.777 -1.109  -0.710 -1.256  -0.668 -1.085  -0.633 -0.891  -0.599 -0.697  -0.564 -0.503  -0.529 -0.309  -0.582 -0.188  -0.560 -0.150  -0.373 -0.115  -0.201 -0.020  -0.016 0.042  0.175 0.078  0.372 0.081  0.537 0.158  0.706 0.236  0.878 0.288  0.898 0.484  0.918 0.680  0.937 0.876  0.924 1.042  0.727 1.042  0.646 1.058  0.646 0.861  0.638 0.665  0.608 0.472  0.608 0.275  0.608 0.078  0.608 -0.119  0.608 -0.316  0.608 -0.513  0.608 -0.710  0.652 -0.900  0.689 -1.091  0.723 -1.284  0.800 -1.458
1b#tos#f1#f1042059/J  -0.539 1.043  -0.600 0.954  -0.695 0.916  -0.613 0.887  -0.501 0.887  -0.390 0.887  -0.278 0.887  -0.167 0.887  -0.058 0.910  0.052 0.926  0.146 0.970  0.255 0.998  0.365 1.004  0.477 1.004  0.480 1.071  0.377 1.062  0.280 1.031  0.202 0.997  0.258 0.909  0.280 0.806  0.280 0.695  0.280 0.583  0.280 0.471  0.280 0.360  0.280 0.248  0.280 0.137  0.280 0.025  0.280 -0.086  0.280 -0.198  0.280 -0.310  0.280 -0.421  0.280 -0.533  0.280 -0.644  0.280 -0.756  0.280 -0.868  0.280 -0.979  0.189 -1.037  0.163 -1.138  0.141 -1.241  0.085 -1.329  -0.020 -1.336  -0.131 -1.336  -0.243 -1.336  -0.306 -1.258  -0.418 -1.258  -0.500 -1.229  -0.572 -1.147  -0.678 -1.116  -0.734 -1.049  -0.773 -0.946
1b#tos#f1#f1042059/L  -0.303 1.496  -0.392 1.497  -0.433 1.578  -0.408 1.513  -0.392 1.430  -0.392 1.339  -0.392 1.249  -0.392 1.159  -0.392 1.069  -0.392 0.979  -0.392 0.888  -0.392 0.798  -0.392 0.708  -0.392 0.618  -0.392 0.527  -0.392 0.437  -0.392 0.347  -0.392 0.257  -0.392 0.167  -0.392 0.076  -0.392 -0.014  -0.392 -0.104  -0.392 -0.194  -0.392 -0.284  -0.392 -0.375  -0.417 -0.459  -0.436 -0.544  -0.436 -0.635  -0.392 -0.681  -0.340 -0.719  -0.249 -0.719  -0.162 -0.736  -0.076 -0.763  0.014 -0.763  0.104 -0.763  0.194 -0.763  0.285 -0.763  0.375 -0.763  0.465 -0.763  0.554 -0.758  0.640 -0.729  0.725 -0.701  0.811 -0.675  0.902 -0.675  0.976 -0.636  1.064 -0.630  1.154 -0.630  1.244 -0.630  1.334 -0.630  1.424 -0.630
1b#tos#f1#f1042059/M  -0.450 0.849  -0.592 0.939  -0.722 0.927  -0.722 0.693  -0.722 0.460  -0.722 0.227  -0.722 -0.007  -0.722 -0.240  -0.722 -0.474  -0.722 -0.707  -0.716 -0.939  -0.676 -1.166  -0.675 -1.260  -0.670 -1.027  -0.666 -0.794  -0.661 -0.560  -0.656 -0.327  -0.651 -0.094  -0.646 0.140  -0.642 0.373  -0.637 0.606  -0.632 0.840  -0.682 0.815  -0.586 0.674  -0.530 0.453  -0.450 0.271  -0.421 0.049  -0.313 -0.140  -0.177 -0.275  -0.038 -0.422  0.195 -0.422  0.403 -0.338  0.604 -0.219  0.678 -0.021  0.769 0.144  0.893 0.298  0.912 0.530  0.935 0.758  0.957 0.986  1.003 0.978  1.048 0.790  1.048 0.556  1.048 0.323  1.048 0.089  1.048 -0.144  1.048 -0.377  1.048 -0.611  1.048 -0.844  1.069 -1.074  1.139 -1.285
1b#tos#f1#f1042059/P  0.026 1.169  -0.123 1.104  -0.130 0.891  -0.173 0.683  -0.173 0.469  -0.173 0.256  -0.173 0.042  -0.173 -0.171  -0.173 -0.385  -0.173 -0.598  -0.173 -0.812  -0.173 -1.026  -0.173 -1.239  -0.173 -1.453  -0.169 -1.665  -0.222 -1.760  -0.281 -1.597  -0.298 -1.384  -0.315 -1.171  -0.332 -0.958  -0.349 -0.745  -0.366 -0.532  -0.383 -0.319  -0.400 -0.107  -0.417 0.106  -0.434 0.319  -0.451 0.532  -0.468 0.745  -0.658 0.772  -0.619 0.924  -0.458 0.983  -0.280 1.069  -0.087 1.119  0.119 1.167  0.332 1.169  0.546 1.169  0.760 1.169  0.919 1.115  0.919 0.901  0.919 0.688  0.919 0.474  0.884 0.267  0.809 0.069  0.650 -0.066  0.544 -0.249  0.473 -0.433  0.357 -0.569  0.196 -0.697  -0.009 -0.718  -0.222 -0.718
1b#tos#f1#f1042059/Q  0.113 -0.840  -0.153 -1.095  -0.636 -1.095  -0.872 -0.789  -1.060 -0.384  -0.992 0.078  -0.694 0.451  -0.457 0.850  -0.133 1.062  0.299 1.238  0.777 1.234  0.980 0.887  0.929 0.413  0.871 -0.050  0.639 -0.433  0.498 -0.858  0.182 -1.146  -0.176 -1.198  -0.328 -0.740  -0.481 -0.282  -0.601 -0.024  -0.235 -0.297  0.062 -0.596  0.300 -0.942  0.559 -1.112  0.390 -0.660  0.266 -0.460  -0.134 -0.585  -0.574 -0.585  -0.907 -0.325  -0.958 0.146  -0.913 0.621  -0.729 1.057  -0.348 1.318  -0.063 1.562  0.386 1.660  0.826 1.558  0.827 1.076  0.679 0.629  0.457 0.205  0.222 -0.217  -0.017 -0.627  -0.167 -0.397  -0.271 0.074  -0.376 0.545  -0.215 0.435  0.094 0.129  0.444 -0.150  0.712 -0.508  0.980 -0.840
1b#tos#f1#f1042059/T  -0.886 0.588  -1.020 0.536  -1.116 0.439  -1.238 0.365  -1.342 0.261  -1.337 0.219  -1.198 0.199  -1.051 0.199  -0.904 0.199  -0.762 0.226  -0.618 0.242  -0.471 0.242  -0.327 0.259  -0.191 0.313  -0.049 0.349  0.095 0.377  0.240 0.401  0.383 0.424  0.515 0.489  0.648 0.545  0.795 0.545  0.942 0.545  1.089 0.545  1.185 0.627  1.219 0.627  1.072 0.614  0.926 0.602  0.780 0.590  0.633 0.578  0.487 0.566  0.341 0.553  0.197 0.531  0.108 0.448  0.108 0.302  0.083 0.162  0.021 0.034  0.021 -0.113  0.021 -0.259  0.021 -0.406  0.021 -0.553  0.021 -0.700  0.021 -0.847  0.021 -0.993  0.021 -1.140  0.064 -1.269  0.064 -1.416  0.064 -1.563  0.064 -1.710  0.064 -1.856  0.151 -1.917
