2#apa#apa00#app0019/V  -0.726 0.946  -0.726 1.077  -0.726 1.207  -0.726 1.114  -0.726 0.983  -0.726 0.853  -0.634 0.761  -0.633 0.630  -0.633 0.500  -0.633 0.370  -0.633 0.239  -0.592 0.118  -0.540 0.000  -0.503 -0.115  -0.447 -0.222  -0.447 -0.353  -0.391 -0.470  -0.339 -0.589  -0.298 -0.713  -0.251 -0.833  -0.167 -0.929  -0.167 -1.060  -0.167 -1.190  -0.074 -1.228  -0.074 -1.358  0.019 -1.370  0.019 -1.240  0.106 -1.196  0.112 -1.072  0.161 -0.962  0.205 -0.850  0.210 -0.720  0.269 -0.604  0.327 -0.487  0.385 -0.370  0.392 -0.241  0.392 -0.111  0.423 0.015  0.464 0.138  0.514 0.259  0.572 0.375  0.615 0.499  0.656 0.622  0.708 0.742  0.767 0.858  0.825 0.975  0.899 1.081  0.950 1.190  0.951 1.320  1.044 1.412
2#apa#apa00#app0019/E  -0.750 1.255  -0.640 1.136  -0.640 0.907  -0.640 0.679  -0.640 0.450  -0.640 0.222  -0.531 0.038  -0.531 -0.190  -0.531 -0.418  -0.500 -0.634  -0.422 -0.830  -0.408 -1.053  -0.313 -1.242  -0.313 -1.470  -0.201 -1.583  -0.016 -1.476  0.186 -1.414  0.395 -1.367  0.624 -1.367  0.554 -1.227  0.408 -1.052  0.262 -0.876  0.116 -0.701  -0.031 -0.525  -0.177 -0.350  -0.323 -0.174  -0.347 -0.056  -0.144 0.004  0.064 0.053  0.275 0.128  0.491 0.182  0.698 0.272  0.927 0.272  1.110 0.381  1.314 0.383  1.091 0.430  0.867 0.477  0.643 0.525  0.420 0.572  0.196 0.619  -0.027 0.666  -0.251 0.713  -0.474 0.760  -0.698 0.807  -0.574 0.818  -0.391 0.927  -0.174 0.956  0.009 1.088  0.224 1.145  0.452 1.145
2#apa#apa00#app0019/X  -0.551 0.995  -0.551 0.806  -0.474 0.650  -0.341 0.517  -0.257 0.356  -0.212 0.173  -0.166 -0.010  -0.065 -0.161  0.068 -0.294  0.118 -0.462  0.145 -0.639  0.279 -0.772  0.386 -0.916  0.450 -1.077  0.520 -1.237  0.622 -1.383  0.653 -1.540  0.637 -1.353  0.621 -1.165  0.604 -0.977  0.588 -0.790  0.572 -0.602  0.555 -0.415  0.539 -0.227  0.523 -0.040  0.506 0.148  0.490 0.336  0.474 0.523  0.457 0.711  0.441 0.898  0.425 1.086  0.409 1.273  0.392 1.461  0.386 1.411  0.264 1.274  0.130 1.141  0.023 0.986  -0.081 0.829  -0.195 0.681  -0.329 0.548  -0.462 0.415  -0.595 0.281  -0.712 0.137  -0.796 -0.032  -0.916 -0.174  -0.954 -0.347  -1.038 -0.515  -1.143 -0.669  -1.220 -0.825  -1.220 -1.014
2#apa#apa00#app0019/I  0.120 0.879  0.085 0.664  0.030 0.457  -0.060 0.249  -0.061 0.019  -0.061 -0.210  0.030 -0.403  0.030 -0.632  0.120 -0.825  0.209 -1.017  0.210 -1.247  0.140 -1.116  0.053 -0.904  -0.034 -0.691  -0.120 -0.478  -0.207 -0.266  -0.293 -0.053  -0.380 0.160  -0.467 0.373  -0.553 0.585  -0.640 0.798  -0.727 1.011  -0.728 1.095  -0.539 1.124  -0.324 1.159  -0.128 1.241  0.102 1.241  0.325 1.292  0.550 1.331  0.780 1.331  0.987 1.277  0.924 1.093  0.795 0.903  0.666 0.713  0.537 0.523  0.408 0.333  0.279 0.143  0.150 -0.047  0.021 -0.237  -0.108 -0.427  -0.237 -0.617  -0.366 -0.807  -0.495 -0.997  -0.624 -1.187  -0.618 -1.365  -0.395 -1.380  -0.165 -1.380  0.043 -1.289  0.257 -1.221  0.481 -1.199
2#apa#apa00#app0019/N  -0.489 1.089  -0.489 0.893  -0.564 0.728  -0.680 0.580  -0.680 0.384  -0.680 0.188  -0.680 -0.008  -0.680 -0.204  -0.680 -0.400  -0.680 -0.596  -0.680 -0.792  -0.584 -0.949  -0.489 -1.105  -0.498 -1.101  -0.517 -0.906  -0.536 -0.711  -0.554 -0.516  -0.573 -0.321  -0.591 -0.125  -0.610 0.070  -0.629 0.265  -0.647 0.460  -0.666 0.655  -0.680 0.851  -0.680 1.047  -0.566 0.994  -0.489 0.875  -0.373 0.782  -0.258 0.627  -0.203 0.444  -0.080 0.299  0.059 0.160  0.155 -0.009  0.213 -0.185  0.352 -0.324  0.490 -0.462  0.629 -0.601  0.797 -0.699  0.946 -0.823  1.104 -0.915  1.205 -0.819  1.229 -0.648  1.229 -0.452  1.229 -0.255  1.229 -0.059  1.229 0.137  1.229 0.333  1.234 0.527  1.322 0.703  1.324 0.898
2#apa#apa00#app0019/G  -0.102 1.416  -0.185 1.510  -0.342 1.460  -0.502 1.416  -0.649 1.342  -0.708 1.188  -0.833 1.062  -0.904 0.902  -0.953 0.732  -0.953 0.554  -0.953 0.377  -0.953 0.199  -0.921 0.028  -0.832 -0.124  -0.706 -0.250  -0.640 -0.391  -0.471 -0.447  -0.324 -0.538  -0.198 -0.664  -0.039 -0.744  0.121 -0.793  0.274 -0.854  0.349 -0.777  0.300 -0.606  0.251 -0.435  0.203 -0.264  0.154 -0.093  0.105 0.078  0.056 0.249  0.007 0.420  0.119 0.470  0.202 0.564  0.286 0.659  0.463 0.659  0.641 0.659  0.750 0.589  0.750 0.412  0.729 0.239  0.655 0.078  0.655 -0.100  0.655 -0.278  0.603 -0.434  0.560 -0.594  0.485 -0.741  0.466 -0.911  0.466 -1.089  0.466 -1.267  0.466 -1.445  0.466 -1.623  0.466 -1.800
2#apa#apa00#app0019/D  -0.298 1.109  -0.298 0.905  -0.316 0.704  -0.390 0.518  -0.390 0.313  -0.390 0.109  -0.390 -0.096  -0.390 -0.300  -0.390 -0.505  -0.390 -0.709  -0.298 -0.875  -0.298 -1.080  -0.206 -1.246  -0.206 -1.451  -0.126 -1.384  -0.154 -1.181  -0.181 -0.978  -0.209 -0.776  -0.237 -0.573  -0.265 -0.371  -0.293 -0.168  -0.321 0.034  -0.349 0.237  -0.377 0.439  -0.405 0.642  -0.433 0.844  -0.461 1.047  -0.482 1.250  -0.321 1.294  -0.155 1.386  0.049 1.386  0.244 1.345  0.437 1.294  0.620 1.204  0.714 1.023  0.856 0.877  0.901 0.691  0.901 0.487  0.901 0.282  0.824 0.110  0.809 -0.088  0.718 -0.271  0.602 -0.434  0.537 -0.628  0.364 -0.727  0.264 -0.902  0.109 -1.012  0.018 -1.157  -0.153 -1.236  -0.298 -1.381
2#apa#apa00#app0019/A  -0.309 1.618  -0.098 1.504  0.008 1.347  -0.042 1.095  -0.121 0.855  -0.203 0.626  -0.270 0.390  -0.309 0.143  -0.414 -0.077  -0.414 -0.340  -0.482 -0.592  -0.520 -0.849  -0.520 -1.113  -0.482 -0.883  -0.442 -0.623  -0.402 -0.362  -0.362 -0.102  -0.322 0.158  -0.282 0.418  -0.242 0.678  -0.202 0.939  -0.162 1.199  -0.122 1.459  0.005 1.618  0.008 1.358  0.008 1.095  0.008 0.832  0.052 0.579  0.203 0.367  0.232 0.114  0.325 -0.128  0.401 -0.359  0.530 -0.587  0.651 -0.820  0.837 -1.006  0.874 -1.254  0.958 -1.482  1.064 -1.640  0.895 -1.476  0.714 -1.284  0.534 -1.092  0.353 -0.901  0.173 -0.709  -0.007 -0.517  -0.188 -0.326  -0.368 -0.134  -0.549 0.058  -0.580 0.034  -0.317 0.034  -0.098 0.140
2#apa#apa00#app0019/F  -0.239 1.255  -0.117 1.073  -0.153 0.855  -0.239 0.659  -0.239 0.426  -0.239 0.194  -0.239 -0.039  -0.239 -0.271  -0.239 -0.504  -0.239 -0.736  -0.239 -0.969  -0.239 -1.201  -0.239 -1.434  -0.237 -1.666  -0.117 -1.848  -0.124 -1.976  -0.151 -1.745  -0.179 -1.514  -0.207 -1.284  -0.235 -1.053  -0.262 -0.822  -0.290 -0.591  -0.318 -0.360  -0.345 -0.129  -0.373 0.102  -0.401 0.332  -0.428 0.563  -0.456 0.794  -0.482 0.999  -0.359 0.891  -0.126 0.891  0.056 1.012  0.288 1.012  0.521 1.012  0.753 1.012  0.986 1.012  1.218 1.012  1.028 0.884  0.835 0.755  0.642 0.626  0.448 0.497  0.255 0.368  0.061 0.239  -0.132 0.110  -0.313 -0.034  -0.196 -0.082  0.036 -0.082  0.269 -0.082  0.501 -0.082  0.734 -0.082
2#apa#apa00#app0019/T  0.372 -0.115  0.372 -0.249  0.372 -0.383  0.372 -0.517  0.372 -0.651  0.372 -0.785  0.372 -0.919  0.372 -1.053  0.372 -1.187  0.372 -1.321  0.372 -1.455  0.339 -1.466  0.272 -1.351  0.205 -1.235  0.138 -1.119  0.071 -1.003  0.004 -0.887  -0.063 -0.771  -0.130 -0.655  -0.198 -0.539  -0.265 -0.423  -0.332 -0.307  -0.399 -0.191  -0.466 -0.075  -0.533 0.040  -0.600 0.156  -0.667 0.272  -0.734 0.388  -0.802 0.504  -0.869 0.620  -0.936 0.736  -1.003 0.852  -0.967 0.909  -0.833 0.909  -0.700 0.909  -0.566 0.909  -0.432 0.909  -0.298 0.909  -0.164 0.909  -0.030 0.909  0.104 0.909  0.232 0.870  0.359 0.828  0.486 0.785  0.619 0.781  0.753 0.781  0.887 0.780  1.014 0.737  1.141 0.695  1.268 0.653
2#apa#apa00#app0019/J  0.554 1.235  0.445 1.126  0.388 0.995  0.388 0.841  0.388 0.686  0.388 0.532  0.388 0.377  0.396 0.225  0.465 0.087  0.471 -0.066  0.471 -0.221  0.471 -0.375  0.471 -0.529  0.471 -0.684  0.471 -0.838  0.471 -0.992  0.471 -1.147  0.420 -1.250  0.349 -1.167  0.194 -1.167  0.040 -1.167  -0.115 -1.167  -0.261 -1.133  -0.404 -1.084  -0.524 -1.001  -0.662 -0.932  -0.800 -0.863  -0.865 -0.753  -0.937 -0.671  -0.937 -0.516  -1.008 -0.399  -0.939 -0.261  -0.870 -0.123  -0.801 0.015  -0.732 0.153  -0.663 0.292  -0.594 0.430  -0.525 0.568  -0.456 0.706  -0.332 0.763  -0.202 0.821  -0.148 0.947  -0.010 0.987  0.144 0.987  0.299 0.987  0.453 0.987  0.608 0.987  0.757 0.968  0.897 0.904  1.051 0.904
