1b#tos#f2#f2059065/A  -1.251 -0.631  -1.332 -0.837  -1.418 -1.048  -1.296 -0.885  -1.156 -0.703  -1.012 -0.524  -0.870 -0.343  -0.730 -0.160  -0.553 -0.014  -0.468 0.193  -0.305 0.356  -0.182 0.550  -0.070 0.752  0.056 0.944  0.156 1.147  0.255 1.341  0.317 1.471  0.491 1.358  0.573 1.147  0.632 0.928  0.723 0.718  0.757 0.491  0.787 0.264  0.833 0.037  0.878 -0.189  0.883 -0.419  0.883 -0.650  0.957 -0.863  1.008 -1.081  1.025 -1.234  0.862 -1.071  0.699 -0.908  0.536 -0.744  0.373 -0.581  0.209 -0.418  0.046 -0.255  -0.117 -0.092  -0.280 0.071  -0.443 0.234  -0.616 0.373  -0.814 0.283  -1.000 0.162  -0.809 0.122  -0.579 0.122  -0.348 0.122  -0.117 0.122  0.113 0.122  0.343 0.102  0.573 0.081  0.799 0.038
1b#tos#f2#f2059065/D  -0.411 0.995  -0.422 0.879  -0.474 0.698  -0.482 0.511  -0.482 0.322  -0.518 0.139  -0.553 -0.046  -0.553 -0.235  -0.553 -0.423  -0.553 -0.612  -0.553 -0.801  -0.553 -0.989  -0.517 -1.070  -0.514 -0.882  -0.510 -0.693  -0.507 -0.505  -0.504 -0.316  -0.501 -0.127  -0.497 0.061  -0.494 0.250  -0.491 0.439  -0.488 0.627  -0.484 0.816  -0.482 1.004  -0.399 1.161  -0.240 1.209  -0.051 1.209  0.121 1.139  0.309 1.135  0.483 1.064  0.633 0.949  0.766 0.816  0.865 0.661  1.004 0.539  1.112 0.385  1.157 0.210  1.157 0.022  1.157 -0.167  1.146 -0.354  1.044 -0.507  0.930 -0.656  0.788 -0.779  0.629 -0.879  0.472 -0.981  0.294 -1.042  0.108 -1.071  -0.081 -1.071  -0.270 -1.071  -0.452 -1.032  -0.589 -0.928
1b#tos#f2#f2059065/E  -0.443 1.132  -0.599 1.097  -0.326 1.097  -0.053 1.097  0.220 1.097  0.479 1.041  0.744 0.991  0.996 0.921  1.221 0.824  1.028 0.893  0.765 0.968  0.503 1.043  0.241 1.118  -0.022 1.193  -0.291 1.169  -0.408 1.012  -0.420 0.740  -0.443 0.469  -0.464 0.197  -0.479 -0.074  -0.479 -0.347  -0.497 -0.617  -0.549 -0.882  -0.584 -1.150  -0.506 -1.372  -0.426 -1.199  -0.454 -0.927  -0.481 -0.656  -0.509 -0.384  -0.537 -0.113  -0.600 0.109  -0.406 0.109  -0.139 0.070  0.123 0.003  0.386 -0.045  0.656 -0.067  0.858 -0.138  0.684 -0.233  0.434 -0.345  0.185 -0.456  -0.064 -0.568  -0.313 -0.679  -0.493 -0.841  -0.549 -0.992  -0.339 -1.055  -0.066 -1.055  0.201 -1.090  0.474 -1.090  0.739 -1.033  1.003 -0.984
1b#tos#f2#f2059065/G  0.140 0.583  0.337 0.540  0.474 0.639  0.484 0.845  0.410 1.007  0.321 1.175  0.154 1.271  -0.054 1.271  -0.261 1.271  -0.469 1.271  -0.626 1.149  -0.743 0.984  -0.809 0.787  -0.885 0.595  -0.970 0.406  -1.020 0.208  -1.020 0.001  -1.020 -0.207  -1.020 -0.414  -0.994 -0.619  -0.924 -0.812  -0.796 -0.973  -0.644 -1.113  -0.458 -1.196  -0.253 -1.221  -0.046 -1.221  0.162 -1.221  0.361 -1.174  0.527 -1.049  0.703 -0.940  0.857 -0.804  0.913 -0.645  0.759 -0.552  0.656 -0.438  0.531 -0.320  0.392 -0.167  0.254 -0.012  0.116 0.143  -0.022 0.298  -0.160 0.453  -0.290 0.344  -0.232 0.189  -0.046 0.096  0.155 0.068  0.352 0.026  0.539 -0.061  0.747 -0.061  0.940 -0.108  1.135 -0.147  1.343 -0.147
1b#tos#f2#f2059065/H  -0.854 0.847  -0.757 0.942  -0.728 0.779  -0.728 0.587  -0.728 0.395  -0.728 0.203  -0.728 0.011  -0.742 -0.181  -0.758 -0.372  -0.759 -0.564  -0.759 -0.756  -0.759 -0.948  -0.759 -1.140  -0.760 -1.277  -0.764 -1.085  -0.768 -0.893  -0.772 -0.701  -0.776 -0.509  -0.780 -0.317  -0.784 -0.125  -0.788 0.068  -0.809 0.214  -0.617 0.214  -0.425 0.214  -0.233 0.214  -0.046 0.183  0.147 0.183  0.331 0.151  0.523 0.151  0.688 0.080  0.780 0.171  0.813 0.360  0.847 0.549  0.880 0.738  0.913 0.927  0.947 1.117  0.812 1.195  0.791 1.024  0.791 0.832  0.791 0.640  0.791 0.448  0.791 0.256  0.791 0.063  0.791 -0.129  0.791 -0.321  0.791 -0.513  0.791 -0.705  0.804 -0.896  0.823 -1.086  0.886 -1.241
1b#tos#f2#f2059065/I  -0.574 1.198  -0.650 1.136  -0.578 1.105  -0.441 1.105  -0.303 1.105  -0.165 1.105  -0.028 1.105  0.109 1.093  0.244 1.074  0.379 1.045  0.516 1.043  0.618 1.045  0.481 1.062  0.345 1.079  0.208 1.097  0.071 1.105  0.015 1.005  0.015 0.868  -0.001 0.732  -0.016 0.596  -0.016 0.459  -0.016 0.321  -0.016 0.183  -0.016 0.046  -0.016 -0.092  -0.016 -0.230  -0.043 -0.365  -0.070 -0.500  -0.078 -0.636  -0.094 -0.764  -0.140 -0.873  -0.140 -1.011  -0.235 -0.975  -0.352 -0.901  -0.468 -0.827  -0.601 -0.829  -0.729 -0.880  -0.600 -0.911  -0.464 -0.923  -0.332 -0.961  -0.199 -0.997  -0.062 -1.004  0.075 -1.004  0.213 -1.004  0.351 -1.004  0.488 -1.004  0.626 -1.004  0.764 -1.004  0.901 -1.004  1.039 -1.004
1b#tos#f2#f2059065/L  0.149 1.607  0.112 1.693  -0.011 1.693  -0.135 1.693  -0.067 1.642  -0.067 1.519  -0.067 1.395  -0.067 1.272  -0.067 1.148  -0.067 1.025  -0.067 0.902  -0.067 0.778  -0.067 0.655  -0.067 0.531  -0.067 0.408  -0.073 0.286  -0.103 0.166  -0.129 0.045  -0.153 -0.076  -0.154 -0.199  -0.154 -0.323  -0.154 -0.446  -0.226 -0.539  -0.273 -0.652  -0.324 -0.764  -0.435 -0.791  -0.549 -0.812  -0.660 -0.781  -0.717 -0.683  -0.802 -0.644  -0.886 -0.555  -0.768 -0.553  -0.648 -0.581  -0.526 -0.596  -0.403 -0.596  -0.279 -0.596  -0.156 -0.596  -0.033 -0.596  0.091 -0.596  0.214 -0.596  0.337 -0.596  0.461 -0.596  0.584 -0.596  0.708 -0.596  0.831 -0.596  0.954 -0.596  1.078 -0.596  1.201 -0.588  1.323 -0.571  1.445 -0.553
1b#tos#f2#f2059065/M  -0.624 0.721  -0.848 0.871  -0.848 0.580  -0.880 0.272  -0.880 -0.039  -0.880 -0.351  -0.880 -0.662  -0.880 -0.973  -0.870 -1.282  -0.694 -1.453  -0.711 -1.148  -0.743 -0.839  -0.776 -0.529  -0.809 -0.220  -0.842 0.090  -0.875 0.400  -0.908 0.709  -1.055 0.881  -0.826 0.732  -0.650 0.509  -0.500 0.245  -0.304 0.013  -0.168 -0.237  0.052 -0.453  0.239 -0.684  0.413 -0.466  0.552 -0.188  0.691 0.091  0.830 0.369  0.970 0.648  0.719 0.721  0.518 0.495  0.320 0.277  0.168 0.011  0.015 -0.237  0.043 -0.344  0.221 -0.089  0.399 0.167  0.578 0.422  0.756 0.678  0.934 0.933  0.974 1.148  0.942 0.844  0.942 0.532  0.942 0.221  0.957 -0.089  0.974 -0.399  1.066 -0.680  1.070 -0.989  1.166 -1.229
1b#tos#f2#f2059065/N  -0.682 0.946  -0.814 1.073  -0.781 0.832  -0.781 0.574  -0.781 0.315  -0.781 0.056  -0.781 -0.202  -0.781 -0.461  -0.777 -0.719  -0.748 -0.975  -0.715 -1.186  -0.719 -0.927  -0.724 -0.669  -0.728 -0.410  -0.732 -0.152  -0.737 0.107  -0.741 0.365  -0.746 0.624  -0.782 0.848  -0.912 1.022  -0.734 0.926  -0.557 0.747  -0.433 0.522  -0.272 0.323  -0.132 0.107  0.016 -0.101  0.172 -0.301  0.317 -0.513  0.475 -0.717  0.647 -0.909  0.835 -1.064  0.958 -1.025  0.941 -0.767  0.925 -0.509  0.908 -0.251  0.892 0.007  0.876 0.265  0.859 0.523  0.843 0.782  0.739 0.946  0.605 1.108  0.668 0.898  0.668 0.639  0.668 0.381  0.681 0.123  0.701 -0.133  0.701 -0.392  0.723 -0.648  0.752 -0.903  0.799 -1.127
1b#tos#f2#f2059065/P  -0.479 0.878  -0.402 0.743  -0.326 0.557  -0.326 0.346  -0.284 0.140  -0.249 -0.066  -0.249 -0.277  -0.249 -0.489  -0.249 -0.700  -0.249 -0.911  -0.249 -1.122  -0.249 -1.334  -0.218 -1.541  -0.199 -1.749  -0.138 -1.687  -0.159 -1.477  -0.180 -1.267  -0.201 -1.056  -0.222 -0.846  -0.243 -0.636  -0.264 -0.425  -0.285 -0.215  -0.306 -0.005  -0.327 0.205  -0.348 0.416  -0.369 0.626  -0.390 0.836  -0.418 1.031  -0.629 1.031  -0.632 1.163  -0.442 1.184  -0.231 1.184  -0.021 1.172  0.182 1.115  0.389 1.095  0.584 1.018  0.779 0.946  0.959 0.835  1.111 0.715  1.202 0.544  1.206 0.333  1.098 0.158  0.931 0.033  0.754 -0.082  0.571 -0.185  0.392 -0.296  0.207 -0.394  0.010 -0.473  -0.191 -0.533  -0.402 -0.538
1b#tos#f2#f2059065/Q  0.400 -0.435  0.357 -0.628  0.212 -0.735  0.001 -0.735  -0.211 -0.735  -0.420 -0.710  -0.549 -0.585  -0.738 -0.518  -0.894 -0.377  -0.987 -0.190  -1.058 0.006  -1.060 0.217  -1.060 0.428  -1.060 0.639  -0.976 0.831  -0.849 0.988  -0.693 1.130  -0.544 1.280  -0.417 1.400  -0.212 1.438  -0.001 1.438  0.210 1.438  0.345 1.278  0.490 1.134  0.612 0.964  0.739 0.799  0.812 0.618  0.850 0.416  0.887 0.211  0.883 0.000  0.810 -0.198  0.725 -0.391  0.627 -0.571  0.484 -0.721  0.326 -0.859  0.138 -0.922  -0.073 -0.922  -0.279 -0.913  -0.418 -0.772  -0.461 -0.571  -0.461 -0.360  -0.371 -0.210  -0.168 -0.176  0.042 -0.173  0.234 -0.258  0.422 -0.352  0.592 -0.477  0.764 -0.594  0.925 -0.716  1.075 -0.847
