2#app#app34#app3496/O  -0.030 1.248  -0.156 1.196  -0.254 1.132  -0.328 1.059  -0.355 0.923  -0.460 0.819  -0.477 0.678  -0.552 0.562  -0.552 0.414  -0.552 0.266  -0.590 0.128  -0.626 -0.011  -0.626 -0.159  -0.626 -0.306  -0.626 -0.454  -0.626 -0.602  -0.607 -0.746  -0.560 -0.886  -0.477 -1.001  -0.415 -1.123  -0.347 -1.210  -0.230 -1.285  -0.111 -1.353  0.034 -1.359  0.151 -1.285  0.268 -1.254  0.363 -1.189  0.467 -1.085  0.566 -0.978  0.623 -0.854  0.675 -0.728  0.715 -0.597  0.715 -0.449  0.715 -0.302  0.715 -0.154  0.715 -0.007  0.715 0.141  0.715 0.289  0.656 0.412  0.566 0.522  0.553 0.664  0.491 0.786  0.397 0.895  0.293 0.999  0.155 1.024  0.018 1.050  -0.109 1.099  -0.254 1.096  -0.328 1.023  -0.403 0.950
2#app#app34#app3496/v  -1.054 0.999  -0.920 0.999  -0.786 0.999  -0.723 0.926  -0.723 0.792  -0.716 0.661  -0.622 0.566  -0.558 0.458  -0.549 0.328  -0.454 0.233  -0.393 0.124  -0.393 -0.011  -0.393 -0.145  -0.393 -0.279  -0.353 -0.404  -0.293 -0.524  -0.233 -0.644  -0.227 -0.777  -0.227 -0.911  -0.227 -1.046  -0.199 -1.151  -0.065 -1.151  -0.062 -1.283  -0.062 -1.417  -0.013 -1.433  0.082 -1.338  0.104 -1.213  0.104 -1.079  0.104 -0.944  0.108 -0.811  0.168 -0.691  0.228 -0.571  0.269 -0.446  0.269 -0.312  0.269 -0.178  0.269 -0.044  0.307 0.082  0.367 0.202  0.427 0.322  0.434 0.454  0.495 0.563  0.590 0.658  0.600 0.789  0.663 0.897  0.758 0.992  0.765 1.123  0.765 1.257  0.765 1.392  0.796 1.495  0.930 1.495
2#app#app34#app3496/e  -0.493 -0.225  -0.484 -0.080  -0.379 0.026  -0.273 0.131  -0.146 0.182  -0.023 0.246  0.096 0.318  0.228 0.361  0.338 0.454  0.457 0.484  0.501 0.590  0.650 0.590  0.778 0.639  0.864 0.753  0.835 0.890  0.730 0.995  0.593 1.008  0.568 1.133  0.419 1.133  0.270 1.133  0.121 1.133  -0.028 1.133  -0.150 1.068  -0.256 0.963  -0.361 0.858  -0.467 0.752  -0.493 0.614  -0.493 0.465  -0.591 0.356  -0.629 0.223  -0.629 0.074  -0.629 -0.075  -0.629 -0.224  -0.629 -0.373  -0.629 -0.522  -0.629 -0.671  -0.629 -0.820  -0.583 -0.950  -0.478 -1.055  -0.372 -1.161  -0.267 -1.266  -0.136 -1.311  0.013 -1.311  0.162 -1.311  0.311 -1.311  0.459 -1.309  0.564 -1.203  0.702 -1.175  0.851 -1.175  1.000 -1.175
2#app#app34#app3496/r  -0.211 0.634  -0.211 0.499  -0.211 0.363  -0.211 0.228  -0.211 0.093  -0.211 -0.043  -0.211 -0.178  -0.211 -0.313  -0.211 -0.449  -0.211 -0.584  -0.211 -0.720  -0.120 -0.817  -0.060 -0.928  -0.060 -1.063  -0.060 -1.198  -0.060 -1.334  -0.060 -1.469  -0.183 -1.481  -0.211 -1.374  -0.303 -1.330  -0.363 -1.255  -0.363 -1.119  -0.363 -0.984  -0.363 -0.849  -0.363 -0.713  -0.363 -0.578  -0.363 -0.442  -0.363 -0.307  -0.363 -0.172  -0.325 -0.045  -0.264 0.076  -0.211 0.199  -0.211 0.334  -0.211 0.469  -0.125 0.569  -0.060 0.678  -0.033 0.785  0.091 0.797  0.091 0.933  0.222 0.936  0.358 0.936  0.393 1.036  0.477 1.087  0.593 1.136  0.688 1.232  0.821 1.239  0.924 1.316  1.029 1.390  1.164 1.390  1.300 1.390
2#app#app34#app3496/T  0.079 0.764  0.079 0.783  0.079 0.627  0.100 0.481  0.166 0.353  0.166 0.198  0.166 0.042  0.166 -0.113  0.166 -0.268  0.190 -0.418  0.253 -0.558  0.253 -0.714  0.253 -0.869  0.253 -1.024  0.253 -1.180  0.253 -1.335  0.253 -1.490  0.222 -1.503  0.177 -1.405  0.080 -1.284  -0.016 -1.162  -0.112 -1.040  -0.208 -0.918  -0.305 -0.796  -0.401 -0.674  -0.497 -0.552  -0.593 -0.430  -0.690 -0.308  -0.786 -0.186  -0.882 -0.064  -0.978 0.057  -1.054 0.186  -0.957 0.251  -0.834 0.328  -0.712 0.409  -0.598 0.512  -0.459 0.582  -0.305 0.589  -0.185 0.674  -0.047 0.744  0.085 0.826  0.214 0.912  0.362 0.938  0.491 1.001  0.623 1.079  0.771 1.112  0.910 1.179  1.061 1.200  1.190 1.264  1.299 1.200
2#app#app34#app3496/h  -0.753 1.727  -0.724 1.604  -0.630 1.545  -0.630 1.393  -0.578 1.253  -0.510 1.117  -0.507 0.966  -0.507 0.813  -0.507 0.661  -0.507 0.509  -0.507 0.357  -0.507 0.205  -0.507 0.053  -0.507 -0.100  -0.507 -0.252  -0.507 -0.404  -0.459 -0.536  -0.384 -0.657  -0.384 -0.810  -0.384 -0.962  -0.384 -1.114  -0.384 -1.186  -0.384 -1.034  -0.384 -0.882  -0.384 -0.730  -0.384 -0.578  -0.339 -0.444  -0.261 -0.324  -0.261 -0.172  -0.191 -0.049  -0.138 0.081  -0.062 0.202  -0.015 0.335  0.087 0.424  0.223 0.492  0.374 0.496  0.527 0.496  0.656 0.441  0.764 0.333  0.871 0.226  0.970 0.114  0.970 -0.038  1.001 -0.182  1.070 -0.319  1.093 -0.465  1.093 -0.617  1.093 -0.770  1.093 -0.922  1.093 -1.074  1.093 -1.226
2#app#app34#app3496/e  -0.762 -0.353  -0.740 -0.194  -0.621 -0.076  -0.503 0.043  -0.384 0.162  -0.229 0.193  -0.107 0.302  0.049 0.330  0.194 0.353  0.248 0.466  0.416 0.466  0.467 0.584  0.603 0.615  0.646 0.739  0.740 0.814  0.740 0.982  0.603 1.013  0.572 1.149  0.404 1.149  0.236 1.149  0.068 1.149  -0.079 1.129  -0.131 1.013  -0.274 0.954  -0.352 0.819  -0.415 0.677  -0.534 0.558  -0.626 0.429  -0.674 0.281  -0.762 0.150  -0.762 -0.018  -0.762 -0.186  -0.762 -0.353  -0.762 -0.521  -0.762 -0.689  -0.695 -0.829  -0.564 -0.930  -0.414 -1.005  -0.282 -1.106  -0.142 -1.172  0.026 -1.172  0.193 -1.172  0.361 -1.172  0.511 -1.128  0.640 -1.035  0.808 -1.035  0.947 -0.965  1.087 -0.899  1.255 -0.899  1.286 -0.762
2#app#app34#app3496/L  -0.308 1.859  -0.308 1.765  -0.308 1.672  -0.308 1.578  -0.270 1.501  -0.204 1.434  -0.201 1.342  -0.201 1.249  -0.201 1.155  -0.201 1.062  -0.201 0.968  -0.201 0.875  -0.201 0.781  -0.201 0.688  -0.201 0.594  -0.201 0.501  -0.201 0.407  -0.201 0.313  -0.201 0.220  -0.201 0.126  -0.201 0.033  -0.201 -0.061  -0.242 -0.145  -0.284 -0.228  -0.308 -0.316  -0.308 -0.409  -0.308 -0.503  -0.308 -0.596  -0.308 -0.690  -0.308 -0.783  -0.262 -0.858  -0.201 -0.926  -0.201 -1.020  -0.201 -0.937  -0.127 -0.919  -0.033 -0.919  0.046 -0.885  0.112 -0.819  0.203 -0.812  0.296 -0.812  0.390 -0.812  0.483 -0.812  0.568 -0.790  0.634 -0.724  0.720 -0.705  0.813 -0.705  0.907 -0.705  1.000 -0.705  1.080 -0.718  1.080 -0.812
2#app#app34#app3496/a  -0.873 1.469  -0.695 1.469  -0.517 1.469  -0.340 1.469  -0.169 1.452  -0.041 1.331  0.136 1.331  0.288 1.269  0.364 1.123  0.442 0.978  0.501 0.824  0.501 0.647  0.579 0.487  0.638 0.324  0.638 0.146  0.638 -0.032  0.638 -0.209  0.638 -0.387  0.528 -0.454  0.501 -0.578  0.447 -0.454  0.364 -0.360  0.364 -0.183  0.240 -0.056  0.206 0.095  0.089 0.156  -0.012 0.232  -0.190 0.232  -0.368 0.232  -0.461 0.148  -0.586 0.095  -0.715 -0.022  -0.841 -0.147  -0.873 -0.312  -0.898 -0.479  -1.010 -0.610  -1.010 -0.788  -0.940 -0.937  -0.790 -1.004  -0.613 -1.004  -0.435 -1.004  -0.257 -1.004  -0.080 -1.004  0.098 -1.004  0.261 -0.969  0.397 -0.866  0.574 -0.866  0.719 -0.786  0.873 -0.729  1.050 -0.729
2#app#app34#app3496/z  -0.678 1.006  -0.678 1.126  -0.562 1.130  -0.441 1.130  -0.320 1.130  -0.230 1.204  -0.131 1.255  -0.010 1.255  0.110 1.255  0.221 1.230  0.306 1.144  0.421 1.130  0.541 1.130  0.569 1.038  0.569 0.917  0.569 0.796  0.569 0.676  0.515 0.577  0.430 0.492  0.345 0.407  0.259 0.321  0.195 0.227  0.177 0.114  0.092 0.029  0.006 -0.056  -0.079 -0.142  -0.164 -0.227  -0.249 -0.312  -0.304 -0.410  -0.332 -0.519  -0.417 -0.605  -0.502 -0.690  -0.588 -0.775  -0.673 -0.861  -0.678 -0.979  -0.678 -1.100  -0.573 -1.115  -0.452 -1.115  -0.332 -1.115  -0.211 -1.115  -0.117 -1.053  -0.022 -0.991  0.099 -0.991  0.220 -0.991  0.340 -0.991  0.445 -0.974  0.457 -0.866  0.578 -0.866  0.694 -0.870  0.694 -0.991
2#app#app34#app3496/y  -0.628 1.364  -0.539 1.317  -0.539 1.180  -0.500 1.060  -0.450 0.944  -0.450 0.807  -0.450 0.671  -0.428 0.544  -0.361 0.435  -0.298 0.325  -0.201 0.228  -0.072 0.211  -0.007 0.282  0.104 0.321  0.200 0.418  0.260 0.530  0.330 0.637  0.358 0.763  0.419 0.885  0.437 1.018  0.437 1.154  0.437 1.083  0.437 0.947  0.437 0.810  0.437 0.674  0.437 0.537  0.437 0.401  0.437 0.264  0.437 0.128  0.437 -0.009  0.437 -0.145  0.437 -0.282  0.437 -0.418  0.437 -0.554  0.437 -0.691  0.393 -0.809  0.348 -0.927  0.263 -1.028  0.216 -1.120  0.168 -1.208  0.046 -1.244  -0.068 -1.297  -0.204 -1.297  -0.341 -1.297  -0.477 -1.297  -0.614 -1.297  -0.750 -1.297  -0.805 -1.215  -0.935 -1.208  -0.982 -1.297
