1b#tos#f3#f3026061/A  -0.661 -1.155  -0.851 -1.194  -0.965 -1.308  -0.950 -1.111  -0.897 -0.919  -0.807 -0.744  -0.775 -0.548  -0.703 -0.365  -0.601 -0.194  -0.532 -0.008  -0.474 0.183  -0.417 0.374  -0.354 0.563  -0.280 0.748  -0.162 0.909  -0.089 1.095  -0.079 1.288  0.043 1.430  0.177 1.513  0.303 1.586  0.442 1.474  0.520 1.293  0.538 1.096  0.601 0.907  0.684 0.726  0.762 0.543  0.836 0.358  0.863 0.163  0.891 -0.034  0.926 -0.228  0.977 -0.417  0.977 -0.617  0.906 -0.772  0.826 -0.927  0.639 -0.874  0.460 -0.786  0.280 -0.699  0.101 -0.612  -0.078 -0.525  -0.258 -0.437  -0.437 -0.350  -0.616 -0.263  -0.811 -0.242  -0.707 -0.280  -0.516 -0.230  -0.329 -0.165  -0.142 -0.115  0.050 -0.069  0.248 -0.051  0.444 -0.013
1b#tos#f3#f3026061/C  1.012 0.529  0.901 0.529  0.799 0.538  0.732 0.582  0.639 0.600  0.639 0.711  0.639 0.822  0.639 0.933  0.576 1.018  0.533 1.111  0.426 1.115  0.315 1.115  0.204 1.115  0.100 1.085  0.001 1.035  -0.081 0.966  -0.143 0.874  -0.208 0.784  -0.275 0.695  -0.352 0.619  -0.451 0.570  -0.540 0.510  -0.581 0.407  -0.622 0.304  -0.669 0.203  -0.718 0.104  -0.745 -0.001  -0.745 -0.112  -0.745 -0.223  -0.745 -0.334  -0.745 -0.444  -0.745 -0.555  -0.727 -0.664  -0.700 -0.772  -0.636 -0.859  -0.558 -0.937  -0.459 -0.980  -0.351 -1.007  -0.241 -1.015  -0.131 -1.015  -0.020 -1.015  0.091 -1.015  0.202 -1.015  0.313 -1.015  0.424 -1.015  0.535 -1.015  0.646 -1.015  0.753 -0.991  0.856 -0.950  0.959 -0.909
1b#tos#f3#f3026061/F  -0.806 1.040  -0.773 0.967  -0.623 1.040  -0.443 1.045  -0.266 1.075  -0.085 1.077  0.085 1.118  0.258 1.151  0.438 1.151  0.495 1.151  0.315 1.151  0.140 1.139  0.041 1.021  -0.048 0.877  -0.132 0.725  -0.143 0.548  -0.169 0.375  -0.217 0.209  -0.307 0.066  -0.364 -0.090  -0.383 -0.268  -0.425 -0.443  -0.438 -0.622  -0.487 -0.790  -0.536 -0.963  -0.548 -1.142  -0.548 -1.322  -0.548 -1.502  -0.543 -1.616  -0.512 -1.438  -0.481 -1.260  -0.451 -1.083  -0.420 -0.905  -0.389 -0.727  -0.342 -0.558  -0.176 -0.507  -0.077 -0.400  0.087 -0.329  0.249 -0.253  0.429 -0.249  0.605 -0.238  0.759 -0.175  0.880 -0.051  0.994 0.089  1.109 0.229  1.036 0.272  1.021 0.096  0.962 -0.066  0.889 -0.216  0.889 -0.396
1b#tos#f3#f3026061/G  0.201 1.083  0.136 1.250  0.012 1.344  -0.192 1.325  -0.359 1.202  -0.511 1.076  -0.606 0.887  -0.711 0.704  -0.826 0.527  -0.931 0.344  -0.993 0.145  -0.993 -0.067  -0.993 -0.278  -0.993 -0.489  -0.956 -0.685  -0.774 -0.746  -0.563 -0.746  -0.352 -0.746  -0.188 -0.658  -0.002 -0.568  0.055 -0.419  -0.012 -0.218  -0.079 -0.018  -0.146 0.183  -0.219 0.371  -0.359 0.269  -0.154 0.262  0.032 0.345  0.227 0.422  0.436 0.448  0.646 0.466  0.849 0.521  1.044 0.598  1.255 0.598  1.223 0.537  1.038 0.454  0.828 0.448  0.637 0.399  0.598 0.201  0.500 0.017  0.454 -0.180  0.351 -0.360  0.323 -0.567  0.257 -0.768  0.196 -0.970  0.166 -1.179  0.127 -1.386  0.101 -1.595  0.089 -1.804  0.127 -1.978
1b#tos#f3#f3026061/H  -0.644 1.013  -0.730 0.928  -0.801 0.777  -0.854 0.616  -0.881 0.447  -0.904 0.277  -0.904 0.106  -0.904 -0.065  -0.906 -0.236  -0.962 -0.396  -0.962 -0.567  -0.962 -0.738  -0.962 -0.909  -0.928 -1.073  -0.846 -0.993  -0.801 -0.828  -0.756 -0.663  -0.710 -0.498  -0.665 -0.333  -0.619 -0.168  -0.574 -0.003  -0.451 0.059  -0.280 0.059  -0.109 0.059  0.049 0.116  0.212 0.163  0.381 0.181  0.539 0.230  0.695 0.286  0.799 0.379  0.846 0.544  0.894 0.708  0.942 0.872  0.975 1.038  0.922 1.157  0.892 0.996  0.869 0.830  0.830 0.668  0.781 0.508  0.744 0.346  0.731 0.176  0.706 0.007  0.686 -0.163  0.678 -0.333  0.657 -0.502  0.657 -0.673  0.657 -0.844  0.657 -1.015  0.657 -1.186  0.657 -1.357
1b#tos#f3#f3026061/J  -0.836 0.570  -0.929 0.508  -1.049 0.459  -0.968 0.452  -0.846 0.495  -0.724 0.538  -0.595 0.540  -0.470 0.561  -0.354 0.619  -0.234 0.669  -0.113 0.715  0.008 0.761  0.129 0.808  0.251 0.853  0.374 0.894  0.500 0.924  0.629 0.924  0.759 0.924  0.835 0.888  0.718 0.835  0.591 0.812  0.467 0.776  0.342 0.739  0.218 0.702  0.120 0.658  0.079 0.569  0.115 0.471  0.171 0.359  0.227 0.245  0.285 0.129  0.329 0.010  0.345 -0.116  0.371 -0.243  0.374 -0.372  0.374 -0.502  0.374 -0.632  0.374 -0.761  0.366 -0.889  0.315 -1.003  0.280 -1.118  0.203 -1.220  0.128 -1.324  0.008 -1.373  -0.117 -1.405  -0.247 -1.408  -0.376 -1.408  -0.506 -1.408  -0.636 -1.408  -0.765 -1.408  -0.895 -1.408
1b#tos#f3#f3026061/K  -0.546 1.775  -0.706 1.727  -0.706 1.519  -0.643 1.332  -0.586 1.143  -0.586 0.935  -0.586 0.727  -0.586 0.519  -0.581 0.312  -0.547 0.107  -0.546 -0.101  -0.546 -0.309  -0.546 -0.517  -0.546 -0.725  -0.546 -0.933  -0.586 -1.134  -0.586 -1.342  -0.511 -1.306  -0.394 -1.134  -0.278 -0.962  -0.161 -0.790  -0.044 -0.617  0.072 -0.445  0.189 -0.273  0.306 -0.101  0.422 0.071  0.539 0.243  0.656 0.415  0.772 0.587  0.889 0.759  1.006 0.931  0.809 0.938  0.669 0.825  0.523 0.698  0.397 0.605  0.221 0.508  0.069 0.403  -0.114 0.313  -0.265 0.200  -0.307 0.018  -0.267 -0.180  -0.136 -0.311  0.025 -0.436  0.206 -0.535  0.378 -0.623  0.542 -0.749  0.720 -0.847  0.902 -0.931  1.011 -1.097  1.130 -1.217
1b#tos#f3#f3026061/L  -0.495 1.669  -0.495 1.581  -0.495 1.493  -0.495 1.405  -0.495 1.317  -0.495 1.229  -0.495 1.141  -0.495 1.053  -0.495 0.965  -0.495 0.877  -0.495 0.789  -0.495 0.700  -0.495 0.612  -0.464 0.531  -0.459 0.445  -0.459 0.357  -0.459 0.269  -0.459 0.180  -0.459 0.092  -0.459 0.004  -0.459 -0.084  -0.459 -0.172  -0.459 -0.260  -0.459 -0.348  -0.459 -0.436  -0.459 -0.524  -0.459 -0.612  -0.403 -0.665  -0.314 -0.665  -0.226 -0.665  -0.138 -0.665  -0.050 -0.665  0.038 -0.665  0.126 -0.665  0.214 -0.665  0.302 -0.665  0.390 -0.665  0.478 -0.665  0.566 -0.661  0.651 -0.639  0.735 -0.612  0.817 -0.579  0.900 -0.558  0.989 -0.558  1.077 -0.558  1.165 -0.558  1.253 -0.558  1.341 -0.558  1.429 -0.558  1.517 -0.558
1b#tos#f3#f3026061/N  -0.846 0.946  -0.873 0.810  -0.873 0.608  -0.900 0.409  -0.900 0.207  -0.900 0.005  -0.900 -0.197  -0.918 -0.397  -0.936 -0.597  -0.955 -0.797  -0.975 -0.996  -0.970 -0.944  -0.952 -0.743  -0.933 -0.542  -0.914 -0.341  -0.896 -0.139  -0.877 0.062  -0.858 0.263  -0.846 0.338  -0.781 0.154  -0.627 0.033  -0.469 -0.084  -0.296 -0.176  -0.144 -0.292  0.034 -0.386  0.226 -0.448  0.416 -0.498  0.603 -0.563  0.790 -0.634  0.877 -0.514  0.886 -0.312  0.895 -0.110  0.904 0.091  0.913 0.293  0.922 0.495  0.931 0.697  0.940 0.899  0.949 1.101  0.897 1.246  0.844 1.097  0.817 0.899  0.817 0.697  0.789 0.497  0.783 0.296  0.757 0.096  0.735 -0.105  0.735 -0.307  0.722 -0.507  0.680 -0.705  0.680 -0.907
1b#tos#f3#f3026061/O  0.076 1.139  -0.068 1.139  -0.212 1.139  -0.338 1.095  -0.385 0.970  -0.514 0.955  -0.598 0.849  -0.662 0.744  -0.686 0.604  -0.708 0.464  -0.708 0.320  -0.708 0.176  -0.708 0.032  -0.708 -0.112  -0.708 -0.256  -0.708 -0.400  -0.708 -0.544  -0.690 -0.686  -0.644 -0.821  -0.557 -0.936  -0.496 -1.064  -0.393 -1.136  -0.252 -1.164  -0.119 -1.212  0.025 -1.212  0.169 -1.212  0.311 -1.208  0.427 -1.121  0.553 -1.058  0.683 -1.011  0.747 -0.882  0.767 -0.743  0.801 -0.604  0.813 -0.462  0.813 -0.318  0.813 -0.174  0.813 -0.030  0.813 0.114  0.813 0.258  0.776 0.383  0.661 0.470  0.583 0.587  0.537 0.720  0.448 0.800  0.322 0.867  0.191 0.909  0.047 0.909  -0.097 0.909  -0.241 0.909  -0.385 0.909
1b#tos#f3#f3026061/P  0.093 1.367  -0.040 1.347  -0.073 1.169  -0.073 0.977  -0.073 0.786  -0.073 0.595  -0.073 0.403  -0.126 0.219  -0.139 0.030  -0.139 -0.162  -0.139 -0.353  -0.154 -0.543  -0.206 -0.727  -0.211 -0.918  -0.239 -1.107  -0.254 -1.297  -0.296 -1.484  -0.305 -1.674  -0.338 -1.861  -0.402 -1.779  -0.387 -1.588  -0.372 -1.398  -0.357 -1.207  -0.342 -1.016  -0.327 -0.825  -0.312 -0.634  -0.297 -0.443  -0.283 -0.252  -0.268 -0.062  -0.253 0.129  -0.238 0.320  -0.223 0.511  -0.208 0.702  -0.112 0.862  -0.010 1.002  0.174 1.045  0.348 1.102  0.540 1.102  0.731 1.102  0.895 1.035  0.988 0.898  0.975 0.710  0.874 0.557  0.757 0.406  0.603 0.292  0.431 0.216  0.243 0.177  0.075 0.090  -0.114 0.074  -0.272 0.107
