1d#tos#f2#f2049060/\"  -0.474 0.682  -0.637 0.682  -0.693 0.576  -0.802 0.523  -0.802 0.360  -0.802 0.197  -0.802 0.035  -0.802 -0.128  -0.802 -0.291  -0.802 -0.453  -0.802 -0.616  -0.802 -0.779  -0.802 -0.941  -0.777 -1.094  -0.693 -1.222  -0.625 -1.356  -0.583 -1.502  -0.509 -1.368  -0.432 -1.225  -0.355 -1.082  -0.277 -0.938  -0.200 -0.795  -0.123 -0.652  -0.046 -0.509  0.031 -0.365  0.108 -0.222  0.185 -0.079  0.262 0.064  0.340 0.207  0.417 0.351  0.494 0.494  0.571 0.637  0.648 0.780  0.725 0.924  0.802 1.067  0.879 1.210  0.934 1.332  0.789 1.259  0.730 1.132  0.620 1.079  0.620 0.917  0.620 0.754  0.620 0.591  0.620 0.429  0.620 0.266  0.620 0.103  0.620 -0.060  0.620 -0.222  0.547 -0.339  0.402 -0.412
1d#tos#f2#f2049060/#  -0.835 0.133  -0.898 -0.166  -0.526 -0.034  -0.190 0.187  0.160 0.385  0.494 0.604  0.869 0.717  0.615 0.564  0.300 0.312  -0.015 0.060  -0.330 -0.192  -0.645 -0.444  -0.960 -0.695  -0.638 -0.724  -0.281 -0.555  0.071 -0.362  0.372 -0.121  0.693 0.071  0.702 0.335  0.445 0.646  0.189 0.957  -0.068 1.268  -0.299 1.316  -0.353 0.926  -0.353 0.522  -0.353 0.119  -0.353 -0.284  -0.353 -0.688  -0.353 -1.091  -0.353 -1.494  -0.309 -1.484  -0.226 -1.089  -0.142 -0.695  -0.058 -0.300  0.025 0.095  0.109 0.489  0.193 0.884  0.276 1.278  0.360 1.673  0.290 1.728  0.290 1.325  0.290 0.922  0.290 0.518  0.290 0.115  0.290 -0.288  0.275 -0.690  0.236 -1.090  0.236 -1.493  0.236 -1.896  0.290 -2.277
1d#tos#f2#f2049060/%  -0.061 0.559  -0.255 0.639  -0.299 0.857  -0.184 0.984  0.036 0.913  0.125 0.734  0.024 0.548  -0.188 0.559  -0.035 0.705  0.175 0.828  0.384 0.951  0.593 1.074  0.802 1.196  1.012 1.319  0.895 1.217  0.748 1.088  0.613 0.905  0.432 0.746  0.230 0.623  0.116 0.417  -0.055 0.246  -0.227 0.074  -0.384 -0.110  -0.556 -0.281  -0.664 -0.496  -0.826 -0.675  -0.951 -0.883  -1.114 -1.058  -1.227 -1.261  -1.361 -1.439  -1.260 -1.336  -1.050 -1.215  -0.840 -1.094  -0.629 -0.973  -0.419 -0.852  -0.209 -0.731  0.002 -0.610  0.212 -0.490  0.422 -0.369  0.632 -0.248  0.762 -0.209  0.682 -0.379  0.497 -0.502  0.284 -0.580  0.222 -0.397  0.330 -0.191  0.498 -0.025  0.736 -0.030  0.725 -0.271  0.603 -0.476
1d#tos#f2#f2049060/&  0.458 -0.507  0.254 -0.555  0.066 -0.531  -0.119 -0.441  -0.241 -0.280  -0.311 -0.081  -0.311 0.131  -0.311 0.344  -0.263 0.548  -0.161 0.734  -0.018 0.891  0.138 1.034  0.311 1.158  0.477 1.291  0.681 1.343  0.893 1.341  1.011 1.182  0.972 0.978  0.827 0.865  0.646 0.759  0.469 0.663  0.315 0.577  0.137 0.469  -0.014 0.319  -0.203 0.246  -0.364 0.115  -0.544 0.004  -0.695 -0.146  -0.846 -0.295  -1.001 -0.431  -1.144 -0.575  -1.226 -0.768  -1.320 -0.957  -1.303 -1.166  -1.105 -1.204  -0.892 -1.204  -0.686 -1.161  -0.498 -1.063  -0.309 -0.966  -0.154 -0.824  0.010 -0.694  0.168 -0.559  0.322 -0.421  0.466 -0.267  0.644 -0.150  0.761 0.027  0.842 0.193  0.889 0.106  1.054 0.002  1.227 -0.075
1d#tos#f2#f2049060/*  -0.743 0.775  -0.817 0.670  -0.548 0.553  -0.311 0.390  -0.113 0.204  0.130 0.039  0.311 -0.167  0.526 -0.351  0.762 -0.518  0.976 -0.715  1.019 -0.577  1.040 -0.279  1.060 0.018  1.081 0.315  1.102 0.612  1.122 0.909  1.142 1.171  0.965 1.051  0.752 0.890  0.525 0.737  0.340 0.516  0.126 0.310  -0.049 0.072  -0.238 -0.157  -0.431 -0.384  -0.619 -0.612  -0.800 -0.846  -0.926 -1.105  -1.080 -1.355  -1.119 -1.436  -1.000 -1.163  -0.881 -0.890  -0.762 -0.617  -0.643 -0.344  -0.524 -0.071  -0.405 0.202  -0.286 0.475  -0.168 0.748  -0.049 1.021  0.070 1.294  -0.054 1.202  -0.054 0.904  -0.054 0.606  -0.054 0.308  -0.054 0.010  -0.054 -0.287  -0.054 -0.585  -0.054 -0.883  -0.054 -1.181  -0.054 -1.479
1d#tos#f2#f2049060/+  -1.177 0.163  -1.294 0.100  -1.264 0.091  -1.106 0.091  -0.947 0.091  -0.793 0.124  -0.635 0.127  -0.479 0.148  -0.325 0.182  -0.168 0.200  -0.010 0.200  0.149 0.200  0.307 0.200  0.465 0.200  0.624 0.200  0.781 0.202  0.895 0.308  1.054 0.308  1.212 0.308  1.346 0.315  1.209 0.393  1.071 0.472  0.934 0.550  0.796 0.629  0.659 0.707  0.521 0.786  0.384 0.865  0.246 0.943  0.109 1.022  -0.018 1.004  -0.091 0.918  -0.137 0.776  -0.179 0.623  -0.199 0.468  -0.199 0.310  -0.201 0.152  -0.227 -0.005  -0.235 -0.162  -0.235 -0.321  -0.244 -0.478  -0.267 -0.635  -0.272 -0.793  -0.272 -0.951  -0.272 -1.110  -0.272 -1.268  -0.272 -1.426  -0.272 -1.585  -0.272 -1.743  -0.235 -1.887  -0.199 -2.009
1d#tos#f2#f2049060/,  0.740 1.362  0.661 1.339  0.611 1.263  0.560 1.188  0.612 1.165  0.622 1.075  0.651 0.989  0.684 0.905  0.752 0.850  0.804 0.811  0.804 0.720  0.804 0.629  0.804 0.538  0.804 0.447  0.804 0.356  0.796 0.272  0.708 0.250  0.619 0.227  0.531 0.205  0.444 0.181  0.356 0.156  0.268 0.132  0.181 0.108  0.093 0.083  0.005 0.059  -0.082 0.035  -0.170 0.010  -0.257 -0.014  -0.345 -0.038  -0.433 -0.063  -0.520 -0.087  -0.608 -0.110  -0.699 -0.110  -0.732 -0.169  -0.732 -0.260  -0.732 -0.351  -0.732 -0.441  -0.732 -0.532  -0.732 -0.623  -0.732 -0.714  -0.693 -0.789  -0.668 -0.870  -0.668 -0.961  -0.668 -1.052  -0.668 -1.143  -0.668 -1.234  -0.640 -1.318  -0.604 -1.400  -0.604 -1.491  -0.604 -1.582
1d#tos#f2#f2049060/.  0.539 0.219  0.072 0.155  -0.386 0.049  -0.818 0.099  -0.818 0.582  -0.818 1.064  -0.479 1.207  -0.266 1.576  0.217 1.576  0.699 1.576  1.048 1.443  1.218 1.130  1.218 0.648  0.940 0.280  0.823 -0.121  0.531 -0.380  0.067 -0.460  -0.415 -0.460  -0.479 -0.041  -0.355 0.421  -0.020 0.677  0.371 0.898  0.539 0.583  0.539 0.101  0.539 -0.382  0.373 -0.796  0.200 -1.207  -0.180 -1.309  -0.663 -1.309  -0.818 -0.981  -0.818 -0.499  -0.725 -0.074  -0.479 0.257  -0.351 0.686  -0.055 0.898  0.088 0.558  0.200 0.188  0.197 -0.294  -0.013 -0.694  -0.280 -1.096  -0.400 -1.478  -0.649 -1.244  -0.502 -0.822  -0.160 -0.481  -0.013 -0.037  0.200 0.365  0.200 -0.071  0.082 -0.526  0.030 -0.996  0.030 -1.478
1d#tos#f2#f2049060/=  -1.154 0.731  -1.273 0.632  -1.226 0.523  -1.046 0.523  -0.866 0.523  -0.686 0.523  -0.507 0.529  -0.333 0.573  -0.155 0.592  0.025 0.592  0.205 0.592  0.375 0.630  0.546 0.683  0.722 0.718  0.901 0.731  1.081 0.731  1.260 0.731  1.376 0.715  1.217 0.631  1.058 0.547  0.899 0.463  0.740 0.379  0.581 0.295  0.422 0.211  0.263 0.127  0.104 0.043  -0.055 -0.041  -0.214 -0.125  -0.373 -0.208  -0.532 -0.292  -0.691 -0.376  -0.850 -0.460  -1.009 -0.544  -1.085 -0.679  -1.206 -0.783  -1.131 -0.861  -0.951 -0.861  -0.780 -0.805  -0.603 -0.792  -0.423 -0.792  -0.244 -0.787  -0.080 -0.716  0.097 -0.687  0.275 -0.657  0.438 -0.584  0.618 -0.584  0.798 -0.584  0.977 -0.584  1.157 -0.584  1.337 -0.584
1d#tos#f2#f2049060/?  -0.633 0.970  -0.597 1.038  -0.597 1.142  -0.537 1.193  -0.438 1.222  -0.333 1.222  -0.229 1.222  -0.125 1.222  -0.029 1.189  0.071 1.172  0.157 1.114  0.244 1.061  0.307 1.001  0.378 0.925  0.433 0.838  0.446 0.739  0.453 0.638  0.481 0.546  0.459 0.456  0.374 0.418  0.293 0.395  0.262 0.319  0.174 0.268  0.087 0.216  0.004 0.186  -0.043 0.107  -0.094 0.054  -0.129 -0.036  -0.152 -0.131  -0.232 -0.195  -0.273 -0.274  -0.273 -0.378  -0.273 -0.482  -0.263 -0.576  -0.201 -0.619  -0.198 -0.721  -0.102 -0.755  -0.013 -0.791  0.091 -0.791  0.119 -0.865  0.115 -0.969  0.110 -1.073  0.106 -1.177  0.102 -1.281  0.097 -1.385  0.093 -1.489  0.089 -1.593  0.086 -1.697  0.082 -1.798  0.050 -1.798
1d#tos#f2#f2049060/@  0.342 -0.910  0.238 -1.036  0.159 -1.169  0.079 -1.322  -0.103 -1.322  -0.285 -1.322  -0.452 -1.269  -0.564 -1.150  -0.655 -1.008  -0.729 -0.856  -0.770 -0.681  -0.770 -0.499  -0.770 -0.317  -0.770 -0.135  -0.770 0.047  -0.770 0.229  -0.739 0.407  -0.721 0.585  -0.635 0.743  -0.563 0.904  -0.460 1.049  -0.377 1.205  -0.249 1.327  -0.088 1.377  0.074 1.437  0.256 1.437  0.427 1.393  0.554 1.263  0.662 1.118  0.691 0.944  0.712 0.767  0.712 0.585  0.712 0.403  0.712 0.222  0.712 0.040  0.712 -0.142  0.712 -0.324  0.590 -0.415  0.589 -0.596  0.556 -0.745  0.374 -0.742  0.217 -0.661  0.133 -0.539  0.006 -0.479  -0.050 -0.312  -0.070 -0.138  -0.070 0.044  -0.005 0.161  0.160 0.202  0.342 0.202
