2#apa#apa03#app0395/I  0.407 1.410  0.480 1.410  0.521 1.410  0.448 1.410  0.384 1.388  0.332 1.336  0.281 1.284  0.277 1.213  0.277 1.140  0.277 1.067  0.265 0.996  0.232 0.931  0.200 0.866  0.167 0.800  0.147 0.732  0.147 0.659  0.147 0.586  0.147 0.513  0.104 0.457  0.052 0.406  0.007 0.350  -0.026 0.284  -0.059 0.219  -0.091 0.153  -0.113 0.085  -0.113 0.012  -0.113 -0.061  -0.113 -0.134  -0.113 -0.207  -0.113 -0.280  -0.113 -0.353  -0.120 -0.425  -0.153 -0.490  -0.186 -0.555  -0.218 -0.621  -0.243 -0.688  -0.243 -0.761  -0.243 -0.834  -0.243 -0.907  -0.243 -0.980  -0.243 -1.053  -0.243 -1.126  -0.243 -1.199  -0.243 -1.273  -0.243 -1.346  -0.243 -1.419  -0.243 -1.492  -0.243 -1.565  -0.243 -1.638  -0.243 -1.711
2#apa#apa03#app0395/f  1.266 1.156  1.255 1.294  1.154 1.395  1.017 1.410  0.875 1.410  0.740 1.393  0.639 1.292  0.501 1.281  0.400 1.180  0.267 1.156  0.161 1.068  0.060 0.967  -0.041 0.866  -0.142 0.765  -0.242 0.665  -0.259 0.529  -0.265 0.389  -0.365 0.288  -0.386 0.154  -0.386 0.011  -0.386 -0.132  -0.371 -0.271  -0.307 -0.398  -0.259 -0.530  -0.259 -0.672  -0.212 -0.796  -0.132 -0.905  -0.100 -1.034  -0.005 -1.137  -0.005 -1.280  -0.030 -1.355  -0.123 -1.247  -0.215 -1.138  -0.308 -1.030  -0.401 -0.922  -0.494 -0.814  -0.587 -0.705  -0.679 -0.597  -0.759 -0.495  -0.640 -0.471  -0.600 -0.368  -0.458 -0.368  -0.336 -0.318  -0.225 -0.241  -0.083 -0.241  0.060 -0.241  0.203 -0.241  0.345 -0.241  0.488 -0.241  0.630 -0.241
2#apa#apa03#app0395/M  -0.531 0.876  -0.545 0.671  -0.626 0.495  -0.626 0.284  -0.687 0.089  -0.721 -0.114  -0.762 -0.307  -0.816 -0.495  -0.816 -0.705  -0.911 -0.876  -0.911 -1.086  -1.006 -1.257  -1.006 -1.155  -0.949 -0.969  -0.911 -0.774  -0.911 -0.564  -0.816 -0.449  -0.730 -0.274  -0.649 -0.098  -0.531 0.064  -0.486 0.255  -0.391 0.400  -0.341 0.560  -0.246 0.675  -0.055 0.676  -0.055 0.466  0.040 0.351  0.040 0.141  0.040 -0.070  0.145 0.030  0.320 0.115  0.403 0.288  0.511 0.400  0.610 0.567  0.675 0.750  0.815 0.905  0.917 1.088  1.086 1.150  1.086 0.939  1.086 0.729  1.011 0.537  0.991 0.331  0.991 0.121  0.895 -0.050  0.895 -0.260  0.895 -0.470  0.895 -0.680  0.895 -0.891  0.895 -1.101  0.895 -1.311
2#apa#apa03#app0395/y  -0.498 1.504  -0.501 1.358  -0.605 1.253  -0.642 1.121  -0.642 0.974  -0.642 0.827  -0.642 0.679  -0.642 0.532  -0.642 0.385  -0.642 0.238  -0.519 0.213  -0.498 0.087  -0.368 0.069  -0.221 0.069  -0.114 0.167  0.014 0.213  0.075 0.299  0.165 0.356  0.219 0.450  0.316 0.500  0.362 0.601  0.362 0.748  0.439 0.864  0.506 0.984  0.465 1.033  0.362 0.928  0.362 0.781  0.362 0.634  0.362 0.486  0.362 0.339  0.362 0.192  0.362 0.044  0.362 -0.103  0.385 -0.241  0.489 -0.345  0.506 -0.485  0.506 -0.633  0.506 -0.780  0.506 -0.927  0.407 -1.033  0.362 -1.162  0.274 -1.221  0.154 -1.286  0.039 -1.365  -0.097 -1.393  -0.201 -1.497  -0.344 -1.508  -0.355 -1.644  -0.495 -1.652  -0.642 -1.652
2#apa#apa03#app0395/N  -0.433 0.665  -0.519 0.565  -0.538 0.387  -0.605 0.229  -0.652 0.054  -0.697 -0.122  -0.777 -0.289  -0.852 -0.444  -0.863 -0.625  -0.932 -0.783  -0.950 -0.961  -0.947 -0.972  -0.863 -0.870  -0.777 -0.770  -0.777 -0.584  -0.691 -0.433  -0.691 -0.247  -0.656 -0.076  -0.605 0.089  -0.565 0.269  -0.519 0.447  -0.480 0.617  -0.400 0.751  -0.300 0.837  -0.260 0.692  -0.260 0.506  -0.174 0.355  -0.174 0.169  -0.118 0.006  -0.024 -0.152  0.026 -0.325  0.129 -0.479  0.189 -0.645  0.320 -0.777  0.461 -0.886  0.602 -0.841  0.730 -0.758  0.800 -0.601  0.871 -0.445  0.946 -0.290  0.988 -0.114  1.033 0.062  1.077 0.237  1.119 0.414  1.158 0.592  1.228 0.765  1.291 0.939  1.291 1.125  1.380 1.274  1.463 1.441
2#apa#apa03#app0395/a  0.967 0.337  0.967 0.527  0.967 0.718  0.902 0.843  0.712 0.845  0.577 0.980  0.435 1.096  0.244 1.096  0.099 0.987  -0.036 0.852  -0.223 0.843  -0.413 0.843  -0.589 0.806  -0.723 0.671  -0.804 0.514  -0.818 0.337  -1.008 0.337  -1.057 0.195  -1.113 0.028  -1.248 -0.107  -1.311 -0.272  -1.311 -0.462  -1.311 -0.653  -1.192 -0.794  -1.057 -0.928  -0.866 -0.928  -0.676 -0.928  -0.485 -0.928  -0.295 -0.928  -0.104 -0.928  0.087 -0.928  0.208 -0.859  0.215 -0.675  0.405 -0.675  0.556 -0.580  0.691 -0.445  0.714 -0.264  0.714 -0.074  0.714 0.117  0.714 0.307  0.714 0.498  0.714 0.491  0.689 0.311  0.554 0.177  0.461 0.024  0.461 -0.166  0.461 -0.357  0.461 -0.547  0.524 -0.675  0.714 -0.675
2#apa#apa03#app0395/m  -1.127 0.309  -1.127 0.148  -1.127 -0.013  -1.127 -0.173  -1.201 -0.303  -1.306 -0.420  -1.306 -0.581  -1.306 -0.742  -1.171 -0.767  -1.127 -0.651  -1.029 -0.588  -0.948 -0.509  -0.905 -0.366  -0.792 -0.252  -0.678 -0.139  -0.589 -0.015  -0.578 0.141  -0.464 0.254  -0.410 0.393  -0.344 0.488  -0.197 0.521  -0.084 0.635  -0.051 0.553  -0.119 0.420  -0.231 0.306  -0.231 0.145  -0.231 -0.016  -0.104 -0.050  0.056 -0.050  0.217 -0.050  0.307 0.020  0.359 0.129  0.510 0.152  0.624 0.266  0.767 0.309  0.845 0.391  0.909 0.488  1.025 0.532  1.051 0.667  1.204 0.660  1.204 0.499  1.204 0.338  1.204 0.178  1.204 0.017  1.204 -0.143  1.204 -0.304  1.204 -0.465  1.204 -0.625  1.204 -0.786  1.204 -0.947
2#apa#apa03#app0395/e  -0.934 0.168  -0.924 0.001  -0.746 0.001  -0.568 0.001  -0.391 0.001  -0.213 0.001  -0.036 0.001  0.120 0.055  0.250 0.168  0.420 0.188  0.545 0.314  0.714 0.334  0.892 0.334  0.899 0.504  0.889 0.678  0.764 0.803  0.638 0.929  0.490 1.001  0.313 1.001  0.135 1.001  -0.043 1.001  -0.208 0.948  -0.366 0.868  -0.506 0.763  -0.644 0.668  -0.806 0.629  -0.932 0.504  -0.934 0.327  -0.947 0.155  -1.073 0.029  -1.101 -0.136  -1.101 -0.314  -0.989 -0.445  -0.934 -0.600  -0.823 -0.666  -0.645 -0.666  -0.467 -0.666  -0.305 -0.730  -0.146 -0.810  0.026 -0.833  0.203 -0.833  0.381 -0.833  0.559 -0.833  0.736 -0.833  0.910 -0.822  1.035 -0.697  1.200 -0.666  1.378 -0.666  1.555 -0.666  1.733 -0.666
2#apa#apa03#app0395/=  -1.673 0.738  -1.512 0.738  -1.351 0.738  -1.190 0.738  -1.029 0.738  -0.868 0.738  -0.707 0.738  -0.546 0.738  -0.385 0.738  -0.224 0.738  -0.063 0.738  0.098 0.738  0.259 0.738  0.420 0.738  0.581 0.738  0.742 0.738  0.860 0.635  0.974 0.521  0.849 0.431  0.715 0.342  0.581 0.252  0.448 0.163  0.314 0.074  0.180 -0.016  0.046 -0.105  -0.088 -0.194  -0.222 -0.284  -0.356 -0.373  -0.490 -0.462  -0.624 -0.551  -0.758 -0.641  -0.892 -0.730  -0.991 -0.809  -0.830 -0.809  -0.669 -0.809  -0.508 -0.809  -0.347 -0.809  -0.203 -0.737  -0.059 -0.665  0.085 -0.593  0.244 -0.588  0.405 -0.588  0.566 -0.588  0.727 -0.588  0.874 -0.529  1.018 -0.457  1.162 -0.385  1.319 -0.367  1.480 -0.367  1.641 -0.367
2#apa#apa03#app0395/\"  -0.791 1.098  -0.791 0.989  -0.791 0.879  -0.791 0.770  -0.791 0.661  -0.791 0.551  -0.791 0.442  -0.791 0.332  -0.791 0.223  -0.791 0.114  -0.791 0.004  -0.791 -0.105  -0.791 -0.215  -0.791 -0.324  -0.791 -0.433  -0.791 -0.543  -0.791 -0.652  -0.791 -0.762  -0.791 -0.871  -0.776 -0.948  -0.692 -0.878  -0.608 -0.808  -0.524 -0.738  -0.440 -0.668  -0.356 -0.598  -0.272 -0.528  -0.188 -0.458  -0.104 -0.388  -0.020 -0.318  0.064 -0.248  0.148 -0.178  0.232 -0.108  0.316 -0.038  0.400 0.032  0.485 0.102  0.569 0.172  0.653 0.242  0.737 0.312  0.821 0.382  0.905 0.452  0.993 0.510  1.103 0.510  1.212 0.510  1.306 0.472  1.383 0.395  1.460 0.317  1.538 0.240  1.562 0.140  1.562 0.031  1.562 -0.078
2#apa#apa03#app0395/Y  -0.675 0.794  -0.539 0.774  -0.539 0.618  -0.539 0.463  -0.539 0.307  -0.539 0.151  -0.539 -0.005  -0.539 -0.160  -0.384 -0.162  -0.229 -0.162  -0.089 -0.121  0.021 -0.011  0.131 0.099  0.280 0.113  0.295 0.263  0.405 0.373  0.418 0.523  0.529 0.633  0.552 0.779  0.552 0.935  0.552 1.091  0.596 1.203  0.752 1.203  0.908 1.203  0.895 1.126  0.792 1.009  0.690 0.892  0.587 0.775  0.485 0.658  0.382 0.540  0.279 0.423  0.177 0.306  0.074 0.189  0.007 0.058  0.007 -0.098  -0.085 -0.162  -0.130 -0.273  -0.130 -0.428  -0.139 -0.580  -0.249 -0.690  -0.266 -0.839  -0.266 -0.995  -0.290 -1.141  -0.401 -1.251  -0.414 -1.401  -0.524 -1.511  -0.539 -1.661  -0.539 -1.817  -0.565 -1.962  -0.675 -2.072
