1c#apa#apa03#app0312/p  -0.501 -1.771  -0.393 -1.766  -0.404 -1.664  -0.501 -1.647  -0.501 -1.533  -0.501 -1.420  -0.501 -1.306  -0.501 -1.193  -0.501 -1.079  -0.501 -0.965  -0.501 -0.852  -0.501 -0.738  -0.501 -0.625  -0.501 -0.511  -0.501 -0.398  -0.501 -0.284  -0.461 -0.180  -0.410 -0.078  -0.393 0.031  -0.393 0.145  -0.354 0.249  -0.304 0.351  -0.285 0.460  -0.230 0.550  -0.177 0.642  -0.133 0.711  -0.069 0.761  -0.014 0.819  0.039 0.880  0.105 0.927  0.147 1.000  0.225 1.035  0.338 1.035  0.452 1.035  0.565 1.035  0.679 1.035  0.686 0.929  0.794 0.923  0.794 0.810  0.794 0.696  0.794 0.583  0.794 0.469  0.772 0.365  0.691 0.285  0.611 0.204  0.531 0.124  0.451 0.044  0.370 -0.036  0.260 -0.044  0.147 -0.044
1c#apa#apa03#app0312/a  0.264 0.289  0.264 0.496  0.264 0.702  0.264 0.909  0.103 0.955  0.042 1.101  -0.089 1.177  -0.296 1.177  -0.473 1.105  -0.619 0.959  -0.765 0.813  -0.845 0.639  -0.924 0.511  -1.067 0.448  -1.067 0.241  -1.067 0.034  -1.067 -0.172  -1.067 -0.379  -1.067 -0.586  -1.067 -0.793  -1.067 -0.999  -0.903 -1.042  -0.697 -1.042  -0.490 -1.042  -0.283 -1.042  -0.076 -1.042  0.042 -0.954  0.094 -0.769  0.240 -0.622  0.386 -0.476  0.486 -0.311  0.486 -0.104  0.486 0.103  0.486 0.309  0.486 0.516  0.486 0.723  0.486 0.930  0.486 0.773  0.486 0.566  0.486 0.360  0.486 0.153  0.607 0.067  0.708 -0.039  0.708 -0.246  0.708 -0.452  0.768 -0.598  0.930 -0.644  0.960 -0.820  1.151 -0.835  1.151 -1.042
1c#apa#apa03#app0312/s  0.657 0.859  0.657 0.978  0.587 1.027  0.489 1.048  0.489 1.167  0.398 1.195  0.279 1.195  0.161 1.195  0.054 1.144  -0.053 1.091  -0.159 1.038  -0.275 1.027  -0.349 0.982  -0.349 0.863  -0.464 0.859  -0.517 0.793  -0.534 0.692  -0.653 0.692  -0.684 0.605  -0.684 0.486  -0.684 0.367  -0.684 0.248  -0.684 0.129  -0.674 0.021  -0.555 0.021  -0.460 -0.036  -0.376 -0.120  -0.292 -0.204  -0.208 -0.288  -0.100 -0.315  0.019 -0.315  0.138 -0.315  0.154 -0.417  0.208 -0.482  0.325 -0.486  0.409 -0.570  0.493 -0.654  0.577 -0.738  0.657 -0.823  0.657 -0.942  0.604 -1.039  0.520 -1.123  0.436 -1.207  0.352 -1.291  0.245 -1.321  0.126 -1.321  0.007 -1.321  -0.014 -1.418  -0.063 -1.488  -0.181 -1.488
1c#apa#apa03#app0312/s  0.249 1.299  0.141 1.299  0.033 1.299  -0.075 1.299  -0.183 1.299  -0.291 1.299  -0.316 1.217  -0.318 1.110  -0.426 1.110  -0.525 1.090  -0.602 1.013  -0.678 0.937  -0.693 0.835  -0.693 0.727  -0.693 0.619  -0.659 0.545  -0.551 0.545  -0.461 0.502  -0.385 0.425  -0.309 0.349  -0.232 0.273  -0.156 0.196  -0.060 0.168  0.048 0.168  0.061 0.073  0.076 -0.020  0.184 -0.020  0.279 -0.050  0.355 -0.127  0.432 -0.203  0.508 -0.279  0.584 -0.356  0.626 -0.446  0.626 -0.554  0.626 -0.662  0.626 -0.770  0.626 -0.878  0.626 -0.986  0.626 -1.094  0.575 -1.151  0.467 -1.151  0.359 -1.151  0.251 -1.151  0.143 -1.151  0.035 -1.151  -0.073 -1.151  -0.128 -1.204  -0.128 -1.312  -0.208 -1.339  -0.316 -1.339
1c#apa#apa03#app0312/e  -0.521 0.001  -0.366 0.001  -0.211 0.001  -0.055 0.001  0.100 0.001  0.226 0.030  0.226 0.186  0.379 0.188  0.534 0.188  0.600 0.278  0.658 0.375  0.787 0.402  0.787 0.557  0.787 0.712  0.787 0.868  0.787 1.023  0.731 1.123  0.576 1.123  0.421 1.123  0.265 1.123  0.110 1.123  -0.045 1.123  -0.185 1.085  -0.295 0.976  -0.405 0.866  -0.514 0.756  -0.624 0.646  -0.708 0.526  -0.712 0.372  -0.822 0.262  -0.895 0.137  -0.895 -0.018  -0.895 -0.174  -0.831 -0.314  -0.762 -0.453  -0.683 -0.585  -0.573 -0.695  -0.521 -0.829  -0.470 -0.933  -0.321 -0.947  -0.211 -1.057  -0.082 -1.120  0.073 -1.120  0.226 -1.122  0.226 -1.278  0.352 -1.307  0.508 -1.307  0.663 -1.307  0.818 -1.307  0.974 -1.307
1c#apa#apa03#app0312/d  0.553 1.852  0.559 1.713  0.659 1.613  0.686 1.483  0.686 1.342  0.686 1.201  0.686 1.060  0.686 0.919  0.686 0.778  0.686 0.636  0.686 0.495  0.686 0.354  0.686 0.213  0.686 0.072  0.686 -0.069  0.686 -0.211  0.686 -0.352  0.686 -0.493  0.623 -0.481  0.523 -0.381  0.423 -0.281  0.323 -0.181  0.287 -0.055  0.189 -0.012  0.048 -0.012  -0.060 0.069  -0.179 0.121  -0.320 0.121  -0.453 0.084  -0.579 0.021  -0.712 -0.012  -0.853 -0.012  -0.911 -0.095  -1.003 -0.145  -1.044 -0.245  -1.152 -0.278  -1.177 -0.394  -1.177 -0.535  -1.045 -0.544  -0.945 -0.643  -0.845 -0.743  -0.732 -0.810  -0.607 -0.849  -0.505 -0.943  -0.364 -0.943  -0.222 -0.943  -0.081 -0.943  0.048 -0.916  0.148 -0.816  0.287 -0.810
1c#apa#apa03#app0312/t  0.363 1.626  0.363 1.798  0.363 1.970  0.339 1.845  0.218 1.723  0.121 1.591  0.060 1.444  -0.000 1.297  -0.000 1.125  -0.000 0.953  -0.000 0.780  -0.000 0.608  -0.046 0.447  -0.121 0.292  -0.121 0.120  -0.121 -0.052  -0.121 -0.224  -0.121 -0.396  -0.121 -0.569  -0.091 -0.734  -0.014 -0.888  -0.000 -1.057  0.072 -1.156  0.123 -1.277  0.296 -1.277  0.468 -1.277  0.604 -1.242  0.691 -1.156  0.613 -1.076  0.473 -0.976  0.333 -0.876  0.193 -0.776  0.053 -0.676  -0.087 -0.576  -0.228 -0.475  -0.368 -0.375  -0.508 -0.275  -0.648 -0.175  -0.788 -0.075  -0.928 0.025  -0.845 0.054  -0.688 0.016  -0.551 -0.067  -0.379 -0.067  -0.206 -0.067  -0.034 -0.067  0.097 0.030  0.260 0.054  0.432 0.054  0.604 0.054
1c#apa#apa03#app0312/h  -0.543 1.888  -0.426 1.879  -0.426 1.754  -0.426 1.629  -0.426 1.503  -0.426 1.378  -0.426 1.252  -0.426 1.127  -0.426 1.002  -0.426 0.876  -0.426 0.751  -0.426 0.626  -0.426 0.500  -0.426 0.375  -0.426 0.249  -0.426 0.124  -0.426 -0.001  -0.426 -0.127  -0.426 -0.252  -0.426 -0.377  -0.426 -0.503  -0.426 -0.628  -0.426 -0.754  -0.426 -0.879  -0.426 -1.004  -0.426 -1.130  -0.346 -1.061  -0.257 -0.973  -0.193 -0.874  -0.150 -0.792  -0.040 -0.755  0.049 -0.666  0.138 -0.578  0.201 -0.470  0.257 -0.358  0.362 -0.326  0.389 -0.228  0.465 -0.134  0.573 -0.093  0.622 -0.016  0.708 0.024  0.805 -0.043  0.856 -0.147  0.856 -0.273  0.856 -0.398  0.937 -0.442  0.972 -0.532  0.972 -0.658  1.080 -0.675  1.089 -0.792
1c#apa#apa03#app0312/r  -0.435 0.908  -0.435 0.770  -0.435 0.633  -0.435 0.496  -0.435 0.358  -0.435 0.221  -0.435 0.083  -0.435 -0.054  -0.435 -0.191  -0.435 -0.329  -0.435 -0.466  -0.435 -0.604  -0.435 -0.741  -0.435 -0.879  -0.435 -1.016  -0.378 -1.096  -0.240 -1.096  -0.212 -1.206  -0.237 -1.319  -0.374 -1.319  -0.435 -1.242  -0.435 -1.105  -0.435 -0.967  -0.435 -0.830  -0.435 -0.692  -0.435 -0.555  -0.435 -0.418  -0.435 -0.280  -0.372 -0.205  -0.235 -0.205  -0.212 -0.091  -0.212 0.047  -0.212 0.184  -0.154 0.298  -0.057 0.395  0.040 0.492  0.137 0.589  0.234 0.686  0.331 0.784  0.429 0.881  0.555 0.908  0.692 0.908  0.830 0.908  0.967 0.908  1.104 0.908  1.242 0.908  1.379 0.908  1.517 0.908  1.654 0.908  1.792 0.908
1c#apa#apa03#app0312/o  0.468 1.329  0.351 1.270  0.234 1.212  0.117 1.154  -0.005 1.118  -0.136 1.118  -0.266 1.118  -0.377 1.098  -0.377 0.967  -0.426 0.857  -0.519 0.765  -0.611 0.672  -0.703 0.580  -0.796 0.488  -0.799 0.359  -0.799 0.228  -0.799 0.097  -0.799 -0.033  -0.799 -0.164  -0.799 -0.294  -0.799 -0.425  -0.799 -0.556  -0.799 -0.686  -0.775 -0.807  -0.683 -0.899  -0.591 -0.991  -0.461 -0.994  -0.330 -0.994  -0.200 -0.994  -0.069 -0.994  0.061 -0.994  0.192 -0.994  0.303 -0.947  0.396 -0.855  0.496 -0.783  0.627 -0.783  0.679 -0.704  0.679 -0.573  0.679 -0.443  0.727 -0.360  0.858 -0.360  0.890 -0.262  0.890 -0.131  0.890 -0.001  0.890 0.130  0.890 0.260  0.890 0.391  0.863 0.511  0.771 0.603  0.679 0.695
1c#apa#apa03#app0312/u  -0.993 0.772  -0.993 0.626  -0.993 0.480  -0.993 0.334  -1.017 0.198  -1.120 0.095  -1.177 -0.027  -1.177 -0.173  -1.177 -0.318  -1.177 -0.464  -1.177 -0.610  -1.134 -0.738  -1.030 -0.841  -0.900 -0.878  -0.754 -0.878  -0.614 -0.865  -0.511 -0.762  -0.408 -0.659  -0.305 -0.556  -0.177 -0.511  -0.077 -0.466  -0.071 -0.323  0.032 -0.220  0.106 -0.105  0.106 0.041  0.106 0.187  0.217 0.222  0.290 0.295  0.315 0.430  0.418 0.533  0.473 0.656  0.473 0.802  0.473 0.948  0.571 1.053  0.656 1.113  0.656 0.968  0.656 0.822  0.656 0.676  0.682 0.536  0.748 0.406  0.813 0.276  0.840 0.136  0.840 -0.010  0.847 -0.152  0.950 -0.255  1.053 -0.358  1.156 -0.461  1.206 -0.586  1.244 -0.695  1.390 -0.695
