2#apb#apb41#app4116/S  0.757 1.011  0.759 1.111  0.634 1.138  0.505 1.147  0.377 1.129  0.249 1.105  0.123 1.077  -0.002 1.043  -0.126 1.008  -0.249 0.965  -0.371 0.923  -0.481 0.856  -0.589 0.784  -0.688 0.700  -0.660 0.587  -0.561 0.504  -0.437 0.468  -0.312 0.433  -0.185 0.414  -0.056 0.400  0.073 0.387  0.199 0.359  0.324 0.324  0.448 0.289  0.555 0.217  0.661 0.143  0.743 0.044  0.812 -0.064  0.812 -0.193  0.803 -0.321  0.751 -0.439  0.690 -0.552  0.608 -0.653  0.525 -0.752  0.437 -0.847  0.348 -0.941  0.231 -0.990  0.107 -1.029  -0.017 -1.065  -0.142 -1.098  -0.267 -1.131  -0.396 -1.124  -0.525 -1.113  -0.652 -1.092  -0.778 -1.059  -0.896 -1.012  -1.004 -0.940  -1.069 -0.830  -1.077 -0.706  -0.992 -0.615
2#apb#apb41#app4116/e  -0.601 0.276  -0.610 0.279  -0.524 0.146  -0.395 0.063  -0.242 0.038  -0.083 0.050  0.069 0.091  0.218 0.147  0.360 0.215  0.483 0.317  0.604 0.420  0.716 0.533  0.821 0.650  0.881 0.798  0.890 0.953  0.833 1.090  0.713 1.195  0.570 1.263  0.421 1.267  0.268 1.220  0.133 1.140  0.007 1.043  -0.106 0.933  -0.197 0.803  -0.288 0.672  -0.380 0.542  -0.465 0.408  -0.551 0.273  -0.636 0.139  -0.716 0.002  -0.787 -0.141  -0.859 -0.283  -0.917 -0.430  -0.939 -0.587  -0.936 -0.742  -0.875 -0.889  -0.771 -0.994  -0.625 -1.058  -0.478 -1.117  -0.319 -1.117  -0.160 -1.117  -0.001 -1.117  0.156 -1.100  0.307 -1.050  0.458 -0.999  0.609 -0.949  0.760 -0.898  0.910 -0.845  1.061 -0.793  1.211 -0.741
2#apb#apb41#app4116/p  -0.492 0.425  -0.544 0.344  -0.588 0.196  -0.633 0.048  -0.678 -0.100  -0.724 -0.248  -0.772 -0.395  -0.826 -0.540  -0.879 -0.685  -0.928 -0.832  -0.969 -0.981  -1.011 -1.130  -1.068 -1.274  -0.992 -1.253  -0.904 -1.125  -0.813 -1.000  -0.720 -0.876  -0.629 -0.752  -0.562 -0.612  -0.494 -0.473  -0.427 -0.333  -0.355 -0.197  -0.282 -0.060  -0.209 0.077  -0.128 0.208  -0.034 0.331  0.060 0.454  0.154 0.576  0.266 0.681  0.391 0.772  0.516 0.863  0.649 0.939  0.796 0.986  0.944 1.032  1.099 1.032  1.227 0.960  1.293 0.824  1.314 0.673  1.314 0.518  1.256 0.374  1.160 0.254  1.051 0.148  0.909 0.086  0.764 0.033  0.615 -0.008  0.465 -0.043  0.310 -0.052  0.160 -0.034  0.019 0.028  -0.071 0.145
2#apb#apb41#app4116/t  0.468 1.518  0.607 1.632  0.715 1.717  0.697 1.541  0.661 1.364  0.633 1.187  0.604 1.009  0.568 0.833  0.523 0.659  0.479 0.484  0.434 0.310  0.382 0.138  0.327 -0.034  0.273 -0.205  0.218 -0.377  0.157 -0.546  0.094 -0.715  0.031 -0.883  -0.029 -1.053  -0.088 -1.223  -0.130 -1.398  -0.101 -1.496  -0.033 -1.331  -0.033 -1.166  -0.136 -1.018  -0.238 -0.870  -0.341 -0.722  -0.443 -0.574  -0.546 -0.426  -0.648 -0.278  -0.750 -0.130  -0.853 0.018  -0.955 0.166  -1.058 0.314  -1.211 0.348  -1.214 0.187  -1.086 0.078  -0.918 0.013  -0.739 0.008  -0.559 0.008  -0.379 0.008  -0.199 0.008  -0.019 0.008  0.158 0.037  0.335 0.069  0.513 0.101  0.691 0.126  0.869 0.152  1.046 0.184  1.222 0.220
2#apb#apb41#app4116/.  -1.635 -0.707  -1.569 -0.665  -1.504 -0.623  -1.438 -0.582  -1.373 -0.540  -1.307 -0.498  -1.242 -0.457  -1.177 -0.415  -1.111 -0.373  -1.046 -0.332  -0.980 -0.290  -0.915 -0.249  -0.849 -0.207  -0.781 -0.171  -0.709 -0.142  -0.637 -0.112  -0.566 -0.082  -0.494 -0.053  -0.422 -0.023  -0.350 0.006  -0.279 0.036  -0.207 0.065  -0.135 0.095  -0.063 0.124  0.008 0.154  0.080 0.183  0.152 0.213  0.224 0.242  0.295 0.272  0.367 0.302  0.439 0.331  0.513 0.354  0.588 0.375  0.662 0.396  0.737 0.418  0.811 0.439  0.886 0.460  0.961 0.482  1.031 0.455  1.100 0.421  1.159 0.372  1.214 0.317  1.269 0.262  1.249 0.188  1.227 0.113  1.206 0.039  1.185 -0.036  1.163 -0.111  1.142 -0.185  1.121 -0.260
2#apb#apb41#app4116/2  -1.066 0.890  -0.969 0.940  -0.834 0.979  -0.695 1.002  -0.555 1.019  -0.415 1.034  -0.274 1.044  -0.134 1.054  0.007 1.061  0.148 1.061  0.289 1.061  0.414 1.000  0.499 0.896  0.534 0.767  0.493 0.632  0.443 0.503  0.341 0.406  0.239 0.309  0.136 0.213  0.020 0.133  -0.096 0.053  -0.212 -0.028  -0.329 -0.106  -0.446 -0.184  -0.563 -0.262  -0.682 -0.338  -0.802 -0.412  -0.920 -0.488  -1.025 -0.583  -1.052 -0.638  -0.917 -0.598  -0.782 -0.559  -0.644 -0.530  -0.505 -0.505  -0.366 -0.487  -0.225 -0.475  -0.085 -0.465  0.056 -0.472  0.196 -0.481  0.329 -0.528  0.460 -0.580  0.583 -0.649  0.707 -0.715  0.836 -0.771  0.966 -0.826  1.102 -0.861  1.240 -0.891  1.380 -0.892  1.520 -0.884  1.657 -0.849
2#apb#apb41#app4116/3  -1.096 1.022  -0.987 1.094  -0.829 1.086  -0.678 1.033  -0.521 1.015  -0.361 1.006  -0.202 0.994  -0.043 0.981  0.117 0.974  0.277 0.974  0.436 0.973  0.596 0.962  0.692 0.872  0.615 0.745  0.491 0.645  0.351 0.571  0.202 0.513  0.053 0.456  -0.098 0.404  -0.250 0.354  -0.401 0.303  -0.555 0.262  -0.711 0.225  -0.772 0.139  -0.626 0.073  -0.473 0.032  -0.317 -0.004  -0.161 -0.040  -0.006 -0.078  0.149 -0.115  0.304 -0.155  0.454 -0.209  0.604 -0.263  0.748 -0.332  0.883 -0.417  0.973 -0.540  0.964 -0.685  0.893 -0.828  0.772 -0.924  0.632 -1.001  0.486 -1.063  0.335 -1.117  0.185 -1.172  0.028 -1.199  -0.130 -1.226  -0.287 -1.252  -0.446 -1.268  -0.605 -1.283  -0.765 -1.284  -0.920 -1.252
2#apb#apb41#app4116/N  -0.333 0.711  -0.283 0.911  -0.230 0.945  -0.293 0.749  -0.360 0.555  -0.430 0.362  -0.513 0.174  -0.597 -0.014  -0.679 -0.202  -0.761 -0.391  -0.842 -0.579  -0.924 -0.768  -1.003 -0.958  -1.050 -1.157  -0.966 -1.010  -0.878 -0.825  -0.797 -0.635  -0.722 -0.444  -0.650 -0.252  -0.590 -0.055  -0.530 0.141  -0.466 0.336  -0.399 0.531  -0.333 0.725  -0.261 0.918  -0.165 1.094  -0.041 1.028  0.024 0.833  0.065 0.633  0.083 0.429  0.092 0.224  0.078 0.019  0.063 -0.186  0.055 -0.391  0.055 -0.597  0.090 -0.795  0.195 -0.965  0.382 -1.004  0.561 -0.918  0.721 -0.789  0.862 -0.640  0.997 -0.485  1.114 -0.317  1.223 -0.143  1.311 0.042  1.380 0.235  1.430 0.434  1.464 0.636  1.456 0.841  1.398 1.016
2#apb#apb41#app4116/o  0.337 -0.078  0.205 0.016  0.072 0.104  -0.081 0.090  -0.203 -0.010  -0.306 -0.135  -0.379 -0.277  -0.430 -0.430  -0.438 -0.590  -0.415 -0.747  -0.350 -0.895  -0.195 -0.938  -0.037 -0.949  0.121 -0.917  0.274 -0.870  0.415 -0.791  0.556 -0.713  0.690 -0.623  0.816 -0.522  0.942 -0.421  1.049 -0.300  1.154 -0.176  1.216 -0.033  1.244 0.126  1.251 0.282  1.172 0.423  1.092 0.564  0.978 0.673  0.847 0.768  0.716 0.862  0.567 0.916  0.408 0.948  0.250 0.980  0.089 0.985  -0.073 0.985  -0.231 0.974  -0.359 0.876  -0.488 0.778  -0.617 0.680  -0.729 0.566  -0.826 0.437  -0.923 0.307  -1.017 0.176  -1.070 0.023  -1.123 -0.129  -1.176 -0.282  -1.218 -0.437  -1.238 -0.598  -1.258 -0.758  -1.278 -0.918
2#apb#apb41#app4116/v  -0.952 0.493  -0.931 0.596  -0.909 0.674  -0.902 0.571  -0.887 0.468  -0.881 0.364  -0.874 0.260  -0.868 0.155  -0.856 0.052  -0.844 -0.051  -0.831 -0.155  -0.818 -0.258  -0.806 -0.362  -0.794 -0.465  -0.782 -0.569  -0.753 -0.669  -0.723 -0.769  -0.658 -0.848  -0.582 -0.918  -0.481 -0.941  -0.379 -0.954  -0.280 -0.923  -0.180 -0.892  -0.081 -0.861  0.008 -0.808  0.092 -0.747  0.177 -0.686  0.261 -0.625  0.342 -0.561  0.409 -0.480  0.475 -0.400  0.541 -0.319  0.607 -0.239  0.660 -0.150  0.707 -0.057  0.754 0.037  0.800 0.130  0.844 0.224  0.853 0.328  0.862 0.431  0.871 0.535  0.880 0.639  0.884 0.743  0.880 0.847  0.875 0.951  0.870 1.055  0.865 1.159  0.846 1.262  0.823 1.363  0.865 1.370
2#apb#apb41#app4116/.  0.117 -0.276  0.117 -0.163  0.117 -0.050  0.117 0.063  0.117 0.176  0.117 0.289  0.117 0.402  0.117 0.514  0.117 0.627  0.117 0.740  0.117 0.853  0.119 0.965  0.199 1.045  0.279 1.125  0.359 1.204  0.439 1.284  0.519 1.364  0.460 1.306  0.381 1.226  0.301 1.146  0.221 1.066  0.141 0.987  0.092 0.888  0.056 0.781  0.021 0.674  -0.015 0.567  -0.051 0.459  -0.087 0.352  -0.122 0.245  -0.158 0.138  -0.194 0.031  -0.229 -0.076  -0.265 -0.183  -0.296 -0.291  -0.296 -0.404  -0.296 -0.517  -0.296 -0.630  -0.296 -0.743  -0.296 -0.855  -0.296 -0.968  -0.296 -1.081  -0.296 -1.194  -0.296 -1.307  -0.296 -1.420  -0.282 -1.527  -0.202 -1.607  -0.123 -1.687  -0.043 -1.767  0.037 -1.846  0.117 -1.926
