2#tos#t1#t1018062/\"  -0.651 1.613  -0.805 1.536  -0.864 1.401  -0.864 1.230  -0.864 1.058  -0.864 0.886  -0.864 0.715  -0.814 0.555  -0.758 0.396  -0.758 0.225  -0.758 0.053  -0.758 -0.119  -0.758 -0.291  -0.709 -0.433  -0.556 -0.509  -0.545 -0.674  -0.536 -0.842  -0.438 -0.974  -0.438 -1.145  -0.411 -1.210  -0.328 -1.059  -0.245 -0.909  -0.163 -0.758  -0.080 -0.608  0.003 -0.457  0.086 -0.307  0.168 -0.156  0.251 -0.006  0.334 0.144  0.417 0.295  0.499 0.445  0.582 0.596  0.665 0.746  0.700 0.868  0.528 0.868  0.413 0.812  0.413 0.640  0.413 0.468  0.452 0.336  0.566 0.243  0.626 0.085  0.626 -0.087  0.701 -0.241  0.835 -0.302  0.839 -0.470  0.839 -0.642  0.839 -0.814  0.870 -0.972  1.004 -1.077  1.158 -1.153
2#tos#t1#t1018062/&  -0.127 0.223  -0.348 0.136  -0.580 0.180  -0.741 0.321  -0.924 0.420  -0.960 0.656  -0.933 0.892  -0.775 1.032  -0.630 1.188  -0.478 1.330  -0.350 1.495  -0.108 1.495  0.123 1.539  0.298 1.487  0.236 1.256  0.130 1.045  0.048 0.856  -0.065 0.672  -0.190 0.473  -0.255 0.240  -0.392 0.046  -0.438 -0.186  -0.502 -0.419  -0.537 -0.655  -0.566 -0.892  -0.420 -1.076  -0.264 -1.207  -0.024 -1.224  0.180 -1.186  0.347 -1.051  0.446 -0.867  0.578 -0.674  0.662 -0.464  0.775 -0.287  0.826 -0.084  0.908 0.118  0.841 0.161  0.602 0.125  0.363 0.090  0.124 0.054  -0.116 0.019  -0.171 -0.094  -0.103 -0.293  0.065 -0.451  0.236 -0.622  0.400 -0.787  0.531 -0.982  0.648 -1.158  0.750 -1.359  0.881 -1.531
2#tos#t1#t1018062/'  1.092 1.336  1.092 1.255  1.092 1.173  1.092 1.092  1.035 1.039  0.970 0.990  0.905 0.941  0.840 0.892  0.775 0.844  0.710 0.795  0.645 0.746  0.580 0.697  0.514 0.648  0.449 0.599  0.384 0.551  0.319 0.502  0.254 0.453  0.189 0.404  0.124 0.355  0.073 0.299  0.073 0.218  0.073 0.137  0.066 0.062  -0.016 0.062  -0.097 0.062  -0.178 0.062  -0.260 0.062  -0.341 0.062  -0.423 0.062  -0.437 -0.005  -0.437 -0.086  -0.437 -0.168  -0.437 -0.249  -0.437 -0.331  -0.437 -0.412  -0.437 -0.493  -0.437 -0.575  -0.437 -0.656  -0.453 -0.734  -0.489 -0.807  -0.526 -0.879  -0.562 -0.952  -0.598 -1.025  -0.635 -1.098  -0.671 -1.171  -0.717 -1.237  -0.774 -1.295  -0.832 -1.352  -0.889 -1.410  -0.947 -1.467
2#tos#t1#t1018062/*  -0.921 0.813  -1.206 0.718  -1.078 0.670  -0.848 0.526  -0.571 0.456  -0.351 0.289  -0.124 0.147  0.122 0.008  0.374 -0.161  0.566 -0.389  0.817 -0.545  1.053 -0.733  1.220 -0.956  1.299 -0.991  1.249 -0.692  1.199 -0.393  1.149 -0.093  1.099 0.206  1.049 0.505  1.000 0.804  0.784 0.908  0.520 0.813  0.367 0.629  0.173 0.444  0.035 0.198  -0.234 0.141  -0.389 -0.111  -0.648 -0.267  -0.813 -0.507  -1.001 -0.742  -1.155 -0.948  -1.018 -0.709  -0.885 -0.437  -0.752 -0.164  -0.619 0.108  -0.485 0.381  -0.352 0.653  -0.219 0.926  -0.086 1.198  -0.207 1.224  -0.182 0.923  -0.112 0.641  -0.112 0.338  -0.112 0.035  -0.033 -0.250  -0.017 -0.549  0.030 -0.845  0.044 -1.146  0.161 -1.411  0.221 -1.662
2#tos#t1#t1018062/+  -1.510 0.126  -1.632 0.066  -1.790 -0.014  -1.780 -0.036  -1.603 -0.035  -1.426 -0.035  -1.251 -0.020  -1.080 0.019  -0.903 0.019  -0.726 0.019  -0.549 0.019  -0.372 0.019  -0.195 0.019  -0.018 0.019  0.159 0.019  0.336 0.019  0.514 0.019  0.645 -0.066  0.781 -0.143  0.948 -0.187  1.108 -0.231  1.278 -0.250  1.220 -0.215  1.111 -0.076  1.002 0.064  0.894 0.204  0.785 0.344  0.676 0.483  0.567 0.623  0.459 0.763  0.350 0.903  0.241 1.043  0.116 1.149  -0.003 1.091  -0.003 0.914  -0.003 0.737  -0.003 0.560  -0.003 0.383  -0.003 0.206  0.051 0.082  0.051 -0.095  0.051 -0.272  0.051 -0.449  0.051 -0.626  0.122 -0.787  0.178 -0.955  0.212 -1.127  0.256 -1.297  0.320 -1.419  0.320 -1.596
2#tos#t1#t1018062/  -1.243 0.138  -1.313 0.129  -1.364 0.077  -1.416 0.026  -1.468 -0.026  -1.439 -0.044  -1.366 -0.044  -1.293 -0.044  -1.220 -0.044  -1.147 -0.044  -1.074 -0.044  -1.001 -0.044  -0.929 -0.039  -0.864 -0.006  -0.796 0.016  -0.723 0.016  -0.650 0.016  -0.577 0.016  -0.504 0.016  -0.431 0.016  -0.358 0.016  -0.285 0.016  -0.212 0.016  -0.139 0.016  -0.066 0.016  0.007 0.016  0.080 0.016  0.153 0.016  0.226 0.016  0.299 0.016  0.372 0.016  0.445 0.016  0.518 0.016  0.591 0.016  0.664 0.016  0.737 0.016  0.810 0.016  0.883 0.016  0.956 0.016  1.030 0.016  1.103 0.016  1.176 0.016  1.248 0.015  1.314 -0.018  1.380 -0.044  1.453 -0.044  1.526 -0.044  1.599 -0.044  1.638 -0.100  1.671 -0.166
2#tos#t1#t1018062/  0.533 1.645  0.470 1.614  0.438 1.539  0.438 1.457  0.438 1.375  0.429 1.296  0.392 1.222  0.391 1.140  0.391 1.058  0.391 0.976  0.355 0.914  0.287 0.868  0.212 0.843  0.202 0.771  0.202 0.689  0.202 0.607  0.202 0.525  0.192 0.446  0.156 0.372  0.074 0.372  0.061 0.303  0.061 0.221  0.061 0.139  0.014 0.104  0.014 0.022  -0.033 -0.013  -0.033 -0.095  -0.033 -0.177  -0.049 -0.249  -0.123 -0.286  -0.128 -0.365  -0.128 -0.447  -0.175 -0.482  -0.175 -0.564  -0.241 -0.605  -0.269 -0.670  -0.269 -0.752  -0.269 -0.834  -0.269 -0.916  -0.318 -0.949  -0.364 -0.985  -0.364 -1.067  -0.364 -1.149  -0.364 -1.231  -0.398 -1.279  -0.411 -1.348  -0.411 -1.430  -0.455 -1.468  -0.458 -1.547  -0.505 -1.610
2#tos#t1#t1018062/<  0.482 1.575  0.382 1.575  0.363 1.493  0.340 1.416  0.323 1.332  0.266 1.279  0.174 1.257  0.164 1.167  0.102 1.115  0.045 1.039  0.045 0.938  -0.010 0.872  -0.074 0.803  -0.106 0.719  -0.189 0.664  -0.236 0.576  -0.281 0.486  -0.326 0.396  -0.352 0.302  -0.396 0.220  -0.467 0.149  -0.510 0.066  -0.543 -0.029  -0.591 -0.088  -0.641 -0.144  -0.670 -0.232  -0.750 -0.253  -0.689 -0.293  -0.605 -0.333  -0.530 -0.374  -0.453 -0.412  -0.380 -0.471  -0.324 -0.554  -0.232 -0.571  -0.148 -0.611  -0.063 -0.634  -0.001 -0.707  0.080 -0.765  0.175 -0.792  0.265 -0.831  0.341 -0.889  0.433 -0.924  0.442 -1.019  0.514 -1.048  0.603 -1.091  0.656 -1.167  0.734 -1.221  0.817 -1.264  0.901 -1.317  0.919 -1.406
2#tos#t1#t1018062/=  -1.034 0.826  -1.175 0.754  -1.246 0.653  -1.111 0.615  -0.956 0.686  -0.785 0.686  -0.613 0.686  -0.441 0.686  -0.270 0.686  -0.098 0.686  0.074 0.686  0.246 0.686  0.417 0.686  0.588 0.684  0.744 0.615  0.916 0.615  1.087 0.615  1.259 0.615  1.293 0.584  1.138 0.509  0.984 0.434  0.829 0.359  0.675 0.284  0.520 0.209  0.366 0.134  0.211 0.059  0.057 -0.016  -0.098 -0.091  -0.252 -0.165  -0.407 -0.240  -0.561 -0.315  -0.716 -0.390  -0.870 -0.465  -0.964 -0.578  -1.105 -0.609  -1.105 -0.781  -0.944 -0.792  -0.773 -0.792  -0.601 -0.792  -0.429 -0.792  -0.258 -0.792  -0.086 -0.792  0.086 -0.792  0.258 -0.792  0.429 -0.792  0.601 -0.792  0.773 -0.792  0.944 -0.792  1.116 -0.792  1.288 -0.792
2#tos#t1#t1018062/?  -0.570 0.066  -0.612 -0.044  -0.734 -0.044  -0.857 -0.044  -0.900 0.037  -0.936 0.145  -0.936 0.268  -0.936 0.391  -0.933 0.513  -0.885 0.622  -0.801 0.702  -0.719 0.775  -0.643 0.871  -0.536 0.930  -0.429 0.991  -0.315 1.035  -0.196 1.053  -0.074 1.053  0.049 1.053  0.172 1.053  0.289 1.026  0.379 0.945  0.420 0.832  0.490 0.753  0.545 0.670  0.600 0.565  0.600 0.442  0.636 0.356  0.573 0.259  0.563 0.140  0.529 0.031  0.468 -0.066  0.388 -0.159  0.340 -0.267  0.248 -0.347  0.197 -0.439  0.137 -0.543  0.124 -0.661  0.161 -0.747  0.228 -0.842  0.297 -0.921  0.398 -0.975  0.425 -1.090  0.443 -1.211  0.460 -1.333  0.477 -1.455  0.456 -1.543  0.344 -1.553  0.307 -1.639  0.271 -1.653
2#tos#t1#t1018062/@  0.301 0.754  0.167 0.665  -0.010 0.709  -0.188 0.665  -0.320 0.575  -0.409 0.408  -0.498 0.275  -0.498 0.053  -0.479 -0.167  -0.396 -0.339  -0.351 -0.547  -0.180 -0.673  -0.029 -0.780  0.168 -0.817  0.363 -0.844  0.531 -0.755  0.653 -0.622  0.700 -0.447  0.789 -0.313  0.789 -0.091  0.789 0.131  0.789 0.353  0.689 0.544  0.656 0.752  0.618 0.951  0.484 1.091  0.345 1.239  0.215 1.331  0.005 1.360  -0.204 1.359  -0.365 1.281  -0.504 1.141  -0.587 0.973  -0.631 0.769  -0.720 0.576  -0.764 0.364  -0.809 0.186  -0.764 -0.025  -0.764 -0.247  -0.701 -0.450  -0.582 -0.626  -0.498 -0.813  -0.365 -0.928  -0.205 -1.079  -0.058 -1.235  0.151 -1.288  0.355 -1.332  0.567 -1.376  0.789 -1.376  0.967 -1.332
