2#apb#apb02#app0268/a  0.582 0.309  0.529 0.496  0.523 0.690  0.486 0.881  0.415 1.062  0.303 1.217  0.168 1.346  -0.022 1.323  -0.195 1.235  -0.347 1.113  -0.491 0.983  -0.614 0.833  -0.728 0.676  -0.826 0.508  -0.922 0.339  -1.015 0.168  -1.075 -0.017  -1.120 -0.206  -1.120 -0.400  -1.097 -0.592  -1.032 -0.772  -0.887 -0.893  -0.702 -0.941  -0.509 -0.928  -0.357 -0.816  -0.240 -0.664  -0.161 -0.486  -0.095 -0.303  -0.030 -0.119  0.028 0.066  0.067 0.257  0.111 0.446  0.130 0.639  0.130 0.689  0.176 0.500  0.183 0.306  0.198 0.113  0.230 -0.079  0.251 -0.273  0.276 -0.465  0.320 -0.655  0.372 -0.842  0.450 -1.016  0.615 -1.100  0.804 -1.073  0.981 -0.994  1.119 -0.856  1.257 -0.719  1.390 -0.578  1.487 -0.409
2#apb#apb02#app0268/b  -0.536 0.927  -0.552 1.075  -0.570 1.222  -0.588 1.370  -0.627 1.513  -0.640 1.552  -0.627 1.404  -0.608 1.257  -0.584 1.110  -0.561 0.964  -0.551 0.815  -0.541 0.667  -0.536 0.519  -0.536 0.371  -0.536 0.222  -0.529 0.074  -0.517 -0.074  -0.498 -0.221  -0.466 -0.366  -0.442 -0.512  -0.413 -0.658  -0.406 -0.625  -0.365 -0.484  -0.322 -0.343  -0.264 -0.207  -0.187 -0.081  -0.074 0.016  0.043 0.106  0.167 0.188  0.290 0.270  0.427 0.327  0.568 0.281  0.677 0.183  0.794 0.093  0.901 -0.006  0.980 -0.131  1.044 -0.265  1.065 -0.404  1.024 -0.546  0.984 -0.689  0.927 -0.826  0.864 -0.960  0.766 -1.068  0.633 -1.133  0.489 -1.169  0.342 -1.184  0.196 -1.168  0.054 -1.132  -0.092 -1.115  -0.067 -1.158
2#apb#apb02#app0268/c  0.359 0.595  0.335 0.724  0.359 0.853  0.334 0.833  0.334 0.701  0.334 0.570  0.340 0.439  0.359 0.330  0.359 0.461  0.359 0.592  0.347 0.723  0.319 0.851  0.297 0.981  0.256 1.099  0.157 1.185  0.045 1.190  -0.069 1.125  -0.173 1.045  -0.276 0.963  -0.369 0.870  -0.462 0.777  -0.535 0.669  -0.597 0.553  -0.659 0.437  -0.715 0.318  -0.769 0.198  -0.803 0.073  -0.821 -0.058  -0.838 -0.188  -0.820 -0.316  -0.784 -0.442  -0.748 -0.569  -0.684 -0.683  -0.616 -0.796  -0.523 -0.885  -0.417 -0.962  -0.309 -1.037  -0.184 -1.079  -0.059 -1.120  0.066 -1.159  0.197 -1.159  0.329 -1.159  0.454 -1.129  0.575 -1.078  0.696 -1.026  0.816 -0.973  0.936 -0.919  1.048 -0.850  1.136 -0.759  1.086 -0.808
2#apb#apb02#app0268/d  0.118 -0.184  0.189 0.030  0.259 0.240  0.250 0.464  0.185 0.680  0.020 0.815  -0.202 0.815  -0.395 0.713  -0.569 0.570  -0.728 0.411  -0.862 0.230  -0.980 0.038  -1.052 -0.173  -1.100 -0.393  -1.116 -0.618  -1.107 -0.841  -1.047 -1.054  -0.866 -1.183  -0.662 -1.181  -0.465 -1.072  -0.278 -0.947  -0.159 -0.754  -0.046 -0.560  0.021 -0.345  0.080 -0.127  0.127 0.093  0.155 0.316  0.170 0.541  0.174 0.767  0.174 0.992  0.196 1.217  0.203 1.442  0.203 1.638  0.247 1.419  0.296 1.200  0.314 0.975  0.300 0.750  0.289 0.525  0.305 0.300  0.311 0.075  0.298 -0.150  0.287 -0.375  0.287 -0.600  0.330 -0.819  0.448 -0.997  0.654 -1.060  0.880 -1.060  1.104 -1.035  1.313 -0.955  1.446 -0.777
2#apb#apb02#app0268/e  -0.489 0.064  -0.561 0.192  -0.561 0.265  -0.427 0.209  -0.274 0.209  -0.120 0.209  0.033 0.209  0.174 0.263  0.311 0.332  0.441 0.412  0.546 0.520  0.640 0.640  0.667 0.782  0.645 0.924  0.543 1.034  0.416 1.076  0.269 1.110  0.123 1.092  -0.024 1.046  -0.169 0.997  -0.312 0.943  -0.444 0.865  -0.570 0.779  -0.686 0.678  -0.787 0.565  -0.868 0.435  -0.919 0.291  -0.968 0.145  -0.970 -0.008  -0.961 -0.160  -0.916 -0.306  -0.866 -0.450  -0.763 -0.564  -0.661 -0.678  -0.534 -0.764  -0.406 -0.849  -0.264 -0.901  -0.115 -0.938  0.034 -0.972  0.187 -0.980  0.340 -0.988  0.493 -0.992  0.645 -0.967  0.796 -0.942  0.948 -0.920  1.100 -0.907  1.251 -0.881  1.376 -0.805  1.387 -0.705  1.269 -0.610
2#apb#apb02#app0268/f  0.513 1.261  0.492 1.408  0.448 1.549  0.387 1.684  0.304 1.747  0.248 1.610  0.192 1.473  0.138 1.335  0.107 1.190  0.076 1.046  0.063 0.898  0.052 0.751  0.049 0.603  0.049 0.455  0.053 0.307  0.074 0.160  0.095 0.014  0.105 -0.134  0.115 -0.282  0.139 -0.428  0.172 -0.572  0.209 -0.715  0.248 -0.858  0.279 -1.003  0.308 -1.148  0.327 -1.295  0.316 -1.441  0.204 -1.525  0.076 -1.491  -0.034 -1.393  -0.129 -1.279  -0.220 -1.163  -0.283 -1.029  -0.349 -0.897  -0.392 -0.760  -0.422 -0.623  -0.511 -0.504  -0.600 -0.386  -0.689 -0.267  -0.768 -0.143  -0.759 -0.035  -0.636 0.047  -0.505 0.112  -0.360 0.143  -0.216 0.176  -0.077 0.226  0.065 0.264  0.213 0.264  0.346 0.317  0.490 0.333
2#apb#apb02#app0268/g  -0.065 1.160  -0.028 1.326  -0.094 1.475  -0.241 1.385  -0.372 1.266  -0.462 1.117  -0.507 0.946  -0.503 0.770  -0.395 0.644  -0.222 0.615  -0.067 0.689  0.049 0.819  0.087 0.990  0.141 1.154  0.112 1.129  0.063 0.959  0.036 0.783  0.036 0.607  0.047 0.429  0.047 0.252  0.058 0.075  0.079 -0.102  0.099 -0.278  0.118 -0.455  0.140 -0.631  0.161 -0.807  0.176 -0.984  0.190 -1.162  0.190 -1.338  0.165 -1.514  0.124 -1.687  -0.028 -1.751  -0.154 -1.634  -0.261 -1.493  -0.352 -1.340  -0.405 -1.173  -0.444 -1.000  -0.486 -0.827  -0.463 -0.656  -0.396 -0.493  -0.281 -0.360  -0.144 -0.246  -0.008 -0.132  0.129 -0.020  0.288 0.060  0.447 0.139  0.606 0.218  0.765 0.298  0.927 0.371  1.099 0.409
2#apb#apb02#app0268/h  -0.689 1.291  -0.650 1.425  -0.677 1.555  -0.736 1.561  -0.736 1.422  -0.736 1.283  -0.736 1.144  -0.716 1.007  -0.697 0.869  -0.677 0.732  -0.657 0.594  -0.638 0.456  -0.621 0.319  -0.604 0.181  -0.577 0.045  -0.533 -0.087  -0.487 -0.218  -0.436 -0.347  -0.387 -0.477  -0.339 -0.607  -0.285 -0.613  -0.305 -0.478  -0.303 -0.339  -0.289 -0.200  -0.259 -0.066  -0.233 0.068  -0.191 0.199  -0.086 0.287  0.033 0.358  0.149 0.373  0.267 0.301  0.336 0.185  0.384 0.055  0.424 -0.078  0.449 -0.214  0.462 -0.352  0.458 -0.491  0.443 -0.629  0.447 -0.767  0.461 -0.906  0.511 -1.035  0.620 -1.122  0.756 -1.129  0.876 -1.065  0.996 -0.994  1.120 -0.932  1.200 -0.826  1.263 -0.702  1.325 -0.577  1.300 -0.458
2#apb#apb02#app0268/i  -0.414 -0.055  -0.330 0.045  -0.308 0.175  -0.284 0.296  -0.308 0.313  -0.316 0.181  -0.353 0.054  -0.383 -0.075  -0.412 -0.205  -0.447 -0.333  -0.482 -0.461  -0.502 -0.591  -0.515 -0.723  -0.520 -0.856  -0.520 -0.989  -0.489 -1.117  -0.419 -1.217  -0.299 -1.272  -0.166 -1.272  -0.035 -1.254  0.095 -1.228  0.208 -1.166  0.312 -1.083  0.415 -1.000  0.516 -0.913  0.600 -0.817  0.637 -0.689  0.644 -0.558  0.582 -0.455  0.474 -0.379  0.355 -0.320  0.334 -0.190  0.314 -0.059  0.294 0.072  0.274 0.203  0.254 0.335  0.234 0.466  0.214 0.597  0.194 0.728  0.174 0.859  0.154 0.990  0.134 1.122  0.114 1.253  0.095 1.384  0.075 1.515  0.055 1.646  0.032 1.776  -0.048 1.873  -0.082 1.753  -0.150 1.639
2#apb#apb02#app0268/j  -0.639 0.151  -0.644 0.263  -0.476 0.331  -0.345 0.459  -0.226 0.599  -0.152 0.767  -0.112 0.947  -0.127 0.819  -0.125 0.635  -0.110 0.452  -0.076 0.271  -0.025 0.093  0.026 -0.084  0.078 -0.260  0.133 -0.436  0.188 -0.612  0.236 -0.790  0.264 -0.971  0.251 -1.155  0.216 -1.335  0.153 -1.508  0.019 -1.611  -0.159 -1.567  -0.309 -1.463  -0.434 -1.327  -0.533 -1.173  -0.618 -1.012  -0.652 -0.847  -0.548 -0.696  -0.418 -0.566  -0.259 -0.473  -0.098 -0.384  0.065 -0.298  0.234 -0.226  0.412 -0.179  0.585 -0.116  0.765 -0.079  0.750 0.046  0.669 0.212  0.589 0.378  0.509 0.544  0.429 0.710  0.349 0.875  0.268 1.041  0.188 1.207  0.108 1.373  0.028 1.539  -0.052 1.705  -0.132 1.871  -0.244 1.880
2#apb#apb02#app0268/k  -1.112 -1.164  -1.106 -1.093  -0.906 -0.944  -0.705 -0.779  -0.525 -0.594  -0.384 -0.375  -0.263 -0.143  -0.150 0.091  -0.133 0.352  -0.114 0.612  -0.131 0.872  -0.187 1.126  -0.269 1.374  -0.359 1.618  -0.458 1.712  -0.511 1.457  -0.506 1.197  -0.487 0.937  -0.462 0.677  -0.418 0.420  -0.345 0.170  -0.310 -0.089  -0.259 -0.345  -0.192 -0.597  -0.151 -0.855  -0.151 -1.082  -0.207 -0.828  -0.194 -0.570  -0.168 -0.310  -0.102 -0.062  0.005 0.176  0.124 0.408  0.239 0.642  0.450 0.794  0.664 0.940  0.894 0.871  1.007 0.646  0.935 0.400  0.829 0.165  0.644 -0.020  0.445 -0.185  0.188 -0.225  0.024 -0.321  0.113 -0.550  0.264 -0.758  0.480 -0.905  0.699 -1.047  0.910 -1.194  1.146 -1.304  1.204 -1.317
