3#apa#apa02#app0282/A  -0.992 -1.335  -0.992 -1.338  -0.992 -1.131  -0.992 -0.924  -0.897 -0.811  -0.887 -0.614  -0.800 -0.428  -0.782 -0.225  -0.740 -0.035  -0.678 0.146  -0.626 0.341  -0.573 0.535  -0.512 0.717  -0.450 0.902  -0.363 1.088  -0.281 1.261  -0.154 1.354  -0.086 1.494  0.016 1.599  0.160 1.475  0.172 1.272  0.265 1.104  0.370 0.940  0.370 0.733  0.462 0.564  0.475 0.363  0.475 0.155  0.580 0.053  0.580 -0.154  0.653 -0.287  0.684 -0.463  0.733 -0.650  0.789 -0.834  0.894 -0.936  0.912 -1.126  0.986 -1.012  0.816 -0.894  0.646 -0.776  0.476 -0.659  0.305 -0.541  0.135 -0.423  -0.035 -0.305  -0.205 -0.187  -0.378 -0.078  -0.363 -0.065  -0.249 0.027  -0.042 0.027  0.165 0.027  0.373 0.027  0.580 0.027
3#apa#apa02#app0282/c  0.442 1.000  0.442 1.107  0.397 1.168  0.291 1.168  0.185 1.168  0.079 1.168  -0.027 1.168  -0.060 1.094  -0.072 1.000  -0.178 1.000  -0.284 1.000  -0.391 1.000  -0.395 0.898  -0.424 0.804  -0.499 0.729  -0.562 0.649  -0.562 0.543  -0.605 0.455  -0.680 0.380  -0.730 0.294  -0.730 0.188  -0.730 0.082  -0.730 -0.024  -0.730 -0.131  -0.730 -0.237  -0.727 -0.342  -0.652 -0.417  -0.577 -0.492  -0.476 -0.506  -0.395 -0.531  -0.395 -0.637  -0.325 -0.674  -0.222 -0.679  -0.146 -0.754  -0.071 -0.830  0.030 -0.841  0.136 -0.841  0.242 -0.841  0.348 -0.841  0.455 -0.841  0.561 -0.841  0.667 -0.841  0.773 -0.841  0.879 -0.841  0.973 -0.812  1.049 -0.737  1.128 -0.674  1.235 -0.674  1.341 -0.674  1.447 -0.674
3#apa#apa02#app0282/q  0.022 0.998  0.113 1.089  0.021 1.180  -0.162 1.180  -0.346 1.180  -0.438 1.089  -0.618 1.086  -0.685 0.930  -0.750 0.774  -0.801 0.612  -0.786 0.434  -0.635 0.357  -0.489 0.266  -0.344 0.304  -0.214 0.357  -0.069 0.449  0.077 0.540  0.153 0.671  0.223 0.815  0.297 0.925  0.278 1.089  0.191 0.984  0.114 0.833  0.061 0.671  -0.004 0.514  -0.069 0.358  -0.069 0.175  -0.098 -0.004  -0.156 -0.178  -0.161 -0.361  -0.237 -0.526  -0.252 -0.706  -0.252 -0.889  -0.252 -1.073  -0.252 -1.256  -0.161 -1.401  -0.081 -1.552  0.060 -1.655  0.243 -1.655  0.388 -1.562  0.454 -1.406  0.596 -1.331  0.662 -1.163  0.662 -0.979  0.662 -0.796  0.662 -0.613  0.662 -0.429  0.662 -0.246  0.636 -0.073  0.479 -0.008
3#apa#apa02#app0282/u  -1.039 0.257  -0.938 0.357  -0.902 0.485  -0.971 0.462  -1.039 0.347  -1.039 0.205  -1.039 0.063  -1.039 -0.080  -1.039 -0.222  -1.039 -0.364  -1.039 -0.507  -1.039 -0.649  -1.039 -0.791  -0.942 -0.837  -0.902 -0.939  -0.794 -0.973  -0.651 -0.973  -0.509 -0.973  -0.367 -0.973  -0.263 -0.881  -0.162 -0.780  -0.061 -0.679  0.039 -0.579  0.140 -0.478  0.191 -0.357  0.245 -0.237  0.328 -0.129  0.349 0.005  0.450 0.105  0.465 0.241  0.522 0.370  0.585 0.498  0.601 0.636  0.601 0.778  0.601 0.921  0.601 1.063  0.601 1.206  0.601 1.079  0.700 0.978  0.738 0.851  0.738 0.709  0.738 0.567  0.813 0.455  0.875 0.339  0.918 0.214  1.012 0.111  1.018 -0.030  1.082 -0.158  1.146 -0.285  1.148 -0.427
3#apa#apa02#app0282/i  -0.237 0.185  -0.110 0.185  -0.101 0.304  -0.101 0.210  -0.101 0.083  -0.101 -0.045  -0.101 -0.173  -0.101 -0.300  -0.101 -0.428  -0.101 -0.556  -0.051 -0.633  0.035 -0.675  0.035 -0.802  0.035 -0.930  0.047 -1.053  0.137 -1.143  0.171 -1.257  0.171 -1.384  0.171 -1.512  0.166 -1.533  0.154 -1.406  0.142 -1.279  0.130 -1.152  0.118 -1.024  0.106 -0.897  0.093 -0.770  0.081 -0.643  0.069 -0.516  0.057 -0.389  0.045 -0.262  0.033 -0.135  0.021 -0.008  0.009 0.119  -0.003 0.246  -0.015 0.373  -0.028 0.501  -0.040 0.628  -0.052 0.755  -0.064 0.882  -0.076 1.009  -0.088 1.136  -0.100 1.263  -0.101 1.391  -0.025 1.487  0.035 1.589  0.035 1.717  0.009 1.819  -0.101 1.802  -0.101 1.674  -0.101 1.547
3#apa#apa02#app0282/r  -0.742 0.297  -0.742 0.444  -0.742 0.592  -0.657 0.535  -0.580 0.419  -0.580 0.271  -0.580 0.124  -0.580 -0.024  -0.580 -0.171  -0.580 -0.319  -0.580 -0.466  -0.580 -0.614  -0.580 -0.761  -0.580 -0.908  -0.580 -1.056  -0.580 -1.203  -0.580 -1.351  -0.580 -1.455  -0.575 -1.310  -0.470 -1.205  -0.419 -1.079  -0.419 -0.932  -0.419 -0.784  -0.395 -0.647  -0.291 -0.542  -0.258 -0.409  -0.197 -0.287  -0.097 -0.180  -0.097 -0.033  -0.053 0.107  -0.006 0.247  0.041 0.387  0.137 0.458  0.226 0.517  0.226 0.664  0.257 0.781  0.387 0.798  0.391 0.942  0.538 0.942  0.686 0.942  0.833 0.942  0.871 0.832  0.967 0.781  1.114 0.781  1.193 0.712  1.248 0.619  1.354 0.578  1.354 0.431  1.368 0.297  1.515 0.297
3#apa#apa02#app0282/e  -0.296 0.100  -0.182 -0.014  -0.038 -0.056  0.123 -0.056  0.285 -0.056  0.330 0.060  0.451 0.100  0.613 0.100  0.643 0.232  0.779 0.257  0.800 0.398  0.800 0.560  0.800 0.721  0.800 0.883  0.795 1.040  0.634 1.040  0.472 1.040  0.311 1.040  0.149 1.040  -0.009 1.027  -0.154 0.954  -0.299 0.883  -0.458 0.878  -0.572 0.764  -0.718 0.727  -0.766 0.613  -0.850 0.486  -0.923 0.355  -0.986 0.257  -1.079 0.188  -1.079 0.027  -1.079 -0.135  -1.020 -0.272  -0.906 -0.386  -0.792 -0.500  -0.641 -0.526  -0.610 -0.656  -0.474 -0.683  -0.354 -0.782  -0.216 -0.839  -0.080 -0.899  0.042 -0.996  0.203 -0.996  0.355 -1.021  0.469 -1.135  0.623 -1.152  0.785 -1.152  0.946 -1.152  1.108 -1.152  1.269 -1.152
3#apa#apa02#app0282/2  -0.807 0.658  -0.807 0.781  -0.756 0.853  -0.709 0.929  -0.608 0.950  -0.494 0.971  -0.403 1.047  -0.281 1.047  -0.158 1.047  -0.036 1.047  0.087 1.047  0.210 1.047  0.332 1.047  0.455 1.047  0.577 1.047  0.653 1.000  0.653 0.878  0.584 0.784  0.497 0.697  0.411 0.610  0.338 0.514  0.283 0.404  0.207 0.309  0.108 0.240  -0.001 0.185  -0.070 0.089  -0.124 -0.021  -0.211 -0.108  -0.297 -0.195  -0.360 -0.298  -0.415 -0.408  -0.432 -0.524  -0.515 -0.612  -0.515 -0.735  -0.515 -0.858  -0.515 -0.980  -0.417 -1.006  -0.383 -1.094  -0.260 -1.094  -0.147 -1.132  -0.037 -1.187  0.084 -1.191  0.207 -1.191  0.330 -1.191  0.443 -1.150  0.552 -1.095  0.674 -1.094  0.797 -1.094  0.848 -1.022  0.945 -0.996
3#apa#apa02#app0282/%  -0.241 0.942  -0.241 1.124  -0.409 1.139  -0.591 1.139  -0.732 1.097  -0.831 1.013  -0.720 0.942  -0.538 0.942  -0.355 0.942  -0.241 1.010  -0.142 1.094  -0.016 1.166  0.136 1.223  0.316 1.193  0.495 1.163  0.644 1.107  0.563 0.959  0.448 0.824  0.375 0.672  0.284 0.515  0.174 0.373  0.047 0.242  -0.054 0.090  -0.153 -0.063  -0.234 -0.226  -0.360 -0.357  -0.437 -0.508  -0.507 -0.673  -0.620 -0.814  -0.732 -0.950  -0.634 -0.981  -0.468 -0.905  -0.302 -0.830  -0.136 -0.754  0.030 -0.679  0.196 -0.603  0.336 -0.533  0.251 -0.631  0.153 -0.772  0.054 -0.856  0.054 -1.039  0.152 -1.123  0.236 -1.222  0.419 -1.222  0.560 -1.123  0.644 -1.025  0.743 -0.941  0.841 -0.857  0.802 -0.691  0.743 -0.533
3#apa#apa02#app0282/M  -1.199 0.507  -1.110 0.656  -1.020 0.747  -1.020 0.508  -1.020 0.270  -1.020 0.031  -1.020 -0.207  -1.020 -0.445  -0.931 -0.662  -0.931 -0.901  -0.907 -1.129  -0.841 -1.228  -0.733 -1.087  -0.628 -0.892  -0.523 -0.697  -0.439 -0.481  -0.393 -0.248  -0.344 -0.021  -0.257 0.200  -0.214 0.432  -0.214 0.670  -0.125 0.871  -0.125 1.110  -0.035 1.009  0.032 0.798  0.054 0.569  0.054 0.331  0.054 0.093  0.054 -0.146  0.054 -0.384  0.054 -0.622  0.072 -0.854  0.190 -0.836  0.308 -0.672  0.413 -0.477  0.530 -0.271  0.592 -0.058  0.719 0.134  0.809 0.354  0.860 0.584  0.950 0.785  0.950 1.024  1.039 0.863  1.039 0.625  1.124 0.422  1.153 0.191  1.218 -0.032  1.218 -0.270  1.218 -0.508  1.308 -0.657
3#apa#apa02#app0282/I  0.118 0.751  0.229 0.628  0.229 0.394  0.229 0.161  0.118 -0.027  0.113 -0.260  0.008 -0.469  0.006 -0.702  -0.105 -0.824  -0.109 -1.000  -0.144 -0.769  -0.179 -0.538  -0.213 -0.307  -0.248 -0.076  -0.283 0.155  -0.317 0.387  -0.352 0.618  -0.387 0.849  -0.421 1.080  -0.327 1.201  -0.199 1.307  0.035 1.307  0.268 1.307  0.502 1.307  0.718 1.351  0.923 1.418  0.915 1.300  0.771 1.116  0.627 0.932  0.483 0.748  0.339 0.564  0.195 0.380  0.051 0.196  -0.093 0.012  -0.237 -0.173  -0.381 -0.357  -0.525 -0.541  -0.669 -0.725  -0.813 -0.909  -0.958 -1.093  -0.932 -1.251  -0.699 -1.251  -0.576 -1.140  -0.342 -1.140  -0.120 -1.092  0.099 -1.029  0.332 -1.029  0.542 -0.928  0.774 -0.918  1.007 -0.918
