3#kai#kai2#yslee6/B  -0.262 1.536  -0.262 1.270  -0.262 1.004  -0.295 0.741  -0.309 0.477  -0.309 0.211  -0.356 -0.050  -0.356 -0.316  -0.356 -0.582  -0.356 -0.849  -0.356 -1.115  -0.368 -1.379  -0.403 -1.330  -0.403 -1.064  -0.396 -0.798  -0.386 -0.532  -0.375 -0.266  -0.365 0.000  -0.354 0.266  -0.343 0.532  -0.333 0.798  -0.322 1.064  -0.311 1.330  -0.214 1.560  0.035 1.631  0.297 1.602  0.477 1.417  0.597 1.180  0.635 0.920  0.610 0.658  0.526 0.405  0.420 0.161  0.244 -0.036  0.048 -0.215  -0.176 -0.357  -0.432 -0.399  -0.503 -0.340  -0.250 -0.272  0.012 -0.228  0.274 -0.179  0.539 -0.163  0.798 -0.218  0.981 -0.382  1.011 -0.641  0.898 -0.879  0.690 -1.040  0.459 -1.172  0.214 -1.276  -0.043 -1.343  -0.309 -1.343
3#kai#kai2#yslee6/u  -0.905 1.097  -0.937 0.966  -0.970 0.835  -1.005 0.706  -1.047 0.578  -1.085 0.449  -1.085 0.315  -1.085 0.180  -1.070 0.047  -1.038 -0.083  -1.005 -0.214  -0.972 -0.344  -0.940 -0.475  -0.907 -0.606  -0.836 -0.719  -0.761 -0.831  -0.659 -0.907  -0.531 -0.950  -0.401 -0.976  -0.266 -0.976  -0.147 -0.939  -0.052 -0.844  0.043 -0.749  0.104 -0.634  0.137 -0.504  0.170 -0.373  0.216 -0.247  0.266 -0.122  0.316 0.003  0.363 0.129  0.395 0.260  0.428 0.390  0.465 0.520  0.507 0.647  0.550 0.775  0.593 0.903  0.641 0.986  0.716 0.874  0.790 0.762  0.807 0.632  0.807 0.498  0.840 0.368  0.883 0.241  0.925 0.113  0.968 -0.015  1.010 -0.143  1.053 -0.270  1.124 -0.376  1.236 -0.451  1.348 -0.525
3#kai#kai2#yslee6/\@  -1.019 -1.358  -0.977 -1.303  -0.935 -1.247  -0.894 -1.192  -0.852 -1.136  -0.811 -1.081  -0.769 -1.026  -0.728 -0.970  -0.686 -0.915  -0.644 -0.859  -0.603 -0.804  -0.561 -0.748  -0.520 -0.693  -0.478 -0.638  -0.437 -0.582  -0.395 -0.527  -0.353 -0.471  -0.312 -0.416  -0.270 -0.360  -0.229 -0.305  -0.187 -0.249  -0.146 -0.194  -0.104 -0.139  -0.062 -0.083  -0.021 -0.028  0.021 0.028  0.062 0.083  0.104 0.139  0.146 0.194  0.187 0.249  0.229 0.305  0.270 0.360  0.312 0.416  0.353 0.471  0.395 0.527  0.437 0.582  0.478 0.638  0.520 0.693  0.561 0.748  0.603 0.804  0.644 0.859  0.686 0.915  0.728 0.970  0.769 1.026  0.811 1.081  0.852 1.136  0.894 1.192  0.935 1.247  0.977 1.303  1.019 1.358
3#kai#kai2#yslee6/t  -0.011 -0.607  0.030 -0.403  0.070 -0.199  0.089 0.007  0.089 0.216  0.089 0.424  0.089 0.632  0.089 0.840  0.089 1.048  0.089 1.256  0.089 1.464  0.089 1.672  0.052 1.825  -0.142 1.748  -0.211 1.561  -0.211 1.353  -0.211 1.145  -0.211 0.937  -0.179 0.732  -0.161 0.526  -0.161 0.318  -0.155 0.110  -0.114 -0.094  -0.073 -0.298  -0.061 -0.504  -0.022 -0.705  0.050 -0.900  0.104 -1.101  0.162 -1.300  0.220 -1.500  0.305 -1.689  0.381 -1.882  0.332 -1.729  0.281 -1.527  0.226 -1.327  0.139 -1.138  0.053 -0.949  -0.034 -0.760  -0.120 -0.571  -0.207 -0.382  -0.293 -0.192  -0.380 -0.003  -0.466 0.186  -0.553 0.375  -0.380 0.336  -0.176 0.295  0.026 0.245  0.231 0.210  0.433 0.161  0.638 0.142
3#kai#kai2#yslee6/C  0.902 0.955  0.854 1.027  0.802 1.097  0.740 1.159  0.674 1.208  0.586 1.208  0.500 1.196  0.415 1.179  0.334 1.152  0.266 1.097  0.198 1.043  0.130 0.987  0.069 0.925  0.007 0.864  -0.055 0.802  -0.116 0.740  -0.178 0.679  -0.231 0.610  -0.279 0.537  -0.319 0.459  -0.358 0.381  -0.407 0.309  -0.459 0.240  -0.503 0.166  -0.531 0.083  -0.554 -0.001  -0.575 -0.086  -0.579 -0.173  -0.579 -0.260  -0.579 -0.347  -0.579 -0.435  -0.560 -0.519  -0.539 -0.604  -0.489 -0.675  -0.436 -0.745  -0.376 -0.806  -0.306 -0.858  -0.236 -0.910  -0.161 -0.955  -0.086 -1.000  -0.009 -1.041  0.073 -1.068  0.156 -1.096  0.238 -1.126  0.316 -1.165  0.394 -1.204  0.479 -1.225  0.563 -1.246  0.648 -1.267  0.733 -1.288
3#kai#kai2#yslee6/a  0.111 0.998  -0.048 1.051  -0.211 1.075  -0.373 1.059  -0.504 0.954  -0.634 0.850  -0.758 0.738  -0.851 0.599  -0.943 0.459  -1.036 0.320  -1.084 0.161  -1.124 -0.002  -1.126 -0.169  -1.126 -0.336  -1.126 -0.504  -1.100 -0.664  -1.008 -0.803  -0.875 -0.890  -0.714 -0.935  -0.547 -0.935  -0.382 -0.919  -0.223 -0.866  -0.065 -0.813  0.062 -0.723  0.137 -0.573  0.212 -0.424  0.287 -0.274  0.362 -0.124  0.429 0.029  0.470 0.191  0.498 0.355  0.498 0.522  0.498 0.690  0.498 0.857  0.498 1.025  0.469 0.961  0.429 0.799  0.462 0.639  0.498 0.478  0.498 0.310  0.569 0.160  0.644 0.010  0.699 -0.148  0.761 -0.303  0.836 -0.453  0.911 -0.602  0.992 -0.749  1.085 -0.888  1.178 -1.027  1.270 -1.167
3#kai#kai2#yslee6/n  -0.800 1.185  -0.800 1.033  -0.800 0.881  -0.800 0.729  -0.800 0.577  -0.800 0.425  -0.800 0.273  -0.800 0.121  -0.781 -0.029  -0.744 -0.176  -0.719 -0.325  -0.719 -0.477  -0.719 -0.629  -0.719 -0.781  -0.719 -0.933  -0.719 -1.085  -0.632 -0.975  -0.540 -0.854  -0.466 -0.724  -0.437 -0.575  -0.407 -0.426  -0.367 -0.280  -0.319 -0.135  -0.271 0.009  -0.223 0.153  -0.175 0.297  -0.127 0.441  -0.079 0.586  -0.002 0.716  0.083 0.842  0.203 0.932  0.330 1.017  0.480 1.022  0.610 0.981  0.694 0.855  0.764 0.721  0.812 0.577  0.860 0.433  0.908 0.288  0.945 0.141  0.982 -0.007  0.989 -0.158  0.989 -0.310  0.989 -0.462  0.989 -0.614  0.989 -0.766  0.989 -0.918  0.962 -1.064  0.894 -1.199  0.826 -1.335
3#kai#kai2#yslee6/C  0.793 1.003  0.729 1.067  0.660 1.127  0.587 1.182  0.512 1.234  0.430 1.267  0.340 1.259  0.254 1.229  0.173 1.188  0.100 1.135  0.035 1.070  -0.030 1.006  -0.094 0.941  -0.159 0.877  -0.220 0.809  -0.274 0.736  -0.329 0.662  -0.384 0.589  -0.428 0.510  -0.469 0.428  -0.510 0.346  -0.547 0.263  -0.581 0.178  -0.595 0.089  -0.595 -0.002  -0.595 -0.094  -0.595 -0.185  -0.595 -0.276  -0.586 -0.365  -0.535 -0.441  -0.485 -0.517  -0.434 -0.593  -0.380 -0.666  -0.315 -0.731  -0.250 -0.795  -0.178 -0.850  -0.099 -0.897  -0.018 -0.938  0.060 -0.986  0.141 -1.027  0.224 -1.063  0.300 -1.113  0.382 -1.154  0.466 -1.187  0.555 -1.209  0.642 -1.185  0.684 -1.111  0.712 -1.024  0.738 -0.936  0.760 -0.848
3#kai#kai2#yslee6/i  0.191 0.430  0.191 0.309  0.191 0.187  0.191 0.066  0.191 -0.056  0.191 -0.177  0.191 -0.299  0.191 -0.420  0.191 -0.542  0.191 -0.663  0.191 -0.784  0.208 -0.904  0.232 -1.023  0.256 -1.142  0.256 -1.264  0.256 -1.385  0.256 -1.507  0.183 -1.492  0.082 -1.425  0.030 -1.320  -0.007 -1.205  -0.021 -1.084  -0.035 -0.963  -0.049 -0.843  -0.063 -0.722  -0.077 -0.601  -0.091 -0.481  -0.105 -0.360  -0.119 -0.239  -0.134 -0.119  -0.148 0.002  -0.162 0.123  -0.176 0.243  -0.190 0.364  -0.204 0.485  -0.218 0.605  -0.232 0.726  -0.246 0.847  -0.260 0.967  -0.274 1.088  -0.288 1.209  -0.302 1.329  -0.316 1.450  -0.330 1.571  -0.260 1.588  -0.145 1.550  -0.027 1.520  0.091 1.490  0.207 1.454  0.322 1.416
3#kai#kai2#yslee6/t  -0.601 0.546  -0.475 0.515  -0.350 0.484  -0.222 0.474  -0.093 0.472  0.023 0.414  0.139 0.356  0.258 0.308  0.381 0.267  0.479 0.186  0.540 0.140  0.487 0.258  0.435 0.376  0.382 0.494  0.329 0.612  0.277 0.731  0.224 0.849  0.172 0.967  0.119 1.085  0.067 1.203  0.014 1.322  -0.025 1.377  -0.025 1.248  -0.025 1.119  -0.025 0.989  -0.025 0.860  -0.035 0.732  -0.076 0.609  -0.097 0.484  -0.097 0.354  -0.097 0.225  -0.097 0.095  -0.097 -0.034  -0.097 -0.163  -0.097 -0.293  -0.097 -0.422  -0.103 -0.550  -0.144 -0.673  -0.169 -0.798  -0.169 -0.928  -0.169 -1.057  -0.169 -1.186  -0.169 -1.316  -0.169 -1.445  -0.143 -1.571  -0.112 -1.697  -0.076 -1.821  -0.035 -1.944  0.006 -2.066  0.047 -2.189
3#kai#kai2#yslee6/y  -0.468 1.027  -0.418 0.902  -0.367 0.776  -0.333 0.646  -0.286 0.521  -0.211 0.408  -0.142 0.292  -0.072 0.177  0.016 0.075  0.113 -0.019  0.225 -0.094  0.323 -0.081  0.357 0.050  0.391 0.181  0.425 0.312  0.459 0.443  0.493 0.574  0.527 0.704  0.561 0.835  0.595 0.966  0.629 1.097  0.663 1.228  0.666 1.215  0.644 1.082  0.618 0.950  0.575 0.821  0.532 0.693  0.489 0.565  0.447 0.437  0.393 0.314  0.318 0.201  0.257 0.081  0.193 -0.038  0.118 -0.151  0.043 -0.263  -0.025 -0.379  -0.086 -0.500  -0.146 -0.621  -0.207 -0.742  -0.302 -0.838  -0.393 -0.937  -0.478 -1.043  -0.562 -1.148  -0.657 -1.245  -0.752 -1.341  -0.838 -1.445  -0.919 -1.553  -1.024 -1.636  -1.137 -1.711  -1.249 -1.786
