3#apb#apb41#app4115/O  0.591 0.513  0.607 0.694  0.463 0.798  0.276 0.828  0.088 0.813  -0.080 0.725  -0.229 0.606  -0.359 0.466  -0.486 0.324  -0.611 0.180  -0.687 0.004  -0.766 -0.170  -0.858 -0.337  -0.922 -0.514  -0.950 -0.703  -0.941 -0.894  -0.884 -1.073  -0.763 -1.205  -0.586 -1.269  -0.396 -1.246  -0.210 -1.211  -0.035 -1.134  0.140 -1.058  0.302 -0.958  0.455 -0.844  0.606 -0.727  0.738 -0.589  0.870 -0.451  0.972 -0.289  1.069 -0.125  1.135 0.054  1.155 0.240  1.128 0.427  1.065 0.608  0.959 0.764  0.835 0.908  0.679 1.019  0.498 1.072  0.319 1.035  0.152 0.944  0.000 0.829  -0.143 0.703  -0.272 0.563  -0.401 0.422  -0.519 0.271  -0.635 0.119  -0.746 -0.036  -0.850 -0.196  -0.920 -0.372  -0.852 -0.529
3#apb#apb41#app4115/n  -0.248 0.534  -0.227 0.739  -0.215 0.892  -0.296 0.702  -0.381 0.513  -0.471 0.327  -0.572 0.147  -0.673 -0.033  -0.770 -0.216  -0.859 -0.402  -0.948 -0.589  -1.029 -0.779  -1.108 -0.970  -1.117 -1.175  -1.007 -1.175  -0.873 -1.017  -0.749 -0.852  -0.637 -0.679  -0.537 -0.499  -0.459 -0.308  -0.381 -0.116  -0.333 0.085  -0.289 0.286  -0.244 0.488  -0.200 0.690  -0.156 0.892  -0.114 1.095  -0.051 1.053  -0.027 0.848  -0.007 0.642  0.009 0.436  0.025 0.230  0.028 0.024  0.028 -0.183  0.055 -0.386  0.113 -0.584  0.241 -0.734  0.427 -0.818  0.620 -0.799  0.810 -0.718  0.963 -0.579  1.107 -0.432  1.219 -0.259  1.306 -0.073  1.364 0.125  1.368 0.328  1.343 0.533  1.317 0.738  1.291 0.943  1.342 1.085
3#apb#apb41#app4115/e  -0.498 -0.109  -0.414 0.004  -0.277 -0.046  -0.123 -0.063  0.028 -0.024  0.175 0.025  0.317 0.091  0.458 0.157  0.593 0.235  0.724 0.319  0.850 0.409  0.961 0.519  1.059 0.636  1.090 0.786  1.025 0.922  0.902 1.017  0.778 1.112  0.627 1.126  0.471 1.126  0.317 1.114  0.164 1.083  0.011 1.053  -0.125 0.989  -0.242 0.885  -0.359 0.782  -0.467 0.672  -0.539 0.534  -0.611 0.396  -0.683 0.258  -0.747 0.116  -0.802 -0.030  -0.857 -0.176  -0.912 -0.322  -0.937 -0.475  -0.953 -0.630  -0.968 -0.785  -0.903 -0.927  -0.817 -1.047  -0.676 -1.112  -0.526 -1.141  -0.370 -1.141  -0.214 -1.141  -0.062 -1.122  0.085 -1.070  0.232 -1.019  0.371 -0.948  0.506 -0.871  0.643 -0.795  0.780 -0.721  0.917 -0.647
3#apb#apb41#app4115/D  -0.339 0.834  -0.248 1.025  -0.212 0.995  -0.211 0.783  -0.202 0.571  -0.189 0.360  -0.182 0.148  -0.176 -0.064  -0.176 -0.276  -0.176 -0.488  -0.176 -0.700  -0.173 -0.912  -0.157 -1.123  -0.166 -1.053  -0.203 -0.847  -0.284 -0.650  -0.364 -0.454  -0.444 -0.258  -0.524 -0.062  -0.605 0.134  -0.685 0.331  -0.765 0.527  -0.845 0.723  -0.951 0.886  -0.833 0.922  -0.622 0.944  -0.411 0.961  -0.199 0.976  0.012 0.985  0.224 0.985  0.436 0.980  0.644 0.939  0.846 0.880  1.033 0.786  1.153 0.611  1.187 0.406  1.188 0.197  1.121 -0.005  1.044 -0.201  0.933 -0.382  0.823 -0.562  0.678 -0.717  0.531 -0.870  0.362 -0.997  0.189 -1.119  -0.004 -1.203  -0.203 -1.276  -0.409 -1.327  -0.603 -1.267  -0.665 -1.077
3#apb#apb41#app4115/u  -0.914 0.641  -1.000 0.707  -1.074 0.662  -1.074 0.552  -1.070 0.442  -1.043 0.334  -1.016 0.227  -0.988 0.120  -0.951 0.016  -0.915 -0.088  -0.878 -0.193  -0.835 -0.294  -0.779 -0.389  -0.723 -0.485  -0.667 -0.580  -0.606 -0.672  -0.543 -0.763  -0.480 -0.854  -0.384 -0.905  -0.283 -0.951  -0.180 -0.984  -0.069 -0.984  0.041 -0.984  0.142 -0.951  0.236 -0.892  0.330 -0.834  0.420 -0.771  0.490 -0.686  0.560 -0.600  0.629 -0.514  0.686 -0.421  0.725 -0.317  0.763 -0.214  0.801 -0.110  0.803 -0.001  0.792 0.109  0.781 0.219  0.769 0.328  0.747 0.437  0.724 0.545  0.702 0.653  0.679 0.761  0.653 0.869  0.625 0.976  0.597 1.083  0.569 1.189  0.551 1.298  0.531 1.199  0.551 1.091  0.571 0.982
3#apb#apb41#app4115/v  -0.957 0.128  -0.945 0.231  -0.895 0.311  -0.847 0.230  -0.847 0.126  -0.847 0.022  -0.842 -0.082  -0.832 -0.185  -0.821 -0.289  -0.811 -0.392  -0.792 -0.494  -0.771 -0.596  -0.751 -0.698  -0.719 -0.795  -0.660 -0.880  -0.599 -0.964  -0.532 -1.043  -0.446 -1.077  -0.342 -1.068  -0.247 -1.033  -0.159 -0.978  -0.071 -0.923  0.012 -0.862  0.078 -0.781  0.143 -0.701  0.209 -0.620  0.261 -0.531  0.303 -0.436  0.346 -0.341  0.389 -0.247  0.422 -0.148  0.452 -0.049  0.483 0.050  0.513 0.150  0.536 0.251  0.550 0.354  0.564 0.457  0.578 0.560  0.592 0.663  0.609 0.765  0.633 0.867  0.656 0.968  0.680 1.069  0.703 1.170  0.738 1.268  0.780 1.363  0.814 1.438  0.880 1.360  0.897 1.257  0.914 1.155
3#apb#apb41#app4115/a  0.285 0.344  0.295 0.526  0.251 0.696  0.177 0.863  0.038 0.979  -0.135 1.017  -0.315 1.012  -0.492 0.965  -0.644 0.871  -0.785 0.755  -0.920 0.632  -1.045 0.499  -1.164 0.362  -1.242 0.197  -1.320 0.032  -1.345 -0.149  -1.350 -0.327  -1.273 -0.493  -1.146 -0.617  -0.995 -0.718  -0.815 -0.748  -0.635 -0.766  -0.460 -0.715  -0.284 -0.665  -0.129 -0.570  0.023 -0.468  0.160 -0.349  0.289 -0.220  0.387 -0.069  0.465 0.096  0.483 0.276  0.493 0.459  0.463 0.639  0.427 0.760  0.345 0.597  0.299 0.420  0.255 0.243  0.247 0.061  0.247 -0.121  0.280 -0.300  0.328 -0.475  0.463 -0.598  0.620 -0.679  0.798 -0.719  0.979 -0.729  1.161 -0.719  1.333 -0.665  1.500 -0.590  1.656 -0.496  1.743 -0.338
3#apb#apb41#app4115/l  0.094 1.345  0.094 1.418  0.084 1.490  0.067 1.559  0.067 1.494  0.065 1.421  0.060 1.348  0.055 1.275  0.049 1.202  0.044 1.129  0.040 1.057  0.040 0.983  0.040 0.910  0.040 0.837  0.040 0.764  0.040 0.691  0.040 0.618  0.040 0.545  0.034 0.473  0.026 0.400  0.018 0.327  0.010 0.255  0.002 0.182  -0.006 0.109  -0.014 0.037  -0.021 -0.036  -0.030 -0.108  -0.040 -0.181  -0.050 -0.253  -0.061 -0.325  -0.071 -0.398  -0.081 -0.470  -0.092 -0.542  -0.102 -0.614  -0.110 -0.687  -0.110 -0.760  -0.110 -0.833  -0.110 -0.906  -0.110 -0.979  -0.108 -1.052  -0.091 -1.123  -0.074 -1.194  -0.057 -1.265  -0.040 -1.336  -0.015 -1.404  0.010 -1.473  0.060 -1.526  0.105 -1.539  0.121 -1.470  0.121 -1.397
3#apb#apb41#app4115/P  -0.543 0.291  -0.509 0.462  -0.428 0.361  -0.397 0.184  -0.389 0.006  -0.389 -0.174  -0.398 -0.353  -0.409 -0.532  -0.425 -0.710  -0.449 -0.888  -0.473 -1.066  -0.495 -1.243  -0.515 -1.422  -0.514 -1.601  -0.466 -1.546  -0.444 -1.368  -0.426 -1.190  -0.411 -1.011  -0.397 -0.832  -0.389 -0.653  -0.389 -0.474  -0.389 -0.295  -0.372 -0.116  -0.353 0.062  -0.334 0.240  -0.290 0.414  -0.246 0.588  -0.196 0.759  -0.114 0.919  -0.031 1.078  0.088 1.209  0.219 1.332  0.379 1.412  0.545 1.459  0.720 1.432  0.818 1.282  0.894 1.121  0.946 0.950  0.968 0.774  0.968 0.595  0.953 0.417  0.920 0.240  0.865 0.073  0.766 -0.076  0.646 -0.208  0.513 -0.328  0.349 -0.399  0.174 -0.437  0.002 -0.415  -0.151 -0.325
3#apb#apb41#app4115/l  0.092 1.513  0.040 1.578  -0.031 1.611  -0.084 1.570  -0.109 1.490  -0.134 1.411  -0.156 1.331  -0.171 1.249  -0.186 1.167  -0.201 1.085  -0.216 1.003  -0.225 0.920  -0.233 0.837  -0.241 0.755  -0.249 0.672  -0.257 0.589  -0.265 0.506  -0.270 0.423  -0.275 0.340  -0.280 0.257  -0.285 0.174  -0.289 0.090  -0.294 0.007  -0.299 -0.076  -0.303 -0.159  -0.306 -0.242  -0.310 -0.325  -0.314 -0.409  -0.312 -0.491  -0.302 -0.574  -0.291 -0.657  -0.275 -0.737  -0.235 -0.810  -0.195 -0.884  -0.133 -0.936  -0.064 -0.982  0.014 -0.999  0.098 -0.999  0.181 -0.999  0.264 -0.998  0.345 -0.980  0.427 -0.963  0.508 -0.946  0.590 -0.930  0.672 -0.918  0.755 -0.905  0.838 -0.901  0.921 -0.901  1.004 -0.901  1.038 -0.950
3#apb#apb41#app4115/a  -0.081 0.258  0.007 0.411  0.121 0.543  0.236 0.676  0.309 0.835  0.334 1.002  0.235 1.141  0.072 1.187  -0.104 1.187  -0.252 1.100  -0.396 0.999  -0.538 0.896  -0.655 0.765  -0.772 0.633  -0.889 0.502  -0.976 0.350  -1.054 0.193  -1.133 0.036  -1.173 -0.134  -1.199 -0.308  -1.225 -0.481  -1.182 -0.652  -1.104 -0.796  -0.953 -0.887  -0.784 -0.910  -0.608 -0.910  -0.436 -0.882  -0.267 -0.834  -0.098 -0.786  0.053 -0.701  0.193 -0.594  0.332 -0.488  0.461 -0.368  0.585 -0.244  0.666 -0.093  0.719 0.074  0.745 0.244  0.718 0.418  0.706 0.593  0.761 0.492  0.773 0.316  0.777 0.141  0.777 -0.035  0.778 -0.211  0.789 -0.386  0.799 -0.562  0.837 -0.733  0.900 -0.894  1.014 -1.027  1.182 -1.077
