1b#apa#apa00#app0015/A  -0.244 1.332  -0.094 1.457  -0.056 1.220  -0.100 0.952  -0.147 0.686  -0.234 0.425  -0.262 0.155  -0.348 -0.106  -0.403 -0.374  -0.465 -0.641  -0.512 -0.908  -0.561 -1.174  -0.628 -1.433  -0.680 -1.695  -0.582 -1.547  -0.527 -1.278  -0.472 -1.009  -0.417 -0.740  -0.362 -0.471  -0.308 -0.202  -0.253 0.067  -0.198 0.336  -0.143 0.606  -0.088 0.875  -0.034 1.144  0.021 1.413  0.068 1.683  0.113 1.475  0.131 1.208  0.220 0.953  0.323 0.698  0.447 0.453  0.593 0.221  0.721 -0.021  0.886 -0.240  1.005 -0.486  1.055 -0.753  1.067 -1.025  0.958 -1.083  0.737 -0.919  0.516 -0.756  0.296 -0.593  0.075 -0.429  -0.146 -0.266  -0.366 -0.102  -0.587 0.061  -0.382 0.084  -0.138 0.168  0.123 0.245  0.381 0.334
1b#apa#apa00#app0015/B  -0.340 1.049  -0.269 0.958  -0.340 0.724  -0.340 0.462  -0.340 0.199  -0.340 -0.064  -0.254 -0.308  -0.202 -0.566  -0.198 -0.829  -0.132 -1.076  -0.127 -1.337  -0.056 -1.571  -0.099 -1.338  -0.144 -1.079  -0.189 -0.820  -0.235 -0.561  -0.280 -0.302  -0.325 -0.044  -0.371 0.215  -0.416 0.474  -0.461 0.733  -0.506 0.992  -0.552 1.251  -0.516 1.475  -0.253 1.475  0.009 1.475  0.272 1.475  0.491 1.344  0.661 1.185  0.797 0.979  0.798 0.716  0.629 0.524  0.413 0.379  0.186 0.294  -0.036 0.195  -0.269 0.124  -0.347 0.117  -0.116 0.195  0.129 0.153  0.377 0.118  0.526 -0.044  0.656 -0.263  0.656 -0.526  0.656 -0.789  0.644 -1.050  0.511 -1.231  0.306 -1.370  0.043 -1.370  -0.220 -1.370  -0.483 -1.370
1b#apa#apa00#app0015/C  0.019 1.239  0.098 1.160  0.102 1.050  0.139 0.954  0.184 0.862  0.184 0.750  0.258 0.670  0.337 0.591  0.416 0.512  0.514 0.503  0.514 0.615  0.449 0.662  0.432 0.755  0.403 0.855  0.349 0.944  0.286 0.992  0.174 0.992  0.063 0.992  0.019 0.924  -0.073 0.899  -0.152 0.820  -0.228 0.741  -0.251 0.639  -0.330 0.560  -0.393 0.475  -0.393 0.363  -0.393 0.252  -0.470 0.172  -0.476 0.063  -0.476 -0.048  -0.476 -0.159  -0.476 -0.271  -0.452 -0.377  -0.402 -0.476  -0.393 -0.586  -0.393 -0.697  -0.363 -0.801  -0.313 -0.901  -0.294 -1.005  -0.216 -1.084  -0.137 -1.162  -0.058 -1.241  0.021 -1.320  0.099 -1.399  0.178 -1.477  0.276 -1.529  0.379 -1.566  0.473 -1.608  0.568 -1.648  0.679 -1.648
1b#apa#apa00#app0015/D  -0.366 1.140  -0.285 1.014  -0.285 0.807  -0.285 0.600  -0.276 0.395  -0.205 0.204  -0.205 -0.003  -0.171 -0.206  -0.124 -0.407  -0.124 -0.614  -0.077 -0.810  -0.043 -1.009  -0.043 -1.217  -0.043 -1.424  0.020 -1.455  -0.032 -1.255  -0.083 -1.054  -0.135 -0.854  -0.187 -0.653  -0.238 -0.452  -0.290 -0.252  -0.341 -0.051  -0.393 0.149  -0.445 0.350  -0.496 0.551  -0.548 0.751  -0.599 0.952  -0.651 1.152  -0.636 1.302  -0.510 1.382  -0.303 1.382  -0.096 1.382  0.090 1.330  0.246 1.198  0.361 1.061  0.506 0.914  0.634 0.755  0.684 0.559  0.765 0.386  0.765 0.179  0.765 -0.029  0.765 -0.236  0.765 -0.443  0.698 -0.622  0.599 -0.803  0.452 -0.949  0.306 -1.096  0.199 -1.259  0.023 -1.298  -0.124 -1.444
1b#apa#apa00#app0015/E  -0.598 1.271  -0.598 1.065  -0.598 0.858  -0.598 0.651  -0.598 0.444  -0.598 0.237  -0.598 0.031  -0.517 -0.157  -0.447 -0.351  -0.402 -0.551  -0.402 -0.758  -0.339 -0.938  -0.305 -1.131  -0.305 -1.338  -0.305 -1.545  -0.168 -1.420  0.007 -1.343  0.181 -1.265  0.357 -1.189  0.555 -1.167  0.761 -1.167  0.689 -1.004  0.531 -0.872  0.372 -0.739  0.213 -0.607  0.054 -0.475  -0.105 -0.342  -0.264 -0.210  -0.402 -0.121  -0.281 -0.131  -0.091 -0.075  0.083 0.003  0.279 0.051  0.474 0.101  0.649 0.177  0.847 0.198  0.705 0.297  0.529 0.405  0.353 0.514  0.177 0.622  0.001 0.731  -0.175 0.839  -0.351 0.947  -0.367 1.111  -0.221 1.257  -0.040 1.355  0.164 1.369  0.361 1.428  0.561 1.467  0.768 1.467
1b#apa#apa00#app0015/F  -0.562 0.925  -0.378 0.844  -0.357 0.635  -0.357 0.417  -0.290 0.210  -0.254 -0.002  -0.254 -0.220  -0.236 -0.430  -0.151 -0.613  -0.151 -0.831  -0.142 -1.047  -0.048 -1.242  -0.048 -1.460  -0.048 -1.678  -0.079 -1.883  -0.168 -1.840  -0.200 -1.624  -0.232 -1.409  -0.264 -1.193  -0.296 -0.978  -0.328 -0.762  -0.359 -0.547  -0.391 -0.331  -0.423 -0.116  -0.455 0.100  -0.487 0.315  -0.519 0.531  -0.551 0.746  -0.524 0.719  -0.409 0.822  -0.234 0.925  -0.030 0.985  0.177 1.028  0.394 1.038  0.600 1.107  0.814 1.131  1.032 1.131  1.137 1.090  0.970 0.951  0.803 0.811  0.635 0.672  0.468 0.532  0.301 0.393  0.133 0.253  -0.034 0.114  -0.048 -0.097  0.164 -0.103  0.346 -0.018  0.557 -0.001  0.775 -0.001
1b#apa#apa00#app0015/G  0.115 1.325  0.115 1.501  0.048 1.649  -0.101 1.622  -0.225 1.498  -0.349 1.374  -0.474 1.250  -0.598 1.126  -0.697 0.984  -0.776 0.827  -0.826 0.664  -0.894 0.504  -0.911 0.333  -0.911 0.157  -0.911 -0.018  -0.882 -0.187  -0.826 -0.349  -0.727 -0.483  -0.603 -0.607  -0.479 -0.731  -0.355 -0.856  -0.206 -0.919  -0.057 -0.983  0.119 -0.983  0.292 -0.977  0.348 -0.838  0.285 -0.675  0.222 -0.511  0.159 -0.347  0.096 -0.183  0.033 -0.020  -0.030 0.144  -0.041 0.128  0.104 0.203  0.274 0.214  0.415 0.299  0.590 0.299  0.730 0.385  0.713 0.363  0.713 0.188  0.692 0.021  0.628 -0.128  0.628 -0.303  0.628 -0.479  0.628 -0.654  0.628 -0.829  0.628 -1.005  0.628 -1.180  0.710 -1.322  0.713 -1.496
1b#apa#apa00#app0015/H  -0.613 1.565  -0.613 1.298  -0.613 1.030  -0.613 0.763  -0.613 0.495  -0.613 0.227  -0.517 -0.017  -0.517 -0.285  -0.517 -0.553  -0.517 -0.820  -0.517 -1.088  -0.517 -1.355  -0.509 -1.572  -0.429 -1.317  -0.349 -1.062  -0.268 -0.806  -0.188 -0.551  -0.108 -0.296  -0.028 -0.041  0.053 0.215  0.133 0.470  0.213 0.725  0.293 0.980  0.373 1.236  0.454 1.491  0.534 1.746  0.537 1.501  0.537 1.233  0.537 0.966  0.625 0.719  0.633 0.453  0.660 0.197  0.729 -0.042  0.729 -0.310  0.821 -0.539  0.825 -0.805  0.825 -1.073  0.720 -1.142  0.500 -0.990  0.279 -0.839  0.059 -0.687  -0.162 -0.535  -0.382 -0.384  -0.603 -0.232  -0.804 -0.116  -0.624 0.021  -0.361 0.032  -0.094 0.032  0.174 0.032  0.441 0.032
1b#apa#apa00#app0015/I  -0.022 1.353  0.067 1.232  0.157 1.058  0.157 0.847  0.157 0.636  0.157 0.425  0.157 0.214  0.157 0.003  0.157 -0.208  0.157 -0.419  0.189 -0.625  0.246 -0.826  0.246 -1.037  0.336 -1.211  0.289 -1.074  0.233 -0.871  0.177 -0.667  0.121 -0.464  0.064 -0.261  0.008 -0.057  -0.048 0.146  -0.104 0.350  -0.160 0.553  -0.216 0.756  -0.272 0.960  -0.328 1.163  -0.367 1.353  -0.156 1.353  0.055 1.353  0.229 1.443  0.421 1.429  0.352 1.230  0.284 1.030  0.215 0.831  0.147 0.631  0.078 0.432  0.009 0.232  -0.059 0.033  -0.128 -0.167  -0.196 -0.366  -0.265 -0.566  -0.333 -0.765  -0.402 -0.965  -0.471 -1.164  -0.539 -1.364  -0.494 -1.556  -0.381 -1.672  -0.220 -1.622  -0.017 -1.603  0.157 -1.514
1b#apa#apa00#app0015/J  0.213 1.043  0.213 0.897  0.213 0.752  0.213 0.607  0.213 0.461  0.213 0.316  0.213 0.171  0.283 0.054  0.283 -0.091  0.299 -0.230  0.353 -0.353  0.353 -0.498  0.353 -0.644  0.353 -0.789  0.337 -0.928  0.283 -1.051  0.213 -1.126  0.213 -1.272  0.143 -1.347  0.052 -1.401  -0.094 -1.401  -0.229 -1.377  -0.356 -1.331  -0.476 -1.270  -0.552 -1.158  -0.539 -1.013  -0.525 -0.868  -0.512 -0.723  -0.499 -0.579  -0.486 -0.434  -0.473 -0.289  -0.460 -0.144  -0.446 0.000  -0.433 0.145  -0.420 0.290  -0.407 0.435  -0.394 0.579  -0.381 0.724  -0.367 0.869  -0.354 1.014  -0.299 1.112  -0.157 1.129  -0.019 1.175  0.126 1.182  0.271 1.182  0.416 1.182  0.547 1.244  0.690 1.252  0.836 1.252  0.981 1.252
1b#apa#apa00#app0015/K  -0.597 1.526  -0.507 1.380  -0.518 1.146  -0.597 0.929  -0.597 0.693  -0.597 0.457  -0.597 0.221  -0.597 -0.015  -0.597 -0.251  -0.597 -0.486  -0.591 -0.721  -0.507 -0.937  -0.507 -1.173  -0.507 -1.409  -0.418 -1.624  -0.361 -1.537  -0.281 -1.315  -0.201 -1.093  -0.121 -0.871  -0.041 -0.649  0.039 -0.427  0.119 -0.206  0.200 0.016  0.280 0.238  0.360 0.460  0.440 0.682  0.520 0.904  0.600 1.126  0.680 1.347  0.745 1.480  0.834 1.334  0.834 1.098  0.745 0.899  0.704 0.680  0.600 0.487  0.407 0.384  0.216 0.274  0.005 0.172  -0.213 0.095  -0.412 0.006  -0.545 0.006  -0.309 0.006  -0.096 -0.048  0.071 -0.215  0.198 -0.352  0.241 -0.564  0.387 -0.739  0.477 -0.938  0.552 -1.143  0.655 -1.336
