1b#kai#kai2#yslee6/B  -0.262 1.536  -0.262 1.270  -0.262 1.004  -0.295 0.741  -0.309 0.477  -0.309 0.211  -0.356 -0.050  -0.356 -0.316  -0.356 -0.582  -0.356 -0.849  -0.356 -1.115  -0.368 -1.379  -0.403 -1.330  -0.403 -1.064  -0.396 -0.798  -0.386 -0.532  -0.375 -0.266  -0.365 0.000  -0.354 0.266  -0.343 0.532  -0.333 0.798  -0.322 1.064  -0.311 1.330  -0.214 1.560  0.035 1.631  0.297 1.602  0.477 1.417  0.597 1.180  0.635 0.920  0.610 0.658  0.526 0.405  0.420 0.161  0.244 -0.036  0.048 -0.215  -0.176 -0.357  -0.432 -0.399  -0.503 -0.340  -0.250 -0.272  0.012 -0.228  0.274 -0.179  0.539 -0.163  0.798 -0.218  0.981 -0.382  1.011 -0.641  0.898 -0.879  0.690 -1.040  0.459 -1.172  0.214 -1.276  -0.043 -1.343  -0.309 -1.343
1b#kai#kai2#yslee6/C  0.902 0.955  0.854 1.027  0.802 1.097  0.740 1.159  0.674 1.208  0.586 1.208  0.500 1.196  0.415 1.179  0.334 1.152  0.266 1.097  0.198 1.043  0.130 0.987  0.069 0.925  0.007 0.864  -0.055 0.802  -0.116 0.740  -0.178 0.679  -0.231 0.610  -0.279 0.537  -0.319 0.459  -0.358 0.381  -0.407 0.309  -0.459 0.240  -0.503 0.166  -0.531 0.083  -0.554 -0.001  -0.575 -0.086  -0.579 -0.173  -0.579 -0.260  -0.579 -0.347  -0.579 -0.435  -0.560 -0.519  -0.539 -0.604  -0.489 -0.675  -0.436 -0.745  -0.376 -0.806  -0.306 -0.858  -0.236 -0.910  -0.161 -0.955  -0.086 -1.000  -0.009 -1.041  0.073 -1.068  0.156 -1.096  0.238 -1.126  0.316 -1.165  0.394 -1.204  0.479 -1.225  0.563 -1.246  0.648 -1.267  0.733 -1.288
1b#kai#kai2#yslee6/C  0.793 1.003  0.729 1.067  0.660 1.127  0.587 1.182  0.512 1.234  0.430 1.267  0.340 1.259  0.254 1.229  0.173 1.188  0.100 1.135  0.035 1.070  -0.030 1.006  -0.094 0.941  -0.159 0.877  -0.220 0.809  -0.274 0.736  -0.329 0.662  -0.384 0.589  -0.428 0.510  -0.469 0.428  -0.510 0.346  -0.547 0.263  -0.581 0.178  -0.595 0.089  -0.595 -0.002  -0.595 -0.094  -0.595 -0.185  -0.595 -0.276  -0.586 -0.365  -0.535 -0.441  -0.485 -0.517  -0.434 -0.593  -0.380 -0.666  -0.315 -0.731  -0.250 -0.795  -0.178 -0.850  -0.099 -0.897  -0.018 -0.938  0.060 -0.986  0.141 -1.027  0.224 -1.063  0.300 -1.113  0.382 -1.154  0.466 -1.187  0.555 -1.209  0.642 -1.185  0.684 -1.111  0.712 -1.024  0.738 -0.936  0.760 -0.848
1b#kai#kai2#yslee6/C  0.674 1.337  0.590 1.337  0.507 1.337  0.427 1.318  0.353 1.281  0.272 1.267  0.192 1.253  0.117 1.215  0.050 1.167  -0.009 1.108  -0.066 1.047  -0.112 0.977  -0.167 0.914  -0.226 0.855  -0.259 0.779  -0.288 0.701  -0.318 0.622  -0.348 0.544  -0.379 0.466  -0.409 0.388  -0.425 0.306  -0.441 0.224  -0.442 0.140  -0.442 0.057  -0.442 -0.027  -0.442 -0.111  -0.442 -0.194  -0.442 -0.278  -0.442 -0.362  -0.430 -0.443  -0.402 -0.522  -0.364 -0.597  -0.323 -0.669  -0.270 -0.734  -0.218 -0.800  -0.170 -0.868  -0.120 -0.933  -0.043 -0.966  0.034 -0.999  0.111 -1.032  0.190 -1.059  0.270 -1.086  0.349 -1.110  0.431 -1.131  0.513 -1.139  0.597 -1.139  0.681 -1.139  0.763 -1.132  0.841 -1.101  0.918 -1.069
1b#kai#kai2#yslee6/D  -0.483 1.313  -0.396 1.140  -0.354 0.947  -0.332 0.752  -0.332 0.555  -0.294 0.362  -0.294 0.165  -0.277 -0.032  -0.257 -0.228  -0.256 -0.425  -0.256 -0.623  -0.256 -0.820  -0.233 -1.015  -0.218 -1.210  -0.218 -1.408  -0.227 -1.535  -0.256 -1.341  -0.294 -1.150  -0.303 -0.953  -0.318 -0.756  -0.333 -0.559  -0.348 -0.362  -0.363 -0.165  -0.377 0.031  -0.392 0.228  -0.407 0.425  -0.422 0.622  -0.437 0.819  -0.420 1.012  -0.316 1.177  -0.171 1.311  0.001 1.389  0.197 1.382  0.385 1.328  0.528 1.196  0.641 1.036  0.719 0.854  0.769 0.664  0.820 0.473  0.844 0.280  0.844 0.082  0.844 -0.115  0.798 -0.305  0.715 -0.483  0.613 -0.652  0.494 -0.804  0.367 -0.949  0.235 -1.090  0.090 -1.223  -0.066 -1.342
1b#kai#kai2#yslee6/E  -0.425 1.324  -0.273 1.286  -0.115 1.286  0.039 1.266  0.194 1.247  0.352 1.247  0.509 1.247  0.659 1.248  0.511 1.273  0.356 1.246  0.201 1.219  0.047 1.192  -0.108 1.165  -0.263 1.138  -0.309 1.019  -0.309 0.862  -0.309 0.704  -0.309 0.547  -0.309 0.390  -0.310 0.233  -0.347 0.080  -0.347 -0.077  -0.347 -0.234  -0.350 -0.391  -0.386 -0.543  -0.400 -0.699  -0.425 -0.854  -0.436 -1.010  -0.464 -1.164  -0.384 -1.259  -0.233 -1.252  -0.090 -1.188  0.056 -1.130  0.212 -1.122  0.368 -1.126  0.521 -1.161  0.577 -1.130  0.455 -1.032  0.341 -0.924  0.227 -0.817  0.112 -0.709  -0.002 -0.601  -0.116 -0.493  -0.231 -0.385  -0.079 -0.346  0.078 -0.345  0.230 -0.308  0.387 -0.307  0.544 -0.307  0.701 -0.307
1b#kai#kai2#yslee6/E  -0.451 1.056  -0.290 1.056  -0.128 1.056  0.033 1.056  0.190 1.089  0.350 1.099  0.504 1.141  0.665 1.143  0.823 1.175  0.773 1.135  0.613 1.116  0.452 1.097  0.292 1.077  0.132 1.058  -0.028 1.039  -0.188 1.020  -0.273 0.909  -0.281 0.749  -0.308 0.592  -0.350 0.437  -0.389 0.280  -0.408 0.121  -0.426 -0.038  -0.459 -0.195  -0.482 -0.355  -0.519 -0.511  -0.536 -0.670  -0.579 -0.824  -0.579 -0.985  -0.579 -1.146  -0.572 -1.306  -0.489 -1.425  -0.337 -1.437  -0.198 -1.358  -0.049 -1.298  0.094 -1.223  0.232 -1.140  0.381 -1.079  0.369 -0.943  0.276 -0.811  0.183 -0.679  0.090 -0.548  -0.003 -0.416  -0.096 -0.284  0.022 -0.297  0.182 -0.306  0.343 -0.306  0.504 -0.306  0.665 -0.306  0.827 -0.306
1b#kai#kai2#yslee6/F  -0.337 1.099  -0.186 1.099  -0.035 1.099  0.117 1.099  0.262 1.064  0.412 1.054  0.563 1.054  0.712 1.039  0.860 1.009  0.951 1.046  0.834 1.084  0.685 1.060  0.535 1.037  0.386 1.013  0.237 0.989  0.088 0.965  -0.062 0.941  -0.202 0.909  -0.202 0.758  -0.202 0.607  -0.202 0.456  -0.202 0.304  -0.202 0.153  -0.202 0.002  -0.202 -0.149  -0.235 -0.296  -0.247 -0.446  -0.247 -0.597  -0.258 -0.747  -0.292 -0.894  -0.292 -1.045  -0.292 -1.197  -0.292 -1.348  -0.292 -1.499  -0.292 -1.650  -0.292 -1.588  -0.293 -1.437  -0.300 -1.286  -0.306 -1.135  -0.312 -0.984  -0.318 -0.833  -0.325 -0.682  -0.331 -0.531  -0.329 -0.385  -0.185 -0.343  -0.033 -0.343  0.115 -0.359  0.262 -0.388  0.413 -0.388  0.564 -0.388
1b#kai#kai2#yslee6/F  -0.563 1.074  -0.397 1.074  -0.231 1.074  -0.065 1.074  0.102 1.074  0.268 1.074  0.434 1.074  0.600 1.074  0.766 1.074  0.788 1.098  0.625 1.116  0.459 1.112  0.295 1.085  0.131 1.058  -0.033 1.030  -0.197 1.003  -0.271 0.900  -0.271 0.733  -0.271 0.567  -0.271 0.401  -0.271 0.235  -0.271 0.068  -0.271 -0.098  -0.250 -0.262  -0.229 -0.425  -0.229 -0.591  -0.229 -0.758  -0.211 -0.922  -0.187 -1.085  -0.187 -1.251  -0.187 -1.417  -0.187 -1.583  -0.187 -1.750  -0.196 -1.623  -0.211 -1.458  -0.225 -1.292  -0.240 -1.127  -0.255 -0.961  -0.269 -0.796  -0.284 -0.630  -0.298 -0.464  -0.307 -0.302  -0.165 -0.217  -0.004 -0.178  0.161 -0.154  0.326 -0.138  0.492 -0.138  0.658 -0.138  0.825 -0.138  0.984 -0.180
1b#kai#kai2#yslee6/G  0.220 1.875  0.024 1.852  -0.161 1.775  -0.322 1.655  -0.483 1.538  -0.574 1.359  -0.681 1.189  -0.769 1.009  -0.843 0.822  -0.894 0.628  -0.897 0.428  -0.897 0.227  -0.897 0.026  -0.851 -0.169  -0.788 -0.360  -0.700 -0.538  -0.589 -0.705  -0.413 -0.790  -0.241 -0.891  -0.054 -0.964  0.147 -0.964  0.345 -0.944  0.533 -0.877  0.685 -0.756  0.714 -0.579  0.547 -0.468  0.379 -0.357  0.212 -0.245  0.045 -0.134  -0.122 -0.022  -0.289 0.089  -0.314 0.106  -0.127 0.060  0.074 0.060  0.275 0.060  0.471 0.099  0.671 0.106  0.700 0.267  0.525 0.362  0.334 0.425  0.366 0.262  0.405 0.065  0.454 -0.130  0.504 -0.325  0.546 -0.519  0.546 -0.719  0.546 -0.920  0.546 -1.121  0.546 -1.322  0.546 -1.523
1b#kai#kai2#yslee6/H  -0.369 1.672  -0.369 1.465  -0.369 1.258  -0.369 1.051  -0.369 0.845  -0.369 0.638  -0.369 0.431  -0.369 0.224  -0.369 0.017  -0.369 -0.189  -0.369 -0.396  -0.369 -0.603  -0.369 -0.810  -0.369 -1.017  -0.369 -1.223  -0.380 -1.429  -0.415 -1.631  -0.412 -1.580  -0.396 -1.374  -0.380 -1.168  -0.364 -0.962  -0.349 -0.755  -0.333 -0.549  -0.317 -0.343  -0.301 -0.137  -0.285 0.069  -0.190 0.190  0.017 0.190  0.220 0.221  0.376 0.324  0.391 0.530  0.406 0.736  0.421 0.942  0.437 1.149  0.452 1.355  0.465 1.505  0.465 1.298  0.465 1.091  0.465 0.884  0.465 0.677  0.465 0.471  0.465 0.264  0.465 0.057  0.465 -0.150  0.465 -0.357  0.465 -0.563  0.465 -0.770  0.465 -0.977  0.465 -1.184  0.419 -1.385
