1d#tos#t1#t1051062/#  -0.521 0.790  -0.902 0.651  -1.028 0.651  -0.620 0.651  -0.211 0.651  0.190 0.697  0.598 0.697  0.787 0.699  0.429 0.502  0.071 0.305  -0.286 0.108  -0.644 -0.089  -0.999 -0.290  -1.347 -0.478  -1.235 -0.600  -0.834 -0.553  -0.426 -0.553  -0.022 -0.507  0.386 -0.507  0.749 -0.368  1.157 -0.368  1.383 -0.248  1.043 -0.022  0.703 0.205  0.363 0.432  0.023 0.658  -0.316 0.885  -0.665 0.975  -0.660 0.618  -0.660 0.210  -0.614 -0.193  -0.614 -0.602  -0.614 -1.010  -0.559 -1.367  -0.404 -0.989  -0.249 -0.611  -0.095 -0.233  0.060 0.145  0.215 0.523  0.370 0.900  0.525 1.278  0.554 1.222  0.590 0.820  0.590 0.411  0.590 0.003  0.598 -0.405  0.637 -0.810  0.637 -1.218  0.637 -1.627  0.637 -2.035
1d#tos#t1#t1051062/'  0.617 1.166  0.518 1.166  0.419 1.166  0.319 1.166  0.303 1.083  0.303 0.984  0.303 0.885  0.369 0.851  0.347 0.851  0.303 0.907  0.352 0.956  0.407 0.912  0.407 0.813  0.407 0.713  0.407 0.614  0.430 0.537  0.496 0.537  0.397 0.537  0.303 0.542  0.303 0.641  0.203 0.641  0.198 0.548  0.109 0.537  0.093 0.454  0.093 0.354  0.093 0.255  0.093 0.155  0.093 0.056  0.093 -0.043  0.093 -0.143  0.061 -0.229  -0.009 -0.300  -0.079 -0.370  -0.138 -0.449  -0.182 -0.538  -0.225 -0.628  -0.249 -0.724  -0.273 -0.821  -0.297 -0.917  -0.321 -1.013  -0.380 -1.090  -0.450 -1.161  -0.520 -1.231  -0.596 -1.295  -0.674 -1.357  -0.752 -1.419  -0.829 -1.482  -0.907 -1.544  -0.984 -1.606  -1.062 -1.668
1d#tos#t1#t1051062/(  0.530 1.453  0.449 1.453  0.380 1.442  0.338 1.404  0.312 1.340  0.247 1.291  0.183 1.243  0.120 1.193  0.063 1.136  0.006 1.079  -0.065 1.055  -0.093 0.982  -0.118 0.906  -0.154 0.833  -0.190 0.761  -0.234 0.698  -0.306 0.662  -0.317 0.588  -0.317 0.507  -0.317 0.427  -0.317 0.346  -0.317 0.266  -0.317 0.185  -0.317 0.104  -0.317 0.024  -0.317 -0.057  -0.297 -0.132  -0.268 -0.206  -0.268 -0.287  -0.268 -0.367  -0.242 -0.442  -0.209 -0.515  -0.184 -0.592  -0.147 -0.661  -0.090 -0.718  -0.052 -0.787  -0.027 -0.863  -0.017 -0.942  0.019 -1.014  0.085 -1.038  0.166 -1.038  0.181 -1.103  0.213 -1.170  0.270 -1.227  0.297 -1.287  0.330 -1.335  0.358 -1.387  0.439 -1.387  0.520 -1.387  0.579 -1.437
1d#tos#t1#t1051062/*  0.038 1.120  -0.179 1.040  -0.136 0.747  -0.089 0.457  -0.049 0.164  -0.049 -0.133  -0.049 -0.431  -0.027 -0.726  -0.006 -1.021  0.018 -1.313  -0.017 -1.167  -0.157 -0.904  -0.296 -0.641  -0.436 -0.378  -0.575 -0.116  -0.714 0.147  -0.854 0.410  -0.993 0.673  -1.230 0.773  -1.220 0.813  -0.978 0.713  -0.719 0.576  -0.468 0.419  -0.199 0.316  0.025 0.121  0.295 0.009  0.545 -0.152  0.779 -0.327  1.016 -0.489  1.259 -0.627  1.485 -0.788  1.482 -0.665  1.361 -0.393  1.240 -0.121  1.119 0.151  0.999 0.423  0.878 0.694  0.757 0.966  0.602 1.078  0.472 0.860  0.284 0.644  0.125 0.425  -0.098 0.345  -0.162 0.066  -0.428 -0.067  -0.623 -0.275  -0.746 -0.532  -0.930 -0.765  -1.133 -0.943  -1.220 -1.179
1d#tos#t1#t1051062/  0.779 1.424  0.705 1.424  0.678 1.376  0.604 1.376  0.590 1.317  0.572 1.247  0.540 1.181  0.517 1.111  0.495 1.040  0.495 0.966  0.488 0.895  0.435 0.843  0.389 0.786  0.356 0.720  0.323 0.654  0.306 0.584  0.298 0.512  0.260 0.449  0.222 0.385  0.184 0.322  0.137 0.267  0.078 0.223  0.018 0.179  -0.026 0.127  -0.026 0.053  -0.026 -0.021  -0.026 -0.095  -0.047 -0.160  -0.100 -0.212  -0.152 -0.265  -0.204 -0.317  -0.215 -0.386  -0.215 -0.460  -0.244 -0.527  -0.277 -0.594  -0.310 -0.660  -0.362 -0.712  -0.415 -0.764  -0.452 -0.823  -0.452 -0.897  -0.452 -0.971  -0.490 -1.029  -0.542 -1.081  -0.572 -1.148  -0.599 -1.217  -0.627 -1.286  -0.641 -1.357  -0.641 -1.431  -0.670 -1.493  -0.689 -1.559
1d#tos#t1#t1051062/@  0.654 -1.146  0.547 -1.267  0.461 -1.423  0.290 -1.469  0.073 -1.469  -0.144 -1.469  -0.315 -1.423  -0.476 -1.353  -0.557 -1.168  -0.683 -1.024  -0.730 -0.853  -0.730 -0.636  -0.730 -0.419  -0.730 -0.202  -0.730 0.015  -0.683 0.222  -0.671 0.434  -0.637 0.637  -0.545 0.762  -0.495 0.929  -0.407 1.057  -0.246 1.021  -0.084 1.130  0.058 1.205  0.275 1.205  0.469 1.182  0.663 1.159  0.746 0.998  0.792 0.800  0.792 0.583  0.792 0.366  0.792 0.149  0.792 -0.068  0.700 -0.193  0.652 -0.362  0.435 -0.362  0.256 -0.454  0.039 -0.454  -0.176 -0.452  -0.176 -0.328  -0.269 -0.203  -0.353 -0.048  -0.361 0.166  -0.361 0.383  -0.315 0.581  -0.169 0.652  0.049 0.652  0.266 0.652  0.483 0.652  0.700 0.652
1d#tos#t1#t1051062/]  -0.502 0.869  -0.601 0.869  -0.637 0.933  -0.710 0.959  -0.773 0.996  -0.681 1.005  -0.582 1.005  -0.482 1.005  -0.383 1.005  -0.294 1.031  -0.202 1.050  -0.102 1.050  -0.003 1.050  0.097 1.050  0.196 1.050  0.296 1.050  0.312 0.966  0.312 0.867  0.312 0.767  0.312 0.667  0.322 0.569  0.353 0.475  0.357 0.376  0.357 0.276  0.357 0.177  0.357 0.077  0.357 -0.023  0.357 -0.122  0.357 -0.222  0.357 -0.322  0.357 -0.421  0.357 -0.521  0.357 -0.620  0.357 -0.720  0.357 -0.820  0.357 -0.919  0.357 -1.019  0.357 -1.119  0.350 -1.210  0.250 -1.210  0.150 -1.210  0.051 -1.210  -0.049 -1.210  -0.149 -1.210  -0.248 -1.210  -0.348 -1.210  -0.447 -1.210  -0.528 -1.165  -0.628 -1.165  -0.682 -1.120
1d#tos#t1#t1051062/^  -1.304 -0.720  -1.304 -0.628  -1.304 -0.535  -1.304 -0.442  -1.304 -0.349  -1.269 -0.271  -1.204 -0.205  -1.135 -0.145  -1.047 -0.116  -0.967 -0.073  -0.902 -0.007  -0.836 0.059  -0.785 0.136  -0.733 0.213  -0.682 0.290  -0.631 0.367  -0.542 0.391  -0.452 0.414  -0.421 0.483  -0.374 0.541  -0.286 0.571  -0.266 0.649  -0.214 0.672  -0.164 0.629  -0.071 0.629  0.006 0.604  0.050 0.525  0.130 0.493  0.185 0.420  0.237 0.343  0.316 0.318  0.403 0.295  0.486 0.253  0.567 0.209  0.609 0.126  0.669 0.057  0.732 -0.011  0.783 -0.088  0.841 -0.158  0.924 -0.199  0.991 -0.264  1.056 -0.329  1.122 -0.395  1.168 -0.474  1.223 -0.548  1.288 -0.614  1.354 -0.679  1.395 -0.755  1.462 -0.806  1.499 -0.876
1d#tos#t1#t1051062/_  -1.408 -0.137  -1.481 -0.137  -1.550 -0.134  -1.545 -0.066  -1.472 -0.066  -1.400 -0.066  -1.327 -0.066  -1.255 -0.066  -1.182 -0.066  -1.110 -0.066  -1.037 -0.066  -0.964 -0.066  -0.892 -0.066  -0.819 -0.066  -0.747 -0.060  -0.677 -0.043  -0.606 -0.025  -0.536 -0.008  -0.465 0.005  -0.392 0.005  -0.320 0.005  -0.247 0.005  -0.175 0.005  -0.102 0.005  -0.030 0.005  0.043 0.005  0.116 0.005  0.188 0.005  0.261 0.005  0.333 0.005  0.406 0.005  0.479 0.005  0.551 0.005  0.624 0.005  0.650 0.052  0.698 0.076  0.770 0.076  0.843 0.076  0.916 0.076  0.988 0.076  1.061 0.076  1.133 0.076  1.206 0.076  1.279 0.076  1.351 0.076  1.424 0.076  1.496 0.076  1.569 0.076  1.641 0.076  1.714 0.076
1d#tos#t1#t1051062/`  -0.920 1.045  -0.841 1.045  -0.838 1.121  -0.838 1.199  -0.905 1.210  -0.891 1.153  -0.856 1.082  -0.804 1.029  -0.734 0.993  -0.665 0.955  -0.609 0.900  -0.554 0.844  -0.502 0.786  -0.466 0.715  -0.431 0.645  -0.396 0.574  -0.361 0.504  -0.321 0.436  -0.277 0.370  -0.234 0.305  -0.190 0.239  -0.178 0.164  -0.178 0.085  -0.143 0.021  -0.087 -0.035  -0.031 -0.090  0.024 -0.146  0.085 -0.191  0.160 -0.199  0.216 -0.255  0.271 -0.311  0.316 -0.371  0.316 -0.450  0.316 -0.528  0.320 -0.604  0.395 -0.629  0.470 -0.654  0.545 -0.679  0.564 -0.744  0.564 -0.823  0.615 -0.850  0.680 -0.884  0.736 -0.940  0.791 -0.995  0.857 -1.038  0.927 -1.073  0.983 -1.121  1.008 -1.195  1.033 -1.270  1.058 -1.345
1d#tos#t1#t1051062/{  0.082 1.454  0.082 1.563  0.082 1.673  0.135 1.620  0.196 1.529  0.216 1.426  0.216 1.316  0.216 1.207  0.216 1.097  0.216 0.988  0.216 0.878  0.216 0.769  0.216 0.659  0.171 0.560  0.171 0.451  0.132 0.381  0.053 0.307  -0.008 0.223  -0.008 0.114  -0.111 0.078  -0.219 0.068  -0.318 0.025  -0.427 0.023  -0.500 0.060  -0.500 0.170  -0.423 0.202  -0.313 0.202  -0.204 0.202  -0.184 0.113  -0.142 0.045  -0.054 0.023  -0.053 -0.084  -0.053 -0.194  -0.053 -0.303  -0.053 -0.413  -0.053 -0.522  -0.053 -0.632  -0.053 -0.741  -0.008 -0.832  -0.008 -0.941  -0.008 -1.051  -0.008 -1.160  -0.008 -1.270  0.020 -1.373  0.037 -1.478  0.114 -1.529  0.126 -1.634  0.171 -1.698  0.214 -1.765  0.305 -1.809
