1d#tos#t3#t3054062/\"  -0.751 0.405  -0.751 0.312  -0.751 0.476  -0.751 0.641  -0.765 0.791  -0.880 0.742  -0.880 0.577  -0.850 0.417  -0.811 0.257  -0.771 0.098  -0.751 -0.064  -0.751 -0.228  -0.702 -0.384  -0.650 -0.540  -0.622 -0.700  -0.622 -0.864  -0.622 -1.029  -0.605 -1.190  -0.553 -1.346  -0.501 -1.502  -0.424 -1.403  -0.341 -1.261  -0.259 -1.119  -0.177 -0.977  -0.094 -0.835  -0.012 -0.693  0.070 -0.550  0.153 -0.408  0.235 -0.266  0.317 -0.124  0.399 0.018  0.482 0.160  0.564 0.302  0.646 0.445  0.729 0.587  0.811 0.729  0.893 0.871  0.813 0.920  0.664 0.935  0.715 1.048  0.793 1.135  0.793 1.055  0.793 0.891  0.793 0.727  0.793 0.562  0.793 0.398  0.793 0.234  0.818 0.073  0.869 -0.082  0.921 -0.238
1d#tos#t3#t3054062/&  1.312 -1.167  1.179 -1.257  1.043 -1.258  0.908 -1.169  0.706 -1.122  0.549 -1.055  0.459 -0.921  0.396 -0.754  0.270 -0.628  0.145 -0.530  0.047 -0.404  -0.087 -0.314  -0.169 -0.139  -0.304 -0.049  -0.436 0.111  -0.515 0.286  -0.642 0.404  -0.684 0.594  -0.753 0.776  -0.742 0.988  -0.669 1.162  -0.556 1.302  -0.363 1.378  -0.164 1.437  0.055 1.433  0.178 1.280  0.190 1.059  0.235 0.846  0.149 0.676  0.016 0.584  -0.163 0.539  -0.387 0.539  -0.483 0.412  -0.655 0.359  -0.753 0.234  -0.858 0.104  -0.888 -0.113  -0.888 -0.337  -0.782 -0.464  -0.660 -0.583  -0.436 -0.583  -0.213 -0.583  -0.034 -0.538  0.190 -0.538  0.376 -0.449  0.595 -0.426  0.795 -0.359  0.955 -0.269  1.179 -0.269  1.357 -0.224
1d#tos#t3#t3054062/(  1.012 1.128  0.931 1.115  0.856 1.077  0.773 1.074  0.689 1.074  0.605 1.074  0.521 1.074  0.437 1.074  0.353 1.074  0.281 1.045  0.207 1.021  0.203 0.941  0.149 0.911  0.149 0.827  0.087 0.805  0.041 0.766  0.026 0.697  -0.058 0.697  -0.100 0.630  -0.121 0.551  -0.134 0.475  -0.209 0.437  -0.229 0.366  -0.229 0.282  -0.229 0.198  -0.229 0.114  -0.243 0.035  -0.302 -0.024  -0.337 -0.094  -0.337 -0.178  -0.337 -0.262  -0.337 -0.346  -0.337 -0.430  -0.337 -0.514  -0.337 -0.598  -0.337 -0.682  -0.337 -0.766  -0.337 -0.850  -0.337 -0.934  -0.337 -1.018  -0.323 -1.096  -0.271 -1.161  -0.233 -1.236  -0.163 -1.278  -0.121 -1.336  -0.115 -1.419  -0.077 -1.494  -0.024 -1.557  0.036 -1.617  0.095 -1.676
1d#tos#t3#t3054062/+  -1.114 -0.451  -1.276 -0.480  -1.314 -0.532  -1.155 -0.518  -0.982 -0.518  -0.808 -0.518  -0.635 -0.518  -0.462 -0.518  -0.293 -0.504  -0.149 -0.408  0.017 -0.385  0.191 -0.385  0.364 -0.385  0.537 -0.385  0.710 -0.385  0.884 -0.385  1.046 -0.337  1.022 -0.203  0.941 -0.051  0.859 0.102  0.777 0.255  0.695 0.407  0.613 0.560  0.532 0.713  0.450 0.865  0.368 1.018  0.286 1.171  0.204 1.324  0.123 1.476  -0.008 1.547  -0.115 1.480  -0.182 1.373  -0.172 1.204  -0.115 1.055  -0.115 0.881  -0.115 0.708  -0.115 0.535  -0.115 0.362  -0.115 0.188  -0.115 0.015  -0.115 -0.158  -0.115 -0.331  -0.115 -0.504  -0.115 -0.678  -0.115 -0.851  -0.115 -1.024  -0.115 -1.197  -0.115 -1.371  -0.115 -1.544  -0.115 -1.717
1d#tos#t3#t3054062/,  0.622 1.556  0.622 1.480  0.622 1.403  0.622 1.327  0.622 1.251  0.622 1.174  0.622 1.098  0.622 1.022  0.622 0.945  0.615 0.873  0.551 0.830  0.488 0.788  0.424 0.746  0.361 0.703  0.297 0.661  0.234 0.619  0.170 0.576  0.113 0.531  0.113 0.454  0.113 0.378  0.113 0.302  0.113 0.225  0.113 0.149  0.113 0.073  0.113 -0.004  0.113 -0.080  0.113 -0.156  0.113 -0.233  0.113 -0.309  0.050 -0.352  -0.013 -0.395  -0.077 -0.437  -0.140 -0.479  -0.204 -0.522  -0.267 -0.564  -0.331 -0.606  -0.394 -0.649  -0.434 -0.713  -0.474 -0.779  -0.513 -0.844  -0.552 -0.910  -0.592 -0.975  -0.631 -1.041  -0.670 -1.106  -0.709 -1.171  -0.749 -1.237  -0.788 -1.302  -0.827 -1.368  -0.866 -1.433  -0.906 -1.499
1d#tos#t3#t3054062/<  0.849 1.467  0.781 1.399  0.699 1.362  0.639 1.326  0.574 1.285  0.527 1.202  0.436 1.172  0.357 1.124  0.304 1.044  0.244 0.968  0.176 0.900  0.107 0.832  0.026 0.779  -0.049 0.721  -0.093 0.635  -0.097 0.539  -0.167 0.486  -0.254 0.443  -0.328 0.386  -0.381 0.305  -0.453 0.259  -0.525 0.199  -0.593 0.130  -0.661 0.062  -0.727 -0.007  -0.774 -0.057  -0.818 -0.117  -0.731 -0.160  -0.686 -0.244  -0.611 -0.299  -0.570 -0.370  -0.485 -0.414  -0.399 -0.457  -0.322 -0.514  -0.254 -0.583  -0.211 -0.669  -0.129 -0.711  -0.041 -0.746  0.002 -0.832  0.067 -0.903  0.135 -0.972  0.203 -1.040  0.294 -1.055  0.371 -1.102  0.429 -1.175  0.481 -1.239  0.572 -1.265  0.652 -1.292  0.691 -1.379  0.744 -1.423
1d#tos#t3#t3054062/=  -0.918 0.653  -1.085 0.623  -1.096 0.501  -0.910 0.501  -0.725 0.501  -0.539 0.501  -0.353 0.501  -0.168 0.501  0.018 0.501  0.128 0.577  0.314 0.577  0.499 0.577  0.685 0.577  0.871 0.577  1.056 0.577  1.180 0.567  1.004 0.506  0.828 0.446  0.653 0.386  0.477 0.325  0.302 0.265  0.126 0.205  -0.050 0.144  -0.225 0.084  -0.401 0.023  -0.576 -0.037  -0.752 -0.097  -0.928 -0.158  -1.103 -0.218  -1.264 -0.302  -1.341 -0.466  -1.441 -0.563  -1.256 -0.563  -1.070 -0.563  -0.884 -0.563  -0.698 -0.563  -0.513 -0.563  -0.327 -0.563  -0.141 -0.563  0.042 -0.538  0.224 -0.501  0.408 -0.487  0.594 -0.487  0.780 -0.487  0.965 -0.487  1.151 -0.487  1.337 -0.487  1.522 -0.487  1.708 -0.487  1.894 -0.487
1d#tos#t3#t3054062/>  -0.681 1.111  -0.782 1.060  -0.895 1.057  -1.009 1.057  -1.055 0.990  -0.981 0.950  -0.872 0.925  -0.787 0.872  -0.703 0.843  -0.599 0.802  -0.497 0.752  -0.396 0.701  -0.286 0.683  -0.227 0.607  -0.175 0.522  -0.061 0.522  0.052 0.522  0.144 0.469  0.257 0.469  0.355 0.440  0.418 0.345  0.512 0.308  0.626 0.308  0.739 0.308  0.764 0.219  0.859 0.201  0.924 0.153  0.939 0.109  0.891 0.019  0.797 -0.044  0.710 -0.087  0.710 -0.200  0.680 -0.295  0.579 -0.346  0.487 -0.406  0.434 -0.507  0.371 -0.601  0.301 -0.690  0.218 -0.767  0.118 -0.819  0.037 -0.899  -0.043 -0.980  -0.129 -1.053  -0.223 -1.116  -0.253 -1.214  -0.300 -1.314  -0.364 -1.406  -0.466 -1.457  -0.568 -1.507  -0.574 -1.617
1d#tos#t3#t3054062/@  0.589 0.938  0.553 0.975  0.401 1.131  0.215 1.227  -0.029 1.227  -0.274 1.227  -0.490 1.158  -0.651 1.016  -0.772 0.842  -0.854 0.679  -0.902 0.482  -0.902 0.238  -0.998 0.053  -0.998 -0.192  -0.998 -0.437  -0.998 -0.681  -0.902 -0.867  -0.766 -1.027  -0.621 -1.220  -0.421 -1.269  -0.279 -1.372  -0.034 -1.372  0.210 -1.372  0.359 -1.275  0.544 -1.179  0.689 -1.048  0.710 -0.805  0.732 -0.561  0.753 -0.317  0.775 -0.073  0.796 0.170  0.818 0.414  0.736 0.506  0.589 0.603  0.440 0.698  0.195 0.698  -0.036 0.684  -0.150 0.553  -0.229 0.359  -0.277 0.162  -0.325 -0.071  -0.277 -0.296  -0.117 -0.409  0.079 -0.457  0.317 -0.441  0.490 -0.268  0.589 -0.093  0.589 0.152  0.592 0.358  0.541 0.553
1d#tos#t3#t3054062/[  0.756 1.330  0.690 1.265  0.642 1.212  0.549 1.212  0.456 1.212  0.363 1.212  0.270 1.212  0.178 1.203  0.090 1.174  -0.003 1.173  -0.057 1.134  -0.149 1.133  -0.199 1.084  -0.227 1.002  -0.227 0.909  -0.227 0.816  -0.227 0.723  -0.227 0.630  -0.227 0.537  -0.227 0.444  -0.227 0.351  -0.227 0.258  -0.227 0.165  -0.227 0.072  -0.251 -0.015  -0.267 -0.104  -0.267 -0.197  -0.267 -0.290  -0.267 -0.383  -0.293 -0.465  -0.306 -0.553  -0.306 -0.646  -0.306 -0.739  -0.306 -0.832  -0.306 -0.925  -0.373 -0.950  -0.385 -1.032  -0.328 -1.068  -0.235 -1.068  -0.142 -1.068  -0.049 -1.068  0.044 -1.068  0.137 -1.068  0.230 -1.068  0.300 -1.124  0.384 -1.147  0.477 -1.147  0.570 -1.147  0.663 -1.147  0.756 -1.147
1d#tos#t3#t3054062/`  -0.833 0.941  -0.912 0.941  -0.990 0.941  -1.069 0.941  -1.105 0.898  -1.105 0.819  -1.105 0.740  -1.098 0.666  -1.028 0.630  -0.957 0.595  -0.887 0.560  -0.815 0.533  -0.736 0.533  -0.697 0.493  -0.697 0.415  -0.642 0.370  -0.572 0.335  -0.502 0.300  -0.431 0.264  -0.353 0.262  -0.275 0.262  -0.196 0.262  -0.134 0.231  -0.090 0.165  -0.046 0.100  -0.003 0.035  0.041 -0.031  0.084 -0.096  0.137 -0.146  0.215 -0.146  0.290 -0.164  0.360 -0.199  0.430 -0.234  0.501 -0.269  0.561 -0.318  0.617 -0.374  0.673 -0.429  0.728 -0.485  0.784 -0.541  0.839 -0.596  0.895 -0.652  0.951 -0.707  1.006 -0.763  1.062 -0.819  1.117 -0.874  1.173 -0.930  1.204 -0.996  1.204 -1.075  1.204 -1.153  1.204 -1.232
