3#app#app06#app0628/!  -0.581 1.704  -0.581 1.622  -0.581 1.539  -0.527 1.479  -0.524 1.399  -0.524 1.317  -0.474 1.255  -0.467 1.176  -0.467 1.094  -0.463 1.012  -0.426 0.939  -0.410 0.861  -0.388 0.782  -0.362 0.704  -0.353 0.623  -0.296 0.565  -0.296 0.483  -0.260 0.416  -0.240 0.342  -0.224 0.266  -0.183 0.201  -0.134 0.167  -0.126 0.094  -0.096 0.024  -0.069 -0.047  -0.032 -0.119  0.011 -0.188  0.055 -0.258  0.098 -0.328  0.142 -0.397  0.185 -0.467  0.229 -0.537  0.273 -0.606  0.316 -0.676  0.360 -0.746  0.403 -0.815  0.447 -0.885  0.490 -0.955  0.557 -0.977  0.557 -1.059  0.557 -1.141  0.531 -1.198  0.500 -1.249  0.481 -1.198  0.443 -1.154  0.443 -1.072  0.443 -0.989  0.506 -0.971  0.557 -1.002  0.500 -1.027
3#app#app06#app0628/@  -0.355 0.548  -0.163 0.627  -0.024 0.398  0.006 0.124  0.006 -0.162  0.002 -0.445  -0.194 -0.535  -0.418 -0.382  -0.565 -0.174  -0.716 0.015  -0.716 0.302  -0.716 0.588  -0.612 0.832  -0.445 0.997  -0.199 0.909  -0.040 0.729  0.097 0.526  0.187 0.276  0.277 0.011  0.277 -0.276  0.367 -0.525  0.458 -0.774  0.638 -0.986  0.819 -1.008  0.993 -0.896  1.070 -0.645  1.090 -0.366  1.090 -0.079  1.090 0.207  0.999 0.404  0.835 0.622  0.741 0.884  0.602 1.108  0.336 1.196  0.076 1.250  -0.180 1.175  -0.355 1.014  -0.574 0.871  -0.716 0.696  -0.806 0.446  -0.806 0.160  -0.806 -0.127  -0.787 -0.411  -0.716 -0.686  -0.626 -0.951  -0.512 -1.190  -0.355 -1.412  -0.144 -1.558  0.118 -1.618  0.367 -1.709
3#app#app06#app0628/#  -0.850 1.279  -0.712 0.957  -0.706 0.581  -0.573 0.258  -0.435 -0.064  -0.297 -0.385  -0.223 -0.733  -0.151 -0.786  -0.132 -0.408  -0.113 -0.030  -0.094 0.348  -0.075 0.726  -0.056 1.104  -0.038 1.482  -0.020 1.804  0.100 1.454  0.258 1.137  0.378 0.778  0.478 0.422  0.615 0.090  0.687 -0.259  0.948 -0.529  0.848 -0.750  0.505 -0.590  0.162 -0.430  -0.181 -0.270  -0.524 -0.110  -0.867 0.050  -1.035 0.172  -0.795 0.310  -0.555 0.448  -0.177 0.448  0.145 0.587  0.523 0.587  0.844 0.725  1.223 0.725  0.959 0.459  0.692 0.191  0.424 -0.076  0.156 -0.344  -0.111 -0.612  -0.379 -0.879  -0.647 -1.147  -0.914 -1.414  -0.715 -1.489  -0.394 -1.350  -0.057 -1.249  0.306 -1.212  0.627 -1.074  0.948 -0.935
3#app#app06#app0628/$  0.240 1.377  0.060 1.269  -0.030 1.123  -0.161 0.935  -0.299 0.747  -0.391 0.550  -0.441 0.335  -0.572 0.153  -0.496 -0.051  -0.357 -0.156  -0.148 -0.220  0.072 -0.259  0.239 -0.425  0.330 -0.570  0.471 -0.748  0.600 -0.878  0.601 -1.112  0.691 -1.311  0.601 -1.509  0.421 -1.617  0.375 -1.533  0.310 -1.307  0.244 -1.080  0.179 -0.854  0.113 -0.628  0.048 -0.401  -0.018 -0.175  -0.083 0.051  -0.149 0.278  -0.215 0.504  -0.280 0.731  -0.346 0.957  -0.411 1.183  -0.477 1.410  -0.542 1.636  -0.554 1.612  -0.481 1.394  -0.383 1.181  -0.301 0.965  -0.213 0.750  -0.177 0.519  -0.118 0.292  0.020 0.104  0.085 -0.117  0.150 -0.337  0.240 -0.535  0.292 -0.749  0.331 -0.969  0.421 -1.184  0.511 -1.329
3#app#app06#app0628/%  -1.182 0.628  -1.047 0.763  -0.818 0.769  -0.623 0.666  -0.476 0.551  -0.405 0.348  -0.405 0.116  -0.532 -0.063  -0.717 -0.177  -0.931 -0.219  -1.163 -0.219  -1.304 -0.098  -1.323 0.126  -1.323 0.358  -1.300 0.581  -1.094 0.673  -0.870 0.737  -0.647 0.801  -0.424 0.864  -0.201 0.928  0.022 0.992  0.230 1.035  0.255 0.814  0.300 0.601  0.300 0.369  0.300 0.136  0.300 -0.096  0.230 -0.311  0.230 -0.543  0.230 -0.775  0.230 -1.007  0.159 -1.210  0.208 -1.122  0.277 -0.901  0.347 -0.679  0.416 -0.458  0.485 -0.236  0.612 -0.049  0.752 0.077  0.961 0.159  1.166 0.186  1.226 -0.023  1.289 -0.240  1.260 -0.460  1.195 -0.666  1.081 -0.851  0.880 -0.925  0.677 -0.855  0.583 -0.663  0.583 -0.431
3#app#app06#app0628/^  -1.315 -0.941  -1.207 -0.941  -1.103 -0.936  -1.103 -0.828  -1.103 -0.719  -1.103 -0.611  -1.088 -0.517  -0.980 -0.517  -0.891 -0.497  -0.891 -0.388  -0.891 -0.280  -0.891 -0.171  -0.861 -0.092  -0.753 -0.092  -0.679 -0.058  -0.679 0.051  -0.651 0.148  -0.574 0.224  -0.497 0.301  -0.421 0.378  -0.344 0.455  -0.267 0.531  -0.255 0.635  -0.255 0.743  -0.159 0.756  -0.050 0.756  0.058 0.756  0.167 0.756  0.275 0.756  0.382 0.754  0.382 0.646  0.389 0.544  0.497 0.544  0.594 0.532  0.594 0.424  0.606 0.320  0.683 0.243  0.760 0.166  0.836 0.090  0.913 0.013  0.990 -0.064  1.018 -0.161  1.018 -0.269  1.091 -0.305  1.200 -0.305  1.231 -0.383  1.231 -0.491  1.289 -0.575  1.366 -0.652  1.443 -0.729
3#app#app06#app0628/&  0.778 -0.925  0.620 -0.834  0.485 -0.706  0.390 -0.537  0.251 -0.399  0.137 -0.250  0.045 -0.146  -0.067 -0.009  -0.161 0.106  -0.237 0.265  -0.341 0.357  -0.435 0.471  -0.504 0.638  -0.596 0.742  -0.596 0.938  -0.596 1.133  -0.556 1.313  -0.474 1.456  -0.370 1.548  -0.266 1.639  -0.138 1.572  0.010 1.491  0.100 1.365  0.137 1.206  0.081 1.034  0.045 0.853  -0.046 0.695  -0.046 0.500  -0.138 0.396  -0.138 0.200  -0.215 0.082  -0.229 -0.099  -0.229 -0.295  -0.229 -0.490  -0.229 -0.686  -0.229 -0.882  -0.229 -1.077  -0.138 -1.181  -0.138 -1.377  -0.040 -1.475  0.137 -1.457  0.229 -1.353  0.320 -1.249  0.412 -1.145  0.460 -0.969  0.503 -0.792  0.595 -0.688  0.595 -0.492  0.595 -0.297  0.687 -0.193
3#app#app06#app0628/*  0.400 1.417  0.396 1.085  0.233 0.912  0.233 0.577  0.233 0.241  0.233 -0.094  0.233 -0.430  0.233 -0.765  0.233 -1.101  0.233 -1.436  0.222 -1.712  0.097 -1.400  -0.028 -1.089  -0.152 -0.777  -0.277 -0.465  -0.401 -0.154  -0.526 0.158  -0.651 0.469  -0.775 0.781  -0.900 1.092  -1.024 1.404  -0.996 1.483  -0.764 1.244  -0.593 1.075  -0.443 0.775  -0.293 0.475  -0.023 0.344  0.214 0.107  0.334 -0.179  0.574 -0.411  0.857 -0.536  1.107 -0.743  1.026 -0.689  0.702 -0.602  0.377 -0.516  0.053 -0.429  -0.271 -0.343  -0.595 -0.257  -0.920 -0.170  -1.244 -0.084  -1.113 -0.245  -0.777 -0.245  -0.442 -0.245  -0.153 -0.132  0.161 -0.079  0.468 -0.010  0.705 0.227  0.961 0.420  1.277 0.466  1.563 0.586
3#app#app06#app0628/(  -0.163 1.703  -0.163 1.627  -0.163 1.552  -0.163 1.476  -0.163 1.400  -0.205 1.342  -0.259 1.288  -0.269 1.217  -0.269 1.141  -0.269 1.065  -0.269 0.990  -0.269 0.914  -0.269 0.838  -0.269 0.762  -0.269 0.687  -0.269 0.611  -0.269 0.535  -0.269 0.459  -0.269 0.384  -0.262 0.309  -0.228 0.242  -0.194 0.174  -0.163 0.106  -0.163 0.030  -0.163 -0.046  -0.149 -0.116  -0.095 -0.170  -0.057 -0.229  -0.057 -0.305  -0.057 -0.381  -0.040 -0.453  -0.007 -0.520  0.027 -0.588  0.050 -0.659  0.050 -0.734  0.121 -0.739  0.156 -0.780  0.163 -0.853  0.217 -0.906  0.262 -0.963  0.262 -1.039  0.302 -1.098  0.356 -1.151  0.409 -1.205  0.463 -1.259  0.534 -1.270  0.601 -1.291  0.655 -1.344  0.717 -1.376  0.793 -1.376
3#app#app06#app0628/)  -0.855 1.362  -0.855 1.285  -0.796 1.266  -0.759 1.226  -0.737 1.170  -0.661 1.168  -0.606 1.113  -0.551 1.059  -0.496 1.004  -0.429 0.979  -0.375 0.955  -0.372 0.879  -0.317 0.825  -0.279 0.763  -0.275 0.687  -0.221 0.632  -0.159 0.595  -0.087 0.589  -0.087 0.511  -0.041 0.453  0.009 0.396  0.009 0.319  0.038 0.248  0.073 0.179  0.109 0.111  0.164 0.056  0.200 -0.006  0.205 -0.081  0.260 -0.136  0.296 -0.199  0.296 -0.276  0.296 -0.353  0.296 -0.431  0.296 -0.508  0.317 -0.577  0.372 -0.632  0.392 -0.701  0.392 -0.778  0.392 -0.856  0.392 -0.933  0.392 -1.011  0.392 -1.088  0.392 -1.165  0.392 -1.243  0.392 -1.320  0.392 -1.398  0.392 -1.475  0.429 -1.516  0.488 -1.534  0.488 -1.612
3#app#app06#app0628/`  -1.060 1.281  -0.976 1.281  -0.892 1.281  -0.808 1.281  -0.771 1.234  -0.771 1.150  -0.771 1.067  -0.764 0.986  -0.705 0.926  -0.646 0.867  -0.587 0.808  -0.527 0.749  -0.483 0.683  -0.483 0.600  -0.483 0.516  -0.483 0.432  -0.415 0.416  -0.331 0.416  -0.247 0.416  -0.173 0.394  -0.114 0.335  -0.054 0.276  0.005 0.217  0.064 0.157  0.093 0.086  0.093 0.002  0.093 -0.082  0.093 -0.166  0.093 -0.250  0.093 -0.333  0.093 -0.417  0.130 -0.485  0.190 -0.545  0.249 -0.604  0.308 -0.663  0.367 -0.722  0.445 -0.737  0.529 -0.737  0.613 -0.737  0.670 -0.763  0.670 -0.847  0.670 -0.931  0.670 -1.015  0.743 -1.025  0.827 -1.025  0.911 -1.025  0.958 -1.062  0.958 -1.145  0.958 -1.229  0.958 -1.313
