1b#tos#f1#f1035060/A  -1.378 -1.150  -1.421 -1.274  -1.286 -1.138  -1.162 -0.974  -1.038 -0.810  -0.893 -0.664  -0.762 -0.505  -0.653 -0.332  -0.527 -0.172  -0.382 -0.027  -0.238 0.120  -0.146 0.304  -0.019 0.463  0.087 0.633  0.194 0.808  0.265 0.993  0.334 1.175  0.452 1.344  0.518 1.536  0.586 1.673  0.602 1.483  0.602 1.278  0.602 1.072  0.602 0.866  0.618 0.663  0.686 0.470  0.698 0.266  0.728 0.063  0.728 -0.143  0.728 -0.349  0.766 -0.548  0.770 -0.753  0.770 -0.959  0.641 -0.987  0.481 -0.858  0.321 -0.729  0.161 -0.599  0.001 -0.470  -0.159 -0.341  -0.319 -0.211  -0.500 -0.139  -0.705 -0.139  -0.873 -0.177  -0.671 -0.181  -0.465 -0.181  -0.259 -0.181  -0.059 -0.148  0.136 -0.098  0.320 -0.006  0.518 0.030
1b#tos#f1#f1035060/C  0.165 0.335  0.144 0.205  0.185 0.202  0.208 0.331  0.271 0.440  0.305 0.560  0.393 0.660  0.444 0.784  0.467 0.916  0.467 1.050  0.391 1.109  0.342 1.195  0.208 1.195  0.073 1.195  -0.056 1.170  -0.176 1.110  -0.288 1.036  -0.308 0.912  -0.390 0.811  -0.486 0.716  -0.581 0.621  -0.685 0.536  -0.781 0.449  -0.781 0.315  -0.816 0.186  -0.824 0.053  -0.824 -0.082  -0.817 -0.216  -0.791 -0.348  -0.743 -0.473  -0.738 -0.606  -0.647 -0.703  -0.566 -0.804  -0.535 -0.931  -0.451 -1.013  -0.340 -1.075  -0.207 -1.085  -0.072 -1.085  0.062 -1.081  0.195 -1.059  0.322 -1.024  0.434 -0.949  0.546 -0.874  0.673 -0.830  0.801 -0.787  0.922 -0.729  1.040 -0.664  1.155 -0.595  1.281 -0.552  1.413 -0.526
1b#tos#f1#f1035060/E  -0.502 0.789  -0.740 0.789  -0.736 0.789  -0.503 0.809  -0.274 0.860  -0.043 0.908  0.195 0.908  0.370 1.026  0.608 1.026  0.813 1.105  1.028 1.191  1.256 1.223  1.059 1.191  0.834 1.116  0.608 1.041  0.382 0.966  0.156 0.890  -0.069 0.815  -0.295 0.740  -0.512 0.671  -0.541 0.463  -0.541 0.225  -0.541 -0.013  -0.541 -0.251  -0.541 -0.489  -0.541 -0.727  -0.541 -0.965  -0.541 -1.203  -0.478 -1.126  -0.437 -0.891  -0.397 -0.657  -0.356 -0.422  -0.421 -0.394  -0.183 -0.394  0.046 -0.357  0.235 -0.276  0.440 -0.197  0.488 -0.220  0.304 -0.372  0.120 -0.523  -0.064 -0.674  -0.187 -0.868  -0.312 -1.065  -0.428 -1.144  -0.190 -1.144  0.047 -1.144  0.277 -1.110  0.502 -1.033  0.732 -0.972  0.958 -0.907
1b#tos#f1#f1035060/G  0.214 0.835  0.214 0.577  0.274 0.725  0.301 0.980  0.301 1.238  0.139 1.430  -0.114 1.441  -0.351 1.375  -0.588 1.311  -0.775 1.163  -0.887 0.933  -1.010 0.733  -1.096 0.494  -1.128 0.245  -1.142 -0.009  -1.215 -0.245  -1.215 -0.504  -1.081 -0.695  -0.925 -0.885  -0.735 -1.028  -0.477 -1.028  -0.226 -0.984  -0.003 -0.855  0.234 -0.779  0.436 -0.676  0.613 -0.490  0.810 -0.340  0.663 -0.220  0.409 -0.175  0.155 -0.129  -0.100 -0.084  -0.354 -0.038  -0.562 -0.170  -0.416 -0.161  -0.160 -0.142  0.068 -0.031  0.324 -0.006  0.578 0.038  0.821 0.120  1.055 0.177  1.281 0.228  1.112 0.198  0.873 0.102  0.632 0.012  0.474 -0.140  0.474 -0.398  0.474 -0.657  0.507 -0.910  0.561 -1.159  0.561 -1.418
1b#tos#f1#f1035060/J  -0.953 0.622  -1.084 0.610  -1.015 0.582  -0.879 0.582  -0.744 0.582  -0.608 0.582  -0.473 0.582  -0.337 0.582  -0.202 0.583  -0.099 0.661  0.037 0.661  0.172 0.661  0.308 0.661  0.443 0.661  0.579 0.661  0.666 0.739  0.801 0.740  0.937 0.740  1.062 0.750  0.956 0.780  0.820 0.780  0.701 0.740  0.566 0.740  0.509 0.661  0.373 0.661  0.272 0.627  0.232 0.531  0.193 0.435  0.153 0.339  0.153 0.204  0.153 0.068  0.153 -0.067  0.153 -0.203  0.153 -0.338  0.153 -0.474  0.153 -0.609  0.146 -0.744  0.114 -0.874  0.050 -0.983  0.035 -1.112  -0.005 -1.232  -0.084 -1.334  -0.160 -1.394  -0.279 -1.433  -0.415 -1.433  -0.545 -1.398  -0.656 -1.356  -0.766 -1.312  -0.897 -1.279  -0.993 -1.236
1b#tos#f1#f1035060/M  -0.607 0.813  -0.683 0.920  -0.645 0.731  -0.645 0.535  -0.645 0.340  -0.645 0.145  -0.666 -0.049  -0.683 -0.243  -0.683 -0.438  -0.685 -0.633  -0.721 -0.823  -0.731 -1.014  -0.759 -1.189  -0.754 -0.993  -0.750 -0.798  -0.746 -0.602  -0.742 -0.407  -0.738 -0.212  -0.734 -0.016  -0.730 0.179  -0.726 0.374  -0.722 0.570  -0.796 0.633  -0.713 0.464  -0.645 0.287  -0.513 0.179  -0.441 0.010  -0.268 -0.058  -0.088 -0.096  0.107 -0.096  0.296 -0.059  0.415 0.086  0.547 0.226  0.669 0.377  0.796 0.516  0.883 0.691  0.963 0.869  1.020 1.023  1.020 0.861  1.058 0.681  1.058 0.486  1.058 0.290  1.058 0.095  1.060 -0.100  1.096 -0.287  1.096 -0.482  1.112 -0.675  1.134 -0.867  1.177 -1.052  1.285 -1.193
1b#tos#f1#f1035060/Q  0.305 -0.753  0.178 -0.912  0.010 -0.989  -0.224 -0.989  -0.438 -0.942  -0.567 -0.824  -0.673 -0.642  -0.827 -0.504  -0.874 -0.281  -0.874 -0.048  -0.874 0.186  -0.861 0.417  -0.748 0.616  -0.618 0.810  -0.476 0.974  -0.350 1.133  -0.200 1.288  -0.000 1.368  0.210 1.419  0.400 1.463  0.633 1.463  0.729 1.325  0.870 1.193  0.965 0.990  1.012 0.777  1.012 0.543  0.965 0.321  0.870 0.116  0.732 -0.044  0.594 -0.228  0.446 -0.400  0.283 -0.552  0.147 -0.659  -0.022 -0.749  -0.226 -0.848  -0.460 -0.848  -0.646 -0.895  -0.785 -0.800  -0.827 -0.609  -0.827 -0.376  -0.679 -0.221  -0.496 -0.140  -0.309 -0.093  -0.076 -0.093  0.155 -0.106  0.364 -0.187  0.540 -0.245  0.650 -0.423  0.876 -0.435  1.012 -0.565
1b#tos#f1#f1035060/R  -0.448 1.212  -0.448 0.986  -0.448 0.760  -0.540 0.555  -0.542 0.329  -0.542 0.103  -0.542 -0.123  -0.542 -0.349  -0.601 -0.551  -0.637 -0.762  -0.637 -0.989  -0.637 -1.215  -0.633 -1.153  -0.627 -0.927  -0.620 -0.701  -0.614 -0.475  -0.607 -0.249  -0.601 -0.022  -0.594 0.204  -0.590 0.430  -0.637 0.609  -0.457 0.691  -0.400 0.861  -0.242 0.928  -0.019 0.948  0.193 1.023  0.408 1.070  0.634 1.070  0.860 1.070  1.086 1.070  1.209 0.911  1.162 0.732  1.084 0.550  0.912 0.416  0.766 0.275  0.569 0.181  0.414 0.025  0.262 -0.116  0.086 -0.205  -0.129 -0.268  -0.329 -0.350  -0.169 -0.393  0.028 -0.492  0.144 -0.619  0.283 -0.797  0.472 -0.909  0.622 -1.070  0.745 -1.259  0.872 -1.433  1.020 -1.581
1b#tos#f1#f1035060/T  -1.234 0.789  -1.234 0.662  -1.169 0.566  -1.042 0.562  -0.919 0.532  -0.794 0.521  -0.667 0.521  -0.540 0.521  -0.413 0.521  -0.286 0.521  -0.159 0.521  -0.033 0.521  0.094 0.521  0.221 0.521  0.347 0.539  0.472 0.560  0.598 0.566  0.725 0.566  0.797 0.655  0.922 0.662  1.040 0.699  0.920 0.675  0.796 0.650  0.671 0.625  0.547 0.600  0.423 0.576  0.298 0.551  0.174 0.526  0.047 0.521  -0.029 0.470  -0.029 0.343  -0.029 0.216  -0.029 0.090  -0.029 -0.037  -0.029 -0.164  -0.029 -0.291  -0.029 -0.418  -0.029 -0.545  -0.029 -0.672  -0.029 -0.799  -0.029 -0.925  -0.029 -1.052  -0.029 -1.179  -0.029 -1.306  -0.029 -1.433  -0.029 -1.560  -0.029 -1.687  -0.029 -1.813  -0.029 -1.940  -0.029 -2.067
1b#tos#f1#f1035060/U  -0.725 1.178  -0.725 1.066  -0.794 0.982  -0.809 0.876  -0.809 0.763  -0.809 0.651  -0.788 0.543  -0.767 0.436  -0.767 0.323  -0.767 0.211  -0.767 0.098  -0.767 -0.014  -0.767 -0.127  -0.767 -0.239  -0.737 -0.341  -0.666 -0.429  -0.596 -0.517  -0.555 -0.612  -0.555 -0.725  -0.497 -0.817  -0.471 -0.926  -0.378 -0.975  -0.274 -1.017  -0.172 -1.065  -0.060 -1.065  0.053 -1.065  0.149 -1.032  0.219 -0.944  0.290 -0.856  0.291 -0.744  0.349 -0.650  0.416 -0.560  0.495 -0.481  0.541 -0.379  0.583 -0.274  0.619 -0.168  0.654 -0.061  0.693 0.045  0.735 0.149  0.766 0.257  0.784 0.368  0.807 0.478  0.849 0.582  0.888 0.687  0.916 0.796  0.926 0.908  0.926 1.020  0.944 1.128  0.969 1.235  0.926 1.305
1b#tos#f1#f1035060/V  -1.141 1.083  -1.095 1.157  -1.040 1.223  -0.955 1.186  -0.893 1.117  -0.775 1.094  -0.723 1.016  -0.723 0.895  -0.723 0.775  -0.666 0.672  -0.617 0.564  -0.587 0.447  -0.550 0.333  -0.502 0.223  -0.448 0.115  -0.417 -0.001  -0.383 -0.116  -0.338 -0.228  -0.291 -0.339  -0.249 -0.451  -0.225 -0.569  -0.183 -0.679  -0.118 -0.780  -0.080 -0.894  -0.003 -0.984  0.048 -1.091  0.067 -1.208  0.156 -1.239  0.257 -1.286  0.299 -1.207  0.299 -1.087  0.328 -0.978  0.413 -0.893  0.438 -0.783  0.445 -0.664  0.490 -0.552  0.535 -0.441  0.579 -0.329  0.624 -0.217  0.653 -0.100  0.686 0.016  0.717 0.131  0.717 0.251  0.764 0.356  0.836 0.452  0.856 0.566  0.856 0.686  0.857 0.807  0.903 0.916  0.903 1.037
