3#apb#apb29#app2975/a  0.318 0.771  0.206 0.873  0.047 0.954  -0.079 1.016  0.072 1.075  0.240 1.159  0.411 1.237  0.584 1.214  0.712 1.082  0.774 0.954  0.793 0.787  0.766 0.624  0.655 0.473  0.547 0.320  0.443 0.163  0.323 0.019  0.208 -0.130  0.071 -0.254  0.137 -0.325  0.241 -0.170  0.237 0.007  0.153 0.172  -0.002 0.251  -0.178 0.196  -0.358 0.150  -0.545 0.131  -0.722 0.071  -0.892 -0.007  -1.056 -0.098  -1.223 -0.183  -1.396 -0.257  -1.547 -0.364  -1.520 -0.532  -1.377 -0.653  -1.200 -0.709  -1.018 -0.757  -0.831 -0.757  -0.643 -0.757  -0.456 -0.745  -0.268 -0.733  -0.082 -0.713  0.104 -0.687  0.290 -0.659  0.474 -0.622  0.658 -0.585  0.842 -0.548  1.029 -0.543  1.217 -0.543  1.361 -0.613  1.479 -0.757
3#apb#apb29#app2975/b  0.158 1.865  -0.004 1.826  -0.078 1.878  -0.078 1.700  -0.078 1.522  -0.078 1.344  -0.078 1.166  -0.120 0.994  -0.173 0.824  -0.222 0.653  -0.277 0.484  -0.338 0.316  -0.408 0.153  -0.480 -0.010  -0.552 -0.173  -0.616 -0.339  -0.671 -0.509  -0.717 -0.681  -0.693 -0.803  -0.577 -0.703  -0.459 -0.574  -0.323 -0.460  -0.211 -0.324  -0.131 -0.164  0.000 -0.048  0.131 0.073  0.242 0.212  0.378 0.293  0.510 0.394  0.686 0.413  0.859 0.375  0.960 0.230  1.051 0.078  1.099 -0.089  1.099 -0.267  1.042 -0.435  0.967 -0.596  0.833 -0.701  0.670 -0.769  0.494 -0.794  0.318 -0.826  0.144 -0.860  -0.032 -0.881  -0.211 -0.881  -0.388 -0.870  -0.564 -0.845  -0.741 -0.823  -0.913 -0.791  -0.803 -0.773  -0.627 -0.803
3#apb#apb29#app2975/c  0.775 0.435  0.771 0.592  0.735 0.694  0.684 0.549  0.616 0.407  0.557 0.260  0.464 0.132  0.388 -0.007  0.319 -0.083  0.398 0.043  0.450 0.192  0.521 0.334  0.592 0.476  0.608 0.623  0.617 0.775  0.583 0.923  0.485 1.038  0.333 1.050  0.180 1.010  0.034 0.948  -0.112 0.889  -0.261 0.833  -0.404 0.766  -0.541 0.687  -0.678 0.607  -0.811 0.522  -0.935 0.425  -1.034 0.301  -1.110 0.164  -1.158 0.014  -1.184 -0.143  -1.166 -0.299  -1.141 -0.456  -1.106 -0.609  -1.011 -0.736  -0.890 -0.838  -0.757 -0.919  -0.609 -0.975  -0.456 -1.008  -0.298 -1.008  -0.140 -1.008  0.015 -0.983  0.168 -0.942  0.321 -0.900  0.475 -0.864  0.629 -0.828  0.784 -0.793  0.941 -0.775  1.099 -0.762  1.256 -0.749
3#apb#apb29#app2975/d  0.288 0.791  0.282 0.846  0.112 0.488  -0.048 0.112  -0.169 -0.279  -0.289 -0.670  -0.415 -1.036  -0.219 -0.807  -0.049 -0.439  -0.038 -0.055  -0.292 0.032  -0.132 0.065  0.053 0.102  0.446 0.081  0.737 -0.006  0.710 -0.404  0.499 -0.734  0.315 -0.976  0.198 -1.025  0.046 -1.066  0.354 -0.976  0.730 -0.861  0.617 -0.566  0.401 -0.219  0.138 0.030  -0.060 0.222  -0.469 0.222  -0.847 0.119  -1.172 -0.077  -1.420 -0.395  -1.499 -0.776  -1.155 -0.970  -0.751 -1.036  -0.345 -1.066  -0.016 -0.907  0.228 -0.761  0.299 -0.448  0.318 -0.040  0.336 0.369  0.354 0.778  0.373 1.187  0.391 1.596  0.397 2.000  0.228 2.283  0.228 1.874  0.203 1.466  0.115 1.067  0.030 0.666  -0.089 0.275  0.048 -0.077
3#apb#apb29#app2975/e  -0.425 0.058  -0.495 0.191  -0.625 0.251  -0.540 0.107  -0.384 0.039  -0.214 -0.013  -0.040 -0.042  0.137 -0.033  0.307 0.023  0.485 0.024  0.662 0.050  0.821 0.124  0.988 0.180  1.126 0.280  1.224 0.427  1.245 0.603  1.129 0.729  0.984 0.833  0.833 0.926  0.657 0.936  0.497 1.016  0.322 1.033  0.156 1.026  0.016 0.932  -0.159 0.924  -0.285 0.798  -0.403 0.670  -0.554 0.576  -0.698 0.472  -0.858 0.392  -0.997 0.282  -1.083 0.126  -1.178 -0.024  -1.226 -0.193  -1.183 -0.362  -1.095 -0.517  -0.994 -0.664  -0.848 -0.758  -0.681 -0.817  -0.504 -0.842  -0.341 -0.911  -0.162 -0.911  0.008 -0.944  0.159 -1.011  0.336 -1.029  0.510 -1.019  0.687 -1.008  0.857 -0.954  0.978 -0.932  0.844 -1.044
3#apb#apb29#app2975/f  1.319 0.743  1.241 0.870  1.250 1.036  1.163 1.183  1.071 1.300  0.897 1.300  0.726 1.284  0.578 1.199  0.439 1.095  0.280 1.027  0.146 0.920  0.034 0.788  -0.053 0.639  -0.082 0.469  -0.110 0.298  -0.119 0.125  -0.119 -0.049  -0.089 -0.218  -0.089 -0.392  -0.089 -0.565  -0.094 -0.738  -0.161 -0.897  -0.269 -1.023  -0.377 -1.158  -0.511 -1.267  -0.665 -1.343  -0.765 -1.390  -0.644 -1.278  -0.565 -1.125  -0.532 -0.957  -0.540 -0.784  -0.547 -0.611  -0.555 -0.437  -0.584 -0.271  -0.693 -0.144  -0.810 -0.033  -0.929 -0.038  -0.950 -0.128  -0.783 -0.111  -0.615 -0.065  -0.445 -0.038  -0.272 -0.021  -0.107 0.033  0.059 0.080  0.229 0.114  0.402 0.127  0.575 0.127  0.749 0.127  0.922 0.127  1.084 0.068
3#apb#apb29#app2975/g  0.782 0.527  0.713 0.832  0.626 1.114  0.273 1.183  -0.080 1.080  -0.391 0.873  -0.663 0.622  -0.766 0.300  -0.460 0.182  -0.101 0.261  0.192 0.490  0.377 0.799  0.402 1.169  0.417 0.869  0.788 0.838  1.161 0.838  1.472 0.970  1.558 0.859  1.291 0.599  0.988 0.380  0.686 0.160  0.383 -0.059  0.080 -0.278  -0.185 -0.293  -0.232 -0.060  -0.178 -0.022  -0.033 0.078  -0.329 0.182  -0.689 0.108  -1.023 -0.044  -0.873 -0.339  -0.527 -0.405  -0.171 -0.435  0.197 -0.407  0.356 -0.578  0.268 -0.375  -0.062 -0.267  -0.415 -0.267  -0.765 -0.357  -1.028 -0.606  -1.187 -0.938  -1.237 -1.287  -0.977 -1.544  -0.613 -1.476  -0.249 -1.406  0.088 -1.271  0.264 -0.962  0.207 -0.602  -0.044 -0.387  -0.289 -0.647
3#apb#apb29#app2975/h  -0.230 1.609  -0.194 1.765  -0.266 1.692  -0.282 1.534  -0.340 1.383  -0.385 1.228  -0.417 1.071  -0.437 0.911  -0.457 0.750  -0.477 0.590  -0.531 0.438  -0.586 0.287  -0.604 0.126  -0.622 -0.034  -0.645 -0.194  -0.692 -0.346  -0.764 -0.491  -0.790 -0.650  -0.799 -0.810  -0.799 -0.972  -0.798 -1.058  -0.700 -0.932  -0.603 -0.810  -0.468 -0.721  -0.359 -0.603  -0.258 -0.477  -0.178 -0.337  -0.092 -0.201  0.007 -0.074  0.106 0.054  0.224 0.163  0.347 0.268  0.463 0.380  0.585 0.485  0.727 0.542  0.873 0.526  0.862 0.366  0.836 0.206  0.813 0.046  0.759 -0.103  0.679 -0.243  0.621 -0.393  0.553 -0.537  0.482 -0.675  0.482 -0.836  0.552 -0.970  0.709 -0.989  0.871 -0.989  1.032 -0.989  1.194 -0.989
3#apb#apb29#app2975/i  -0.092 -0.185  -0.053 0.021  -0.092 0.134  -0.171 -0.052  -0.264 -0.252  -0.402 -0.389  -0.508 -0.546  -0.651 -0.715  -0.841 -0.824  -1.025 -0.908  -1.046 -0.805  -0.884 -0.653  -0.718 -0.506  -0.561 -0.349  -0.412 -0.185  -0.279 -0.007  -0.150 0.173  -0.092 0.381  -0.100 0.538  -0.209 0.359  -0.287 0.155  -0.325 -0.060  -0.385 -0.273  -0.430 -0.490  -0.453 -0.711  -0.438 -0.928  -0.279 -1.075  -0.058 -1.065  0.156 -1.007  0.361 -0.923  0.562 -0.830  0.771 -0.753  0.965 -0.650  1.138 -0.512  1.295 -0.355  1.160 -0.186  1.001 -0.086  0.905 0.114  0.809 0.315  0.714 0.515  0.618 0.716  0.523 0.916  0.427 1.116  0.332 1.317  0.236 1.517  0.204 1.710  0.003 1.779  -0.175 1.650  -0.344 1.510  -0.453 1.344
3#apb#apb29#app2975/j  -0.412 -0.138  -0.526 -0.188  -0.515 -0.127  -0.360 -0.018  -0.198 0.085  -0.056 0.217  0.050 0.379  0.152 0.543  0.237 0.717  0.265 0.846  0.212 0.769  0.133 0.608  0.075 0.430  0.018 0.244  -0.040 0.060  -0.103 -0.124  -0.171 -0.306  -0.239 -0.487  -0.316 -0.666  -0.392 -0.844  -0.470 -1.022  -0.553 -1.197  -0.625 -1.377  -0.772 -1.457  -0.935 -1.409  -0.957 -1.231  -0.900 -1.052  -0.801 -0.885  -0.685 -0.730  -0.558 -0.583  -0.386 -0.494  -0.208 -0.435  -0.059 -0.550  0.111 -0.643  0.289 -0.627  0.415 -0.491  0.456 -0.301  0.497 -0.111  0.538 0.078  0.579 0.268  0.620 0.458  0.661 0.647  0.702 0.837  0.743 1.027  0.784 1.216  0.825 1.406  0.866 1.596  0.833 1.745  0.651 1.718  0.530 1.597
3#apb#apb29#app2975/k  -1.406 -1.014  -1.530 -0.850  -1.487 -0.726  -1.264 -0.615  -1.044 -0.498  -0.827 -0.376  -0.613 -0.248  -0.417 -0.095  -0.214 0.050  -0.036 0.219  0.107 0.423  0.250 0.627  0.380 0.839  0.503 1.056  0.606 1.282  0.685 1.519  0.556 1.593  0.380 1.419  0.235 1.217  0.092 1.014  -0.060 0.817  -0.225 0.632  -0.315 0.404  -0.404 0.172  -0.429 -0.071  -0.501 -0.309  -0.478 -0.553  -0.505 -0.791  -0.656 -0.953  -0.694 -0.762  -0.559 -0.558  -0.410 -0.358  -0.269 -0.153  -0.073 -0.000  0.123 0.154  0.316 0.307  0.554 0.379  0.803 0.379  0.990 0.291  0.846 0.091  0.662 -0.075  0.451 -0.208  0.245 -0.345  0.195 -0.564  0.353 -0.751  0.542 -0.895  0.781 -0.898  1.018 -0.821  1.253 -0.737  1.489 -0.659
3#apb#apb29#app2975/l  -0.333 -0.600  -0.484 -0.661  -0.523 -0.782  -0.587 -0.846  -0.610 -0.924  -0.605 -0.937  -0.455 -0.876  -0.327 -0.779  -0.209 -0.667  -0.084 -0.564  0.011 -0.432  0.110 -0.303  0.214 -0.178  0.288 -0.033  0.356 0.114  0.407 0.268  0.465 0.420  0.531 0.569  0.569 0.725  0.587 0.887  0.607 1.048  0.620 1.210  0.620 1.373  0.551 1.471  0.431 1.552  0.269 1.552  0.121 1.515  0.015 1.392  -0.092 1.271  -0.188 1.140  -0.271 1.000  -0.332 0.850  -0.373 0.693  -0.395 0.532  -0.395 0.369  -0.395 0.207  -0.395 0.044  -0.363 -0.114  -0.333 -0.273  -0.333 -0.436  -0.285 -0.591  -0.218 -0.739  -0.173 -0.894  -0.104 -1.038  0.004 -1.153  0.093 -1.275  0.255 -1.277  0.418 -1.277  0.580 -1.277  0.743 -1.277
