2#apb#apb36#app3666/A  -0.405 0.918  -0.345 0.855  -0.371 0.615  -0.427 0.380  -0.478 0.144  -0.511 -0.095  -0.544 -0.335  -0.570 -0.575  -0.591 -0.815  -0.611 -1.056  -0.624 -1.297  -0.602 -1.237  -0.570 -0.999  -0.523 -0.762  -0.467 -0.527  -0.411 -0.292  -0.353 -0.057  -0.291 0.176  -0.229 0.409  -0.152 0.637  -0.044 0.853  0.064 1.069  0.182 1.280  0.305 1.488  0.447 1.683  0.638 1.773  0.738 1.589  0.749 1.348  0.753 1.106  0.753 0.865  0.739 0.624  0.703 0.385  0.668 0.146  0.636 -0.093  0.605 -0.333  0.570 -0.572  0.534 -0.811  0.518 -1.052  0.513 -1.293  0.436 -1.261  0.246 -1.113  0.056 -0.964  -0.134 -0.815  -0.325 -0.666  -0.515 -0.517  -0.573 -0.395  -0.360 -0.285  -0.157 -0.154  0.053 -0.037  0.272 0.065
2#apb#apb36#app3666/B  -0.421 0.862  -0.462 0.645  -0.490 0.426  -0.541 0.211  -0.600 -0.001  -0.658 -0.214  -0.719 -0.426  -0.793 -0.634  -0.823 -0.844  -0.784 -0.665  -0.724 -0.453  -0.663 -0.241  -0.603 -0.028  -0.544 0.184  -0.484 0.397  -0.422 0.609  -0.360 0.821  -0.271 1.019  -0.146 1.202  -0.012 1.375  0.167 1.503  0.376 1.542  0.575 1.471  0.671 1.287  0.710 1.071  0.691 0.852  0.658 0.635  0.564 0.436  0.448 0.249  0.315 0.073  0.148 -0.071  -0.032 -0.194  -0.242 -0.263  -0.433 -0.260  -0.285 -0.116  -0.072 -0.056  0.145 -0.015  0.355 -0.068  0.548 -0.165  0.704 -0.321  0.809 -0.513  0.883 -0.717  0.883 -0.938  0.807 -1.144  0.694 -1.331  0.522 -1.448  0.305 -1.478  0.085 -1.463  -0.133 -1.430  -0.346 -1.369
2#apb#apb36#app3666/C  0.267 1.049  0.328 0.958  0.339 0.844  0.344 0.729  0.344 0.615  0.387 0.509  0.432 0.457  0.475 0.562  0.503 0.673  0.511 0.786  0.502 0.901  0.477 1.011  0.426 1.114  0.345 1.182  0.236 1.219  0.141 1.160  0.047 1.095  -0.041 1.022  -0.114 0.934  -0.187 0.845  -0.260 0.756  -0.312 0.656  -0.353 0.548  -0.393 0.441  -0.433 0.333  -0.474 0.226  -0.514 0.118  -0.526 0.004  -0.536 -0.110  -0.546 -0.225  -0.557 -0.339  -0.567 -0.453  -0.568 -0.568  -0.558 -0.682  -0.549 -0.797  -0.539 -0.911  -0.491 -1.011  -0.421 -1.101  -0.350 -1.191  -0.254 -1.245  -0.144 -1.280  -0.035 -1.315  0.075 -1.326  0.184 -1.291  0.294 -1.256  0.403 -1.221  0.510 -1.180  0.613 -1.130  0.717 -1.081  0.821 -1.032
2#apb#apb36#app3666/D  -0.262 0.970  -0.333 0.809  -0.340 0.629  -0.349 0.450  -0.371 0.271  -0.393 0.093  -0.416 -0.085  -0.448 -0.262  -0.481 -0.439  -0.517 -0.615  -0.561 -0.789  -0.571 -0.968  -0.602 -0.967  -0.594 -0.788  -0.586 -0.608  -0.579 -0.429  -0.571 -0.249  -0.563 -0.069  -0.556 0.110  -0.548 0.290  -0.541 0.469  -0.533 0.649  -0.525 0.828  -0.488 0.991  -0.338 1.091  -0.176 1.158  0.001 1.192  0.178 1.195  0.354 1.161  0.524 1.108  0.685 1.028  0.826 0.927  0.918 0.772  1.009 0.617  1.043 0.443  1.066 0.264  1.051 0.088  1.015 -0.088  0.962 -0.258  0.873 -0.414  0.783 -0.570  0.677 -0.713  0.550 -0.840  0.423 -0.967  0.283 -1.079  0.134 -1.180  -0.016 -1.278  -0.191 -1.319  -0.368 -1.337  -0.537 -1.292
2#apb#apb36#app3666/E  -0.331 0.824  -0.355 0.643  -0.394 0.463  -0.433 0.283  -0.473 0.104  -0.519 -0.074  -0.565 -0.252  -0.607 -0.431  -0.646 -0.611  -0.662 -0.791  -0.627 -0.971  -0.538 -1.130  -0.383 -1.223  -0.199 -1.223  -0.021 -1.182  0.153 -1.124  0.329 -1.072  0.501 -1.008  0.661 -0.917  0.552 -0.857  0.376 -0.804  0.199 -0.751  0.023 -0.699  -0.153 -0.646  -0.329 -0.593  -0.506 -0.541  -0.558 -0.496  -0.376 -0.468  -0.194 -0.441  -0.020 -0.383  0.150 -0.314  0.309 -0.221  0.446 -0.099  0.442 0.038  0.331 0.184  0.221 0.331  0.110 0.478  -0.001 0.625  -0.111 0.772  -0.222 0.919  -0.328 1.064  -0.160 1.139  0.008 1.215  0.176 1.289  0.352 1.344  0.527 1.400  0.701 1.461  0.874 1.521  1.048 1.582  1.221 1.643
2#apb#apb36#app3666/F  -0.355 0.956  -0.355 0.733  -0.374 0.510  -0.393 0.288  -0.426 0.068  -0.468 -0.151  -0.509 -0.370  -0.550 -0.589  -0.590 -0.809  -0.631 -1.028  -0.670 -1.247  -0.709 -1.467  -0.752 -1.685  -0.737 -1.571  -0.695 -1.353  -0.644 -1.136  -0.595 -0.918  -0.557 -0.698  -0.519 -0.479  -0.480 -0.259  -0.436 -0.040  -0.393 0.178  -0.346 0.396  -0.278 0.609  -0.210 0.821  -0.083 1.001  0.105 1.048  0.316 0.974  0.526 0.899  0.739 0.897  0.954 0.955  1.177 0.956  1.363 1.073  1.303 1.043  1.135 0.896  0.967 0.750  0.799 0.603  0.631 0.457  0.463 0.310  0.295 0.164  0.127 0.017  -0.041 -0.129  -0.210 -0.276  -0.325 -0.409  -0.108 -0.460  0.114 -0.470  0.330 -0.450  0.511 -0.321  0.698 -0.198  0.890 -0.086
2#apb#apb36#app3666/G  0.901 1.543  0.832 1.702  0.684 1.705  0.521 1.647  0.380 1.543  0.240 1.439  0.108 1.325  -0.012 1.199  -0.133 1.073  -0.253 0.947  -0.357 0.806  -0.461 0.666  -0.565 0.526  -0.665 0.383  -0.743 0.227  -0.821 0.071  -0.899 -0.086  -0.910 -0.257  -0.910 -0.432  -0.868 -0.597  -0.795 -0.756  -0.653 -0.854  -0.505 -0.946  -0.333 -0.976  -0.161 -1.004  0.014 -1.004  0.188 -0.997  0.360 -0.971  0.337 -0.851  0.249 -0.700  0.161 -0.549  0.074 -0.399  -0.014 -0.248  -0.102 -0.097  -0.190 0.054  -0.278 0.204  -0.153 0.197  0.010 0.136  0.174 0.076  0.342 0.028  0.504 -0.026  0.673 -0.049  0.762 -0.162  0.703 -0.326  0.641 -0.489  0.546 -0.636  0.454 -0.784  0.376 -0.940  0.304 -1.099  0.244 -1.263
2#apb#apb36#app3666/H  -0.270 1.459  -0.279 1.207  -0.331 0.959  -0.368 0.709  -0.398 0.458  -0.433 0.207  -0.468 -0.044  -0.514 -0.292  -0.568 -0.540  -0.619 -0.788  -0.663 -1.036  -0.693 -1.288  -0.596 -1.233  -0.493 -1.001  -0.390 -0.770  -0.287 -0.539  -0.184 -0.308  -0.081 -0.077  0.022 0.155  0.125 0.386  0.228 0.617  0.331 0.848  0.434 1.079  0.536 1.311  0.639 1.542  0.742 1.773  0.737 1.595  0.723 1.342  0.694 1.091  0.661 0.840  0.607 0.592  0.553 0.345  0.506 0.097  0.467 -0.153  0.428 -0.403  0.397 -0.655  0.368 -0.906  0.355 -1.159  0.366 -1.411  0.322 -1.397  0.167 -1.197  0.012 -0.997  -0.143 -0.797  -0.298 -0.596  -0.452 -0.396  -0.607 -0.196  -0.679 -0.118  -0.445 -0.167  -0.201 -0.112  0.040 -0.035
2#apb#apb36#app3666/I  0.267 1.658  0.285 1.604  0.261 1.540  0.246 1.472  0.231 1.404  0.216 1.336  0.202 1.268  0.190 1.200  0.178 1.131  0.166 1.063  0.155 0.994  0.143 0.926  0.131 0.858  0.119 0.789  0.107 0.721  0.095 0.652  0.084 0.584  0.073 0.515  0.062 0.447  0.052 0.378  0.041 0.309  0.030 0.241  0.019 0.172  0.009 0.104  -0.002 0.035  -0.013 -0.034  -0.024 -0.102  -0.034 -0.171  -0.045 -0.239  -0.056 -0.308  -0.068 -0.376  -0.081 -0.445  -0.094 -0.513  -0.107 -0.581  -0.120 -0.649  -0.133 -0.718  -0.146 -0.786  -0.159 -0.854  -0.172 -0.922  -0.179 -0.991  -0.179 -1.060  -0.179 -1.130  -0.179 -1.199  -0.179 -1.269  -0.179 -1.338  -0.179 -1.408  -0.188 -1.476  -0.205 -1.543  -0.222 -1.611  -0.239 -1.678
2#apb#apb36#app3666/J  0.464 0.989  0.399 0.930  0.386 0.786  0.389 0.641  0.405 0.497  0.428 0.355  0.461 0.213  0.493 0.072  0.522 -0.070  0.550 -0.212  0.571 -0.355  0.585 -0.500  0.598 -0.644  0.567 -0.785  0.532 -0.925  0.455 -1.048  0.374 -1.168  0.287 -1.281  0.145 -1.310  0.003 -1.323  -0.140 -1.299  -0.281 -1.269  -0.413 -1.209  -0.538 -1.136  -0.643 -1.038  -0.629 -0.905  -0.639 -0.761  -0.648 -0.616  -0.658 -0.472  -0.668 -0.327  -0.678 -0.182  -0.687 -0.038  -0.697 0.107  -0.707 0.251  -0.717 0.396  -0.726 0.540  -0.736 0.685  -0.736 0.822  -0.593 0.844  -0.451 0.872  -0.309 0.899  -0.166 0.925  -0.023 0.945  0.121 0.965  0.264 0.985  0.408 1.005  0.552 1.018  0.697 1.031  0.841 1.043  0.985 1.056
2#apb#apb36#app3666/K  -0.468 1.026  -0.529 0.925  -0.530 0.725  -0.530 0.525  -0.547 0.326  -0.578 0.128  -0.608 -0.070  -0.641 -0.267  -0.677 -0.464  -0.714 -0.661  -0.728 -0.860  -0.718 -1.060  -0.713 -1.260  -0.730 -1.457  -0.732 -1.618  -0.644 -1.438  -0.556 -1.258  -0.469 -1.078  -0.381 -0.898  -0.293 -0.718  -0.206 -0.538  -0.118 -0.358  -0.030 -0.178  0.058 0.002  0.145 0.182  0.233 0.362  0.321 0.542  0.408 0.722  0.496 0.902  0.584 1.082  0.672 1.262  0.759 1.442  0.824 1.481  0.785 1.293  0.694 1.115  0.600 0.938  0.490 0.772  0.361 0.619  0.217 0.480  0.067 0.347  -0.094 0.232  -0.100 0.160  0.059 0.038  0.222 -0.078  0.381 -0.200  0.536 -0.327  0.671 -0.474  0.797 -0.630  0.915 -0.791  1.038 -0.949
