3#app#app41#app4148/i  -0.330 0.510  -0.197 0.510  -0.075 0.499  -0.075 0.366  -0.052 0.256  0.081 0.256  0.180 0.221  0.180 0.088  0.180 -0.045  0.180 -0.178  0.180 -0.311  0.180 -0.444  0.180 -0.577  0.180 -0.710  0.180 -0.843  0.180 -0.977  0.271 -1.018  0.404 -1.018  0.434 -1.121  0.434 -1.254  0.434 -1.387  0.434 -1.520  0.397 -1.407  0.358 -1.280  0.319 -1.153  0.280 -1.025  0.241 -0.898  0.202 -0.771  0.162 -0.644  0.123 -0.517  0.084 -0.389  0.045 -0.262  0.006 -0.135  -0.033 -0.008  -0.072 0.119  -0.112 0.247  -0.151 0.374  -0.190 0.501  -0.229 0.628  -0.268 0.755  -0.307 0.882  -0.346 1.010  -0.385 1.137  -0.425 1.264  -0.464 1.391  -0.503 1.518  -0.542 1.646  -0.581 1.773  -0.585 1.905  -0.585 2.038
3#app#app41#app4148/n  -1.243 0.582  -1.078 0.582  -0.913 0.582  -0.827 0.503  -0.827 0.338  -0.827 0.174  -0.827 0.009  -0.827 -0.156  -0.827 -0.321  -0.827 -0.486  -0.827 -0.650  -0.827 -0.815  -0.827 -0.980  -0.764 -1.082  -0.600 -1.082  -0.435 -1.082  -0.411 -0.941  -0.411 -0.776  -0.411 -0.611  -0.411 -0.447  -0.411 -0.282  -0.411 -0.117  -0.411 0.048  -0.364 0.166  -0.199 0.166  -0.035 0.166  0.005 0.291  0.005 0.456  0.005 0.621  0.005 0.786  0.005 0.950  0.122 0.998  0.287 0.998  0.421 0.967  0.421 0.802  0.421 0.637  0.531 0.582  0.695 0.582  0.837 0.559  0.837 0.394  0.837 0.229  0.909 0.094  1.025 -0.023  1.142 -0.139  1.253 -0.258  1.253 -0.423  1.253 -0.588  1.339 -0.666  1.504 -0.666  1.669 -0.666
3#app#app41#app4148/o  0.811 1.177  0.655 1.177  0.499 1.177  0.343 1.177  0.187 1.177  0.031 1.177  -0.091 1.094  -0.201 0.984  -0.312 0.874  -0.422 0.763  -0.532 0.653  -0.643 0.543  -0.753 0.432  -0.828 0.307  -0.828 0.151  -0.828 -0.005  -0.828 -0.161  -0.828 -0.317  -0.828 -0.473  -0.828 -0.629  -0.828 -0.785  -0.760 -0.873  -0.604 -0.873  -0.448 -0.873  -0.418 -1.000  -0.418 -1.156  -0.389 -1.283  -0.233 -1.283  -0.077 -1.283  0.053 -1.221  0.164 -1.111  0.274 -1.000  0.385 -0.890  0.495 -0.779  0.605 -0.669  0.716 -0.559  0.811 -0.442  0.811 -0.286  0.811 -0.130  0.811 0.026  0.811 0.182  0.811 0.338  0.674 0.357  0.518 0.357  0.402 0.396  0.402 0.553  0.402 0.709  0.304 0.767  0.148 0.767  -0.008 0.767
3#app#app41#app4148/n  -0.969 1.281  -0.969 1.114  -0.969 0.947  -0.969 0.781  -0.969 0.614  -0.838 0.578  -0.671 0.578  -0.617 0.465  -0.617 0.298  -0.617 0.131  -0.617 -0.035  -0.617 -0.202  -0.617 -0.369  -0.617 -0.536  -0.617 -0.703  -0.617 -0.869  -0.617 -1.036  -0.595 -1.181  -0.428 -1.181  -0.266 -1.176  -0.266 -1.009  -0.266 -0.843  -0.266 -0.676  -0.266 -0.509  -0.266 -0.342  -0.266 -0.175  -0.183 -0.043  -0.065 0.075  0.053 0.193  0.086 0.346  0.086 0.513  0.086 0.680  0.086 0.847  0.170 0.929  0.337 0.929  0.438 0.863  0.438 0.697  0.472 0.544  0.590 0.426  0.707 0.308  0.825 0.190  0.943 0.072  1.061 -0.046  1.141 -0.180  1.141 -0.347  1.177 -0.477  1.344 -0.477  1.493 -0.495  1.493 -0.662  1.493 -0.829
3#app#app41#app4148/e  -0.404 0.422  -0.404 0.250  -0.404 0.078  -0.248 0.062  -0.076 0.062  0.096 0.062  0.267 0.062  0.439 0.062  0.611 0.062  0.674 0.170  0.674 0.342  0.766 0.422  0.938 0.422  1.034 0.498  1.034 0.670  0.974 0.781  0.802 0.781  0.674 0.825  0.674 0.997  0.646 1.140  0.474 1.140  0.306 1.132  0.185 1.010  0.063 0.889  -0.064 0.781  -0.235 0.781  -0.404 0.778  -0.404 0.606  -0.404 0.434  -0.563 0.422  -0.735 0.422  -0.763 0.278  -0.763 0.107  -0.763 -0.065  -0.763 -0.237  -0.763 -0.408  -0.763 -0.580  -0.763 -0.752  -0.763 -0.924  -0.683 -1.016  -0.512 -1.016  -0.404 -1.079  -0.404 -1.251  -0.356 -1.375  -0.184 -1.375  -0.012 -1.375  0.159 -1.375  0.331 -1.375  0.503 -1.375  0.674 -1.375
3#app#app41#app4148/c  0.928 0.812  0.828 0.812  0.728 0.812  0.628 0.812  0.588 0.872  0.588 0.973  0.588 1.073  0.567 1.153  0.467 1.153  0.367 1.153  0.267 1.153  0.247 1.073  0.247 0.972  0.247 0.872  0.207 0.812  0.107 0.812  0.006 0.812  -0.094 0.812  -0.165 0.741  -0.235 0.670  -0.306 0.600  -0.377 0.529  -0.434 0.452  -0.434 0.352  -0.434 0.252  -0.434 0.152  -0.434 0.051  -0.434 -0.049  -0.434 -0.149  -0.434 -0.249  -0.434 -0.349  -0.434 -0.450  -0.434 -0.550  -0.434 -0.650  -0.434 -0.750  -0.434 -0.850  -0.434 -0.951  -0.434 -1.051  -0.434 -1.151  -0.414 -1.231  -0.314 -1.231  -0.214 -1.231  -0.114 -1.231  -0.014 -1.231  0.087 -1.231  0.187 -1.231  0.287 -1.231  0.387 -1.231  0.487 -1.231  0.588 -1.231
3#app#app41#app4148/l  -0.480 1.524  -0.480 1.447  -0.480 1.371  -0.480 1.294  -0.466 1.232  -0.390 1.232  -0.314 1.232  -0.237 1.232  -0.188 1.204  -0.188 1.128  -0.188 1.051  -0.188 0.975  -0.188 0.898  -0.188 0.822  -0.188 0.746  -0.188 0.669  -0.188 0.593  -0.188 0.516  -0.188 0.440  -0.188 0.364  -0.140 0.307  -0.086 0.253  -0.032 0.199  0.022 0.145  0.076 0.091  0.104 0.026  0.104 -0.050  0.104 -0.127  0.104 -0.203  0.104 -0.280  0.104 -0.356  0.104 -0.432  0.104 -0.509  0.104 -0.585  0.104 -0.662  0.104 -0.738  0.106 -0.814  0.160 -0.868  0.214 -0.922  0.268 -0.976  0.322 -1.030  0.376 -1.084  0.395 -1.152  0.395 -1.228  0.395 -1.305  0.395 -1.381  0.395 -1.458  0.395 -1.534  0.395 -1.611  0.395 -1.687
3#app#app41#app4148/a  0.486 1.351  0.298 1.351  0.110 1.351  -0.079 1.351  -0.267 1.351  -0.444 1.340  -0.444 1.151  -0.444 0.963  -0.523 0.807  -0.656 0.674  -0.789 0.541  -0.910 0.402  -0.910 0.214  -0.910 0.026  -0.910 -0.163  -0.910 -0.351  -0.910 -0.539  -0.910 -0.728  -0.910 -0.916  -0.782 -0.977  -0.594 -0.977  -0.406 -0.977  -0.217 -0.977  -0.029 -0.977  0.021 -0.838  0.021 -0.650  0.021 -0.462  0.021 -0.273  0.021 -0.085  0.170 -0.046  0.359 -0.046  0.486 0.015  0.486 0.203  0.486 0.391  0.486 0.580  0.486 0.768  0.486 0.814  0.486 0.625  0.486 0.437  0.486 0.248  0.486 0.060  0.486 -0.128  0.486 -0.317  0.486 -0.505  0.615 -0.640  0.748 -0.773  0.882 -0.906  0.952 -1.066  0.952 -1.254  0.952 -1.442
3#app#app41#app4148/w  -0.883 1.420  -0.883 1.230  -0.883 1.041  -0.883 0.851  -0.883 0.661  -0.893 0.475  -1.027 0.341  -1.161 0.207  -1.195 0.031  -1.195 -0.159  -1.195 -0.348  -1.107 -0.450  -0.917 -0.450  -0.883 -0.606  -0.849 -0.762  -0.660 -0.762  -0.470 -0.762  -0.280 -0.762  -0.260 -0.593  -0.260 -0.403  -0.260 -0.213  -0.144 -0.139  0.045 -0.139  0.052 0.044  0.052 0.234  0.052 0.424  0.052 0.614  0.052 0.790  0.052 0.600  0.052 0.410  0.052 0.221  0.195 0.173  0.364 0.153  0.364 -0.037  0.364 -0.227  0.364 -0.417  0.520 -0.450  0.676 -0.484  0.676 -0.674  0.778 -0.762  0.967 -0.762  1.107 -0.642  1.242 -0.508  1.299 -0.342  1.299 -0.152  1.299 0.038  1.299 0.227  1.299 0.417  1.299 0.607  1.299 0.797
3#app#app41#app4148/e  -1.007 0.394  -0.829 0.394  -0.651 0.394  -0.534 0.334  -0.534 0.156  -0.534 -0.022  -0.413 -0.079  -0.235 -0.079  -0.058 -0.079  0.120 -0.079  0.298 -0.079  0.476 -0.079  0.654 -0.079  0.832 -0.079  0.886 0.044  0.886 0.222  0.886 0.400  0.886 0.578  0.886 0.756  0.820 0.867  0.642 0.867  0.464 0.867  0.413 0.994  0.413 1.172  0.413 1.331  0.413 1.153  0.413 0.976  0.343 0.867  0.165 0.867  -0.012 0.867  -0.061 0.737  -0.061 0.560  -0.069 0.385  -0.195 0.260  -0.321 0.134  -0.446 0.008  -0.534 -0.134  -0.534 -0.311  -0.534 -0.489  -0.534 -0.667  -0.534 -0.845  -0.534 -1.023  -0.534 -1.201  -0.534 -1.378  -0.476 -1.499  -0.299 -1.499  -0.121 -1.499  -0.061 -1.617  -0.061 -1.794  -0.061 -1.972
3#app#app41#app4148/d  -0.347 -0.254  -0.464 -0.370  -0.580 -0.487  -0.696 -0.603  -0.796 -0.726  -0.796 -0.890  -0.796 -1.055  -0.796 -1.219  -0.789 -1.377  -0.625 -1.377  -0.493 -1.297  -0.376 -1.181  -0.260 -1.065  -0.144 -0.949  -0.123 -0.793  -0.123 -0.628  -0.123 -0.464  -0.123 -0.299  -0.038 -0.170  0.078 -0.053  0.102 0.101  0.102 0.266  0.102 0.430  0.102 0.595  0.102 0.759  0.102 0.924  0.102 1.088  0.102 1.253  0.102 1.417  0.102 1.582  0.102 1.746  0.102 1.623  0.102 1.459  0.102 1.294  0.102 1.130  0.102 0.965  0.150 0.821  0.266 0.704  0.326 0.565  0.340 0.406  0.457 0.289  0.551 0.164  0.551 -0.000  0.551 -0.165  0.551 -0.329  0.551 -0.494  0.551 -0.658  0.551 -0.823  0.611 -0.927  0.775 -0.927
