3#apb#apb12#app1207/6  -0.451 1.748  -0.542 1.632  -0.604 1.496  -0.632 1.351  -0.644 1.203  -0.657 1.054  -0.669 0.905  -0.682 0.756  -0.694 0.608  -0.707 0.459  -0.719 0.310  -0.732 0.161  -0.744 0.013  -0.757 -0.136  -0.769 -0.285  -0.782 -0.434  -0.794 -0.582  -0.807 -0.731  -0.739 -0.842  -0.616 -0.927  -0.478 -0.980  -0.334 -1.010  -0.187 -0.986  -0.039 -0.963  0.097 -0.901  0.232 -0.840  0.366 -0.773  0.489 -0.688  0.612 -0.604  0.732 -0.516  0.850 -0.424  0.968 -0.332  1.056 -0.212  1.143 -0.091  1.206 0.045  1.243 0.184  1.232 0.333  1.122 0.420  0.975 0.418  0.826 0.406  0.687 0.353  0.547 0.300  0.416 0.231  0.294 0.145  0.174 0.057  0.064 -0.044  -0.045 -0.146  -0.142 -0.259  -0.224 -0.377  -0.142 -0.500
3#apb#apb12#app1207/  0.125 1.693  0.125 1.623  0.125 1.554  0.125 1.485  0.125 1.415  0.125 1.346  0.122 1.277  0.115 1.208  0.107 1.139  0.099 1.070  0.091 1.001  0.083 0.932  0.075 0.863  0.067 0.794  0.060 0.725  0.053 0.656  0.047 0.587  0.040 0.518  0.034 0.449  0.027 0.380  0.021 0.311  0.014 0.242  0.008 0.173  0.002 0.104  -0.002 0.035  -0.005 -0.035  -0.008 -0.104  -0.011 -0.173  -0.015 -0.243  -0.018 -0.312  -0.021 -0.381  -0.024 -0.450  -0.027 -0.520  -0.031 -0.589  -0.034 -0.658  -0.037 -0.728  -0.042 -0.797  -0.053 -0.865  -0.064 -0.934  -0.075 -1.002  -0.086 -1.071  -0.097 -1.139  -0.108 -1.208  -0.118 -1.276  -0.129 -1.345  -0.140 -1.413  -0.151 -1.482  -0.162 -1.550  -0.173 -1.619  -0.184 -1.687
3#apb#apb12#app1207/8  -0.655 0.857  -0.582 1.000  -0.461 1.106  -0.319 1.182  -0.174 1.251  -0.026 1.314  0.132 1.339  0.215 1.274  0.206 1.113  0.196 0.952  0.187 0.792  0.177 0.631  0.168 0.470  0.158 0.309  0.149 0.148  0.139 -0.012  0.130 -0.173  0.120 -0.334  0.097 -0.493  0.058 -0.649  0.020 -0.806  -0.014 -0.963  -0.034 -1.123  -0.027 -1.281  0.048 -1.420  0.198 -1.476  0.358 -1.480  0.509 -1.432  0.655 -1.364  0.752 -1.244  0.808 -1.099  0.761 -0.945  0.669 -0.813  0.562 -0.693  0.448 -0.579  0.327 -0.473  0.205 -0.368  0.073 -0.276  -0.061 -0.187  -0.181 -0.080  -0.299 0.030  -0.418 0.139  -0.536 0.249  -0.646 0.367  -0.737 0.495  -0.777 0.651  -0.751 0.810  -0.696 0.960  -0.616 1.098  -0.515 1.224
3#apb#apb12#app1207/8  -0.355 0.764  -0.504 0.832  -0.542 0.996  -0.547 1.164  -0.492 1.320  -0.401 1.461  -0.276 1.574  -0.178 1.493  -0.089 1.349  -0.001 1.205  0.088 1.061  0.177 0.917  0.265 0.774  0.354 0.630  0.419 0.483  0.360 0.325  0.301 0.167  0.243 0.008  0.188 -0.152  0.133 -0.312  0.078 -0.471  0.019 -0.630  -0.042 -0.788  -0.095 -0.948  -0.136 -1.111  -0.168 -1.277  -0.089 -1.406  0.069 -1.439  0.233 -1.404  0.394 -1.353  0.547 -1.287  0.672 -1.174  0.793 -1.056  0.894 -0.934  0.799 -0.796  0.665 -0.693  0.530 -0.591  0.395 -0.490  0.246 -0.410  0.095 -0.335  -0.040 -0.234  -0.175 -0.132  -0.314 -0.036  -0.454 0.058  -0.597 0.149  -0.729 0.252  -0.792 0.398  -0.756 0.562  -0.652 0.695  -0.537 0.819
3#apb#apb12#app1207/  0.049 0.879  0.063 0.843  0.068 0.727  0.074 0.612  0.072 0.497  0.069 0.381  0.065 0.266  0.062 0.162  0.061 0.277  0.059 0.392  0.058 0.508  0.056 0.623  0.055 0.738  0.054 0.854  0.052 0.969  0.051 1.085  0.050 1.200  0.040 1.315  0.023 1.388  0.019 1.273  0.016 1.158  0.012 1.042  0.008 0.927  0.005 0.812  0.001 0.696  -0.002 0.581  -0.006 0.466  -0.010 0.350  -0.013 0.235  -0.017 0.120  -0.021 0.004  -0.024 -0.111  -0.028 -0.226  -0.031 -0.342  -0.035 -0.457  -0.039 -0.572  -0.042 -0.688  -0.046 -0.803  -0.049 -0.918  -0.053 -1.034  -0.057 -1.149  -0.060 -1.264  -0.064 -1.380  -0.067 -1.495  -0.071 -1.610  -0.075 -1.726  -0.078 -1.841  -0.070 -1.956  -0.093 -1.960  -0.093 -1.844
3#apb#apb12#app1207/4  -1.427 1.341  -1.367 1.276  -1.311 1.143  -1.270 1.003  -1.225 0.864  -1.179 0.725  -1.136 0.586  -1.097 0.445  -1.057 0.304  -1.018 0.163  -0.979 0.023  -0.939 -0.118  -0.900 -0.259  -0.861 -0.399  -0.821 -0.540  -0.735 -0.527  -0.610 -0.459  -0.469 -0.423  -0.323 -0.411  -0.177 -0.407  -0.031 -0.407  0.115 -0.407  0.261 -0.407  0.407 -0.407  0.553 -0.400  0.695 -0.367  0.832 -0.319  0.966 -0.260  1.099 -0.200  1.199 -0.102  1.194 0.019  1.074 0.103  0.954 0.186  0.834 0.269  0.714 0.353  0.593 0.436  0.473 0.519  0.353 0.602  0.372 0.488  0.408 0.347  0.445 0.205  0.477 0.063  0.508 -0.080  0.539 -0.223  0.569 -0.366  0.599 -0.509  0.628 -0.652  0.659 -0.795  0.690 -0.938  0.721 -1.081
3#apb#apb12#app1207/1  -0.332 1.603  -0.285 1.629  -0.248 1.569  -0.212 1.507  -0.179 1.443  -0.161 1.373  -0.144 1.303  -0.126 1.233  -0.109 1.163  -0.091 1.093  -0.078 1.023  -0.071 0.951  -0.065 0.879  -0.059 0.807  -0.052 0.735  -0.046 0.664  -0.040 0.592  -0.033 0.520  -0.027 0.448  -0.021 0.376  -0.014 0.305  -0.008 0.233  -0.002 0.161  0.005 0.089  0.011 0.017  0.017 -0.054  0.024 -0.126  0.030 -0.198  0.036 -0.270  0.043 -0.342  0.049 -0.413  0.055 -0.485  0.062 -0.557  0.068 -0.629  0.074 -0.701  0.081 -0.772  0.087 -0.844  0.093 -0.916  0.100 -0.988  0.106 -1.060  0.112 -1.131  0.119 -1.203  0.125 -1.275  0.131 -1.347  0.138 -1.419  0.144 -1.490  0.150 -1.480  0.166 -1.410  0.181 -1.339  0.197 -1.269
3#apb#apb12#app1207/1  -0.273 1.545  -0.234 1.604  -0.223 1.559  -0.199 1.493  -0.175 1.426  -0.150 1.360  -0.132 1.293  -0.129 1.223  -0.125 1.152  -0.122 1.082  -0.118 1.012  -0.115 0.941  -0.111 0.871  -0.106 0.801  -0.099 0.731  -0.093 0.661  -0.087 0.591  -0.080 0.521  -0.074 0.450  -0.067 0.380  -0.060 0.310  -0.049 0.241  -0.039 0.171  -0.029 0.101  -0.019 0.032  -0.009 -0.038  0.001 -0.107  0.012 -0.177  0.022 -0.247  0.032 -0.316  0.042 -0.386  0.052 -0.456  0.063 -0.525  0.073 -0.595  0.083 -0.665  0.093 -0.734  0.103 -0.804  0.114 -0.874  0.124 -0.943  0.134 -1.013  0.144 -1.083  0.154 -1.152  0.165 -1.222  0.175 -1.292  0.185 -1.361  0.195 -1.431  0.205 -1.501  0.216 -1.570  0.243 -1.558  0.285 -1.502
3#apb#apb12#app1207/  -0.201 1.687  -0.193 1.618  -0.185 1.549  -0.177 1.480  -0.168 1.411  -0.160 1.342  -0.152 1.274  -0.144 1.205  -0.136 1.136  -0.128 1.067  -0.120 0.998  -0.112 0.929  -0.103 0.860  -0.095 0.791  -0.087 0.722  -0.079 0.654  -0.071 0.585  -0.063 0.516  -0.055 0.447  -0.047 0.378  -0.038 0.309  -0.030 0.240  -0.022 0.171  -0.014 0.103  -0.006 0.034  0.002 -0.035  0.010 -0.104  0.018 -0.173  0.027 -0.242  0.035 -0.311  0.043 -0.380  0.051 -0.449  0.059 -0.517  0.068 -0.586  0.076 -0.655  0.085 -0.724  0.093 -0.793  0.102 -0.862  0.111 -0.930  0.119 -0.999  0.127 -1.068  0.134 -1.137  0.142 -1.206  0.149 -1.275  0.156 -1.344  0.163 -1.413  0.170 -1.482  0.187 -1.549  0.207 -1.615  0.251 -1.657
3#apb#apb12#app1207/1  -0.492 1.407  -0.477 1.474  -0.430 1.507  -0.391 1.456  -0.360 1.393  -0.329 1.331  -0.297 1.268  -0.266 1.205  -0.238 1.141  -0.223 1.073  -0.208 1.004  -0.193 0.936  -0.178 0.867  -0.162 0.799  -0.147 0.730  -0.132 0.662  -0.117 0.593  -0.102 0.525  -0.087 0.456  -0.072 0.388  -0.056 0.319  -0.041 0.251  -0.026 0.182  -0.011 0.114  0.004 0.045  0.019 -0.023  0.035 -0.092  0.050 -0.160  0.065 -0.229  0.080 -0.297  0.095 -0.366  0.110 -0.434  0.125 -0.503  0.141 -0.571  0.156 -0.640  0.171 -0.708  0.186 -0.777  0.201 -0.845  0.216 -0.913  0.232 -0.982  0.247 -1.050  0.262 -1.119  0.277 -1.187  0.292 -1.256  0.307 -1.324  0.322 -1.393  0.338 -1.461  0.353 -1.530  0.368 -1.598  0.383 -1.667
3#apb#apb12#app1207/9  0.176 0.566  0.303 0.475  0.442 0.425  0.417 0.497  0.303 0.603  0.188 0.710  0.074 0.817  -0.041 0.921  -0.192 0.962  -0.347 0.973  -0.502 0.962  -0.653 0.921  -0.769 0.816  -0.876 0.703  -0.960 0.572  -1.035 0.435  -1.097 0.291  -1.142 0.142  -1.180 -0.010  -1.211 -0.163  -1.195 -0.315  -1.096 -0.428  -0.956 -0.496  -0.804 -0.496  -0.649 -0.474  -0.508 -0.408  -0.367 -0.339  -0.235 -0.256  -0.103 -0.172  0.004 -0.057  0.110 0.057  0.213 0.175  0.314 0.294  0.411 0.417  0.494 0.549  0.575 0.415  0.622 0.268  0.655 0.115  0.693 -0.037  0.733 -0.188  0.777 -0.338  0.822 -0.488  0.845 -0.642  0.863 -0.797  0.897 -0.950  0.933 -1.102  0.956 -1.257  0.982 -1.411  1.017 -1.563  1.095 -1.697
