2#apa#apa19#app1973/Q  0.086 1.059  -0.098 1.133  -0.313 1.133  -0.500 1.064  -0.674 0.964  -0.790 0.786  -0.913 0.613  -0.949 0.407  -1.023 0.209  -1.023 -0.006  -1.023 -0.221  -0.949 -0.419  -0.853 -0.611  -0.731 -0.785  -0.579 -0.937  -0.407 -1.061  -0.197 -1.085  0.018 -1.085  0.233 -1.085  0.433 -1.023  0.590 -0.877  0.718 -0.708  0.751 -0.501  0.751 -0.286  0.751 -0.071  0.751 0.144  0.667 0.340  0.552 0.518  0.421 0.685  0.325 0.877  0.154 0.996  0.027 1.152  -0.166 1.237  -0.284 1.305  -0.226 1.099  -0.161 0.894  -0.095 0.689  -0.030 0.484  0.035 0.279  0.100 0.074  0.166 -0.131  0.231 -0.336  0.234 -0.255  0.340 -0.420  0.382 -0.594  0.456 -0.778  0.557 -0.964  0.678 -1.129  0.751 -1.314  0.825 -1.455
2#apa#apa19#app1973/U  -0.725 1.197  -0.725 1.318  -0.725 1.202  -0.725 1.081  -0.725 0.960  -0.725 0.839  -0.725 0.719  -0.725 0.598  -0.725 0.477  -0.679 0.367  -0.625 0.259  -0.602 0.143  -0.602 0.022  -0.602 -0.098  -0.602 -0.219  -0.602 -0.340  -0.562 -0.444  -0.479 -0.531  -0.478 -0.652  -0.424 -0.760  -0.370 -0.868  -0.293 -0.959  -0.232 -1.055  -0.209 -1.166  -0.124 -1.252  -0.009 -1.266  0.083 -1.197  0.169 -1.111  0.254 -1.026  0.340 -0.940  0.384 -0.838  0.409 -0.723  0.463 -0.615  0.517 -0.507  0.571 -0.398  0.625 -0.290  0.630 -0.171  0.630 -0.050  0.630 0.071  0.630 0.192  0.701 0.283  0.753 0.383  0.753 0.504  0.753 0.624  0.753 0.745  0.753 0.866  0.753 0.987  0.768 1.104  0.822 1.212  0.876 1.321
2#apa#apa19#app1973/I  0.084 1.161  0.084 1.236  0.084 1.312  0.084 1.387  0.120 1.426  0.196 1.426  0.216 1.371  0.216 1.296  0.216 1.220  0.216 1.145  0.216 1.069  0.201 0.998  0.167 0.930  0.134 0.863  0.100 0.795  0.084 0.723  0.084 0.648  0.084 0.573  0.084 0.497  0.084 0.422  0.070 0.352  0.017 0.299  -0.036 0.245  -0.049 0.175  -0.049 0.100  -0.049 0.024  -0.049 -0.051  -0.049 -0.127  -0.049 -0.202  -0.049 -0.277  -0.049 -0.353  -0.049 -0.428  -0.049 -0.504  -0.049 -0.579  -0.049 -0.655  -0.049 -0.730  -0.049 -0.805  -0.073 -0.875  -0.106 -0.943  -0.140 -1.010  -0.174 -1.077  -0.181 -1.151  -0.181 -1.227  -0.181 -1.302  -0.181 -1.377  -0.181 -1.453  -0.181 -1.528  -0.181 -1.604  -0.181 -1.679  -0.181 -1.755
2#apa#apa19#app1973/C  0.853 0.677  0.853 0.773  0.853 0.868  0.764 0.875  0.754 0.961  0.672 0.974  0.655 1.053  0.580 1.073  0.484 1.073  0.388 1.073  0.293 1.073  0.215 1.030  0.142 0.974  0.048 0.968  -0.037 0.925  -0.123 0.882  -0.138 0.796  -0.191 0.722  -0.259 0.655  -0.327 0.587  -0.394 0.519  -0.452 0.445  -0.495 0.359  -0.534 0.273  -0.536 0.177  -0.579 0.092  -0.622 0.006  -0.633 -0.087  -0.633 -0.182  -0.633 -0.278  -0.633 -0.374  -0.608 -0.463  -0.565 -0.549  -0.515 -0.630  -0.448 -0.697  -0.400 -0.780  -0.357 -0.865  -0.302 -0.942  -0.235 -1.009  -0.167 -1.077  -0.089 -1.131  -0.004 -1.174  0.084 -1.206  0.180 -1.206  0.276 -1.206  0.371 -1.206  0.467 -1.206  0.563 -1.206  0.658 -1.206  0.754 -1.206
2#apa#apa19#app1973/K  -0.267 1.569  -0.434 1.681  -0.523 1.537  -0.603 1.357  -0.603 1.143  -0.603 0.929  -0.603 0.714  -0.603 0.500  -0.603 0.286  -0.603 0.072  -0.603 -0.142  -0.603 -0.356  -0.603 -0.570  -0.603 -0.784  -0.603 -0.998  -0.603 -1.212  -0.603 -1.426  -0.508 -1.314  -0.393 -1.133  -0.278 -0.953  -0.164 -0.772  -0.049 -0.591  0.066 -0.411  0.181 -0.230  0.296 -0.050  0.411 0.131  0.526 0.312  0.641 0.492  0.756 0.673  0.871 0.854  0.946 0.985  0.770 0.895  0.690 0.729  0.502 0.662  0.311 0.566  0.145 0.446  -0.061 0.427  -0.237 0.334  -0.379 0.262  -0.379 0.048  -0.264 -0.119  -0.112 -0.270  0.039 -0.421  0.222 -0.529  0.389 -0.659  0.576 -0.761  0.772 -0.817  0.941 -0.944  1.138 -1.014  1.306 -1.126
2#apa#apa19#app1973/Z  -0.733 0.933  -0.701 1.029  -0.573 1.029  -0.444 1.029  -0.316 1.029  -0.187 1.029  -0.059 1.029  0.070 1.029  0.199 1.029  0.327 1.029  0.442 0.972  0.561 0.933  0.690 0.933  0.816 0.926  0.906 0.835  0.872 0.740  0.809 0.674  0.740 0.575  0.649 0.484  0.534 0.451  0.418 0.400  0.308 0.335  0.217 0.244  0.124 0.156  0.009 0.099  -0.112 0.065  -0.215 0.005  -0.306 -0.086  -0.397 -0.177  -0.488 -0.268  -0.589 -0.345  -0.704 -0.402  -0.733 -0.513  -0.824 -0.604  -0.830 -0.730  -0.791 -0.842  -0.733 -0.947  -0.654 -0.995  -0.530 -1.007  -0.436 -1.092  -0.308 -1.092  -0.179 -1.092  -0.051 -1.092  0.078 -1.092  0.206 -1.092  0.335 -1.092  0.464 -1.092  0.592 -1.092  0.718 -1.097  0.809 -1.188
2#apa#apa19#app1973/E  0.865 1.307  0.677 1.307  0.527 1.399  0.352 1.430  0.164 1.430  -0.024 1.430  -0.212 1.430  -0.240 1.270  -0.240 1.082  -0.240 0.894  -0.318 0.738  -0.363 0.569  -0.363 0.381  -0.367 0.194  -0.451 0.026  -0.486 -0.154  -0.486 -0.342  -0.486 -0.530  -0.486 -0.718  -0.486 -0.906  -0.486 -1.094  -0.600 -1.150  -0.412 -1.150  -0.224 -1.150  -0.036 -1.150  0.149 -1.161  0.317 -1.245  0.499 -1.273  0.687 -1.273  0.859 -1.266  0.737 -1.123  0.614 -0.980  0.492 -0.838  0.370 -0.695  0.247 -0.552  0.125 -0.409  0.003 -0.267  -0.120 -0.124  -0.242 0.019  -0.364 0.162  -0.487 0.304  -0.609 0.447  -0.472 0.570  -0.284 0.570  -0.102 0.554  0.041 0.447  0.229 0.447  0.417 0.447  0.573 0.370  0.742 0.324
2#apa#apa19#app1973/P  -0.390 0.487  -0.390 0.303  -0.390 0.119  -0.390 -0.065  -0.390 -0.249  -0.390 -0.433  -0.390 -0.617  -0.390 -0.801  -0.390 -0.985  -0.390 -1.169  -0.390 -1.353  -0.390 -1.537  -0.390 -1.721  -0.390 -1.664  -0.390 -1.480  -0.390 -1.296  -0.390 -1.112  -0.390 -0.928  -0.390 -0.744  -0.390 -0.560  -0.390 -0.376  -0.390 -0.192  -0.390 -0.008  -0.386 0.175  -0.328 0.350  -0.282 0.526  -0.282 0.710  -0.282 0.894  -0.174 1.034  -0.092 1.136  -0.016 1.245  0.168 1.245  0.352 1.245  0.529 1.218  0.694 1.136  0.855 1.081  0.909 0.920  1.017 0.843  1.085 0.675  1.125 0.501  1.097 0.323  1.012 0.163  0.828 0.163  0.689 0.054  0.505 0.054  0.321 0.054  0.138 0.061  -0.026 0.143  -0.206 0.163  -0.282 0.271
2#apa#apa19#app1973/H  -0.651 1.140  -0.760 1.054  -0.760 0.859  -0.827 0.680  -0.868 0.495  -0.868 0.300  -0.868 0.106  -0.868 -0.089  -0.868 -0.284  -0.868 -0.478  -0.814 -0.650  -0.760 -0.823  -0.760 -1.017  -0.760 -1.212  -0.725 -1.090  -0.683 -0.900  -0.640 -0.710  -0.598 -0.520  -0.556 -0.330  -0.409 -0.270  -0.215 -0.272  -0.065 -0.379  0.130 -0.379  0.325 -0.379  0.448 -0.294  0.482 -0.103  0.516 0.089  0.550 0.281  0.584 0.473  0.618 0.664  0.651 0.856  0.685 1.048  0.719 1.239  0.753 1.431  0.759 1.305  0.650 1.219  0.648 1.025  0.587 0.840  0.542 0.652  0.542 0.458  0.542 0.263  0.542 0.068  0.542 -0.126  0.542 -0.321  0.542 -0.516  0.539 -0.710  0.452 -0.884  0.434 -1.074  0.434 -1.269  0.434 -1.464
2#apa#apa19#app1973/Y  -1.145 1.144  -1.104 1.219  -1.030 1.077  -0.907 1.022  -0.799 0.894  -0.799 0.721  -0.703 0.587  -0.581 0.465  -0.568 0.297  -0.525 0.134  -0.452 -0.022  -0.452 -0.195  -0.363 -0.331  -0.316 -0.472  -0.221 -0.551  -0.106 -0.609  -0.066 -0.636  0.024 -0.488  0.113 -0.339  0.202 -0.191  0.291 -0.042  0.380 0.106  0.469 0.254  0.558 0.403  0.647 0.551  0.736 0.700  0.825 0.848  0.914 0.997  1.028 1.029  0.855 1.029  0.798 0.913  0.668 0.843  0.590 0.689  0.587 0.516  0.510 0.375  0.419 0.230  0.356 0.072  0.356 -0.101  0.290 -0.258  0.212 -0.413  0.135 -0.568  0.018 -0.695  -0.062 -0.847  -0.106 -1.010  -0.119 -1.178  -0.234 -1.305  -0.311 -1.460  -0.337 -1.627  -0.337 -1.800  -0.337 -1.973
2#apa#apa19#app1973/R  -0.186 1.090  -0.263 0.901  -0.299 0.695  -0.374 0.491  -0.411 0.279  -0.411 0.058  -0.469 -0.149  -0.523 -0.358  -0.567 -0.569  -0.635 -0.774  -0.635 -0.995  -0.635 -1.216  -0.748 -1.390  -0.748 -1.372  -0.745 -1.152  -0.635 -0.976  -0.607 -0.762  -0.513 -0.562  -0.443 -0.352  -0.357 -0.149  -0.299 0.058  -0.260 0.270  -0.186 0.474  -0.162 0.689  -0.057 0.883  0.038 1.064  0.176 1.228  0.332 1.384  0.536 1.427  0.712 1.382  0.853 1.285  1.010 1.129  1.048 0.924  1.048 0.703  1.015 0.496  0.859 0.339  0.670 0.228  0.457 0.192  0.349 0.080  0.127 0.080  -0.055 -0.013  -0.186 -0.114  -0.186 -0.335  -0.133 -0.534  0.023 -0.691  0.179 -0.847  0.336 -1.003  0.487 -1.096  0.649 -1.155  0.824 -1.267
