2#app#app11#app1169/E  0.377 1.098  0.544 1.098  0.711 1.098  0.584 1.098  0.417 1.098  0.250 1.098  0.082 1.098  -0.085 1.098  -0.206 0.987  -0.370 0.980  -0.512 0.918  -0.656 0.862  -0.783 0.765  -0.901 0.647  -0.922 0.488  -0.922 0.321  -0.922 0.154  -0.804 0.105  -0.804 -0.062  -0.804 -0.230  -0.804 -0.397  -0.804 -0.564  -0.804 -0.731  -0.729 -0.867  -0.686 -1.017  -0.568 -1.066  -0.481 -1.146  -0.314 -1.146  -0.147 -1.146  0.020 -1.146  0.139 -1.030  0.306 -1.028  0.473 -1.028  0.522 -0.910  0.689 -0.910  0.744 -0.785  0.760 -0.619  0.777 -0.453  0.794 -0.286  0.810 -0.120  0.827 0.046  0.843 0.213  0.849 0.380  0.810 0.271  0.643 0.271  0.516 0.174  0.357 0.153  0.210 0.104  0.072 0.035  -0.096 0.035
2#app#app08#app0867/E  -0.625 1.143  -0.625 1.115  -0.625 0.877  -0.662 0.647  -0.731 0.425  -0.731 0.187  -0.829 -0.010  -0.836 -0.245  -0.836 -0.484  -0.757 -0.703  -0.625 -0.892  -0.509 -1.082  -0.310 -1.176  -0.072 -1.176  0.166 -1.176  0.404 -1.176  0.642 -1.175  0.868 -1.100  1.059 -0.968  1.047 -0.913  0.829 -0.818  0.611 -0.723  0.393 -0.627  0.175 -0.532  -0.044 -0.436  -0.262 -0.341  -0.480 -0.245  -0.325 -0.228  -0.087 -0.228  0.151 -0.228  0.389 -0.228  0.627 -0.228  0.644 -0.161  0.446 -0.029  0.248 0.104  0.050 0.236  -0.148 0.368  -0.347 0.500  -0.545 0.632  -0.743 0.764  -0.710 0.826  -0.472 0.826  -0.242 0.860  -0.020 0.932  0.187 1.006  0.412 1.037  0.638 1.089  0.863 1.149  1.077 1.248  1.272 1.353
1b#ced#cypl9614_s_jd/E  0.081 0.984  -0.099 0.984  -0.295 0.984  -0.448 0.957  -0.295 0.930  -0.086 0.968  0.127 0.990  0.341 1.016  0.556 1.037  0.770 1.064  0.966 1.042  0.869 1.012  0.655 0.969  0.441 0.926  0.227 0.884  0.014 0.841  -0.200 0.798  -0.414 0.755  -0.566 0.768  -0.620 0.696  -0.599 0.483  -0.593 0.266  -0.593 0.048  -0.566 -0.167  -0.561 -0.384  -0.539 -0.600  -0.539 -0.818  -0.539 -1.036  -0.539 -1.254  -0.494 -1.443  -0.282 -1.416  -0.081 -1.335  0.126 -1.266  0.333 -1.197  0.542 -1.146  0.750 -1.092  0.951 -1.021  0.967 -0.917  0.770 -0.823  0.574 -0.728  0.377 -0.634  0.180 -0.539  -0.016 -0.445  -0.213 -0.351  -0.415 -0.283  -0.593 -0.191  -0.428 -0.122  -0.215 -0.095  -0.000 -0.061  0.216 -0.041
1b#ced#cypl9614_s_jd/E  0.127 1.001  -0.037 1.096  -0.207 1.080  -0.385 1.039  -0.300 1.027  -0.099 1.027  0.101 1.027  0.302 1.027  0.498 1.001  0.694 1.027  0.890 1.001  0.807 1.005  0.609 0.974  0.411 0.942  0.213 0.911  0.015 0.879  -0.183 0.848  -0.350 0.816  -0.493 0.750  -0.532 0.566  -0.532 0.365  -0.532 0.165  -0.506 -0.031  -0.506 -0.232  -0.484 -0.430  -0.479 -0.630  -0.453 -0.827  -0.430 -1.022  -0.424 -1.221  -0.374 -1.407  -0.266 -1.531  -0.070 -1.511  0.119 -1.455  0.308 -1.400  0.492 -1.322  0.655 -1.214  0.820 -1.128  0.711 -0.993  0.562 -0.859  0.413 -0.725  0.264 -0.591  0.115 -0.457  -0.034 -0.322  -0.183 -0.188  -0.362 -0.113  -0.544 -0.054  -0.383 -0.028  -0.190 0.016  0.006 0.048  0.206 0.051
1b#ced#cypl9614_s_jd/E  0.596 0.853  0.678 0.981  0.627 1.123  0.525 1.245  0.376 1.305  0.217 1.319  0.058 1.295  -0.099 1.252  -0.247 1.185  -0.384 1.106  -0.512 1.006  -0.627 0.891  -0.731 0.768  -0.813 0.628  -0.830 0.468  -0.792 0.312  -0.682 0.197  -0.533 0.134  -0.377 0.090  -0.218 0.058  -0.058 0.036  0.104 0.030  0.264 0.050  0.423 0.073  0.580 0.113  0.626 0.195  0.474 0.202  0.314 0.192  0.169 0.120  0.012 0.092  -0.126 0.006  -0.248 -0.100  -0.361 -0.211  -0.468 -0.332  -0.538 -0.477  -0.617 -0.619  -0.638 -0.778  -0.601 -0.930  -0.490 -1.033  -0.350 -1.108  -0.197 -1.155  -0.036 -1.176  0.126 -1.186  0.287 -1.203  0.449 -1.203  0.612 -1.203  0.772 -1.179  0.934 -1.174  1.093 -1.137  1.254 -1.121
1b#ced#cypl9614_s_jd/E  -0.059 1.158  -0.236 1.100  -0.296 1.134  -0.099 1.158  0.100 1.179  0.298 1.211  0.495 1.238  0.539 1.264  0.341 1.227  0.143 1.189  -0.055 1.152  -0.244 1.089  -0.426 1.030  -0.564 0.905  -0.631 0.733  -0.635 0.532  -0.659 0.335  -0.639 0.137  -0.622 -0.063  -0.599 -0.261  -0.550 -0.457  -0.504 -0.653  -0.452 -0.847  -0.407 -1.040  -0.333 -1.225  -0.201 -1.327  -0.011 -1.269  0.184 -1.228  0.373 -1.161  0.562 -1.095  0.757 -1.045  0.943 -0.967  1.130 -0.897  1.237 -0.777  1.051 -0.701  0.865 -0.624  0.678 -0.547  0.492 -0.470  0.306 -0.393  0.120 -0.316  -0.066 -0.240  -0.253 -0.164  -0.450 -0.139  -0.646 -0.115  -0.649 -0.067  -0.457 -0.024  -0.261 0.014  -0.066 0.063  0.129 0.115  0.326 0.149
2#tos#t2#t2032064/E  -0.491 1.091  -0.678 1.018  -0.522 1.017  -0.290 1.017  -0.059 1.017  0.173 1.017  0.405 1.017  0.637 1.017  0.831 1.054  0.798 1.072  0.569 1.104  0.339 1.136  0.110 1.168  -0.120 1.200  -0.349 1.232  -0.491 1.151  -0.475 0.926  -0.453 0.703  -0.416 0.480  -0.416 0.248  -0.416 0.017  -0.381 -0.180  -0.379 -0.409  -0.379 -0.641  -0.379 -0.873  -0.379 -1.105  -0.416 -1.299  -0.377 -1.075  -0.338 -0.847  -0.299 -0.618  -0.260 -0.390  -0.221 -0.161  -0.219 -0.047  -0.020 -0.068  0.212 -0.068  0.443 -0.068  0.445 -0.141  0.282 -0.305  0.118 -0.468  -0.046 -0.632  -0.210 -0.796  -0.347 -0.971  -0.228 -1.040  0.004 -1.040  0.235 -1.040  0.467 -1.040  0.699 -1.040  0.931 -1.040  1.125 -1.077  1.229 -1.226
1b#uqb#re/E  -0.635 0.907  -0.632 0.794  -0.654 0.539  -0.638 0.283  -0.656 0.040  -0.765 -0.193  -0.801 -0.446  -0.719 -0.690  -0.546 -0.884  -0.335 -1.029  -0.099 -1.132  0.159 -1.160  0.417 -1.177  0.677 -1.178  0.934 -1.150  1.191 -1.141  1.449 -1.156  1.485 -0.985  1.292 -0.813  1.081 -0.662  0.869 -0.511  0.658 -0.361  0.447 -0.210  0.236 -0.059  0.025 0.091  -0.187 0.242  -0.398 0.393  -0.609 0.543  -0.820 0.694  -1.008 0.847  -0.790 0.983  -0.543 0.991  -0.285 0.994  -0.030 1.034  0.223 1.090  0.474 1.146  0.528 1.124  0.333 0.953  0.138 0.782  -0.057 0.611  -0.252 0.440  -0.447 0.269  -0.643 0.098  -0.747 -0.061  -0.487 -0.061  -0.233 -0.098  0.006 -0.190  0.260 -0.225  0.516 -0.185  0.617 -0.132
1b#uqb#re/E  -0.377 0.672  -0.529 0.881  -0.621 0.934  -0.556 0.683  -0.630 0.433  -0.646 0.179  -0.635 -0.079  -0.630 -0.339  -0.702 -0.591  -0.672 -0.845  -0.488 -1.029  -0.286 -1.196  -0.071 -1.345  0.160 -1.461  0.413 -1.527  0.667 -1.479  0.910 -1.386  1.152 -1.290  1.047 -1.136  0.857 -0.961  0.703 -0.750  0.548 -0.538  0.394 -0.327  0.240 -0.115  0.085 0.096  -0.069 0.308  -0.224 0.519  -0.378 0.731  -0.532 0.942  -0.687 1.154  -0.531 1.178  -0.269 1.189  -0.017 1.126  0.244 1.117  0.500 1.069  0.757 1.024  0.791 0.974  0.574 0.829  0.356 0.683  0.138 0.537  -0.079 0.391  -0.297 0.245  -0.514 0.100  -0.696 -0.061  -0.480 -0.178  -0.229 -0.243  0.016 -0.304  0.274 -0.272  0.536 -0.286  0.482 -0.253
1b#uqb#re/E  -0.692 1.055  -0.652 0.879  -0.725 0.631  -0.796 0.380  -0.838 0.124  -0.835 -0.137  -0.769 -0.390  -0.719 -0.646  -0.609 -0.876  -0.424 -1.056  -0.188 -1.164  0.060 -1.247  0.311 -1.317  0.569 -1.348  0.830 -1.348  1.090 -1.338  1.193 -1.210  1.002 -1.049  0.803 -0.886  0.644 -0.679  0.486 -0.471  0.327 -0.264  0.168 -0.056  0.009 0.151  -0.150 0.358  -0.308 0.566  -0.467 0.773  -0.605 0.983  -0.347 1.003  -0.086 1.027  0.175 1.036  0.436 1.045  0.697 1.054  0.958 1.068  0.969 0.962  0.710 0.932  0.485 0.799  0.261 0.665  0.036 0.532  -0.189 0.398  -0.413 0.265  -0.638 0.132  -0.863 -0.002  -0.865 -0.053  -0.606 -0.022  -0.346 -0.044  -0.105 -0.133  0.129 -0.245  0.332 -0.390  0.557 -0.445
1b#uqb#re/E  -0.449 1.052  -0.498 0.931  -0.545 0.704  -0.605 0.481  -0.732 0.288  -0.769 0.059  -0.811 -0.168  -0.827 -0.398  -0.815 -0.629  -0.764 -0.853  -0.651 -1.052  -0.465 -1.186  -0.246 -1.255  -0.017 -1.284  0.209 -1.337  0.432 -1.398  0.660 -1.441  0.879 -1.425  1.075 -1.328  1.062 -1.109  0.965 -0.902  0.841 -0.706  0.718 -0.510  0.594 -0.315  0.470 -0.119  0.346 0.077  0.222 0.273  0.099 0.469  -0.025 0.664  -0.149 0.860  -0.272 1.039  -0.041 1.039  0.187 1.069  0.412 1.125  0.639 1.169  0.690 1.067  0.501 0.938  0.301 0.821  0.102 0.704  -0.098 0.588  -0.298 0.471  -0.498 0.354  -0.698 0.237  -0.834 0.122  -0.617 0.065  -0.385 0.073  -0.158 0.101  0.063 0.168  0.287 0.208  0.516 0.204
