2#apa#apa19#app1965/f  0.718 1.156  0.670 1.242  0.624 1.336  0.530 1.431  0.423 1.499  0.314 1.560  0.190 1.584  0.119 1.521  0.015 1.480  -0.052 1.373  -0.052 1.239  -0.088 1.120  -0.138 1.006  -0.138 0.871  -0.138 0.737  -0.138 0.603  -0.098 0.478  -0.052 0.354  -0.052 0.220  -0.052 0.086  -0.011 -0.039  0.034 -0.163  0.034 -0.297  0.119 -0.396  0.119 -0.530  0.168 -0.653  0.205 -0.778  0.205 -0.913  0.250 -1.028  0.290 -1.146  0.290 -1.280  0.288 -1.410  0.189 -1.319  0.090 -1.228  -0.009 -1.137  -0.108 -1.047  -0.207 -0.956  -0.306 -0.865  -0.405 -0.774  -0.504 -0.684  -0.603 -0.593  -0.702 -0.502  -0.651 -0.469  -0.601 -0.384  -0.467 -0.384  -0.332 -0.384  -0.198 -0.384  -0.064 -0.384  0.071 -0.384  0.205 -0.384
2#apa#apa19#app1965/e  -0.879 -0.290  -0.719 -0.290  -0.560 -0.290  -0.549 -0.141  -0.405 -0.125  -0.245 -0.125  -0.086 -0.125  0.074 -0.125  0.198 -0.039  0.311 0.074  0.424 0.187  0.576 0.206  0.736 0.206  0.860 0.293  0.987 0.371  1.104 0.414  1.104 0.574  1.104 0.734  1.085 0.886  0.972 0.999  0.826 1.032  0.666 1.032  0.507 1.032  0.347 1.032  0.187 1.032  0.052 0.972  -0.064 0.867  -0.224 0.867  -0.384 0.867  -0.497 0.754  -0.610 0.641  -0.714 0.524  -0.714 0.364  -0.714 0.205  -0.714 0.045  -0.714 -0.115  -0.714 -0.275  -0.714 -0.435  -0.714 -0.594  -0.714 -0.754  -0.623 -0.876  -0.510 -0.989  -0.397 -1.102  -0.284 -1.215  -0.152 -1.281  0.002 -1.309  0.145 -1.380  0.289 -1.447  0.448 -1.447  0.608 -1.447
2#apa#apa19#app1965/w  -1.286 0.604  -1.308 0.439  -1.428 0.314  -1.428 0.140  -1.428 -0.034  -1.428 -0.208  -1.333 -0.343  -1.286 -0.497  -1.146 -0.532  -1.022 -0.653  -0.857 -0.674  -0.682 -0.674  -0.508 -0.674  -0.363 -0.604  -0.292 -0.459  -0.187 -0.390  -0.150 -0.253  -0.074 -0.097  -0.008 0.062  -0.008 0.236  -0.008 0.410  -0.008 0.584  -0.017 0.755  -0.140 0.878  -0.150 0.728  -0.150 0.554  -0.150 0.380  -0.150 0.205  -0.084 0.047  -0.006 -0.108  0.118 -0.231  0.241 -0.355  0.364 -0.478  0.487 -0.601  0.631 -0.674  0.805 -0.674  0.979 -0.674  1.128 -0.649  1.154 -0.481  1.232 -0.325  1.270 -0.160  1.270 0.014  1.162 0.144  1.128 0.303  1.117 0.473  0.994 0.596  0.871 0.719  0.844 0.882  0.725 1.007  0.560 1.030
2#apa#apa19#app1965/q  0.079 1.241  -0.158 1.241  -0.357 1.149  -0.571 1.053  -0.739 0.885  -0.841 0.691  -0.936 0.476  -0.936 0.239  -0.907 0.014  -0.734 -0.142  -0.497 -0.142  -0.260 -0.142  -0.032 -0.105  0.159 0.031  0.327 0.198  0.447 0.385  0.447 0.623  0.447 0.860  0.447 1.097  0.301 1.241  0.156 1.334  -0.014 1.266  -0.065 1.035  -0.137 0.811  -0.198 0.588  -0.198 0.351  -0.198 0.114  -0.198 -0.123  -0.198 -0.360  -0.198 -0.597  -0.198 -0.834  -0.198 -1.071  -0.198 -1.309  -0.189 -1.543  -0.106 -1.761  0.053 -1.894  0.171 -1.721  0.263 -1.522  0.329 -1.300  0.355 -1.069  0.355 -0.832  0.355 -0.595  0.355 -0.358  0.341 -0.127  0.228 0.043  0.259 0.135  0.496 0.135  0.733 0.135  0.970 0.135  1.185 0.043
2#apa#apa19#app1965/u  -0.486 1.154  -0.486 1.267  -0.554 1.311  -0.667 1.311  -0.780 1.311  -0.800 1.219  -0.800 1.106  -0.800 0.993  -0.800 0.880  -0.769 0.775  -0.718 0.674  -0.668 0.573  -0.643 0.466  -0.643 0.353  -0.643 0.241  -0.643 0.128  -0.617 0.026  -0.537 -0.054  -0.486 -0.146  -0.486 -0.258  -0.486 -0.371  -0.440 -0.465  -0.361 -0.545  -0.328 -0.645  -0.306 -0.735  -0.193 -0.735  -0.107 -0.799  -0.027 -0.879  0.053 -0.959  0.133 -1.038  0.241 -1.049  0.354 -1.049  0.464 -1.044  0.544 -0.964  0.616 -0.881  0.616 -0.768  0.672 -0.678  0.752 -0.599  0.773 -0.494  0.800 -0.393  0.880 -0.313  0.931 -0.221  0.931 -0.108  0.931 0.005  0.931 0.117  0.931 0.230  0.931 0.343  0.931 0.456  0.931 0.569  0.931 0.682
2#apa#apa19#app1965/i  -0.248 0.427  -0.341 0.521  -0.404 0.627  -0.404 0.720  -0.404 0.588  -0.495 0.493  -0.561 0.388  -0.561 0.255  -0.561 0.123  -0.561 -0.010  -0.561 -0.142  -0.561 -0.275  -0.561 -0.407  -0.561 -0.540  -0.559 -0.672  -0.500 -0.790  -0.441 -0.909  -0.404 -1.033  -0.385 -1.157  -0.291 -1.251  -0.177 -1.295  -0.044 -1.295  0.088 -1.295  0.221 -1.295  0.353 -1.295  0.378 -1.188  0.378 -1.055  0.378 -0.923  0.378 -0.790  0.378 -0.658  0.378 -0.525  0.378 -0.393  0.378 -0.260  0.378 -0.128  0.378 0.005  0.378 0.137  0.378 0.270  0.378 0.402  0.378 0.535  0.378 0.667  0.378 0.800  0.378 0.932  0.378 1.065  0.378 1.197  0.378 1.330  0.378 1.462  0.378 1.595  0.330 1.679  0.198 1.679  0.065 1.679
2#apa#apa19#app1965/p  -0.201 -0.098  -0.340 -0.147  -0.381 -0.288  -0.381 -0.447  -0.381 -0.606  -0.381 -0.765  -0.381 -0.924  -0.322 -1.058  -0.273 -1.196  -0.161 -1.309  -0.111 -1.447  -0.021 -1.381  -0.118 -1.262  -0.201 -1.138  -0.262 -0.997  -0.350 -0.865  -0.427 -0.726  -0.498 -0.584  -0.569 -0.442  -0.640 -0.300  -0.651 -0.144  -0.651 0.015  -0.651 0.174  -0.651 0.333  -0.651 0.491  -0.651 0.650  -0.646 0.807  -0.534 0.920  -0.440 1.045  -0.357 1.175  -0.215 1.246  -0.057 1.253  0.101 1.253  0.259 1.247  0.401 1.176  0.543 1.105  0.669 1.012  0.782 0.900  0.894 0.788  0.986 0.663  1.036 0.512  1.059 0.357  1.059 0.198  1.059 0.039  0.959 -0.058  0.830 -0.147  0.691 -0.196  0.567 -0.278  0.408 -0.278  0.249 -0.278
2#apa#apa19#app1965/s  0.360 0.631  0.492 0.637  0.480 0.763  0.347 0.776  0.249 0.874  0.227 1.004  0.113 1.028  -0.026 1.028  -0.164 1.028  -0.303 1.028  -0.441 1.028  -0.580 1.028  -0.713 1.015  -0.811 0.917  -0.940 0.896  -0.965 0.782  -0.965 0.643  -0.838 0.631  -0.739 0.537  -0.641 0.439  -0.536 0.350  -0.412 0.288  -0.288 0.227  -0.164 0.165  -0.040 0.103  0.097 0.100  0.221 0.038  0.345 -0.024  0.482 -0.031  0.607 -0.089  0.731 -0.151  0.866 -0.164  0.889 -0.279  0.889 -0.418  0.889 -0.556  0.888 -0.694  0.790 -0.792  0.692 -0.890  0.582 -0.958  0.458 -0.993  0.360 -1.091  0.221 -1.091  0.086 -1.099  -0.012 -1.197  -0.140 -1.223  -0.278 -1.223  -0.417 -1.223  -0.555 -1.223  -0.694 -1.223  -0.700 -1.355
2#apa#apa19#app1965/g  0.247 0.322  0.247 0.485  0.145 0.609  0.066 0.749  0.002 0.886  -0.107 1.003  -0.222 1.118  -0.341 1.222  -0.504 1.222  -0.665 1.216  -0.811 1.143  -0.898 1.018  -0.980 0.889  -0.980 0.727  -0.979 0.564  -0.906 0.419  -0.817 0.292  -0.717 0.190  -0.562 0.158  -0.399 0.158  -0.237 0.158  -0.074 0.158  0.063 0.220  0.166 0.292  0.166 0.455  0.166 0.618  0.084 0.600  0.105 0.443  0.181 0.299  0.271 0.164  0.370 0.035  0.458 -0.099  0.531 -0.245  0.620 -0.378  0.735 -0.493  0.839 -0.616  0.912 -0.762  0.984 -0.908  0.984 -1.070  0.926 -1.209  0.787 -1.291  0.630 -1.315  0.467 -1.315  0.306 -1.307  0.152 -1.256  -0.007 -1.233  -0.169 -1.229  -0.315 -1.157  -0.432 -1.045  -0.489 -0.906
2#apa#apa19#app1965/a  -0.758 0.610  -0.688 0.739  -0.629 0.879  -0.571 1.055  -0.430 1.196  -0.256 1.256  -0.056 1.256  0.143 1.256  0.285 1.117  0.435 0.997  0.534 0.897  0.655 0.748  0.663 0.552  0.663 0.352  0.594 0.222  0.394 0.222  0.195 0.222  0.002 0.237  -0.150 0.351  -0.350 0.351  -0.549 0.351  -0.749 0.351  -0.930 0.309  -1.094 0.222  -1.146 0.075  -1.146 -0.125  -1.146 -0.324  -1.075 -0.494  -0.900 -0.553  -0.847 -0.723  -0.684 -0.811  -0.484 -0.811  -0.285 -0.811  -0.086 -0.811  0.114 -0.811  0.302 -0.785  0.459 -0.682  0.534 -0.558  0.534 -0.358  0.534 -0.159  0.457 -0.036  0.405 -0.183  0.405 -0.383  0.517 -0.536  0.658 -0.677  0.799 -0.818  0.940 -0.959  1.093 -1.070  1.259 -1.149  1.438 -1.199
2#apa#apa19#app1965/l  0.007 1.527  -0.065 1.527  -0.137 1.527  -0.192 1.510  -0.192 1.438  -0.192 1.366  -0.192 1.294  -0.192 1.223  -0.192 1.151  -0.192 1.079  -0.192 1.007  -0.192 0.935  -0.162 0.870  -0.129 0.806  -0.097 0.742  -0.092 0.671  -0.092 0.599  -0.092 0.527  -0.092 0.455  -0.092 0.383  -0.092 0.312  -0.092 0.240  -0.063 0.175  -0.030 0.110  0.002 0.046  0.007 -0.024  0.007 -0.096  0.007 -0.168  0.007 -0.240  0.019 -0.310  0.037 -0.380  0.054 -0.450  0.071 -0.520  0.089 -0.589  0.106 -0.659  0.107 -0.731  0.107 -0.803  0.107 -0.875  0.107 -0.947  0.107 -1.019  0.129 -1.081  0.180 -1.132  0.206 -1.193  0.206 -1.265  0.206 -1.337  0.206 -1.409  0.206 -1.481  0.206 -1.552  0.255 -1.604  0.306 -1.655
