2#app#app32#app3259/A  -0.187 1.328  -0.187 1.083  -0.294 0.863  -0.313 0.622  -0.313 0.377  -0.341 0.139  -0.438 -0.083  -0.438 -0.328  -0.438 -0.573  -0.438 -0.818  -0.438 -1.063  -0.438 -1.309  -0.438 -1.554  -0.564 -1.454  -0.564 -1.209  -0.564 -0.964  -0.564 -0.719  -0.527 -0.483  -0.438 -0.259  -0.438 -0.014  -0.438 0.231  -0.369 0.460  -0.313 0.692  -0.263 0.925  -0.187 1.152  -0.156 1.390  -0.061 1.613  0.084 1.686  0.190 1.485  0.332 1.296  0.442 1.077  0.442 0.832  0.517 0.599  0.606 0.371  0.693 0.146  0.713 -0.094  0.819 -0.314  0.820 -0.558  0.945 -0.678  1.059 -0.809  1.070 -0.827  0.970 -0.667  0.729 -0.627  0.487 -0.586  0.245 -0.546  0.003 -0.506  -0.238 -0.465  -0.438 -0.390  -0.280 -0.290  -0.061 -0.181
2#app#app32#app3259/Q  -0.739 1.014  -0.852 0.874  -0.852 0.687  -0.930 0.519  -0.965 0.340  -0.965 0.153  -0.965 -0.034  -0.965 -0.220  -0.965 -0.407  -0.965 -0.594  -0.965 -0.781  -0.922 -0.950  -0.852 -1.108  -0.691 -1.133  -0.504 -1.133  -0.317 -1.133  -0.130 -1.133  0.022 -1.049  0.154 -0.917  0.319 -0.830  0.391 -0.688  0.552 -0.600  0.668 -0.466  0.730 -0.293  0.736 -0.109  0.843 0.034  0.843 0.220  0.843 0.407  0.820 0.585  0.730 0.734  0.716 0.915  0.617 1.061  0.498 1.133  0.356 1.240  0.169 1.240  -0.018 1.240  -0.163 1.139  -0.127 0.963  -0.076 0.783  -0.025 0.604  0.027 0.424  0.119 0.269  0.171 0.103  0.278 -0.039  0.388 -0.116  0.441 -0.279  0.504 -0.440  0.617 -0.580  0.677 -0.742  0.730 -0.907
2#app#app32#app3259/u  -0.971 0.845  -0.855 0.845  -0.818 0.768  -0.818 0.653  -0.818 0.537  -0.818 0.422  -0.818 0.307  -0.788 0.204  -0.706 0.123  -0.665 0.025  -0.665 -0.090  -0.665 -0.206  -0.665 -0.321  -0.665 -0.436  -0.650 -0.545  -0.568 -0.626  -0.512 -0.718  -0.512 -0.833  -0.432 -0.915  -0.360 -1.001  -0.360 -1.116  -0.269 -1.140  -0.154 -1.140  -0.043 -1.129  0.038 -1.047  0.120 -0.966  0.201 -0.884  0.283 -0.803  0.364 -0.721  0.430 -0.629  0.482 -0.526  0.533 -0.423  0.556 -0.313  0.556 -0.198  0.556 -0.083  0.603 0.022  0.654 0.125  0.706 0.228  0.709 0.342  0.709 0.457  0.709 0.572  0.709 0.687  0.709 0.803  0.709 0.918  0.709 1.033  0.709 1.148  0.709 1.263  0.709 1.379  0.709 1.494  0.709 1.609
2#app#app32#app3259/i  0.029 0.472  0.029 0.351  0.029 0.230  0.029 0.110  -0.055 0.023  -0.140 -0.062  -0.154 -0.177  -0.154 -0.298  -0.154 -0.419  -0.154 -0.539  -0.154 -0.660  -0.154 -0.781  -0.058 -0.806  0.029 -0.840  0.029 -0.961  0.029 -1.081  0.029 -1.202  0.029 -1.323  0.029 -1.444  0.029 -1.508  0.029 -1.387  0.029 -1.267  0.029 -1.146  0.029 -1.025  0.029 -0.904  0.029 -0.783  0.029 -0.663  0.029 -0.542  0.029 -0.421  0.029 -0.300  0.029 -0.180  0.029 -0.059  0.029 0.062  0.029 0.183  0.029 0.303  0.029 0.424  0.029 0.545  0.029 0.666  0.029 0.786  0.029 0.907  0.029 1.028  0.029 1.149  0.029 1.270  0.029 1.390  0.029 1.511  0.029 1.632  0.029 1.753  0.029 1.873  0.029 1.994  0.029 2.115
2#app#app32#app3259/c  0.534 1.204  0.534 1.287  0.528 1.364  0.445 1.364  0.361 1.364  0.278 1.364  0.201 1.350  0.142 1.292  0.083 1.233  0.055 1.162  0.055 1.079  0.020 1.010  -0.039 0.951  -0.097 0.892  -0.137 0.820  -0.175 0.746  -0.212 0.671  -0.249 0.597  -0.265 0.518  -0.265 0.435  -0.265 0.352  -0.265 0.268  -0.265 0.185  -0.265 0.102  -0.265 0.019  -0.265 -0.064  -0.265 -0.147  -0.265 -0.230  -0.265 -0.313  -0.265 -0.396  -0.265 -0.479  -0.265 -0.563  -0.265 -0.646  -0.265 -0.729  -0.265 -0.812  -0.250 -0.889  -0.191 -0.947  -0.132 -1.006  -0.060 -1.033  0.023 -1.033  0.055 -1.085  0.055 -1.168  0.112 -1.193  0.195 -1.193  0.278 -1.193  0.361 -1.193  0.374 -1.263  0.374 -1.347  0.451 -1.353  0.534 -1.353
2#app#app32#app3259/k  -0.490 1.332  -0.694 1.282  -0.797 1.101  -0.797 0.876  -0.752 0.671  -0.612 0.499  -0.512 0.299  -0.490 0.080  -0.490 -0.145  -0.490 -0.369  -0.490 -0.593  -0.490 -0.817  -0.490 -1.041  -0.490 -1.266  -0.644 -1.336  -0.578 -1.328  -0.461 -1.137  -0.345 -0.945  -0.228 -0.754  -0.111 -0.563  0.006 -0.372  0.123 -0.180  0.240 0.011  0.357 0.202  0.474 0.394  0.591 0.585  0.707 0.776  0.824 0.967  0.941 1.159  1.069 1.332  1.201 1.239  1.047 1.169  0.967 1.024  0.893 0.874  0.737 0.715  0.579 0.556  0.420 0.398  0.262 0.239  0.103 0.081  -0.055 -0.078  -0.227 -0.205  -0.336 -0.320  -0.368 -0.513  -0.490 -0.615  -0.471 -0.820  -0.247 -0.820  -0.023 -0.820  0.179 -0.874  0.362 -0.974  0.586 -0.974
2#app#app32#app3259/B  -0.110 0.811  -0.237 0.702  -0.364 0.519  -0.469 0.326  -0.491 0.099  -0.491 -0.137  -0.491 -0.372  -0.491 -0.608  -0.491 -0.844  -0.376 -0.965  -0.388 -0.998  -0.445 -0.769  -0.502 -0.540  -0.559 -0.311  -0.617 -0.083  -0.674 0.146  -0.731 0.375  -0.788 0.604  -0.845 0.833  -0.871 1.065  -0.667 1.142  -0.452 1.192  -0.216 1.192  0.020 1.192  0.256 1.192  0.464 1.125  0.651 1.040  0.651 0.804  0.569 0.602  0.402 0.436  0.168 0.430  -0.015 0.303  -0.224 0.303  0.012 0.303  0.248 0.303  0.484 0.303  0.700 0.255  0.778 0.051  0.882 -0.160  1.031 -0.338  1.031 -0.574  1.031 -0.810  1.031 -1.046  0.894 -1.219  0.671 -1.272  0.452 -1.346  0.217 -1.346  -0.019 -1.346  -0.255 -1.346  -0.364 -1.219
2#app#app32#app3259/r  0.015 1.047  0.015 0.905  0.015 0.763  0.015 0.621  0.015 0.479  -0.054 0.366  -0.155 0.266  -0.189 0.138  -0.189 -0.004  -0.189 -0.146  -0.189 -0.288  -0.189 -0.430  -0.189 -0.572  -0.189 -0.714  -0.189 -0.856  -0.187 -0.997  -0.087 -1.097  0.014 -1.197  0.015 -1.339  0.015 -1.481  0.015 -1.591  0.015 -1.449  -0.081 -1.403  -0.189 -1.369  -0.189 -1.227  -0.189 -1.085  -0.189 -0.943  -0.189 -0.801  -0.189 -0.659  -0.189 -0.517  -0.189 -0.376  -0.189 -0.234  -0.189 -0.092  -0.189 0.050  -0.189 0.192  -0.189 0.334  -0.160 0.464  -0.060 0.564  0.015 0.676  0.015 0.818  0.015 0.960  0.053 1.086  0.153 1.186  0.254 1.286  0.354 1.387  0.468 1.456  0.610 1.456  0.752 1.456  0.894 1.456  1.036 1.456
2#app#app32#app3259/o  -0.254 1.112  -0.254 0.982  -0.333 0.884  -0.426 0.792  -0.518 0.699  -0.589 0.591  -0.647 0.474  -0.709 0.360  -0.801 0.267  -0.849 0.157  -0.881 0.039  -0.973 -0.053  -0.998 -0.174  -0.998 -0.304  -0.998 -0.435  -0.998 -0.566  -0.975 -0.673  -0.845 -0.677  -0.753 -0.769  -0.661 -0.862  -0.568 -0.954  -0.444 -0.971  -0.314 -0.971  -0.183 -0.971  -0.052 -0.971  0.068 -0.946  0.160 -0.854  0.278 -0.822  0.389 -0.774  0.481 -0.682  0.574 -0.590  0.677 -0.524  0.788 -0.504  0.789 -0.374  0.882 -0.282  0.936 -0.174  0.936 -0.043  0.936 0.088  0.936 0.218  0.936 0.349  0.887 0.468  0.828 0.585  0.788 0.706  0.788 0.837  0.784 0.964  0.654 0.964  0.557 1.046  0.454 1.112  0.323 1.112  0.192 1.112
2#app#app32#app3259/w  -1.424 0.800  -1.420 0.651  -1.314 0.545  -1.279 0.409  -1.232 0.270  -1.164 0.136  -1.134 -0.007  -1.134 -0.157  -1.134 -0.307  -1.065 -0.429  -0.988 -0.548  -0.942 -0.651  -0.843 -0.600  -0.786 -0.506  -0.636 -0.506  -0.553 -0.439  -0.502 -0.310  -0.408 -0.199  -0.386 -0.071  -0.263 -0.043  -0.263 0.107  -0.225 0.220  -0.087 0.250  0.019 0.356  0.028 0.227  0.028 0.077  0.028 -0.074  0.033 -0.222  0.140 -0.328  0.173 -0.464  0.281 -0.506  0.431 -0.506  0.582 -0.506  0.732 -0.506  0.882 -0.506  1.032 -0.506  1.183 -0.506  1.189 -0.362  1.189 -0.212  1.189 -0.062  1.189 0.089  1.189 0.239  1.164 0.365  1.044 0.394  1.044 0.544  1.044 0.695  0.999 0.800  0.863 0.835  0.757 0.942  0.753 1.090
2#app#app32#app3259/n  -0.973 0.330  -0.973 0.210  -0.973 0.090  -0.973 -0.030  -0.973 -0.150  -0.973 -0.271  -0.969 -0.390  -0.915 -0.497  -0.861 -0.605  -0.831 -0.718  -0.831 -0.838  -0.831 -0.943  -0.831 -0.822  -0.831 -0.702  -0.831 -0.582  -0.787 -0.480  -0.702 -0.395  -0.689 -0.280  -0.654 -0.169  -0.600 -0.061  -0.546 0.046  -0.546 0.167  -0.458 0.232  -0.351 0.286  -0.250 0.348  -0.184 0.448  -0.117 0.548  -0.050 0.648  0.016 0.748  0.132 0.757  0.252 0.757  0.372 0.757  0.492 0.757  0.592 0.737  0.592 0.616  0.710 0.615  0.802 0.547  0.887 0.462  0.972 0.377  1.057 0.292  1.142 0.207  1.161 0.094  1.211 -0.005  1.296 -0.090  1.303 -0.207  1.303 -0.327  1.303 -0.448  1.303 -0.568  1.303 -0.688  1.303 -0.808
2#app#app32#app3259/F  0.638 1.196  0.614 0.968  0.410 0.854  0.393 0.609  0.296 0.397  0.252 0.152  0.182 -0.088  0.182 -0.340  0.182 -0.592  0.182 -0.844  0.190 -1.093  0.296 -1.301  0.410 -1.506  0.266 -1.380  0.099 -1.192  -0.068 -1.003  -0.236 -0.815  -0.403 -0.627  -0.571 -0.438  -0.738 -0.250  -0.906 -0.062  -1.073 0.127  -1.240 0.315  -1.408 0.503  -1.222 0.626  -0.981 0.672  -0.745 0.740  -0.518 0.846  -0.268 0.854  -0.017 0.861  0.228 0.923  0.474 0.968  0.726 0.968  0.978 0.968  1.230 0.968  1.204 0.862  1.015 0.695  0.827 0.528  0.639 0.360  0.450 0.193  0.262 0.025  0.074 -0.142  -0.115 -0.310  -0.303 -0.477  -0.491 -0.644  -0.680 -0.812  -0.547 -0.857  -0.295 -0.857  -0.056 -0.805  0.182 -0.743
2#app#app32#app3259/o  -0.676 1.146  -0.676 1.014  -0.676 0.882  -0.706 0.781  -0.838 0.781  -0.858 0.670  -0.858 0.538  -0.858 0.406  -0.858 0.274  -0.858 0.142  -0.858 0.011  -0.858 -0.121  -0.858 -0.253  -0.858 -0.385  -0.845 -0.511  -0.751 -0.604  -0.658 -0.697  -0.565 -0.790  -0.466 -0.876  -0.348 -0.935  -0.230 -0.994  -0.111 -1.045  0.021 -1.045  0.153 -1.045  0.271 -1.011  0.364 -0.918  0.473 -0.862  0.604 -0.861  0.697 -0.768  0.785 -0.672  0.785 -0.540  0.873 -0.497  0.967 -0.459  0.967 -0.328  0.914 -0.208  0.855 -0.091  0.796 0.027  0.785 0.156  0.785 0.288  0.782 0.419  0.689 0.512  0.602 0.608  0.602 0.740  0.538 0.845  0.445 0.938  0.324 0.963  0.205 0.995  0.112 1.089  0.004 1.146  -0.128 1.146
2#app#app32#app3259/x  -1.022 1.702  -1.022 1.513  -0.911 1.369  -0.800 1.225  -0.800 1.036  -0.666 0.902  -0.532 0.768  -0.398 0.634  -0.356 0.462  -0.287 0.301  -0.153 0.167  -0.019 0.033  0.088 -0.113  0.092 -0.300  0.226 -0.434  0.360 -0.568  0.494 -0.702  0.629 -0.836  0.754 -0.974  0.754 -1.164  0.754 -1.353  0.741 -1.268  0.724 -1.080  0.707 -0.891  0.690 -0.702  0.672 -0.513  0.655 -0.325  0.638 -0.136  0.621 0.053  0.604 0.242  0.587 0.431  0.569 0.619  0.552 0.808  0.535 0.997  0.532 0.886  0.448 0.731  0.314 0.597  0.180 0.463  0.046 0.329  -0.088 0.195  -0.222 0.061  -0.356 -0.073  -0.356 -0.262  -0.513 -0.295  -0.666 -0.383  -0.800 -0.517  -0.934 -0.651  -1.022 -0.804  -1.022 -0.994  -1.022 -1.183
2#app#app32#app3259/J  0.030 0.344  0.162 0.308  0.234 0.212  0.295 0.319  0.170 0.336  0.289 0.217  0.323 0.079  0.427 0.015  0.427 -0.153  0.430 -0.320  0.548 -0.439  0.559 -0.603  0.559 -0.771  0.559 -0.939  0.559 -1.107  0.394 -1.110  0.226 -1.110  0.058 -1.110  -0.108 -1.105  -0.227 -0.986  -0.391 -0.978  -0.499 -0.917  -0.595 -0.846  -0.725 -0.752  -0.877 -0.714  -1.027 -0.696  -1.027 -0.528  -1.027 -0.360  -1.027 -0.192  -1.027 -0.024  -1.027 0.144  -1.027 0.312  -1.023 0.476  -0.855 0.476  -0.763 0.552  -0.651 0.608  -0.485 0.615  -0.334 0.690  -0.178 0.740  -0.010 0.740  0.158 0.740  0.278 0.856  0.440 0.873  0.608 0.873  0.776 0.873  0.944 0.873  1.112 0.873  1.280 0.873  1.448 0.873  1.617 0.873
2#app#app32#app3259/u  -1.167 0.961  -1.167 0.862  -1.167 0.763  -1.167 0.663  -1.167 0.564  -1.151 0.468  -1.107 0.379  -1.063 0.290  -1.018 0.201  -1.012 0.103  -1.012 0.003  -1.012 -0.096  -0.959 -0.173  -0.888 -0.244  -0.818 -0.314  -0.748 -0.384  -0.677 -0.455  -0.607 -0.525  -0.532 -0.583  -0.432 -0.583  -0.333 -0.583  -0.234 -0.583  -0.134 -0.583  -0.035 -0.583  0.065 -0.583  0.164 -0.583  0.264 -0.583  0.363 -0.583  0.463 -0.583  0.562 -0.583  0.661 -0.583  0.739 -0.531  0.810 -0.461  0.880 -0.391  0.950 -0.320  0.996 -0.240  0.996 -0.140  0.996 -0.041  0.996 0.059  0.996 0.158  0.996 0.257  0.996 0.357  0.996 0.456  0.970 0.550  0.926 0.639  0.881 0.728  0.831 0.807  0.732 0.807  0.687 0.862  0.687 0.961
2#app#app32#app3259/m  -1.249 0.793  -1.135 0.660  -1.135 0.479  -1.135 0.299  -1.135 0.118  -1.135 -0.062  -1.135 -0.242  -1.135 -0.423  -1.135 -0.603  -1.135 -0.783  -1.135 -0.646  -1.056 -0.498  -1.005 -0.349  -0.848 -0.290  -0.721 -0.163  -0.672 -0.006  -0.564 0.066  -0.466 0.206  -0.407 0.336  -0.226 0.336  -0.046 0.336  0.097 0.246  0.121 0.075  0.121 -0.105  0.121 -0.286  0.007 -0.352  0.007 -0.532  -0.015 -0.691  -0.020 -0.691  0.007 -0.537  0.082 -0.387  0.129 -0.226  0.256 -0.099  0.371 0.038  0.452 0.199  0.492 0.365  0.619 0.493  0.747 0.620  0.875 0.748  1.036 0.793  1.217 0.793  1.277 0.664  1.376 0.525  1.376 0.344  1.376 0.164  1.376 -0.017  1.322 -0.175  1.262 -0.330  1.262 -0.511  1.262 -0.691
2#app#app32#app3259/p  -0.302 0.531  -0.187 0.452  -0.187 0.257  -0.193 0.066  -0.302 -0.083  -0.302 -0.278  -0.302 -0.472  -0.302 -0.666  -0.302 -0.860  -0.302 -1.054  -0.302 -1.248  -0.302 -1.442  -0.302 -1.637  -0.331 -1.472  -0.363 -1.280  -0.395 -1.089  -0.427 -0.897  -0.459 -0.706  -0.491 -0.514  -0.523 -0.323  -0.555 -0.131  -0.587 0.060  -0.619 0.252  -0.651 0.443  -0.683 0.635  -0.714 0.826  -0.746 1.018  -0.655 1.105  -0.461 1.105  -0.266 1.105  -0.072 1.105  0.122 1.105  0.316 1.105  0.510 1.105  0.704 1.105  0.778 0.967  0.952 0.880  1.010 0.712  1.147 0.574  1.191 0.398  1.191 0.204  1.147 0.028  1.009 -0.109  0.872 -0.247  0.735 -0.384  0.542 -0.387  0.348 -0.387  0.189 -0.471  0.007 -0.502  -0.187 -0.502
2#app#app32#app3259/s  -0.137 1.542  -0.137 1.436  -0.219 1.411  -0.308 1.371  -0.383 1.296  -0.483 1.281  -0.527 1.220  -0.527 1.114  -0.527 1.008  -0.527 0.902  -0.527 0.796  -0.456 0.761  -0.364 0.728  -0.289 0.653  -0.193 0.631  -0.087 0.631  0.012 0.612  0.087 0.537  0.123 0.447  0.153 0.371  0.258 0.367  0.332 0.292  0.384 0.207  0.393 0.110  0.499 0.110  0.514 0.019  0.561 -0.067  0.636 -0.142  0.644 -0.245  0.644 -0.351  0.644 -0.457  0.644 -0.563  0.644 -0.669  0.644 -0.774  0.587 -0.857  0.512 -0.932  0.438 -1.007  0.354 -1.061  0.248 -1.061  0.142 -1.061  0.036 -1.061  -0.070 -1.061  -0.176 -1.061  -0.282 -1.061  -0.388 -1.061  -0.494 -1.061  -0.600 -1.061  -0.706 -1.061  -0.812 -1.061  -0.917 -1.061
