2#tos#f1#f1041060/!  0.407 1.436  0.375 1.500  0.323 1.533  0.268 1.490  0.262 1.421  0.245 1.353  0.213 1.288  0.180 1.224  0.166 1.155  0.166 1.083  0.166 1.011  0.166 0.939  0.152 0.869  0.125 0.802  0.098 0.735  0.071 0.668  0.069 0.597  0.069 0.525  0.069 0.452  0.069 0.380  0.069 0.308  0.069 0.236  0.031 0.177  -0.012 0.119  -0.056 0.061  -0.076 -0.004  -0.076 -0.076  -0.076 -0.148  -0.076 -0.220  -0.076 -0.293  -0.076 -0.365  -0.076 -0.437  -0.076 -0.509  -0.076 -0.581  -0.089 -0.652  -0.105 -0.722  -0.122 -0.792  -0.138 -0.862  -0.154 -0.933  -0.170 -1.003  -0.187 -1.073  -0.203 -1.144  -0.219 -1.214  -0.221 -1.286  -0.238 -1.354  -0.270 -1.419  -0.270 -1.491  -0.270 -1.563  -0.245 -1.610  -0.173 -1.610
2#tos#f1#f1041060/#  -0.512 0.704  -0.901 0.630  -1.202 0.630  -0.796 0.630  -0.422 0.739  -0.027 0.779  0.380 0.779  0.742 0.927  1.149 0.927  1.309 0.855  0.966 0.636  0.623 0.417  0.280 0.198  -0.063 -0.021  -0.405 -0.240  -0.748 -0.459  -1.091 -0.678  -1.117 -0.857  -0.739 -0.787  -0.365 -0.708  0.007 -0.560  0.414 -0.560  0.798 -0.463  1.175 -0.337  1.456 -0.157  1.136 0.094  0.815 0.345  0.495 0.596  0.175 0.846  -0.146 1.097  -0.534 1.151  -0.586 0.795  -0.586 0.388  -0.586 -0.019  -0.586 -0.425  -0.586 -0.832  -0.586 -1.239  -0.586 -1.646  -0.508 -1.608  -0.370 -1.225  -0.232 -0.843  -0.093 -0.460  0.045 -0.077  0.183 0.305  0.321 0.688  0.381 0.622  0.381 0.215  0.381 -0.192  0.381 -0.599  0.381 -1.006
2#tos#f1#f1041060/%  0.009 1.051  -0.222 1.031  -0.441 0.982  -0.639 0.882  -0.684 0.662  -0.601 0.482  -0.397 0.392  -0.165 0.409  -0.060 0.584  -0.161 0.736  -0.346 0.808  -0.581 0.808  -0.429 0.861  -0.196 0.885  0.038 0.908  0.272 0.931  0.505 0.955  0.739 0.978  0.972 1.001  1.035 1.005  0.865 0.877  0.698 0.732  0.570 0.546  0.391 0.407  0.275 0.213  0.145 0.024  -0.059 -0.093  -0.229 -0.253  -0.407 -0.406  -0.513 -0.616  -0.658 -0.800  -0.789 -0.996  -0.905 -1.199  -1.007 -1.409  -0.929 -1.447  -0.734 -1.317  -0.539 -1.187  -0.343 -1.057  -0.148 -0.926  0.047 -0.796  0.243 -0.666  0.438 -0.536  0.633 -0.406  0.480 -0.552  0.425 -0.769  0.469 -0.960  0.697 -0.929  0.841 -0.763  0.796 -0.556  0.599 -0.510
2#tos#f1#f1041060/&  0.543 -1.128  0.450 -1.011  0.309 -0.930  0.197 -0.809  0.140 -0.637  0.044 -0.488  -0.069 -0.351  -0.099 -0.171  -0.168 -0.005  -0.252 0.155  -0.260 0.335  -0.345 0.492  -0.353 0.673  -0.392 0.850  -0.392 1.032  -0.376 1.212  -0.269 1.343  -0.152 1.471  -0.068 1.585  0.115 1.585  0.298 1.585  0.430 1.464  0.497 1.336  0.543 1.164  0.583 0.991  0.590 0.810  0.590 0.627  0.478 0.491  0.352 0.360  0.270 0.196  0.124 0.090  -0.005 -0.039  -0.135 -0.169  -0.284 -0.265  -0.419 -0.378  -0.533 -0.520  -0.701 -0.592  -0.802 -0.721  -0.813 -0.902  -0.809 -1.081  -0.629 -1.096  -0.451 -1.128  -0.268 -1.128  -0.086 -1.128  0.077 -1.080  0.241 -1.034  0.373 -0.939  0.474 -0.787  0.635 -0.719  0.777 -0.613
2#tos#f1#f1041060/'  -0.225 0.808  -0.314 0.749  -0.402 0.690  -0.490 0.631  -0.579 0.572  -0.667 0.514  -0.716 0.529  -0.716 0.635  -0.716 0.742  -0.716 0.848  -0.716 0.954  -0.627 0.972  -0.521 0.972  -0.415 0.972  -0.308 0.972  -0.202 0.972  -0.096 0.972  0.010 0.972  0.102 0.957  0.102 0.850  0.102 0.744  0.108 0.642  0.203 0.594  0.298 0.547  0.393 0.499  0.428 0.415  0.428 0.309  0.428 0.203  0.428 0.097  0.428 -0.010  0.428 -0.116  0.428 -0.222  0.428 -0.328  0.428 -0.434  0.428 -0.541  0.428 -0.647  0.428 -0.753  0.428 -0.859  0.428 -0.966  0.428 -1.072  0.404 -1.153  0.297 -1.153  0.221 -1.212  0.157 -1.297  0.093 -1.382  0.030 -1.467  -0.034 -1.552  -0.098 -1.637  -0.162 -1.722  -0.225 -1.807
2#tos#f1#f1041060/)  -0.993 1.164  -0.914 1.125  -0.836 1.086  -0.750 1.082  -0.662 1.082  -0.574 1.082  -0.487 1.082  -0.399 1.082  -0.312 1.082  -0.224 1.082  -0.168 1.051  -0.168 0.963  -0.127 0.917  -0.039 0.917  0.020 0.871  0.059 0.793  0.080 0.710  0.080 0.623  0.080 0.535  0.080 0.448  0.080 0.360  0.146 0.340  0.234 0.340  0.321 0.340  0.327 0.258  0.327 0.170  0.327 0.083  0.327 -0.005  0.327 -0.092  0.327 -0.180  0.327 -0.267  0.327 -0.355  0.327 -0.442  0.327 -0.530  0.327 -0.617  0.327 -0.705  0.327 -0.792  0.327 -0.880  0.264 -0.929  0.186 -0.968  0.147 -1.039  0.126 -1.124  0.105 -1.209  0.084 -1.293  0.080 -1.380  0.080 -1.468  0.080 -1.556  -0.002 -1.584  -0.085 -1.612  -0.168 -1.640
2#tos#f1#f1041060/*  1.263 1.049  1.003 1.004  0.790 0.882  0.629 0.702  0.433 0.552  0.227 0.358  0.118 0.089  -0.166 -0.019  -0.384 -0.207  -0.568 -0.436  -0.732 -0.688  -0.881 -0.954  -0.979 -1.011  -0.945 -0.708  -0.911 -0.405  -0.878 -0.102  -0.844 0.201  -0.879 0.442  -1.097 0.356  -1.099 0.356  -0.817 0.333  -0.647 0.099  -0.375 -0.039  -0.143 -0.232  0.080 -0.435  0.338 -0.567  0.474 -0.840  0.754 -0.880  0.891 -1.153  1.163 -1.205  1.105 -1.100  0.998 -0.814  0.891 -0.529  0.784 -0.243  0.677 0.042  0.570 0.327  0.462 0.613  0.355 0.898  0.248 1.184  0.141 1.469  -0.154 1.482  -0.210 1.234  -0.210 0.929  -0.210 0.624  -0.210 0.319  -0.210 0.015  -0.210 -0.290  -0.210 -0.595  -0.210 -0.900  -0.210 -1.205
2#tos#f1#f1041060/.  0.323 1.787  0.323 1.701  0.323 1.615  0.323 1.529  0.323 1.442  0.323 1.356  0.323 1.270  0.323 1.184  0.323 1.098  0.323 1.012  0.323 0.926  0.323 0.840  0.323 0.754  0.323 0.667  0.323 0.581  0.323 0.495  0.323 0.409  0.323 0.323  0.323 0.237  0.323 0.151  0.323 0.065  0.323 -0.022  0.323 -0.108  0.323 -0.194  0.323 -0.280  0.323 -0.366  0.323 -0.452  0.323 -0.538  0.323 -0.624  0.323 -0.710  0.271 -0.745  0.185 -0.745  0.099 -0.745  0.013 -0.745  -0.073 -0.745  -0.159 -0.745  -0.245 -0.745  -0.332 -0.745  -0.418 -0.745  -0.504 -0.745  -0.590 -0.745  -0.676 -0.745  -0.762 -0.745  -0.848 -0.745  -0.934 -0.745  -0.943 -0.822  -0.943 -0.909  -0.943 -0.995  -0.943 -1.081  -0.943 -1.167
2#tos#f1#f1041060/  0.645 1.549  0.567 1.549  0.545 1.493  0.545 1.414  0.545 1.336  0.545 1.257  0.545 1.179  0.545 1.100  0.481 1.056  0.416 1.012  0.378 0.948  0.353 0.873  0.344 0.796  0.344 0.718  0.297 0.665  0.231 0.621  0.194 0.563  0.194 0.484  0.176 0.410  0.139 0.341  0.084 0.286  0.044 0.224  0.044 0.145  0.044 0.067  0.039 -0.010  -0.017 -0.065  -0.078 -0.105  -0.107 -0.155  -0.107 -0.234  -0.111 -0.310  -0.167 -0.366  -0.207 -0.428  -0.207 -0.506  -0.207 -0.585  -0.254 -0.638  -0.319 -0.682  -0.358 -0.740  -0.358 -0.818  -0.358 -0.897  -0.358 -0.975  -0.403 -1.008  -0.458 -1.032  -0.458 -1.110  -0.458 -1.189  -0.467 -1.259  -0.545 -1.259  -0.558 -1.324  -0.558 -1.403  -0.558 -1.481  -0.608 -1.509
2#tos#f1#f1041060/;  -0.002 1.649  -0.059 1.630  -0.086 1.565  -0.151 1.536  -0.163 1.482  -0.149 1.407  -0.136 1.332  -0.122 1.257  -0.109 1.182  -0.095 1.106  -0.082 1.031  -0.068 0.956  -0.055 0.881  -0.041 0.806  -0.028 0.731  -0.014 0.656  -0.001 0.581  0.013 0.506  0.026 0.431  0.040 0.356  0.053 0.280  0.066 0.205  0.080 0.130  0.093 0.055  0.107 -0.020  0.120 -0.095  0.134 -0.170  0.147 -0.245  0.161 -0.320  0.174 -0.395  0.188 -0.470  0.201 -0.546  0.215 -0.621  0.225 -0.696  0.192 -0.752  0.123 -0.786  0.055 -0.820  0.007 -0.857  0.055 -0.914  0.055 -0.990  0.055 -1.066  0.055 -1.142  0.027 -1.198  -0.046 -1.223  -0.116 -1.248  -0.141 -1.321  -0.165 -1.393  -0.216 -1.445  -0.279 -1.487  -0.343 -1.530
2#tos#f1#f1041060/>  -0.445 1.172  -0.563 1.172  -0.681 1.172  -0.781 1.154  -0.781 1.036  -0.833 0.971  -0.950 0.971  -0.895 0.971  -0.845 0.904  -0.736 0.874  -0.638 0.809  -0.579 0.722  -0.509 0.635  -0.391 0.635  -0.311 0.598  -0.311 0.480  -0.239 0.434  -0.122 0.434  -0.022 0.375  0.076 0.310  0.188 0.285  0.293 0.233  0.383 0.166  0.501 0.166  0.618 0.166  0.708 0.099  0.826 0.099  0.880 -0.004  0.979 -0.035  1.030 -0.101  0.981 -0.170  0.873 -0.193  0.773 -0.237  0.728 -0.338  0.684 -0.442  0.574 -0.486  0.465 -0.530  0.358 -0.576  0.305 -0.681  0.253 -0.786  0.180 -0.875  0.085 -0.945  -0.009 -1.016  -0.096 -1.095  -0.169 -1.187  -0.239 -1.281  -0.310 -1.376  -0.346 -1.479  -0.429 -1.562  -0.512 -1.645
2#tos#f1#f1041060/?  -0.459 0.708  -0.567 0.708  -0.676 0.708  -0.684 0.809  -0.643 0.877  -0.571 0.914  -0.538 0.990  -0.430 0.990  -0.321 0.990  -0.235 1.044  -0.151 1.102  -0.042 1.102  0.067 1.102  0.175 1.102  0.277 1.092  0.326 0.995  0.385 0.943  0.385 0.834  0.385 0.726  0.385 0.617  0.385 0.509  0.301 0.483  0.216 0.427  0.160 0.342  0.160 0.233  0.141 0.136  0.047 0.086  -0.009 0.033  -0.065 -0.052  -0.065 -0.161  -0.141 -0.210  -0.246 -0.237  -0.290 -0.311  -0.259 -0.410  -0.201 -0.502  -0.143 -0.594  -0.085 -0.686  -0.027 -0.777  0.031 -0.869  0.089 -0.961  0.147 -1.053  0.205 -1.145  0.263 -1.237  0.321 -1.328  0.379 -1.420  0.385 -1.527  0.368 -1.632  0.319 -1.729  0.272 -1.826  0.272 -1.935
2#tos#f1#f1041060/_  -1.270 -0.180  -1.275 -0.251  -1.352 -0.251  -1.429 -0.251  -1.465 -0.251  -1.388 -0.251  -1.311 -0.251  -1.234 -0.251  -1.157 -0.251  -1.106 -0.210  -1.072 -0.142  -1.016 -0.108  -0.939 -0.108  -0.862 -0.108  -0.785 -0.108  -0.709 -0.108  -0.632 -0.108  -0.555 -0.108  -0.500 -0.055  -0.446 -0.001  -0.384 0.035  -0.307 0.035  -0.230 0.035  -0.154 0.035  -0.077 0.035  -0.000 0.035  0.077 0.035  0.153 0.035  0.211 0.082  0.277 0.107  0.354 0.107  0.431 0.107  0.508 0.107  0.585 0.107  0.661 0.107  0.738 0.107  0.815 0.107  0.892 0.107  0.968 0.107  1.024 0.128  1.050 0.179  1.127 0.179  1.204 0.179  1.281 0.179  1.357 0.179  1.434 0.179  1.511 0.179  1.588 0.179  1.665 0.179  1.741 0.179
