2#app#app41#app4103/1  0.471 1.497  0.471 1.422  0.471 1.346  0.471 1.270  0.471 1.194  0.417 1.172  0.341 1.172  0.266 1.172  0.190 1.172  0.145 1.141  0.145 1.065  0.145 0.989  0.145 0.913  0.145 0.838  0.145 0.762  0.145 0.686  0.145 0.610  0.145 0.535  0.101 0.477  0.047 0.424  -0.006 0.370  -0.060 0.316  -0.113 0.263  -0.167 0.209  -0.180 0.139  -0.180 0.063  -0.180 -0.013  -0.180 -0.088  -0.180 -0.164  -0.180 -0.240  -0.180 -0.316  -0.180 -0.392  -0.180 -0.467  -0.180 -0.543  -0.180 -0.619  -0.180 -0.695  -0.180 -0.770  -0.180 -0.846  -0.180 -0.922  -0.180 -0.998  -0.180 -1.073  -0.180 -1.149  -0.180 -1.225  -0.180 -1.301  -0.180 -1.377  -0.180 -1.452  -0.180 -1.528  -0.180 -1.604  -0.180 -1.680  -0.180 -1.755
2#app#app41#app4103/0  -0.397 0.541  -0.529 0.541  -0.633 0.513  -0.633 0.380  -0.690 0.305  -0.823 0.305  -0.869 0.219  -0.869 0.087  -0.869 -0.046  -0.869 -0.178  -0.869 -0.310  -0.869 -0.443  -0.869 -0.575  -0.820 -0.687  -0.727 -0.781  -0.633 -0.875  -0.539 -0.968  -0.446 -1.062  -0.334 -1.111  -0.201 -1.111  -0.069 -1.111  0.063 -1.111  0.160 -1.025  0.254 -0.932  0.363 -0.875  0.495 -0.875  0.547 -0.794  0.547 -0.662  0.624 -0.561  0.718 -0.468  0.783 -0.362  0.783 -0.230  0.783 -0.098  0.783 0.035  0.783 0.167  0.783 0.300  0.783 0.432  0.783 0.564  0.783 0.697  0.746 0.814  0.653 0.908  0.559 1.001  0.466 1.095  0.372 1.188  0.265 1.249  0.132 1.249  0.000 1.249  -0.132 1.249  -0.161 1.146  -0.161 1.013
2#app#app41#app4103/0  -0.105 1.186  -0.201 1.090  -0.297 0.994  -0.396 0.904  -0.532 0.904  -0.668 0.904  -0.668 0.768  -0.668 0.632  -0.758 0.533  -0.854 0.437  -0.950 0.341  -0.950 0.205  -0.950 0.069  -0.950 -0.067  -0.950 -0.203  -0.950 -0.339  -0.950 -0.475  -0.950 -0.612  -0.950 -0.748  -0.853 -0.786  -0.717 -0.786  -0.581 -0.786  -0.445 -0.786  -0.309 -0.786  -0.173 -0.786  -0.037 -0.786  0.099 -0.786  0.235 -0.786  0.371 -0.786  0.507 -0.786  0.643 -0.786  0.741 -0.748  0.741 -0.612  0.770 -0.505  0.906 -0.505  1.022 -0.485  1.022 -0.349  1.022 -0.213  1.022 -0.077  1.022 0.059  1.022 0.195  1.022 0.331  0.933 0.430  0.837 0.526  0.740 0.622  0.644 0.719  0.548 0.815  0.449 0.904  0.313 0.904  0.177 0.904
2#app#app41#app4103/%  -1.128 0.683  -1.266 0.545  -1.296 0.363  -1.117 0.347  -0.959 0.384  -1.004 0.560  -1.107 0.683  -0.959 0.731  -0.885 0.852  -0.690 0.852  -0.495 0.852  -0.300 0.852  -0.158 0.980  0.021 1.020  0.216 1.020  0.355 1.155  0.388 1.040  0.388 0.845  0.364 0.660  0.226 0.522  0.088 0.384  -0.050 0.246  -0.117 0.079  -0.117 -0.116  -0.225 -0.267  -0.286 -0.437  -0.382 -0.592  -0.454 -0.757  -0.454 -0.952  -0.454 -1.147  -0.450 -1.334  -0.303 -1.205  -0.157 -1.077  -0.010 -0.948  0.137 -0.820  0.284 -0.692  0.431 -0.563  0.577 -0.435  0.724 -0.306  0.871 -0.178  0.893 -0.325  0.725 -0.351  0.725 -0.547  0.802 -0.664  0.998 -0.664  1.061 -0.532  1.173 -0.384  1.230 -0.212  1.088 -0.159  1.061 0.010
2#app#app41#app4103/o  -0.250 0.274  -0.250 0.420  -0.250 0.566  -0.250 0.711  -0.250 0.654  -0.250 0.509  -0.250 0.363  -0.307 0.274  -0.453 0.274  -0.599 0.274  -0.732 0.262  -0.732 0.116  -0.732 -0.029  -0.732 -0.175  -0.732 -0.321  -0.732 -0.466  -0.732 -0.612  -0.732 -0.758  -0.732 -0.903  -0.732 -1.049  -0.706 -1.169  -0.561 -1.169  -0.415 -1.169  -0.270 -1.169  -0.124 -1.169  0.022 -1.169  0.167 -1.169  0.231 -1.087  0.231 -0.941  0.231 -0.796  0.258 -0.661  0.361 -0.558  0.464 -0.455  0.567 -0.352  0.670 -0.249  0.712 -0.121  0.712 0.024  0.712 0.170  0.712 0.316  0.712 0.461  0.712 0.607  0.712 0.752  0.712 0.898  0.712 1.044  0.712 1.189  0.643 1.306  0.540 1.409  0.437 1.512  0.334 1.615  0.231 1.718
2#app#app41#app4103/f  1.022 1.297  0.913 1.406  0.804 1.515  0.655 1.526  0.501 1.526  0.347 1.526  0.193 1.526  0.060 1.476  -0.049 1.367  -0.119 1.242  -0.119 1.088  -0.119 0.934  -0.119 0.781  -0.119 0.627  -0.119 0.473  -0.119 0.319  -0.119 0.165  -0.119 0.011  -0.119 -0.142  -0.119 -0.296  -0.119 -0.450  -0.119 -0.604  -0.117 -0.757  -0.008 -0.866  0.101 -0.975  0.109 -1.125  0.109 -1.279  0.109 -1.433  0.256 -1.439  0.291 -1.383  0.192 -1.265  0.094 -1.147  -0.005 -1.029  -0.103 -0.911  -0.202 -0.793  -0.300 -0.674  -0.399 -0.556  -0.497 -0.438  -0.596 -0.320  -0.694 -0.202  -0.793 -0.083  -0.665 -0.071  -0.511 -0.071  -0.358 -0.071  -0.204 -0.071  -0.050 -0.071  0.104 -0.071  0.258 -0.071  0.412 -0.071  0.565 -0.071
2#app#app41#app4103/#  0.014 1.136  -0.086 0.779  -0.368 0.498  -0.500 0.154  -0.568 -0.216  -0.757 -0.536  -0.757 -0.934  -0.757 -1.332  -0.649 -1.153  -0.507 -0.781  -0.364 -0.410  -0.221 -0.038  -0.078 0.334  0.065 0.705  0.208 1.077  0.351 1.448  0.494 1.820  0.527 1.600  0.527 1.202  0.527 0.804  0.527 0.406  0.527 0.008  0.356 -0.319  0.270 -0.682  0.270 -1.080  0.235 -1.401  -0.068 -1.142  -0.370 -0.883  -0.672 -0.624  -0.974 -0.365  -1.277 -0.106  -1.458 0.109  -1.060 0.109  -0.662 0.109  -0.264 0.109  0.122 0.163  0.478 0.341  0.870 0.366  1.268 0.366  1.410 0.622  1.327 0.509  0.971 0.331  0.615 0.153  0.259 -0.025  -0.097 -0.203  -0.453 -0.381  -0.411 -0.661  -0.012 -0.661  0.386 -0.661  0.784 -0.661
2#app#app41#app4103/'  -0.425 1.228  -0.344 1.228  -0.263 1.228  -0.182 1.228  -0.101 1.228  -0.020 1.228  0.061 1.228  0.142 1.228  0.222 1.228  0.303 1.228  0.308 1.151  0.308 1.070  0.308 0.989  0.308 0.908  0.308 0.827  0.308 0.746  0.308 0.665  0.308 0.584  0.308 0.503  0.308 0.422  0.308 0.341  0.308 0.260  0.308 0.179  0.308 0.098  0.308 0.017  0.308 -0.064  0.308 -0.145  0.308 -0.226  0.259 -0.286  0.202 -0.344  0.144 -0.401  0.087 -0.458  0.030 -0.516  -0.027 -0.573  -0.085 -0.630  -0.142 -0.687  -0.199 -0.745  -0.256 -0.802  -0.314 -0.859  -0.371 -0.916  -0.425 -0.975  -0.425 -1.056  -0.425 -1.137  -0.425 -1.218  -0.425 -1.299  -0.425 -1.380  -0.425 -1.461  -0.425 -1.542  -0.425 -1.623  -0.425 -1.704
2#app#app41#app4103/s  0.105 1.354  0.105 1.239  0.105 1.125  0.039 1.077  -0.076 1.077  -0.191 1.077  -0.305 1.077  -0.420 1.077  -0.534 1.077  -0.649 1.077  -0.727 1.040  -0.727 0.926  -0.727 0.811  -0.727 0.697  -0.727 0.582  -0.672 0.522  -0.558 0.522  -0.443 0.522  -0.329 0.522  -0.214 0.522  -0.121 0.471  -0.040 0.390  0.041 0.309  0.122 0.228  0.203 0.147  0.284 0.066  0.365 -0.015  0.472 -0.032  0.587 -0.032  0.659 -0.074  0.659 -0.189  0.659 -0.303  0.659 -0.418  0.659 -0.532  0.659 -0.647  0.659 -0.762  0.651 -0.872  0.570 -0.953  0.489 -1.034  0.408 -1.115  0.304 -1.141  0.189 -1.141  0.075 -1.141  -0.040 -1.141  -0.154 -1.141  -0.172 -1.237  -0.172 -1.352  -0.221 -1.418  -0.335 -1.418  -0.450 -1.418
2#app#app41#app4103/  0.820 1.149  0.820 1.226  0.820 1.273  0.820 1.196  0.790 1.149  0.713 1.149  0.649 1.118  0.595 1.063  0.542 1.008  0.542 0.931  0.525 0.871  0.448 0.871  0.380 0.848  0.326 0.794  0.271 0.739  0.217 0.685  0.162 0.630  0.124 0.569  0.124 0.492  0.124 0.415  0.124 0.338  0.086 0.276  0.032 0.222  -0.023 0.167  -0.077 0.113  -0.132 0.058  -0.154 -0.009  -0.154 -0.087  -0.154 -0.164  -0.154 -0.241  -0.207 -0.296  -0.262 -0.350  -0.308 -0.411  -0.342 -0.480  -0.377 -0.549  -0.411 -0.618  -0.432 -0.690  -0.432 -0.767  -0.432 -0.844  -0.432 -0.921  -0.474 -0.980  -0.529 -1.035  -0.571 -1.094  -0.571 -1.171  -0.571 -1.248  -0.571 -1.326  -0.571 -1.403  -0.571 -1.480  -0.571 -1.557  -0.571 -1.634
2#app#app41#app4103/0  0.125 0.900  -0.017 0.900  -0.159 0.900  -0.300 0.900  -0.422 0.851  -0.522 0.751  -0.622 0.651  -0.622 0.509  -0.647 0.377  -0.747 0.277  -0.847 0.177  -0.871 0.045  -0.871 -0.097  -0.871 -0.238  -0.871 -0.380  -0.871 -0.522  -0.871 -0.663  -0.871 -0.805  -0.797 -0.916  -0.697 -1.016  -0.586 -1.091  -0.444 -1.091  -0.302 -1.091  -0.161 -1.091  -0.019 -1.091  0.123 -1.091  0.223 -0.992  0.324 -0.892  0.445 -0.842  0.586 -0.842  0.623 -0.737  0.623 -0.595  0.722 -0.494  0.822 -0.394  0.871 -0.273  0.871 -0.131  0.871 0.011  0.871 0.152  0.871 0.294  0.871 0.436  0.871 0.577  0.823 0.699  0.723 0.799  0.623 0.900  0.481 0.900  0.350 0.924  0.249 1.024  0.149 1.124  0.018 1.149  -0.124 1.149
