2#app#app37#app3756/8  0.405 0.556  0.254 0.676  0.103 0.797  -0.048 0.917  -0.218 0.982  -0.411 0.982  -0.599 0.961  -0.772 0.876  -0.965 0.876  -1.089 0.806  -1.089 0.613  -1.060 0.449  -0.867 0.449  -0.674 0.449  -0.500 0.368  -0.353 0.246  -0.164 0.235  -0.016 0.126  0.157 0.039  0.301 -0.087  0.450 -0.191  0.605 -0.285  0.735 -0.426  0.822 -0.598  0.831 -0.789  0.800 -0.969  0.725 -1.131  0.603 -1.274  0.511 -1.429  0.374 -1.503  0.212 -1.578  0.038 -1.532  -0.098 -1.395  -0.235 -1.321  -0.235 -1.128  -0.235 -0.935  -0.235 -0.742  -0.235 -0.549  -0.235 -0.356  -0.175 -0.177  -0.065 -0.021  -0.004 0.147  0.085 0.303  0.153 0.480  0.268 0.632  0.404 0.769  0.443 0.953  0.511 1.130  0.491 1.302  0.298 1.302
2#app#app37#app3756/:  -0.195 1.207  -0.277 1.207  -0.359 1.207  -0.423 1.224  -0.423 1.306  -0.423 1.388  -0.398 1.410  -0.340 1.352  -0.282 1.294  -0.224 1.236  -0.188 1.167  -0.173 1.087  -0.158 1.006  -0.144 0.925  -0.129 0.845  -0.115 0.764  -0.100 0.684  -0.085 0.603  -0.071 0.522  -0.056 0.442  -0.041 0.361  -0.027 0.281  -0.012 0.200  0.003 0.119  0.017 0.039  0.032 -0.042  0.047 -0.122  0.061 -0.203  0.076 -0.284  0.091 -0.364  0.105 -0.445  0.120 -0.526  0.135 -0.606  0.149 -0.687  0.164 -0.767  0.179 -0.848  0.193 -0.929  0.208 -1.009  0.223 -1.090  0.237 -1.170  0.252 -1.251  0.261 -1.274  0.261 -1.192  0.261 -1.110  0.261 -1.121  0.261 -1.203  0.261 -1.285  0.261 -1.367  0.261 -1.449  0.261 -1.531
2#app#app37#app3756/4  -0.127 1.499  -0.192 1.312  -0.257 1.126  -0.371 0.959  -0.473 0.788  -0.576 0.602  -0.704 0.434  -0.769 0.247  -0.858 0.070  -0.980 -0.093  -0.980 -0.307  -1.029 -0.500  -1.102 -0.684  -1.021 -0.816  -0.807 -0.816  -0.593 -0.816  -0.379 -0.816  -0.216 -0.694  -0.039 -0.606  0.148 -0.604  0.299 -0.634  0.487 -0.572  0.701 -0.572  0.793 -0.451  0.792 -0.302  0.717 -0.102  0.642 0.098  0.567 0.299  0.492 0.499  0.417 0.699  0.342 0.899  0.267 1.099  0.192 1.299  0.117 1.499  0.117 1.285  0.117 1.072  0.117 0.858  0.118 0.645  0.239 0.481  0.239 0.267  0.239 0.053  0.239 -0.160  0.271 -0.361  0.360 -0.537  0.360 -0.751  0.360 -0.965  0.360 -1.179  0.400 -1.383  0.482 -1.577  0.482 -1.791
2#app#app37#app3756/&  0.327 -0.665  0.523 -0.763  0.718 -0.860  0.914 -0.958  0.860 -1.111  0.773 -0.979  0.630 -0.819  0.476 -0.665  0.378 -0.469  0.253 -0.293  0.128 -0.117  0.030 0.079  -0.125 0.234  -0.285 0.376  -0.478 0.438  -0.633 0.593  -0.714 0.778  -0.844 0.840  -0.714 1.005  -0.640 1.193  -0.565 1.381  -0.392 1.441  -0.225 1.566  -0.006 1.566  0.030 1.382  0.030 1.164  -0.048 0.963  -0.162 0.779  -0.268 0.604  -0.268 0.385  -0.361 0.188  -0.484 0.011  -0.639 -0.144  -0.714 -0.332  -0.843 -0.497  -0.862 -0.708  -0.862 -0.927  -0.679 -0.962  -0.460 -0.962  -0.241 -0.962  -0.023 -0.962  0.147 -0.844  0.346 -0.795  0.500 -0.640  0.655 -0.485  0.773 -0.315  0.895 -0.219  1.008 -0.047  1.071 0.157  1.071 0.376
2#app#app37#app3756/4  0.049 1.031  -0.068 0.856  -0.184 0.681  -0.326 0.526  -0.475 0.377  -0.624 0.228  -0.789 0.119  -0.867 -0.016  -1.016 -0.165  -1.123 -0.331  -1.123 -0.542  -1.060 -0.726  -0.877 -0.793  -0.732 -0.727  -0.591 -0.651  -0.429 -0.532  -0.219 -0.532  -0.008 -0.532  0.202 -0.532  0.383 -0.459  0.569 -0.402  0.650 -0.272  0.831 -0.242  0.794 -0.038  0.723 0.160  0.652 0.358  0.582 0.557  0.511 0.755  0.440 0.953  0.369 1.152  0.298 1.350  0.227 1.548  0.180 1.614  0.180 1.404  0.180 1.193  0.180 0.983  0.180 0.772  0.180 0.562  0.180 0.351  0.180 0.140  0.180 -0.070  0.180 -0.281  0.180 -0.491  0.180 -0.702  0.180 -0.912  0.180 -1.123  0.180 -1.334  0.180 -1.544  0.180 -1.755  0.180 -1.965
2#app#app37#app3756/:  -0.169 1.290  -0.169 1.365  -0.169 1.440  -0.128 1.474  -0.053 1.474  0.015 1.467  0.015 1.391  0.015 1.316  0.015 1.241  0.015 1.165  0.015 1.090  0.015 1.015  0.015 0.939  0.015 0.864  0.015 0.789  0.015 0.713  0.015 0.638  0.015 0.563  0.015 0.487  0.015 0.412  0.015 0.337  0.015 0.261  0.015 0.186  0.015 0.111  0.015 0.035  0.015 -0.040  0.015 -0.115  0.015 -0.191  0.015 -0.266  0.015 -0.341  0.015 -0.416  0.015 -0.492  0.015 -0.567  0.015 -0.642  0.015 -0.718  0.015 -0.793  0.015 -0.868  0.015 -0.944  0.015 -1.019  0.015 -1.094  0.015 -1.170  0.015 -1.245  0.015 -1.320  0.015 -1.396  0.015 -1.471  0.015 -1.411  0.015 -1.335  0.015 -1.328  0.015 -1.403  0.015 -1.479
2#app#app37#app3756/2  -0.881 0.383  -0.881 0.518  -0.881 0.652  -0.805 0.755  -0.709 0.851  -0.614 0.946  -0.492 0.975  -0.381 1.032  -0.284 1.122  -0.149 1.122  -0.052 1.212  0.059 1.270  0.193 1.270  0.328 1.270  0.449 1.257  0.449 1.122  0.449 0.988  0.449 0.853  0.401 0.730  0.341 0.610  0.280 0.489  0.220 0.369  0.160 0.248  0.069 0.151  0.006 0.042  0.006 -0.092  -0.008 -0.221  -0.103 -0.317  -0.198 -0.412  -0.293 -0.507  -0.388 -0.602  -0.438 -0.716  -0.438 -0.851  -0.438 -0.985  -0.438 -1.120  -0.426 -1.243  -0.291 -1.243  -0.156 -1.243  -0.057 -1.158  0.052 -1.095  0.186 -1.095  0.301 -1.075  0.307 -0.947  0.442 -0.947  0.539 -0.857  0.650 -0.799  0.745 -0.759  0.771 -0.651  0.906 -0.651  1.040 -0.651
2#app#app37#app3756/&  0.702 -0.571  0.753 -0.715  0.746 -0.715  0.595 -0.608  0.558 -0.429  0.414 -0.378  0.414 -0.183  0.308 -0.032  0.207 0.132  0.116 0.304  -0.022 0.441  -0.159 0.579  -0.297 0.717  -0.435 0.855  -0.596 0.898  -0.596 1.093  -0.596 1.288  -0.452 1.339  -0.368 1.449  -0.212 1.544  -0.038 1.593  -0.019 1.417  -0.019 1.222  -0.019 1.028  -0.101 0.852  -0.203 0.688  -0.308 0.537  -0.308 0.342  -0.309 0.148  -0.396 -0.027  -0.452 -0.208  -0.537 -0.368  -0.675 -0.506  -0.741 -0.674  -0.741 -0.868  -0.741 -1.063  -0.631 -1.148  -0.436 -1.148  -0.261 -1.195  -0.163 -1.235  -0.056 -1.148  0.135 -1.138  0.273 -1.001  0.411 -0.863  0.548 -0.725  0.686 -0.587  0.824 -0.450  0.962 -0.312  1.100 -0.174  1.135 0.006
2#app#app37#app3756/2  -0.910 0.360  -0.905 0.490  -0.812 0.583  -0.719 0.675  -0.626 0.768  -0.534 0.861  -0.441 0.954  -0.322 0.985  -0.243 1.069  -0.184 1.187  -0.105 1.290  -0.003 1.360  0.128 1.360  0.260 1.360  0.340 1.309  0.340 1.178  0.340 1.046  0.340 0.915  0.340 0.784  0.340 0.652  0.340 0.521  0.273 0.418  0.215 0.310  0.215 0.179  0.171 0.066  0.082 -0.031  0.024 -0.148  -0.035 -0.266  -0.038 -0.396  -0.097 -0.514  -0.155 -0.631  -0.246 -0.726  -0.285 -0.841  -0.285 -0.973  -0.374 -1.015  -0.410 -1.110  -0.410 -1.242  -0.301 -1.265  -0.170 -1.265  -0.039 -1.265  0.055 -1.175  0.172 -1.140  0.215 -1.051  0.300 -0.972  0.418 -0.914  0.543 -0.890  0.650 -0.830  0.743 -0.737  0.836 -0.644  0.965 -0.640
2#app#app37#app3756/:  -0.201 1.130  -0.119 1.130  -0.037 1.130  0.000 1.085  0.000 1.003  0.000 0.937  0.000 1.019  0.000 1.101  0.000 1.183  0.000 1.265  0.000 1.314  0.000 1.232  0.000 1.150  0.000 1.068  0.000 0.987  0.000 0.905  0.000 0.823  0.000 0.741  0.000 0.659  0.000 0.577  0.000 0.495  0.000 0.413  0.000 0.331  0.000 0.249  0.000 0.167  0.000 0.085  0.000 0.003  0.000 -0.079  0.000 -0.161  0.000 -0.243  0.000 -0.324  0.000 -0.406  0.000 -0.488  0.000 -0.570  0.000 -0.652  0.000 -0.734  0.000 -0.816  0.000 -0.898  0.000 -0.980  0.000 -1.062  0.000 -1.144  0.000 -1.226  0.000 -1.308  0.000 -1.390  0.000 -1.472  0.000 -1.554  0.000 -1.635  0.037 -1.681  0.119 -1.681  0.201 -1.681
2#app#app37#app3756/1  0.227 1.641  0.227 1.567  0.227 1.493  0.227 1.419  0.201 1.371  0.127 1.371  0.092 1.332  0.092 1.258  0.092 1.184  0.092 1.110  0.092 1.036  0.092 0.962  0.092 0.888  0.092 0.814  0.092 0.740  0.092 0.666  0.092 0.592  0.092 0.518  0.092 0.444  0.092 0.369  0.092 0.295  0.092 0.221  0.092 0.147  0.092 0.073  0.078 0.005  0.026 -0.048  -0.026 -0.100  -0.043 -0.167  -0.043 -0.241  -0.043 -0.315  -0.043 -0.389  -0.043 -0.463  -0.043 -0.537  -0.043 -0.611  -0.063 -0.677  -0.115 -0.730  -0.167 -0.782  -0.179 -0.852  -0.179 -0.926  -0.179 -1.000  -0.179 -1.074  -0.179 -1.148  -0.179 -1.222  -0.179 -1.296  -0.179 -1.370  -0.179 -1.444  -0.179 -1.518  -0.179 -1.592  -0.179 -1.544  -0.179 -1.470
