1d#app#app08#app0848/[  0.692 1.048  0.685 1.130  0.595 1.130  0.505 1.130  0.416 1.130  0.326 1.130  0.237 1.130  0.147 1.130  0.058 1.130  -0.032 1.130  -0.121 1.130  -0.211 1.130  -0.297 1.127  -0.297 1.037  -0.297 0.948  -0.297 0.858  -0.297 0.769  -0.297 0.679  -0.297 0.590  -0.244 0.553  -0.215 0.493  -0.215 0.403  -0.215 0.314  -0.215 0.224  -0.210 0.137  -0.147 0.073  -0.132 -0.010  -0.132 -0.100  -0.132 -0.189  -0.132 -0.279  -0.132 -0.369  -0.132 -0.458  -0.132 -0.548  -0.132 -0.637  -0.132 -0.727  -0.097 -0.801  -0.050 -0.872  -0.050 -0.961  -0.050 -1.051  -0.050 -1.140  -0.050 -1.230  -0.050 -1.319  -0.050 -1.409  0.024 -1.425  0.113 -1.425  0.177 -1.363  0.258 -1.342  0.348 -1.342  0.437 -1.342  0.527 -1.342
1d#app#app08#app0848/(  0.252 1.622  0.252 1.548  0.220 1.487  0.167 1.435  0.115 1.382  0.063 1.330  0.046 1.263  0.031 1.195  -0.022 1.142  -0.057 1.083  -0.057 1.009  -0.088 0.942  -0.121 0.876  -0.155 0.810  -0.180 0.740  -0.203 0.670  -0.227 0.599  -0.250 0.529  -0.264 0.457  -0.264 0.383  -0.264 0.309  -0.264 0.235  -0.264 0.160  -0.264 0.086  -0.235 0.019  -0.202 -0.047  -0.169 -0.114  -0.161 -0.186  -0.161 -0.260  -0.161 -0.334  -0.161 -0.408  -0.161 -0.482  -0.154 -0.555  -0.121 -0.621  -0.088 -0.688  -0.053 -0.753  -0.001 -0.805  0.050 -0.859  0.083 -0.925  0.116 -0.992  0.149 -1.058  0.182 -1.124  0.215 -1.191  0.248 -1.257  0.299 -1.311  0.351 -1.363  0.404 -1.416  0.456 -1.468  0.509 -1.521  0.561 -1.573
1d#app#app08#app0848/)  -0.574 1.422  -0.574 1.504  -0.519 1.453  -0.462 1.396  -0.404 1.338  -0.347 1.281  -0.290 1.224  -0.232 1.166  -0.175 1.109  -0.118 1.052  -0.060 0.994  -0.003 0.937  0.022 0.866  0.052 0.797  0.109 0.740  0.166 0.682  0.224 0.625  0.281 0.568  0.338 0.510  0.363 0.439  0.363 0.358  0.363 0.277  0.363 0.196  0.363 0.115  0.363 0.034  0.363 -0.047  0.363 -0.129  0.363 -0.210  0.355 -0.288  0.298 -0.345  0.278 -0.418  0.278 -0.499  0.246 -0.567  0.192 -0.626  0.191 -0.706  0.110 -0.706  0.107 -0.784  0.055 -0.844  0.022 -0.911  0.000 -0.983  -0.057 -1.041  -0.114 -1.098  -0.172 -1.155  -0.229 -1.213  -0.267 -1.284  -0.303 -1.357  -0.366 -1.387  -0.403 -1.430  -0.431 -1.500  -0.489 -1.557
1d#app#app08#app0848/(  0.253 1.556  0.178 1.556  0.114 1.530  0.061 1.477  0.026 1.417  0.026 1.342  -0.018 1.285  -0.071 1.232  -0.087 1.164  -0.093 1.091  -0.127 1.024  -0.160 0.957  -0.194 0.890  -0.201 0.817  -0.201 0.742  -0.201 0.667  -0.201 0.592  -0.201 0.517  -0.201 0.442  -0.201 0.367  -0.201 0.293  -0.201 0.218  -0.201 0.143  -0.201 0.068  -0.201 -0.007  -0.201 -0.082  -0.201 -0.157  -0.201 -0.232  -0.201 -0.306  -0.193 -0.378  -0.140 -0.431  -0.087 -0.484  -0.087 -0.559  -0.087 -0.634  -0.087 -0.709  -0.036 -0.762  0.017 -0.815  0.070 -0.868  0.123 -0.921  0.139 -0.989  0.149 -1.060  0.202 -1.113  0.255 -1.166  0.308 -1.219  0.361 -1.272  0.396 -1.338  0.430 -1.405  0.463 -1.472  0.518 -1.504  0.593 -1.504
1d#app#app08#app0848/)  -0.552 1.480  -0.474 1.480  -0.474 1.402  -0.395 1.401  -0.340 1.346  -0.316 1.277  -0.271 1.244  -0.206 1.212  -0.159 1.153  -0.150 1.078  -0.095 1.022  -0.080 0.950  -0.039 0.888  0.016 0.833  0.072 0.777  0.077 0.701  0.109 0.630  0.144 0.559  0.179 0.489  0.214 0.419  0.235 0.345  0.249 0.270  0.285 0.200  0.313 0.128  0.313 0.049  0.313 -0.029  0.313 -0.108  0.313 -0.186  0.313 -0.265  0.313 -0.343  0.313 -0.422  0.313 -0.500  0.313 -0.579  0.308 -0.656  0.272 -0.727  0.237 -0.797  0.183 -0.853  0.128 -0.909  0.077 -0.967  0.072 -1.043  0.017 -1.099  -0.039 -1.154  -0.100 -1.196  -0.173 -1.210  -0.228 -1.265  -0.284 -1.321  -0.349 -1.353  -0.395 -1.386  -0.418 -1.455  -0.474 -1.510
1d#app#app08#app0848/(  0.337 1.583  0.284 1.530  0.231 1.477  0.177 1.424  0.124 1.370  0.071 1.317  0.018 1.264  -0.015 1.202  -0.015 1.127  -0.059 1.070  -0.112 1.017  -0.132 0.950  -0.132 0.875  -0.132 0.799  -0.159 0.735  -0.212 0.682  -0.249 0.622  -0.249 0.547  -0.249 0.472  -0.249 0.396  -0.249 0.321  -0.249 0.246  -0.249 0.171  -0.249 0.095  -0.249 0.020  -0.249 -0.055  -0.249 -0.130  -0.249 -0.206  -0.249 -0.281  -0.221 -0.349  -0.188 -0.417  -0.154 -0.484  -0.132 -0.554  -0.132 -0.629  -0.090 -0.687  -0.037 -0.740  0.005 -0.802  0.038 -0.869  0.072 -0.936  0.108 -1.002  0.161 -1.056  0.214 -1.109  0.267 -1.162  0.321 -1.215  0.360 -1.278  0.394 -1.345  0.428 -1.413  0.465 -1.477  0.518 -1.530  0.572 -1.584
1d#app#app08#app0848/)  -0.761 1.413  -0.686 1.412  -0.632 1.358  -0.565 1.339  -0.504 1.303  -0.446 1.255  -0.378 1.221  -0.318 1.183  -0.311 1.110  -0.257 1.057  -0.204 1.003  -0.150 0.949  -0.096 0.896  -0.062 0.828  -0.029 0.760  -0.022 0.686  0.023 0.629  0.067 0.569  0.101 0.501  0.141 0.437  0.194 0.384  0.199 0.310  0.199 0.234  0.222 0.162  0.246 0.090  0.270 0.019  0.273 -0.057  0.273 -0.133  0.273 -0.208  0.273 -0.284  0.273 -0.360  0.273 -0.436  0.273 -0.511  0.273 -0.587  0.273 -0.663  0.273 -0.739  0.268 -0.813  0.234 -0.881  0.201 -0.949  0.199 -1.024  0.199 -1.100  0.145 -1.153  0.091 -1.207  0.051 -1.266  0.037 -1.336  -0.017 -1.389  -0.022 -1.463  -0.093 -1.468  -0.096 -1.540  -0.170 -1.542
1d#app#app08#app0848/)  -0.447 1.647  -0.447 1.571  -0.447 1.494  -0.403 1.436  -0.349 1.382  -0.295 1.328  -0.281 1.257  -0.258 1.186  -0.224 1.118  -0.190 1.049  -0.156 0.981  -0.121 0.912  -0.072 0.855  -0.022 0.797  0.012 0.729  0.046 0.660  0.053 0.586  0.077 0.515  0.112 0.446  0.146 0.378  0.180 0.309  0.214 0.241  0.265 0.184  0.303 0.124  0.303 0.047  0.303 -0.029  0.303 -0.106  0.303 -0.183  0.303 -0.259  0.303 -0.336  0.303 -0.412  0.303 -0.489  0.303 -0.565  0.277 -0.631  0.223 -0.685  0.188 -0.753  0.153 -0.821  0.137 -0.894  0.108 -0.953  0.039 -0.987  -0.029 -1.021  -0.030 -1.097  -0.030 -1.173  -0.074 -1.232  -0.128 -1.286  -0.182 -1.340  -0.236 -1.394  -0.281 -1.452  -0.281 -1.529  -0.281 -1.606
1d#app#app08#app0848/(  0.100 1.385  0.177 1.385  0.189 1.448  0.240 1.474  0.261 1.439  0.227 1.371  0.193 1.303  0.189 1.228  0.150 1.168  0.100 1.112  0.100 1.036  0.100 0.959  0.075 0.889  0.041 0.821  0.004 0.755  -0.050 0.701  -0.077 0.636  -0.077 0.560  -0.083 0.485  -0.117 0.417  -0.151 0.349  -0.166 0.276  -0.166 0.200  -0.174 0.125  -0.208 0.057  -0.242 -0.011  -0.255 -0.084  -0.255 -0.160  -0.255 -0.237  -0.253 -0.313  -0.235 -0.387  -0.216 -0.461  -0.198 -0.535  -0.179 -0.608  -0.166 -0.683  -0.162 -0.758  -0.127 -0.826  -0.093 -0.895  -0.077 -0.967  -0.058 -1.035  -0.004 -1.089  0.050 -1.143  0.103 -1.198  0.137 -1.266  0.171 -1.334  0.214 -1.396  0.268 -1.450  0.278 -1.522  0.313 -1.583  0.367 -1.637
1d#app#app08#app0848/)  -0.732 1.402  -0.653 1.402  -0.574 1.402  -0.500 1.382  -0.430 1.347  -0.359 1.312  -0.346 1.240  -0.313 1.175  -0.257 1.120  -0.201 1.064  -0.145 1.008  -0.090 0.952  -0.034 0.896  0.022 0.841  0.064 0.775  0.099 0.704  0.134 0.633  0.136 0.555  0.162 0.482  0.197 0.411  0.232 0.341  0.233 0.262  0.276 0.201  0.329 0.144  0.329 0.065  0.329 -0.014  0.329 -0.093  0.329 -0.172  0.329 -0.251  0.329 -0.330  0.329 -0.409  0.329 -0.487  0.329 -0.566  0.314 -0.639  0.258 -0.695  0.233 -0.763  0.233 -0.842  0.226 -0.917  0.155 -0.952  0.085 -0.988  0.040 -1.039  0.032 -1.114  -0.024 -1.170  -0.080 -1.226  -0.135 -1.282  -0.191 -1.338  -0.247 -1.394  -0.303 -1.449  -0.364 -1.493  -0.443 -1.493
1d#app#app08#app0848/]  -0.939 0.987  -0.915 1.070  -0.808 1.070  -0.701 1.070  -0.598 1.060  -0.522 0.987  -0.415 0.987  -0.308 0.987  -0.202 0.987  -0.095 0.987  0.012 0.987  0.099 1.034  0.191 1.070  0.298 1.070  0.405 1.070  0.466 1.024  0.466 0.918  0.466 0.811  0.441 0.714  0.383 0.632  0.383 0.525  0.383 0.418  0.314 0.340  0.301 0.239  0.301 0.132  0.301 0.025  0.301 -0.082  0.255 -0.178  0.218 -0.276  0.218 -0.382  0.218 -0.489  0.218 -0.596  0.218 -0.703  0.218 -0.809  0.218 -0.916  0.218 -1.023  0.269 -1.079  0.301 -1.154  0.284 -1.244  0.177 -1.244  0.135 -1.179  0.046 -1.161  -0.051 -1.140  -0.133 -1.079  -0.240 -1.079  -0.346 -1.079  -0.453 -1.079  -0.560 -1.079  -0.667 -1.079  -0.774 -1.079
