3#apa#apa01#app0113/R  -0.341 1.104  -0.341 0.869  -0.341 0.634  -0.341 0.399  -0.341 0.164  -0.341 -0.071  -0.341 -0.306  -0.320 -0.538  -0.266 -0.766  -0.266 -1.001  -0.192 -1.219  -0.144 -1.443  -0.122 -1.617  -0.162 -1.385  -0.202 -1.154  -0.242 -0.922  -0.281 -0.690  -0.321 -0.459  -0.361 -0.227  -0.400 0.005  -0.440 0.236  -0.480 0.468  -0.520 0.699  -0.559 0.931  -0.520 1.148  -0.354 1.314  -0.139 1.391  0.093 1.402  0.311 1.476  0.476 1.407  0.625 1.320  0.625 1.085  0.546 0.869  0.467 0.649  0.293 0.493  0.104 0.359  -0.020 0.162  -0.186 -0.004  -0.388 -0.084  -0.281 -0.010  -0.046 -0.010  0.114 -0.084  0.269 -0.174  0.435 -0.340  0.555 -0.539  0.681 -0.734  0.804 -0.932  0.970 -1.098  1.084 -1.286  1.145 -1.495
3#apa#apa01#app0113/i  -0.165 0.696  -0.165 0.571  -0.165 0.446  -0.165 0.321  -0.165 0.197  -0.154 0.074  -0.098 -0.037  -0.065 -0.154  -0.041 -0.275  -0.001 -0.393  0.035 -0.512  0.035 -0.637  0.035 -0.762  0.035 -0.887  0.113 -0.979  0.135 -1.095  0.135 -1.220  0.178 -1.301  0.235 -1.369  0.328 -1.401  0.434 -1.382  0.465 -1.270  0.534 -1.174  0.516 -1.053  0.471 -0.936  0.427 -0.819  0.383 -0.703  0.339 -0.586  0.294 -0.469  0.250 -0.353  0.206 -0.236  0.162 -0.119  0.117 -0.003  0.073 0.114  0.029 0.231  -0.015 0.347  -0.060 0.464  -0.104 0.581  -0.148 0.697  -0.192 0.814  -0.237 0.931  -0.281 1.047  -0.325 1.164  -0.369 1.281  -0.414 1.397  -0.458 1.514  -0.502 1.631  -0.546 1.747  -0.564 1.869  -0.564 1.994
3#apa#apa01#app0113/n  -0.882 1.258  -0.882 1.102  -0.882 0.945  -0.882 0.789  -0.798 0.667  -0.755 0.529  -0.755 0.372  -0.755 0.216  -0.755 0.059  -0.755 -0.097  -0.673 -0.220  -0.628 -0.358  -0.628 -0.514  -0.628 -0.671  -0.590 -0.811  -0.501 -0.931  -0.501 -1.087  -0.501 -1.065  -0.501 -0.908  -0.501 -0.752  -0.465 -0.610  -0.374 -0.492  -0.374 -0.335  -0.374 -0.179  -0.374 -0.022  -0.365 0.132  -0.295 0.272  -0.213 0.403  -0.102 0.514  0.008 0.625  0.119 0.735  0.230 0.846  0.373 0.877  0.530 0.877  0.686 0.877  0.769 0.804  0.842 0.678  0.896 0.544  0.973 0.419  1.023 0.283  1.023 0.127  1.023 -0.030  1.023 -0.186  1.023 -0.343  1.023 -0.499  1.023 -0.655  1.023 -0.812  1.023 -0.968  1.023 -1.125  1.023 -1.281
3#apa#apa01#app0113/c  0.360 0.930  0.360 1.024  0.360 1.118  0.360 1.212  0.341 1.287  0.246 1.287  0.152 1.287  0.076 1.243  0.010 1.176  -0.081 1.168  -0.117 1.110  -0.151 1.049  -0.237 1.041  -0.237 0.946  -0.237 0.852  -0.274 0.773  -0.340 0.707  -0.356 0.619  -0.356 0.525  -0.356 0.430  -0.356 0.336  -0.421 0.269  -0.475 0.197  -0.475 0.103  -0.475 0.008  -0.475 -0.086  -0.475 -0.180  -0.475 -0.274  -0.475 -0.369  -0.418 -0.439  -0.356 -0.508  -0.356 -0.602  -0.303 -0.674  -0.236 -0.741  -0.169 -0.808  -0.117 -0.880  -0.117 -0.975  -0.037 -1.019  0.047 -1.061  0.133 -1.098  0.227 -1.098  0.321 -1.098  0.416 -1.098  0.510 -1.098  0.604 -1.098  0.698 -1.098  0.793 -1.098  0.887 -1.098  0.981 -1.098  1.075 -1.098
3#apa#apa01#app0113/e  -0.890 -0.234  -0.749 -0.232  -0.648 -0.131  -0.547 -0.031  -0.437 0.046  -0.294 0.046  -0.152 0.046  -0.014 0.064  0.114 0.128  0.243 0.186  0.380 0.197  0.481 0.298  0.582 0.398  0.683 0.499  0.783 0.600  0.789 0.740  0.789 0.882  0.651 0.886  0.649 1.027  0.548 1.127  0.447 1.228  0.337 1.306  0.195 1.306  0.063 1.279  -0.038 1.179  -0.050 1.042  -0.107 0.913  -0.171 0.785  -0.260 0.676  -0.330 0.563  -0.330 0.421  -0.330 0.278  -0.330 0.136  -0.330 -0.007  -0.330 -0.149  -0.330 -0.292  -0.330 -0.434  -0.330 -0.576  -0.330 -0.719  -0.330 -0.861  -0.330 -1.004  -0.279 -1.125  -0.190 -1.231  -0.177 -1.367  -0.076 -1.468  0.025 -1.569  0.140 -1.634  0.267 -1.671  0.368 -1.772  0.509 -1.774
3#apa#apa01#app0113/w  -1.088 0.981  -1.088 1.040  -1.088 0.870  -1.052 0.716  -0.973 0.578  -0.973 0.408  -0.973 0.238  -0.973 0.068  -0.859 -0.054  -0.859 -0.224  -0.859 -0.394  -0.859 -0.564  -0.781 -0.702  -0.744 -0.856  -0.744 -1.026  -0.631 -1.083  -0.576 -0.968  -0.515 -0.860  -0.400 -0.737  -0.400 -0.567  -0.320 -0.430  -0.285 -0.275  -0.258 -0.111  -0.182 0.041  -0.150 0.199  -0.030 0.319  0.059 0.453  0.159 0.522  0.173 0.367  0.173 0.197  0.241 0.043  0.334 -0.097  0.403 -0.239  0.493 -0.371  0.539 -0.510  0.632 -0.586  0.764 -0.624  0.861 -0.552  0.976 -0.497  0.976 -0.327  1.063 -0.193  1.091 -0.034  1.091 0.135  1.091 0.305  1.091 0.475  1.091 0.645  1.091 0.815  1.091 0.985  1.091 1.155  1.091 1.325
3#apa#apa01#app0113/i  -0.333 0.326  -0.281 0.222  -0.229 0.118  -0.221 0.003  -0.221 -0.113  -0.221 -0.230  -0.221 -0.346  -0.221 -0.463  -0.216 -0.577  -0.133 -0.660  -0.109 -0.766  -0.109 -0.883  -0.019 -0.909  0.003 -1.003  0.003 -1.120  0.003 -1.236  0.111 -1.246  0.116 -1.357  0.119 -1.246  0.233 -1.240  0.316 -1.158  0.398 -1.075  0.452 -0.981  0.441 -0.866  0.409 -0.754  0.378 -0.642  0.346 -0.530  0.315 -0.418  0.284 -0.305  0.252 -0.193  0.221 -0.081  0.189 0.031  0.158 0.143  0.126 0.256  0.095 0.368  0.064 0.480  0.032 0.592  0.001 0.704  -0.031 0.817  -0.062 0.929  -0.094 1.041  -0.125 1.153  -0.156 1.266  -0.188 1.378  -0.219 1.490  -0.251 1.602  -0.282 1.714  -0.313 1.827  -0.363 1.928  -0.446 2.010
3#apa#apa01#app0113/n  -0.720 1.224  -0.720 1.055  -0.720 0.885  -0.720 0.716  -0.720 0.547  -0.720 0.377  -0.720 0.208  -0.720 0.038  -0.720 -0.131  -0.720 -0.300  -0.720 -0.470  -0.611 -0.594  -0.578 -0.750  -0.578 -0.919  -0.578 -1.088  -0.578 -1.258  -0.489 -1.338  -0.436 -1.222  -0.436 -1.052  -0.436 -0.883  -0.436 -0.714  -0.378 -0.568  -0.293 -0.434  -0.293 -0.264  -0.293 -0.095  -0.200 0.036  -0.151 0.185  -0.151 0.354  -0.143 0.521  -0.023 0.640  -0.004 0.802  0.116 0.922  0.277 0.941  0.397 1.060  0.558 1.082  0.703 1.058  0.754 0.940  0.846 0.862  0.846 0.692  0.846 0.523  0.846 0.353  0.846 0.184  0.896 0.035  0.988 -0.096  0.988 -0.265  0.988 -0.435  0.988 -0.604  0.988 -0.774  1.010 -0.934  1.130 -1.053
3#apa#apa01#app0113/d  -0.008 -0.489  -0.008 -0.281  -0.008 -0.072  -0.096 0.049  -0.228 0.125  -0.437 0.125  -0.609 0.037  -0.710 -0.121  -0.798 -0.294  -0.882 -0.483  -0.886 -0.690  -0.845 -0.882  -0.710 -0.984  -0.623 -1.156  -0.450 -1.192  -0.271 -1.161  -0.184 -1.040  -0.096 -0.868  -0.008 -0.696  -0.008 -0.487  -0.008 -0.279  -0.008 -0.070  -0.002 0.137  0.080 0.327  0.080 0.535  0.080 0.744  0.097 0.949  0.168 1.141  0.244 1.331  0.255 1.537  0.255 1.746  0.255 1.807  0.168 1.686  0.168 1.478  0.080 1.306  0.080 1.097  0.080 0.888  0.080 0.680  0.080 0.471  0.080 0.262  0.130 0.075  0.237 -0.102  0.255 -0.307  0.378 -0.471  0.481 -0.652  0.596 -0.825  0.692 -1.011  0.782 -1.183  0.958 -1.283  1.045 -1.455
3#apa#apa01#app0113/.  0.000 -1.698  0.000 -1.628  0.000 -1.559  0.000 -1.490  0.000 -1.421  0.000 -1.351  0.000 -1.282  0.000 -1.213  0.000 -1.143  0.000 -1.074  0.000 -1.005  0.000 -0.936  0.000 -0.866  0.000 -0.797  0.000 -0.728  0.000 -0.658  0.000 -0.589  0.000 -0.520  0.000 -0.450  0.000 -0.381  0.000 -0.312  0.000 -0.243  0.000 -0.173  0.000 -0.104  0.000 -0.035  0.000 0.035  0.000 0.104  0.000 0.173  0.000 0.243  0.000 0.312  0.000 0.381  0.000 0.450  0.000 0.520  0.000 0.589  0.000 0.658  0.000 0.728  0.000 0.797  0.000 0.866  0.000 0.936  0.000 1.005  0.000 1.074  0.000 1.143  0.000 1.213  0.000 1.282  0.000 1.351  0.000 1.421  0.000 1.490  0.000 1.559  0.000 1.628  0.000 1.698
3#apa#apa01#app0113/I  -0.025 1.274  -0.025 1.047  -0.107 0.854  -0.107 0.627  -0.107 0.400  -0.084 0.175  -0.040 -0.047  -0.025 -0.272  -0.025 -0.499  0.027 -0.714  0.056 -0.934  0.138 -1.127  0.203 -1.327  0.154 -1.153  0.080 -0.938  0.007 -0.724  -0.067 -0.509  -0.141 -0.295  -0.215 -0.080  -0.288 0.134  -0.362 0.349  -0.436 0.563  -0.510 0.778  -0.583 0.992  -0.657 1.207  -0.605 1.355  -0.378 1.355  -0.152 1.355  0.073 1.375  0.296 1.420  0.521 1.437  0.485 1.246  0.416 1.030  0.346 0.815  0.276 0.599  0.206 0.383  0.136 0.167  0.066 -0.049  -0.003 -0.265  -0.073 -0.481  -0.143 -0.696  -0.213 -0.912  -0.283 -1.128  -0.353 -1.344  -0.126 -1.344  0.101 -1.344  0.318 -1.284  0.524 -1.192  0.749 -1.181  0.956 -1.099
