1c#apa#apa02#app0293/o  -0.083 1.001  -0.220 1.001  -0.335 0.979  -0.335 0.842  -0.379 0.749  -0.516 0.749  -0.587 0.683  -0.587 0.546  -0.650 0.435  -0.746 0.338  -0.839 0.240  -0.839 0.103  -0.839 -0.034  -0.839 -0.171  -0.839 -0.308  -0.839 -0.445  -0.839 -0.582  -0.839 -0.719  -0.839 -0.856  -0.839 -0.993  -0.721 -1.013  -0.584 -1.013  -0.447 -1.013  -0.310 -1.013  -0.174 -1.013  -0.037 -1.013  0.100 -1.013  0.168 -0.943  0.168 -0.807  0.259 -0.761  0.396 -0.761  0.500 -0.681  0.597 -0.584  0.672 -0.478  0.672 -0.341  0.672 -0.204  0.672 -0.067  0.725 0.048  0.822 0.145  0.919 0.241  0.923 0.376  0.923 0.513  0.923 0.650  0.923 0.787  0.923 0.924  0.863 1.001  0.726 1.001  0.614 1.059  0.517 1.156  0.420 1.253
1c#apa#apa02#app0293/f  0.687 1.317  0.828 1.322  0.821 1.465  0.718 1.568  0.586 1.599  0.546 1.492  0.435 1.458  0.324 1.376  0.203 1.317  0.124 1.250  0.124 1.104  0.124 0.959  0.043 0.895  -0.016 0.809  -0.016 0.663  -0.016 0.518  -0.016 0.372  -0.016 0.227  -0.016 0.081  -0.053 -0.058  -0.099 -0.196  -0.145 -0.334  -0.157 -0.478  -0.157 -0.623  -0.157 -0.769  -0.157 -0.914  -0.157 -1.060  -0.157 -1.205  -0.157 -1.351  -0.157 -1.496  -0.216 -1.364  -0.275 -1.231  -0.334 -1.098  -0.393 -0.966  -0.452 -0.833  -0.511 -0.700  -0.571 -0.567  -0.630 -0.434  -0.689 -0.301  -0.671 -0.279  -0.564 -0.371  -0.419 -0.371  -0.273 -0.371  -0.128 -0.371  0.018 -0.371  0.163 -0.371  0.309 -0.371  0.454 -0.371  0.584 -0.333  0.687 -0.231
1c#apa#apa02#app0293/s  0.675 0.835  0.675 0.974  0.615 1.053  0.476 1.053  0.457 1.173  0.416 1.271  0.277 1.271  0.139 1.271  0.006 1.256  -0.092 1.157  -0.191 1.059  -0.327 1.053  -0.414 1.002  -0.414 0.863  -0.526 0.835  -0.632 0.803  -0.632 0.664  -0.632 0.525  -0.619 0.399  -0.480 0.399  -0.414 0.326  -0.414 0.187  -0.414 0.048  -0.360 -0.036  -0.221 -0.036  -0.082 -0.036  0.022 -0.072  0.022 -0.211  0.117 -0.254  0.256 -0.254  0.395 -0.254  0.457 -0.331  0.457 -0.470  0.594 -0.472  0.675 -0.530  0.675 -0.669  0.675 -0.808  0.648 -0.935  0.550 -1.034  0.449 -1.126  0.310 -1.126  0.171 -1.126  0.032 -1.126  -0.107 -1.126  -0.246 -1.126  -0.385 -1.126  -0.492 -1.203  -0.590 -1.301  -0.711 -1.344  -0.850 -1.344
1c#apa#apa02#app0293/a  0.559 -0.028  0.559 0.159  0.559 0.346  0.491 0.505  0.358 0.638  0.327 0.812  0.229 0.901  0.042 0.901  -0.145 0.901  -0.333 0.901  -0.520 0.901  -0.677 0.828  -0.809 0.695  -0.986 0.669  -1.068 0.564  -1.110 0.394  -1.243 0.262  -1.300 0.098  -1.300 -0.089  -1.300 -0.277  -1.300 -0.464  -1.300 -0.651  -1.187 -0.726  -1.000 -0.726  -0.813 -0.726  -0.625 -0.726  -0.438 -0.726  -0.251 -0.726  -0.063 -0.726  0.095 -0.696  0.095 -0.509  0.216 -0.372  0.348 -0.240  0.481 -0.107  0.559 0.048  0.590 0.204  0.778 0.204  0.792 0.377  0.792 0.564  0.792 0.586  0.792 0.399  0.792 0.212  0.792 0.024  0.792 -0.163  0.855 -0.324  0.988 -0.457  1.024 -0.629  1.024 -0.816  1.024 -1.003  1.024 -1.191
1c#apa#apa02#app0293/r  -0.307 1.002  -0.307 0.869  -0.307 0.736  -0.307 0.604  -0.307 0.471  -0.307 0.338  -0.307 0.206  -0.307 0.073  -0.307 -0.059  -0.307 -0.192  -0.307 -0.325  -0.307 -0.457  -0.307 -0.590  -0.307 -0.723  -0.307 -0.855  -0.307 -0.988  -0.307 -1.121  -0.307 -1.253  -0.307 -1.386  -0.307 -1.518  -0.307 -1.509  -0.307 -1.376  -0.307 -1.244  -0.307 -1.111  -0.307 -0.978  -0.307 -0.846  -0.307 -0.713  -0.307 -0.581  -0.307 -0.448  -0.224 -0.350  -0.130 -0.256  -0.036 -0.162  -0.020 -0.036  -0.020 0.096  -0.020 0.229  -0.020 0.362  0.027 0.475  0.121 0.569  0.215 0.662  0.308 0.756  0.402 0.850  0.496 0.944  0.590 1.038  0.684 1.131  0.777 1.225  0.884 1.288  1.016 1.288  1.149 1.288  1.282 1.288  1.414 1.288
1c#apa#apa02#app0293/e  -0.294 0.114  -0.124 0.114  0.003 0.011  0.135 -0.079  0.285 -0.059  0.285 0.110  0.451 0.114  0.621 0.114  0.671 0.233  0.767 0.307  0.864 0.380  0.864 0.549  0.864 0.719  0.864 0.889  0.864 1.058  0.716 1.079  0.546 1.079  0.376 1.079  0.207 1.079  0.053 1.040  -0.067 0.920  -0.223 0.886  -0.294 0.788  -0.369 0.693  -0.523 0.657  -0.643 0.537  -0.798 0.500  -0.873 0.406  -0.923 0.257  -1.043 0.137  -1.066 -0.024  -1.066 -0.193  -1.066 -0.363  -0.998 -0.465  -0.873 -0.509  -0.852 -0.658  -0.682 -0.658  -0.680 -0.825  -0.536 -0.851  -0.366 -0.851  -0.225 -0.920  -0.105 -1.040  0.063 -1.044  0.232 -1.044  0.402 -1.044  0.572 -1.044  0.741 -1.044  0.911 -1.044  1.081 -1.044  1.251 -1.044
1c#apa#apa02#app0293/u  -1.186 1.175  -1.037 1.175  -1.007 1.056  -1.007 0.907  -1.007 0.758  -1.007 0.609  -1.007 0.460  -1.007 0.311  -1.007 0.162  -1.007 0.013  -1.007 -0.136  -1.007 -0.285  -1.007 -0.434  -1.007 -0.582  -0.888 -0.612  -0.828 -0.702  -0.769 -0.791  -0.620 -0.791  -0.471 -0.791  -0.322 -0.791  -0.173 -0.791  -0.113 -0.702  -0.054 -0.612  0.065 -0.583  0.065 -0.434  0.214 -0.434  0.244 -0.315  0.307 -0.192  0.412 -0.087  0.423 0.058  0.527 0.102  0.601 0.177  0.601 0.326  0.601 0.475  0.601 0.624  0.601 0.772  0.706 0.817  0.780 0.743  0.780 0.594  0.780 0.445  0.780 0.296  0.914 0.281  0.959 0.177  0.959 0.028  0.959 -0.121  0.969 -0.265  1.074 -0.371  1.138 -0.493  1.167 -0.612  1.316 -0.612
1c#apa#apa02#app0293/n  -0.899 1.090  -0.899 0.934  -0.899 0.778  -0.899 0.623  -0.899 0.467  -0.899 0.311  -0.899 0.155  -0.899 -0.001  -0.899 -0.157  -0.899 -0.313  -0.899 -0.469  -0.899 -0.625  -0.899 -0.781  -0.899 -0.936  -0.787 -0.980  -0.692 -0.920  -0.682 -0.773  -0.526 -0.773  -0.485 -0.659  -0.422 -0.566  -0.278 -0.554  -0.278 -0.398  -0.195 -0.277  -0.085 -0.166  -0.010 -0.031  0.060 0.109  0.129 0.248  0.136 0.402  0.200 0.532  0.310 0.642  0.343 0.784  0.384 0.924  0.494 1.034  0.627 1.090  0.758 1.065  0.758 0.909  0.758 0.753  0.758 0.598  0.777 0.450  0.887 0.339  0.965 0.216  0.965 0.060  0.965 -0.096  0.965 -0.252  0.965 -0.408  0.965 -0.564  0.965 -0.720  0.965 -0.876  0.965 -1.032  0.965 -1.187
1c#apa#apa02#app0293/d  0.408 2.089  0.408 1.908  0.408 1.727  0.408 1.547  0.408 1.366  0.408 1.185  0.408 1.004  0.408 0.824  0.376 0.656  0.253 0.526  0.253 0.346  0.253 0.165  0.253 -0.016  0.253 -0.197  0.253 -0.377  0.253 -0.558  0.253 -0.739  0.253 -0.818  0.328 -0.713  0.408 -0.612  0.534 -0.558  0.564 -0.406  0.564 -0.226  0.564 -0.045  0.514 0.115  0.408 0.252  0.408 0.433  0.327 0.532  0.146 0.532  -0.035 0.532  -0.216 0.532  -0.389 0.514  -0.517 0.386  -0.644 0.258  -0.772 0.130  -0.900 0.002  -0.993 -0.140  -0.993 -0.321  -0.993 -0.502  -0.993 -0.682  -0.843 -0.713  -0.818 -0.869  -0.681 -0.913  -0.632 -1.074  -0.496 -1.180  -0.315 -1.180  -0.134 -1.180  0.047 -1.180  0.227 -1.180  0.408 -1.180
1c#apa#apa02#app0293/e  -0.833 -0.456  -0.833 -0.618  -0.709 -0.656  -0.572 -0.717  -0.458 -0.832  -0.305 -0.855  -0.170 -0.791  -0.055 -0.676  0.099 -0.656  0.233 -0.588  0.347 -0.473  0.502 -0.456  0.635 -0.385  0.750 -0.271  0.764 -0.114  0.868 -0.057  0.963 0.010  0.963 0.172  0.963 0.335  0.963 0.497  0.881 0.625  0.766 0.739  0.764 0.900  0.764 1.062  0.680 1.141  0.531 1.174  0.417 1.288  0.276 1.341  0.129 1.305  0.014 1.190  -0.118 1.100  -0.263 1.027  -0.408 0.955  -0.434 0.809  -0.501 0.675  -0.616 0.560  -0.634 0.405  -0.634 0.243  -0.634 0.081  -0.634 -0.081  -0.634 -0.243  -0.634 -0.405  -0.634 -0.567  -0.634 -0.730  -0.608 -0.881  -0.493 -0.996  -0.379 -1.110  -0.264 -1.225  -0.149 -1.340  -0.035 -1.454
1c#apa#apa02#app0293/f  0.994 1.477  0.966 1.594  0.863 1.657  0.734 1.657  0.613 1.636  0.530 1.538  0.473 1.423  0.454 1.298  0.365 1.206  0.336 1.089  0.275 0.985  0.275 0.856  0.261 0.730  0.203 0.615  0.185 0.490  0.185 0.361  0.185 0.232  0.185 0.103  0.185 -0.027  0.185 -0.156  0.185 -0.285  0.185 -0.414  0.155 -0.531  0.095 -0.635  0.095 -0.764  0.072 -0.884  0.005 -0.985  0.005 -1.114  -0.018 -1.221  -0.122 -1.172  -0.200 -1.068  -0.277 -0.965  -0.355 -0.862  -0.432 -0.758  -0.509 -0.655  -0.587 -0.552  -0.664 -0.449  -0.742 -0.345  -0.819 -0.242  -0.894 -0.146  -0.864 -0.262  -0.773 -0.354  -0.667 -0.412  -0.538 -0.412  -0.446 -0.500  -0.317 -0.502  -0.192 -0.526  -0.070 -0.567  0.056 -0.591  0.185 -0.591
