3#app#app07#app0715/!  -0.009 1.433  -0.009 1.509  -0.009 1.585  -0.009 1.594  -0.009 1.518  -0.009 1.442  -0.009 1.366  -0.009 1.290  -0.009 1.214  -0.009 1.138  -0.009 1.062  -0.009 0.986  -0.009 0.910  -0.009 0.834  -0.009 0.758  -0.009 0.682  -0.009 0.606  -0.009 0.530  -0.009 0.454  -0.009 0.378  -0.009 0.302  -0.009 0.226  -0.009 0.150  -0.009 0.074  -0.009 -0.002  -0.009 -0.078  -0.009 -0.154  -0.009 -0.230  -0.009 -0.306  -0.009 -0.382  -0.009 -0.458  -0.009 -0.534  -0.009 -0.610  -0.009 -0.686  -0.009 -0.762  -0.009 -0.838  -0.009 -0.914  -0.009 -0.990  -0.073 -1.002  -0.106 -1.044  -0.091 -1.114  -0.038 -1.168  0.016 -1.222  0.070 -1.275  0.124 -1.329  0.177 -1.383  0.122 -1.391  0.046 -1.391  0.012 -1.391  0.088 -1.391
3#app#app07#app0715/@  -0.366 -0.278  -0.132 -0.236  0.073 -0.126  0.251 0.052  0.398 0.185  0.398 0.436  0.293 0.581  0.042 0.581  -0.209 0.581  -0.366 0.431  -0.514 0.242  -0.624 0.036  -0.652 -0.203  -0.557 -0.359  -0.321 -0.374  -0.070 -0.374  0.142 -0.278  0.338 -0.147  0.544 -0.037  0.680 0.104  0.780 0.311  0.876 0.522  0.876 0.773  0.876 1.024  0.780 1.179  0.600 1.250  0.354 1.228  0.121 1.154  -0.079 1.011  -0.304 0.899  -0.517 0.767  -0.731 0.637  -0.899 0.469  -1.084 0.317  -1.176 0.105  -1.225 -0.134  -1.225 -0.385  -1.175 -0.615  -0.987 -0.779  -0.780 -0.914  -0.553 -1.011  -0.307 -1.042  -0.056 -1.042  0.195 -1.042  0.446 -1.042  0.691 -1.008  0.932 -0.947  1.171 -0.895  1.411 -0.851  1.640 -0.756
3#app#app07#app0715/#  -0.059 1.319  -0.175 0.953  -0.290 0.588  -0.346 0.209  -0.556 -0.117  -0.729 -0.462  -0.862 -0.824  -0.998 -1.160  -1.132 -1.497  -1.182 -1.539  -0.918 -1.249  -0.654 -0.958  -0.390 -0.667  -0.125 -0.377  0.139 -0.086  0.403 0.204  0.667 0.495  0.931 0.785  1.195 1.076  1.352 1.319  1.149 1.051  1.014 0.714  0.783 0.417  0.612 0.096  0.612 -0.297  0.477 -0.555  0.383 -0.751  0.076 -0.506  -0.230 -0.260  -0.537 -0.015  -0.844 0.230  -0.604 0.506  -0.270 0.648  0.067 0.782  0.460 0.782  0.852 0.782  0.815 0.665  0.476 0.466  0.138 0.267  -0.200 0.068  -0.539 -0.131  -0.877 -0.330  -1.216 -0.529  -0.938 -0.529  -0.570 -0.424  -0.221 -0.319  0.160 -0.290  0.530 -0.237  0.889 -0.156  1.282 -0.156
3#app#app07#app0715/$  0.873 0.457  0.742 0.557  0.509 0.557  0.298 0.471  0.069 0.457  -0.096 0.293  -0.312 0.255  -0.412 0.078  -0.536 -0.044  -0.516 -0.268  -0.423 -0.462  -0.328 -0.651  -0.136 -0.749  -0.043 -0.942  0.068 -1.128  -0.038 -1.255  -0.230 -1.351  -0.461 -1.355  -0.592 -1.255  -0.569 -1.079  -0.485 -0.863  -0.401 -0.646  -0.318 -0.430  -0.234 -0.213  -0.150 0.003  -0.066 0.220  0.018 0.437  0.102 0.653  0.185 0.870  0.269 1.086  0.353 1.303  0.437 1.519  0.521 1.736  0.478 1.866  0.470 1.642  0.401 1.426  0.298 1.218  0.269 0.993  0.269 0.760  0.211 0.542  0.168 0.320  0.093 0.105  0.068 -0.121  -0.024 -0.331  -0.033 -0.562  -0.052 -0.789  -0.134 -1.002  -0.134 -1.235  -0.212 -1.434  -0.234 -1.657
3#app#app07#app0715/%  0.737 1.422  0.630 1.180  0.491 0.931  0.363 0.674  0.185 0.453  0.057 0.197  -0.071 -0.060  -0.327 -0.188  -0.342 -0.466  -0.470 -0.723  -0.598 -0.979  -0.611 -1.263  -0.746 -1.494  -0.746 -1.781  -0.588 -1.696  -0.531 -1.415  -0.475 -1.134  -0.419 -0.853  -0.363 -0.571  -0.306 -0.290  -0.250 -0.009  -0.194 0.272  -0.138 0.553  -0.081 0.835  -0.309 0.883  -0.476 0.763  -0.611 0.611  -0.457 0.479  -0.220 0.600  -0.072 0.746  0.063 0.977  -0.048 1.153  -0.200 1.288  -0.349 1.145  -0.552 0.943  -0.476 0.732  -0.286 0.517  -0.095 0.303  0.095 0.088  0.286 -0.126  0.468 -0.344  0.468 -0.630  0.515 -0.870  0.802 -0.870  1.033 -0.735  1.172 -0.570  1.273 -0.327  1.142 -0.095  0.889 -0.061  0.737 -0.196
3#app#app07#app0715/^  -1.177 -0.569  -1.290 -0.569  -1.404 -0.569  -1.370 -0.507  -1.289 -0.427  -1.209 -0.347  -1.129 -0.266  -1.048 -0.186  -0.968 -0.106  -0.888 -0.025  -0.807 0.055  -0.727 0.136  -0.668 0.225  -0.668 0.339  -0.666 0.451  -0.585 0.532  -0.505 0.612  -0.424 0.692  -0.315 0.703  -0.201 0.703  -0.109 0.754  -0.028 0.834  0.052 0.914  0.148 0.957  0.261 0.957  0.349 0.931  0.349 0.818  0.349 0.704  0.349 0.590  0.349 0.477  0.349 0.363  0.349 0.249  0.391 0.153  0.471 0.072  0.551 -0.008  0.603 -0.100  0.603 -0.214  0.603 -0.327  0.603 -0.441  0.603 -0.555  0.703 -0.569  0.817 -0.569  0.858 -0.641  0.858 -0.755  0.903 -0.823  1.017 -0.823  1.125 -0.836  1.206 -0.917  1.286 -0.997  1.366 -1.077
3#app#app07#app0715/&  -1.796 -0.471  -1.626 -0.471  -1.457 -0.471  -1.288 -0.471  -1.119 -0.471  -0.950 -0.471  -0.781 -0.471  -0.612 -0.471  -0.443 -0.471  -0.273 -0.471  -0.104 -0.471  0.065 -0.471  0.234 -0.471  0.403 -0.471  0.572 -0.471  0.741 -0.471  0.849 -0.423  0.808 -0.259  0.767 -0.095  0.726 0.069  0.685 0.233  0.644 0.397  0.603 0.562  0.562 0.726  0.521 0.890  0.480 1.054  0.439 1.218  0.398 1.382  0.466 1.461  0.619 1.445  0.619 1.276  0.540 1.140  0.420 1.020  0.301 0.901  0.181 0.781  0.136 0.631  0.136 0.462  0.136 0.292  0.044 0.161  -0.075 0.042  -0.105 -0.115  -0.144 -0.268  -0.263 -0.388  -0.347 -0.522  -0.347 -0.692  -0.347 -0.861  -0.347 -1.030  -0.344 -1.198  -0.225 -1.318  -0.105 -1.437
3#app#app07#app0715/*  -0.925 1.292  -0.780 1.017  -0.553 0.775  -0.418 0.495  -0.199 0.250  -0.046 -0.022  0.191 -0.260  0.363 -0.450  0.527 -0.622  0.310 -0.740  -0.026 -0.740  -0.361 -0.740  -0.697 -0.740  -1.033 -0.740  -1.065 -0.735  -0.925 -0.457  -0.631 -0.303  -0.336 -0.147  -0.150 0.132  0.092 0.349  0.360 0.544  0.597 0.782  0.834 1.019  1.108 1.156  1.253 1.347  1.108 1.338  1.005 1.044  0.817 0.787  0.672 0.511  0.672 0.175  0.527 -0.100  0.382 -0.376  0.382 -0.712  0.267 -1.000  0.237 -1.323  0.088 -1.345  -0.172 -1.132  -0.432 -0.920  -0.692 -0.707  -0.951 -0.494  -1.211 -0.282  -1.260 -0.059  -0.942 -0.014  -0.667 0.131  -0.348 0.202  -0.030 0.276  0.306 0.276  0.582 0.421  0.917 0.421  1.253 0.421
3#app#app07#app0715/(  0.901 1.239  0.824 1.239  0.748 1.239  0.677 1.224  0.623 1.170  0.562 1.134  0.486 1.134  0.409 1.134  0.337 1.114  0.269 1.080  0.201 1.045  0.150 0.993  0.116 0.925  0.082 0.857  0.038 0.795  -0.016 0.741  -0.070 0.687  -0.124 0.633  -0.166 0.570  -0.200 0.502  -0.234 0.433  -0.251 0.361  -0.251 0.284  -0.251 0.208  -0.251 0.132  -0.251 0.055  -0.251 -0.021  -0.251 -0.098  -0.251 -0.174  -0.251 -0.251  -0.251 -0.327  -0.251 -0.404  -0.251 -0.480  -0.251 -0.557  -0.251 -0.633  -0.251 -0.709  -0.251 -0.786  -0.251 -0.862  -0.251 -0.939  -0.212 -0.999  -0.158 -1.053  -0.146 -1.125  -0.146 -1.201  -0.144 -1.277  -0.090 -1.331  -0.041 -1.387  -0.041 -1.464  -0.041 -1.540  -0.041 -1.616  -0.041 -1.693
3#app#app07#app0715/)  -0.045 1.638  0.008 1.585  0.035 1.523  0.035 1.448  0.052 1.381  0.104 1.328  0.116 1.259  0.139 1.190  0.172 1.123  0.196 1.054  0.207 0.984  0.259 0.932  0.276 0.865  0.276 0.790  0.276 0.716  0.276 0.642  0.276 0.567  0.276 0.493  0.276 0.419  0.276 0.344  0.276 0.270  0.276 0.196  0.276 0.121  0.276 0.047  0.276 -0.027  0.253 -0.096  0.220 -0.163  0.187 -0.229  0.154 -0.296  0.120 -0.362  0.087 -0.429  0.054 -0.495  0.035 -0.565  0.023 -0.637  -0.010 -0.703  -0.043 -0.769  -0.095 -0.823  -0.147 -0.875  -0.200 -0.928  -0.252 -0.980  -0.305 -1.033  -0.358 -1.086  -0.410 -1.138  -0.463 -1.191  -0.515 -1.243  -0.527 -1.313  -0.579 -1.336  -0.640 -1.368  -0.694 -1.416  -0.768 -1.416
3#app#app07#app0715/`  0.556 1.584  0.556 1.510  0.556 1.436  0.556 1.362  0.556 1.288  0.556 1.214  0.556 1.139  0.556 1.065  0.556 0.991  0.556 0.917  0.556 0.843  0.556 0.769  0.556 0.695  0.556 0.621  0.545 0.552  0.492 0.499  0.440 0.447  0.388 0.395  0.335 0.342  0.283 0.290  0.231 0.238  0.178 0.185  0.126 0.133  0.074 0.081  0.021 0.028  -0.031 -0.024  -0.083 -0.077  -0.125 -0.133  -0.125 -0.207  -0.125 -0.281  -0.125 -0.355  -0.125 -0.429  -0.157 -0.490  -0.209 -0.543  -0.261 -0.595  -0.314 -0.647  -0.366 -0.700  -0.419 -0.752  -0.471 -0.804  -0.523 -0.857  -0.576 -0.909  -0.628 -0.961  -0.680 -1.014  -0.733 -1.066  -0.785 -1.118  -0.806 -1.184  -0.806 -1.258  -0.806 -1.332  -0.806 -1.406  -0.806 -1.480
